keyword,bucket,owner_or_reason,volume,best_peer_pos,best_peer_domain,our_gsc_imp,our_gsc_clicks,our_bing_imp,our_bing_clicks
mortgage loan repayment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",90500,51,ukpropertyaccountants.co.uk,,,,
mortgage repayment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",90500,46,ukpropertyaccountants.co.uk,,,,
repayment calculator for home loan,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",90500,51,ukpropertyaccountants.co.uk,,,,
salary calculator take home uk,excluded,off-niche:salary/employment,74000,6,taxd.co.uk,,,,
salary calculator uk take home pay,excluded,off-niche:salary/employment,74000,15,taxd.co.uk,,,,
salary take home calculator uk,excluded,off-niche:salary/employment,74000,6,taxd.co.uk,,,,
take home pay calculator uk,excluded,off-niche:salary/employment,74000,6,taxd.co.uk,,,,
take-home pay calculator uk,excluded,off-niche:salary/employment,74000,6,taxd.co.uk,,,,
uk take home pay calculator,excluded,off-niche:salary/employment,74000,6,taxd.co.uk,,,,
england stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",60500,56,landlordstudio.com,,,,
stamp duty calculator england,already-covered,"sdlt-cluster (deployed 08-18, window armed)",60500,31,uklandlordtax.co.uk,,,,
stamp duty calculator uk,already-covered,"sdlt-cluster (deployed 08-18, window armed)",60500,33,uklandlordtax.co.uk,,,,
stamp tax calculator uk,already-covered,"sdlt-cluster (deployed 08-18, window armed)",60500,30,uklandlordtax.co.uk,,,,
tax in the uk calculator,excluded,off-niche:salary/employment,60500,39,taxd.co.uk,,,,
uk stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",60500,33,uklandlordtax.co.uk,,,,
sdlt calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",40500,26,ukpropertyaccountants.co.uk,70,0,,
stamp duty land tax calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",40500,28,ukpropertyaccountants.co.uk,,,,
earnings tax calculator uk,excluded,off-niche:general-tax-calc (no property qualifier),27100,25,taxd.co.uk,,,,
salary and take home pay calculator,excluded,off-niche:salary/employment,27100,5,taxd.co.uk,,,,
salary tax calculator uk,excluded,off-niche:salary/employment,27100,32,ukpropertyaccountants.co.uk,,,,
take home calculator,excluded,off-niche:salary/employment,27100,36,taxd.co.uk,,,,
take home salary calculator,excluded,off-niche:salary/employment,27100,25,taxd.co.uk,,,,
take-home salary calculator,excluded,off-niche:salary/employment,27100,20,taxd.co.uk,,,,
tax on earnings calculator uk,excluded,off-niche:salary/employment,27100,50,ukpropertyaccountants.co.uk,,,,
uk vat calculator,excluded,off-niche:vat-general,27100,30,cruseburke.co.uk,,,,
united kingdom vat calculator,excluded,off-niche:vat-general,27100,30,cruseburke.co.uk,,,,
vat calculator uk,excluded,off-niche:vat-general,27100,24,cruseburke.co.uk,,,,
wage calculator,excluded,off-niche:salary/employment,27100,43,taxd.co.uk,,,,
wages calculator,excluded,off-niche:salary/employment,27100,39,taxd.co.uk,,,,
buy let mortgage calculator,assigned,calculators/buy-to-let-mortgage-calculator,22200,2,uklandlordtax.co.uk,,,,
buy to let mortgage calculator,assigned,calculators/buy-to-let-mortgage-calculator,22200,4,uklandlordtax.co.uk,27,0,,
buy to let mortgage repayment calculator,assigned,calculators/buy-to-let-mortgage-calculator,22200,1,uklandlordtax.co.uk,3,0,,
buy to let mortgage repayments calculator,assigned,calculators/buy-to-let-mortgage-calculator,22200,2,uklandlordtax.co.uk,,,,
buy to let mortgage uk calculator,assigned,calculators/buy-to-let-mortgage-calculator,22200,4,uklandlordtax.co.uk,,,,
buy to rent mortgage calculator,assigned,calculators/buy-to-let-mortgage-calculator,22200,2,uklandlordtax.co.uk,,,,
buy-to let repayment mortgage calculator,assigned,calculators/buy-to-let-mortgage-calculator,22200,3,uklandlordtax.co.uk,,,,
after tax earnings calculator,excluded,off-niche:salary/employment,18100,48,taxd.co.uk,,,,
after tax income calculator,excluded,off-niche:salary/employment,18100,35,taxd.co.uk,,,,
after tax salary calculator,excluded,off-niche:salary/employment,18100,14,taxd.co.uk,,,,
calculator salary after tax,excluded,off-niche:salary/employment,18100,23,taxd.co.uk,,,,
home loan repayment calculator uk,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",18100,50,ukpropertyaccountants.co.uk,,,,
mortgage pay calculator,excluded,off-niche:salary/employment,18100,74,ukpropertyaccountants.co.uk,,,,
national insurance and tax calculator,excluded,off-niche:general-accountancy-calc,18100,14,taxd.co.uk,,,,
net income calculator,excluded,off-niche:salary/employment,18100,49,taxd.co.uk,,,,
net pay calculator,excluded,off-niche:salary/employment,18100,36,taxd.co.uk,,,,
net wages calculator,excluded,off-niche:salary/employment,18100,20,taxd.co.uk,,,,
paying mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",18100,74,ukpropertyaccountants.co.uk,,,,
payment after tax calculator,excluded,off-niche:salary/employment,18100,37,taxd.co.uk,,,,
post tax income calculator,excluded,off-niche:salary/employment,18100,31,taxd.co.uk,,,,
post tax salary calculator,excluded,off-niche:salary/employment,18100,38,taxd.co.uk,,,,
repayment calculator mortgage uk,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",18100,47,ukpropertyaccountants.co.uk,,,,
salary after tax calculator,excluded,off-niche:salary/employment,18100,38,taxd.co.uk,,,,
salary calculator after tax,excluded,off-niche:salary/employment,18100,15,taxd.co.uk,,,,
take home pay calculator taxes,excluded,off-niche:salary/employment,18100,35,taxd.co.uk,,,,
uk home loan repayment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",18100,62,ukpropertyaccountants.co.uk,,,,
after tax calculator,excluded,off-niche:salary/employment,14800,48,taxd.co.uk,,,,
capital gains tax calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",14800,9,ukpropertyaccountants.co.uk,,,,
employed and self employed tax calculator,excluded,off-niche:general-accountancy-calc,14800,35,taxd.co.uk,,,,
employed and self-employed tax calculator,excluded,off-niche:general-accountancy-calc,14800,39,optimiseaccountants.co.uk,,,,
gain tax calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",14800,18,ukpropertyaccountants.co.uk,,,,
gross to net income calculator uk,excluded,off-niche:salary/employment,14800,13,taxd.co.uk,,,,
gross to net pay calculator uk,excluded,off-niche:salary/employment,14800,12,taxd.co.uk,,,,
net income calculator uk,excluded,off-niche:salary/employment,14800,10,taxd.co.uk,,,,
net income uk calculator,excluded,off-niche:salary/employment,14800,36,taxd.co.uk,,,,
net pay calculator uk,excluded,off-niche:salary/employment,14800,5,taxd.co.uk,,,,
net salary calculator uk,excluded,off-niche:salary/employment,14800,9,taxd.co.uk,,,,
net wage calculator uk,excluded,off-niche:salary/employment,14800,11,taxd.co.uk,,,,
paye calculator,excluded,off-niche:salary/employment,14800,65,taxd.co.uk,,,,
property gains tax calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",14800,20,taxd.co.uk,,,,
self employed and employed tax calculator,excluded,off-niche:general-accountancy-calc,14800,21,taxd.co.uk,,,,
self employed tax calculator,excluded,off-niche:general-accountancy-calc,14800,17,taxd.co.uk,,,,
tax calculator employed and self employed,excluded,off-niche:general-accountancy-calc,14800,41,optimiseaccountants.co.uk,,,,
tax calculator self employed,excluded,off-niche:general-accountancy-calc,14800,25,taxd.co.uk,,,,
uk net salary calculator,excluded,off-niche:salary/employment,14800,16,taxd.co.uk,,,,
calculator wage,excluded,off-niche:salary/employment,12100,61,taxd.co.uk,,,,
calculator wages,excluded,off-niche:salary/employment,12100,32,taxd.co.uk,,,,
hsbc mortgage payment calculator,excluded,brand-navigational,12100,50,ukpropertyaccountants.co.uk,,,,
interest only loans mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",12100,25,uklandlordtax.co.uk,,,,
interest only mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",12100,14,uklandlordtax.co.uk,,,,
mortgage calculator for interest only loan,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",12100,24,uklandlordtax.co.uk,,,,
net income salary calculator,excluded,off-niche:salary/employment,12100,20,taxd.co.uk,,,,
net salary income calculator,excluded,off-niche:salary/employment,12100,43,taxd.co.uk,,,,
pay calculator,excluded,off-niche:salary/employment,12100,27,taxd.co.uk,,,,
salary calculator net pay,excluded,off-niche:salary/employment,12100,20,taxd.co.uk,,,,
capital gains calculator uk,already-covered,"cgt-cluster (batch cgt1, deploy parked)",9900,19,taxd.co.uk,,,,
capital gains tax calculator uk,already-covered,"cgt-cluster (batch cgt1, deploy parked)",9900,20,taxd.co.uk,,,,
capital gains tax uk calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",9900,20,taxd.co.uk,,,,
cgt calculator uk,already-covered,"cgt-cluster (batch cgt1, deploy parked)",9900,18,ukpropertyaccountants.co.uk,,,,
iht calculator,excluded,off-niche:general-accountancy-calc,9900,31,optimiseaccountants.co.uk,,,,
income tax from salary calculator,excluded,off-niche:salary/employment,9900,29,taxd.co.uk,,,,
inheritance tax calculator,excluded,off-niche:general-accountancy-calc,9900,24,cruseburke.co.uk,,,,
lbtt calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",9900,25,ukpropertyaccountants.co.uk,3,0,332,0
salary and tax calculator,excluded,off-niche:salary/employment,9900,25,ukpropertyaccountants.co.uk,,,,
salary calculator tax,excluded,off-niche:salary/employment,9900,18,taxd.co.uk,,,,
salary income tax calculator,excluded,off-niche:salary/employment,9900,18,ukpropertyaccountants.co.uk,,,,
salary tax calculator,excluded,off-niche:salary/employment,9900,33,ukpropertyaccountants.co.uk,,,,
tax calculator on salary,excluded,off-niche:salary/employment,9900,28,ukpropertyaccountants.co.uk,,,,
the salary calculator,excluded,off-niche:salary/employment,9900,29,taxd.co.uk,,,,
uk capital gains tax calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",9900,16,taxd.co.uk,,,,
family allowance calculator,excluded,off-niche:salary/employment,8100,28,ukpropertyaccountants.co.uk,,,,
dividend tax calculator,excluded,off-niche:general-accountancy-calc,6600,47,cruseburke.co.uk,,,,
dividend yield,excluded,off-niche:general-accountancy-calc,6600,24,cruseburke.co.uk,,,,
home loan calculator rate,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",6600,52,uklandlordtax.co.uk,,,,
home loan rate calculators,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",6600,46,uklandlordtax.co.uk,,,,
home loans rates calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",6600,49,uklandlordtax.co.uk,,,,
home mortgage rates calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",6600,57,uklandlordtax.co.uk,,,,
housing loan monthly payment calculator,excluded,off-niche:salary/employment,6600,37,uklandlordtax.co.uk,,,,
housing loan rate calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",6600,41,uklandlordtax.co.uk,,,,
income calculator,excluded,off-niche:salary/employment,6600,43,taxd.co.uk,,,,
land registration fees calculator,deferred,"candidate-tool:hmlr-fee-calculator (6.6k, weak brand fit)",6600,63,uklandlordtax.co.uk,,,,
loan calculator for student loans,excluded,off-niche:general-accountancy-calc,6600,45,cruseburke.co.uk,,,,
monthly calculator salary,excluded,off-niche:salary/employment,6600,23,taxd.co.uk,,,,
monthly income calculator,excluded,off-niche:salary/employment,6600,51,taxd.co.uk,,,,
monthly pay calculator,excluded,off-niche:salary/employment,6600,29,taxd.co.uk,,,,
monthly salary calculator uk,excluded,off-niche:salary/employment,6600,40,taxd.co.uk,,,,
mortgage rate payment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",6600,63,ukpropertyaccountants.co.uk,,,,
national insurance calculator,excluded,off-niche:general-accountancy-calc,6600,26,ukpropertyaccountants.co.uk,,,,
rd tax calculator,assigned,calculators/rd-tax-credit-calculator,6600,62,taxd.co.uk,,,,
salary calculator month,excluded,off-niche:salary/employment,6600,53,taxd.co.uk,,,,
salary calculator monthly,excluded,off-niche:salary/employment,6600,46,taxd.co.uk,,,,
scotland take home pay calculator,excluded,off-niche:salary/employment,6600,10,taxd.co.uk,,,,
tax on dividends calculator,excluded,off-niche:general-accountancy-calc,6600,51,cruseburke.co.uk,,,,
taxes on dividends calculator,excluded,off-niche:general-accountancy-calc,6600,48,cruseburke.co.uk,,,,
wage calculator monthly,excluded,off-niche:salary/employment,6600,35,taxd.co.uk,,,,
corporation tax calculator,excluded,off-niche:general-accountancy-calc,5400,47,optimiseaccountants.co.uk,,,,
ltv calculator,assigned,calculators/buy-to-let-mortgage-calculator,5400,31,ukpropertyaccountants.co.uk,,,,
mortgage repayments calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",5400,61,ukpropertyaccountants.co.uk,,,,
salary calculator scotland,excluded,off-niche:salary/employment,5400,40,taxd.co.uk,,,,
scotland salary calculator,excluded,off-niche:salary/employment,5400,38,taxd.co.uk,,,,
uk salary and tax calculator,excluded,off-niche:salary/employment,5400,51,taxd.co.uk,,,,
uk salary tax calculator,excluded,off-niche:salary/employment,5400,33,taxd.co.uk,,,,
uk tax calculator salary,excluded,off-niche:salary/employment,5400,43,ukpropertyaccountants.co.uk,,,,
uk tax salary calculator,excluded,off-niche:salary/employment,5400,30,ukpropertyaccountants.co.uk,,,,
uk wage calculator tax,excluded,off-niche:salary/employment,5400,24,ukpropertyaccountants.co.uk,,,,
lbtt calculator scotland,already-covered,"sdlt-cluster (deployed 08-18, window armed)",4400,26,ukpropertyaccountants.co.uk,1,0,519,0
money saving expert tax calculator,excluded,brand-navigational,4400,42,taxd.co.uk,,,,
mortgage loan interest calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",4400,35,uklandlordtax.co.uk,,,,
mse tax calculator,excluded,brand-navigational,4400,37,taxd.co.uk,,,,
my salary calculator,excluded,off-niche:salary/employment,4400,36,taxd.co.uk,,,,
national insurance tax calculator,excluded,off-niche:general-accountancy-calc,4400,15,taxd.co.uk,,,,
paye calculator uk,excluded,off-niche:salary/employment,4400,43,taxd.co.uk,,,,
paye tax calculator uk,excluded,off-niche:salary/employment,4400,37,taxd.co.uk,,,,
scotland lbtt calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",4400,27,ukpropertyaccountants.co.uk,,,28,0
second home stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",4400,27,uklandlordtax.co.uk,,,,
stamp duty 2nd home calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",4400,37,optimiseaccountants.co.uk,,,,
stamp duty calculator 2nd home,already-covered,"sdlt-cluster (deployed 08-18, window armed)",4400,23,uklandlordtax.co.uk,,,,
stamp duty calculator wales,already-covered,"sdlt-cluster (deployed 08-18, window armed)",4400,15,uklandlordtax.co.uk,,,,
tax national insurance calculator,excluded,off-niche:general-accountancy-calc,4400,18,taxd.co.uk,,,,
tax rebate calculator,excluded,off-niche:refund/expat-employment,4400,4,taxd.co.uk,,,,
tax return calculator,excluded,off-niche:refund/expat-employment,4400,53,taxd.co.uk,,,,
wales stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",4400,14,uklandlordtax.co.uk,,,,
after tax calculator uk,excluded,off-niche:salary/employment,3600,24,taxd.co.uk,,,,
cgt calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",3600,15,ukpropertyaccountants.co.uk,,,,
commercial stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",3600,42,optimiseaccountants.co.uk,,,,
post tax calculator uk,excluded,off-niche:salary/employment,3600,28,taxd.co.uk,,,,
stamp duty calculator commercial,already-covered,"sdlt-cluster (deployed 08-18, window armed)",3600,25,uklandlordtax.co.uk,,,,
stamp duty calculator for commercial property,already-covered,"sdlt-cluster (deployed 08-18, window armed)",3600,32,optimiseaccountants.co.uk,,,,
str calculator,deferred,candidate-tool:fhl-str (post-FHL-abolition angle),3600,50,taxd.co.uk,,,,
take home tax calculator,excluded,off-niche:salary/employment,3600,31,taxd.co.uk,,,,
tax take home calculator,excluded,off-niche:salary/employment,3600,27,taxd.co.uk,,,,
uk after tax calculator,excluded,off-niche:salary/employment,3600,23,taxd.co.uk,,,,
vat calculator online,excluded,off-niche:vat-general,3600,25,cruseburke.co.uk,,,,
capital gain tax calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",2900,22,taxd.co.uk,,,,
capital gains calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",2900,15,ukpropertyaccountants.co.uk,,,,
earnings after tax calculator uk,excluded,off-niche:salary/employment,2900,43,taxd.co.uk,,,,
ebay fee calculator uk,excluded,off-niche:marketplace/crypto,2900,37,cruseburke.co.uk,,,,
ebay uk fee calculator,excluded,off-niche:marketplace/crypto,2900,43,cruseburke.co.uk,,,,
employee ni calculator,excluded,off-niche:general-accountancy-calc,2900,32,ukpropertyaccountants.co.uk,,,,
employer ni calculator,excluded,off-niche:general-accountancy-calc,2900,36,ukpropertyaccountants.co.uk,,,,
employer ni contribution calculator,excluded,off-niche:general-accountancy-calc,2900,44,ukpropertyaccountants.co.uk,,,,
employer nic calculator,excluded,off-niche:salary/employment,2900,18,ukpropertyaccountants.co.uk,,,,
employers ni calculator,excluded,off-niche:general-accountancy-calc,2900,39,ukpropertyaccountants.co.uk,,,,
hmrc income tax calculator,excluded,off-niche:salary/employment,2900,18,ukpropertyaccountants.co.uk,,,,
hmrc salary calculator,excluded,off-niche:salary/employment,2900,41,taxd.co.uk,,,,
hmrc sdlt calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",2900,35,uklandlordtax.co.uk,,,,
income yearly calculator,excluded,off-niche:long-tail (class-reviewed pass 3),2900,51,taxd.co.uk,,,,
inheritance tax calculator uk,excluded,off-niche:general-accountancy-calc,2900,42,optimiseaccountants.co.uk,,,,
loan ltv calculator,assigned,calculators/buy-to-let-mortgage-calculator,2900,18,ukpropertyaccountants.co.uk,,,,
loan to value calculator,assigned,calculators/buy-to-let-mortgage-calculator,2900,31,ukpropertyaccountants.co.uk,,,,
ltt calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",2900,19,uklandlordtax.co.uk,,,83,0
non domestic rates calculator,excluded,off-niche:local-tax-generic,2900,45,cruseburke.co.uk,,,,
pay as you earn tax calculator,excluded,off-niche:salary/employment,2900,73,taxd.co.uk,,,,
salary after tax calculator uk,excluded,off-niche:salary/employment,2900,29,taxd.co.uk,,,,
salary calculator hmrc,excluded,off-niche:salary/employment,2900,32,ukpropertyaccountants.co.uk,,,,
sdlt calculator hmrc,already-covered,"sdlt-cluster (deployed 08-18, window armed)",2900,25,uklandlordtax.co.uk,,,,
stamp duty calculator 2025,already-covered,"sdlt-cluster (deployed 08-18, window armed)",2900,20,uklandlordtax.co.uk,,,,
take home salary calculator uk,excluded,off-niche:salary/employment,2900,7,taxd.co.uk,,,,
tax and paye calculator,excluded,off-niche:salary/employment,2900,40,taxd.co.uk,,,,
uk ebay fee calculator,excluded,off-niche:marketplace/crypto,2900,37,cruseburke.co.uk,,,,
uk income after tax calculator,excluded,off-niche:salary/employment,2900,36,taxd.co.uk,,,,
uk salary after taxes calculator,excluded,off-niche:salary/employment,2900,31,taxd.co.uk,,,,
wages after tax calculator uk,excluded,off-niche:salary/employment,2900,37,taxd.co.uk,,,,
yield calculator,assigned,calculators/rental-yield-calculator,2900,46,landlordstudio.com,,,,
after income tax calculator,excluded,off-niche:salary/employment,2400,28,taxd.co.uk,,,,
bonus tax calculator,excluded,off-niche:salary/employment,2400,10,taxd.co.uk,,,,
calculate rent yield,assigned,calculators/rental-yield-calculator,2400,11,landlordstudio.com,,,,
calculate rental yields,assigned,calculators/rental-yield-calculator,2400,13,landlordstudio.com,,,,
calculator for after tax income,excluded,off-niche:salary/employment,2400,24,taxd.co.uk,,,,
gross and net calculator,excluded,off-niche:salary/employment,2400,78,taxd.co.uk,,,,
hmrc stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",2400,31,uklandlordtax.co.uk,,,,
hmrc tax paye calculator,excluded,off-niche:salary/employment,2400,51,ukpropertyaccountants.co.uk,,,,
income after tax calculator,excluded,off-niche:salary/employment,2400,40,taxd.co.uk,,,,
ni calculator,excluded,off-niche:salary/employment,2400,21,ukpropertyaccountants.co.uk,,,,
paycheck calculator,excluded,off-niche:salary/employment,2400,26,taxd.co.uk,,,,
payroll calculator,excluded,off-niche:salary/employment,2400,85,taxd.co.uk,,,,
pension calculator tax relief,excluded,off-niche:general-accountancy-calc,2400,43,cruseburke.co.uk,,,,
pension tax relief calculator,excluded,off-niche:general-accountancy-calc,2400,39,cruseburke.co.uk,,,,
rental yield calculator,assigned,calculators/rental-yield-calculator,2400,9,landlordstudio.com,78,0,,
tax calculator bonus payment,excluded,off-niche:salary/employment,2400,10,taxd.co.uk,,,,
tax calculator monthly,excluded,off-niche:general-tax-calc (no property qualifier),2400,36,taxd.co.uk,,,,
tax calculator on bonus payment,excluded,off-niche:salary/employment,2400,13,taxd.co.uk,,,,
tax on bonus calculator,excluded,off-niche:salary/employment,2400,9,taxd.co.uk,,,,
tax on bonus payments calculator,excluded,off-niche:salary/employment,2400,13,taxd.co.uk,,,,
tax relief pension calculator,excluded,off-niche:general-accountancy-calc,2400,43,cruseburke.co.uk,,,,
adjusted net income calculator,excluded,off-niche:salary/employment,1900,70,taxd.co.uk,,,,
btl mortgage calculator,assigned,calculators/buy-to-let-mortgage-calculator,1900,3,uklandlordtax.co.uk,25,0,,
capital gains calculator property,already-covered,"cgt-cluster (batch cgt1, deploy parked)",1900,11,provestor.co.uk,,,3,1
capital gains on property calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",1900,11,provestor.co.uk,,,4,0
capital gains tax calculator on property,already-covered,"cgt-cluster (batch cgt1, deploy parked)",1900,11,provestor.co.uk,,,3,0
cgt calculator for property,already-covered,"cgt-cluster (batch cgt1, deploy parked)",1900,9,provestor.co.uk,,,,
cgt calculator property,already-covered,"cgt-cluster (batch cgt1, deploy parked)",1900,11,provestor.co.uk,,,,
cgt on property calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",1900,16,provestor.co.uk,,,,
employed and self employed tax calculator uk,excluded,off-niche:general-accountancy-calc,1900,26,optimiseaccountants.co.uk,,,,
first time buyer stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",1900,40,ukpropertyaccountants.co.uk,28,0,,
gov stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",1900,19,uklandlordtax.co.uk,,,,
gov.uk stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",1900,35,uklandlordtax.co.uk,,,,
gross profit calculator,excluded,off-niche:salary/employment,1900,43,cruseburke.co.uk,,,,
interest only mortgage calculator uk,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",1900,28,uklandlordtax.co.uk,,,,
mortgage calculator interest only uk,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",1900,18,uklandlordtax.co.uk,,,,
mortgage calculator uk interest only,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",1900,17,uklandlordtax.co.uk,,,,
mortgage cost calculator uk,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",1900,73,ukpropertyaccountants.co.uk,,,,
mortgage monthly repayment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",1900,42,ukpropertyaccountants.co.uk,,,,
pension and tax calculator,excluded,off-niche:general-accountancy-calc,1900,59,taxd.co.uk,,,,
pension tax calculator hmrc,excluded,off-niche:general-accountancy-calc,1900,32,cruseburke.co.uk,,,,
property capital gains tax calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",1900,10,provestor.co.uk,,,,
property cgt calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",1900,10,provestor.co.uk,,,,
rebate tax calculator,excluded,off-niche:refund/expat-employment,1900,5,taxd.co.uk,,,,
salary sacrifice calculator car,excluded,off-niche:salary/employment,1900,61,taxd.co.uk,,,,
self assessment tax calculator,excluded,off-niche:general-accountancy-calc,1900,40,optimiseaccountants.co.uk,,,,
self employed tax calculator uk,excluded,off-niche:general-accountancy-calc,1900,38,optimiseaccountants.co.uk,,,,
self employment uk tax calculator,excluded,off-niche:general-accountancy-calc,1900,37,optimiseaccountants.co.uk,,,,
stamp duty calculator first time buyer,already-covered,"sdlt-cluster (deployed 08-18, window armed)",1900,44,ukpropertyaccountants.co.uk,25,0,,
stamp duty calculator gov,already-covered,"sdlt-cluster (deployed 08-18, window armed)",1900,36,uklandlordtax.co.uk,,,,
stamp duty tax calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",1900,7,uklandlordtax.co.uk,,,,
take home pay calculator 2025,excluded,off-niche:salary/employment,1900,27,taxd.co.uk,,,,
take-home pay calculator 2025,excluded,off-niche:salary/employment,1900,30,taxd.co.uk,,,,
tax and refund calculator,excluded,off-niche:refund/expat-employment,1900,16,taxd.co.uk,,,,
tax back calculator,excluded,off-niche:refund/expat-employment,1900,7,taxd.co.uk,,,,
tax refund calculator,excluded,off-niche:refund/expat-employment,1900,9,taxd.co.uk,,,,
tax salary calculator,excluded,off-niche:salary/employment,1900,30,taxd.co.uk,,,,
tax self assessment calculator,excluded,off-niche:general-accountancy-calc,1900,36,optimiseaccountants.co.uk,,,,
tax wage calculator,excluded,off-niche:salary/employment,1900,48,ukpropertyaccountants.co.uk,,,,
the salary calculator uk,excluded,off-niche:salary/employment,1900,19,taxd.co.uk,,,,
