cluster,site,page_type,tier,topic,primary_keyword,primary_volume,cluster_volume,n_keywords,secondary_keywords,reg_flag,guardrail,notes
landlord_commercial_finance,propertytaxpartners (rides authority),cluster,cluster,development-exit-finance,development exit finance,880,890,2,property development exit finance,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",
landlord_commercial_finance,propertytaxpartners (rides authority),cluster,cluster,refurbishment-and-brrr-finance,refurbishment finance,0,70,3,light refurbishment bridging loan; heavy refurbishment bridging loan; bridging and refurbishment finance,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",BRRR investors.
landlord_commercial_finance,propertytaxpartners (rides authority),cluster,cluster,is-bridging-loan-interest-tax-deductible,is bridging loan interest tax deductible,0,20,2,bridging loan tax implications; bridging loan to pay inheritance tax,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",TAX-INTERSECTION wedge = BUILD NOW (no promotion). Property's authority.
landlord_commercial_finance,propertytaxpartners (rides authority),calculator,cluster,development-finance-calculator,development finance calculator,210,0,0,,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",Tool.
landlord_commercial_finance,propertytaxpartners (rides authority),segment,segment,bridging-finance-for-land-purchase,bridging loan for land purchase,0,5810,32,bridging loan scotland; bridging finance scotland; bridging finance in scotland; bridging loan northern ireland; bridging finance northern ireland; land bridging loan; bridging finance on land; bridging finance for land; bridging loan to buy land; bridging loan for land; royal bank of scotland bridging loan; land bridging finance,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.","Use-case bridging page. IAR-gated conversion, educational build-now."
landlord_commercial_finance,propertytaxpartners (rides authority),segment,segment,bridging-finance-for-buy-to-let,bridging loan for buy to let,70,2890,23,bridging loan to buy a house; bridging loan to buy house; bridging loan buying house; buy to let bridging loan; bridging finance buy to let; bridging loan buy to let; bridging loan for buy-to-let; bridging loan for buy-to let; can i get a bridging loan to buy a house; can you get a bridging loan to buy a house; bridging loan to buy property,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.","Use-case bridging page. IAR-gated conversion, educational build-now."
landlord_commercial_finance,propertytaxpartners (rides authority),segment,segment,bridging-finance-for-commercial-property,bridging loan for commercial property,140,1940,13,commercial bridging loan; commercial bridging finance; bridging loan commercial property; commercial property bridging loan; bridging commercial loan; bridging loan commercial; commercial bridging loan lenders; commercial bridging loan calculator; commercial bridging loan rates; commercial bridging finance lenders; bridging finance commercial property,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.","Use-case bridging page. IAR-gated conversion, educational build-now."
landlord_commercial_finance,propertytaxpartners (rides authority),segment,segment,bridging-finance-for-auction-purchases,bridging loan for auction purchases,0,1900,14,bridging loan auction; bridging loan for auction; auction bridging loan; auction bridging finance; bridging loan for auction property; bridging loan for auction properties; bridging loan auction property; bridging finance auction property; bridging finance for auction property; bridging finance auction property near london; bridging finance for auction property near london; bridging finance for auction property near manchester,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.","Use-case bridging page. IAR-gated conversion, educational build-now."
landlord_commercial_finance,propertytaxpartners (rides authority),segment,segment,bridging-finance-for-refurbishment,bridging loan for refurbishment,10,320,6,refurbishment bridging loan; refurbishment bridging loan calculator; bridging finance for refurbishment; bridging finance refurbishment; refurbishment bridging finance,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.","Use-case bridging page. IAR-gated conversion, educational build-now."
landlord_commercial_finance,propertytaxpartners (rides authority),segment,segment,bridging-finance-for-below-market-value,bridging loan for below market value,0,320,1,below market value bridging finance,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.","Use-case bridging page. IAR-gated conversion, educational build-now."
landlord_commercial_finance,propertytaxpartners (rides authority),cluster,supporting,mezzanine-and-jv-finance,mezzanine finance,0,40,2,joint venture finance for property development; commercial real estate mezzanine finance,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",
landlord_commercial_finance,propertytaxpartners (rides authority),segment,segment,bridging-finance-for-chain-breaks,bridging loan for chain breaks,0,40,1,chain break bridging loan,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.","Use-case bridging page. IAR-gated conversion, educational build-now."
landlord_commercial_finance,propertytaxpartners (rides authority),segment,segment,bridging-finance-for-hmo-conversions,bridging loan for hmo conversions,0,30,1,hmo bridging finance,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.","Use-case bridging page. IAR-gated conversion, educational build-now."
landlord_commercial_finance,propertytaxpartners (rides authority),cluster,supporting,financing-a-property-development-tax,property development finance tax,0,0,0,,IAR-GATED,"Unregulated LENDING but s21 QUALIFYING-CREDIT trap: educational/tax-intersection content = build-now (no promotion); rates/lenders/quote/calculator-to-capture = IAR-gated (one broker principal, shareable with SPV-BTL). EXCLUDE regulated bridging (own home) + residential 2nd charge.",TAX-INTERSECTION. Build now.
