id	category	name	seed_core	mechanic_seed	status
99	energy	EV charger installers	ev charger installer	vat ev charge point installation	new
100	energy	Insulation contractors	insulation contractor	vat energy saving materials	new
101	energy	Air conditioning and refrigeration	air conditioning company	integral features capital allowances	new
102	energy	Gas engineers	gas engineer	gas engineer self employed tax	new
103	motor	MOT test centres and garages	garage	mot fee vat disbursement	new
104	motor	Mobile mechanics	mobile mechanic	mobile mechanic expenses	new
105	motor	Tyre and exhaust fitters	tyre fitter	tyre disposal charge vat	new
106	motor	Body shops and smart repair	body shop	insurance repair work accounts	new
107	motor	Car valeting and detailing	car valeting	car valeting business tax	new
108	motor	Breakdown and vehicle recovery	vehicle recovery	recovery truck capital allowances	new
109	motor	Car and van hire	car hire company	vat input tax block leased cars	new
110	motor	Chauffeurs and wedding cars	chauffeur	chauffeur self employed tax	new
111	motor	Coach and minibus operators	coach operator	zero rate passenger transport	new
112	motor	Removals and man with a van	removals company	removals storage vat	new
113	motor	Self storage operators	self storage	vat on self storage	new
114	motor	Taxi and private hire	taxi driver	taxi driver expenses	live
115	motor	Hauliers and HGV drivers	haulier	hgv driver meal allowance	live
116	motor	Driving instructors	driving instructor	driving instructor franchise fee	live
117	leisure	Golf and sports clubs	golf club	sports club vat exemption	mapped
118	leisure	Caravan parks and campsites	caravan park	vat on pitch fees	new
119	leisure	Glamping sites	glamping business	glamping pod capital allowances	new
120	leisure	Wedding venues	wedding venue	vat on room hire wedding	new
121	leisure	Soft play and trampoline parks	soft play centre	soft play fit out allowances	new
122	leisure	Escape rooms	escape room	escape room business tax	new
123	leisure	Bowling and amusement venues	bowling alley	machine games duty	caution
124	leisure	Nightclubs and late venues	nightclub	nightclub door staff status	new
125	leisure	Cinemas and theatres	theatre	theatre tax relief	new
126	leisure	Dance and stage schools	dance school	private tuition vat exemption	new
127	leisure	Martial arts clubs	martial arts club	martial arts club accounts	new
128	leisure	Swim schools	swim school	vat on swimming lessons	new
129	leisure	Riding schools and stables	riding school	vat on livery	new
130	leisure	Marinas and boat hire	marina	vat on moorings	new
131	leisure	Bouncy castle and equipment hire	bouncy castle hire	hire business seasonal accounts	new
132	leisure	DJs entertainers and mobile bars	dj	dj self employed tax	new
133	leisure	Event caterers	event caterer	event catering accounts	mapped
134	leisure	Hotels and guesthouses	hotel	vat on hotel accommodation	live
135	professional	Nannies and household staff	nanny	nanny paye household employer	new
136	professional	Expert witnesses	expert witness	expert witness fees tax	new
137	professional	Bookkeepers	bookkeeper	bookkeeper aml supervision	new
138	professional	Translators and interpreters	translator	place of supply translation vat	new
139	professional	Copywriters and editors	copywriter	freelance copywriter tax	new
140	professional	Graphic and web designers	web designer	digital services place of supply	new
141	professional	Videographers	videographer	videographer equipment allowances	new
142	professional	Drone pilots and surveyors	drone pilot	drone business tax	new
143	professional	Training providers	training provider	vat education exemption training	new
144	professional	Business and life coaches	business coach	vat on coaching services	new
145	professional	HR consultants	hr consultant	hr consultant ir35	new
146	professional	Health and safety consultants	health and safety consultant	consultant travel expenses	new
147	professional	Private investigators	private investigator	private investigator expenses	new
148	professional	Wedding planners and celebrants	wedding planner	agent principal supplier bookings	new
149	professional	Domestic cleaners and housekeepers	domestic cleaner	self employed cleaner tax	new
150	professional	Dog walkers and pet sitters	dog walker	dog walker trading allowance	new
151	professional	Virtual assistants	virtual assistant	virtual assistant tax	mapped
152	professional	Tutors and private teachers	tutor	private tuition exemption vat	mapped
153	professional	Marketing and recruitment agencies	marketing agency	agency vat agent principal	live
154	professional	Security firms	security company	sia licence employment status	live
155	rural	Farm diversification	farm diversification	farm diversification apr	new
156	rural	Equestrian businesses	equestrian business	horse business trade hmrc	new
157	rural	Kennels and catteries	kennels	boarding kennels accounts	new
158	rural	Dog groomers	dog groomer	dog grooming business tax	new
159	rural	Forestry and woodland	forestry business	commercial woodland tax	new
160	rural	Fisheries and fish farms	fish farm	fish farm averaging tax	new
161	rural	Game and shoot businesses	shoot	vat on shooting rights	new
162	rural	Farm shops	farm shop	farm shop vat	new
163	rural	Farmers	farmer	farmers averaging	mapped
164	rural	Landed and rural estates	landed estate	estate tax structure	live
165	regulated	Mortgage brokers	mortgage broker	mortgage broker accounts	caution
166	regulated	Insurance brokers	insurance broker	insurance premium tax broker	caution
167	regulated	Credit brokers	credit broker	credit broker accounts	caution
168	regulated	Pawnbrokers	pawnbroker	pawnbroker vat margin	caution
169	regulated	Debt advice firms	debt advice company	debt management company accounts	caution
170	regulated	Claims management firms	claims management company	claims management accounts	caution
171	regulated	Immigration advisers	immigration adviser	immigration adviser accounts	caution
172	regulated	Will writers and estate planners	will writer	will writing business tax	caution
173	regulated	Betting shops and arcades	betting shop	gaming duty betting shop	caution
174	regulated	CBD and cannabis clinics	cbd business	cbd business vat	caution
175	regulated	Adult entertainment venues	adult entertainment venue	licensed venue employment status	caution
176	regulated	Financial advisers	financial adviser	ifa client money audit	caution
