id,name,category,verdict,pages,host,intents,long_questions,vol_total,vol_hire,cpc_head,openness,own_pages,rival_pages,rival_domains,status,flag
38,Auction houses,retail,ABSORB,0,Property,2,0,30,0,,0.5,1,4,1,new,
46,Pet shops,retail,PAGE,1,generalist,1,0,30,0,,0.56,0,2,2,new,
173,Betting shops and arcades,regulated,PAGE,1,generalist,1,0,30,0,,0.26,0,1,1,caution,regulatory review required first
4,Cafes and coffee shops,food,ABSORB,0,generalist,2,0,20,10,2.63,0.21,3,7,5,new,
71,Hairdressers and barbers,beauty,ABSORB,0,generalist,2,0,20,0,,0.44,1,15,9,live,
73,Personal trainers,beauty,ABSORB,0,generalist,2,0,20,10,,0.11,1,12,10,live,
74,Gyms and studios,beauty,ABSORB,0,generalist,2,0,20,10,,0.17,1,8,5,live,
117,Golf and sports clubs,leisure,PAGE,1,generalist,2,0,20,0,,0.39,0,4,3,mapped,
118,Caravan parks and campsites,leisure,PAGE,1,generalist,2,0,20,0,,0.33,0,7,2,new,
151,Virtual assistants,professional,ABSORB,0,generalist,2,0,20,10,,0.25,1,5,4,mapped,
16,Chocolatiers and confectioners,food,PAGE,1,generalist,1,0,20,0,,0.39,0,1,1,new,
113,Self storage operators,motor,ABSORB,0,Property,1,0,20,0,,0.33,1,22,4,new,
2,Bakers,food,PAGE,1,generalist,1,0,10,0,,0.18,0,5,1,new,
9,Fishmongers,food,PAGE,1,generalist,1,0,10,0,,0.56,0,2,2,new,
13,Vineyards and cider makers,food,PAGE,1,generalist,1,0,10,0,,0.16,0,0,0,new,
14,Street food and food trucks,food,PAGE,1,generalist,1,0,10,0,,0.28,0,2,2,new,
17,Health food shops,food,PAGE,1,generalist,1,0,10,0,,0.37,0,1,1,new,
36,Charity shops,retail,PAGE,1,generalist,1,0,10,0,,0.21,0,4,3,new,
62,Opticians,health,ABSORB,0,Medical,1,0,10,10,28.15,0.26,1,13,7,live,
67,Nail salons,beauty,PAGE,1,generalist,1,0,10,0,,0.33,0,0,0,new,
68,Tanning salons,beauty,PAGE,1,generalist,1,0,10,0,,0.39,0,1,1,new,
78,Carpenters and joiners,trades,PAGE,1,construction-cis,1,0,10,0,,0.35,0,9,6,new,
96,CIS subcontractors,trades,ABSORB,0,construction-cis,1,0,10,0,,0.29,21,54,5,live,
103,MOT test centres and garages,motor,PAGE,1,generalist,1,0,10,0,,0.44,0,10,5,new,
124,Nightclubs and late venues,leisure,PAGE,1,generalist,1,0,10,0,,0.26,0,1,1,new,
126,Dance and stage schools,leisure,PAGE,1,generalist,1,0,10,0,,0.33,0,1,1,new,
128,Swim schools,leisure,PAGE,1,generalist,1,0,10,0,,0.5,0,0,0,new,
129,Riding schools and stables,leisure,PAGE,1,generalist,1,0,10,0,,0.39,0,0,0,new,
130,Marinas and boat hire,leisure,PAGE,1,generalist,1,0,10,0,,0.5,0,1,1,new,
136,Expert witnesses,professional,ABSORB,0,Medical,1,0,10,10,10.3,0.28,1,21,4,new,
137,Bookkeepers,professional,ABSORB,0,generalist,1,0,10,10,7.76,0.24,10,22,6,new,
144,Business and life coaches,professional,PAGE,1,generalist,1,0,10,0,,0.28,0,14,6,new,
146,Health and safety consultants,professional,PAGE,1,generalist,1,0,10,0,,0.33,0,4,3,new,
149,Domestic cleaners and housekeepers,professional,PAGE,1,generalist,1,0,10,0,7.07,0.18,0,1,1,new,
150,Dog walkers and pet sitters,professional,PAGE,1,generalist,1,0,10,0,,0.29,0,4,4,new,
152,Tutors and private teachers,professional,ABSORB,0,generalist,1,0,10,0,1.2,0.11,1,120,7,mapped,
164,Landed and rural estates,rural,PAGE,1,generalist,1,0,10,10,,0.11,0,5,4,live,
1,Butchers,food,GROUP,0,generalist,0,0,0,0,,0.33,0,5,4,new,
7,Delicatessens and farm shops,food,PAGE,1,generalist,0,0,0,0,,0.56,0,1,1,new,"no measured volume, but page one is wide open"
8,Greengrocers,food,GROUP,0,generalist,0,0,0,0,,0.33,0,2,2,new,
10,Off licences and wine merchants,food,GROUP,0,generalist,0,0,0,0,,0.28,0,1,1,new,
12,Distilleries and gin makers,food,GROUP,0,generalist,0,0,0,0,,0.33,0,4,2,new,
15,Cake makers and home bakers,food,GROUP,0,generalist,0,0,0,0,,0.41,0,2,2,mapped,
18,Convenience stores,food,ABSORB,0,generalist,0,0,0,0,,0.17,1,2,2,live,
22,Launderettes,services,GROUP,0,generalist,0,0,0,0,,0.42,0,2,1,new,
23,Dry cleaners,services,GROUP,0,generalist,0,0,0,0,,0.33,0,2,1,new,
24,Newsagents,services,GROUP,0,generalist,0,0,0,0,,0.33,0,1,1,new,
26,Print shops and copy shops,services,GROUP,0,generalist,0,0,0,0,,0.28,0,7,1,new,
27,Sign makers,services,GROUP,0,generalist,0,0,0,0,,0.44,0,1,1,new,
29,Shoe repair and key cutting,services,GROUP,0,generalist,0,0,0,0,,0.17,0,0,0,new,
30,Locksmiths,services,GROUP,0,generalist,0,0,0,0,,0.39,0,6,5,new,
31,Picture framers,services,GROUP,0,generalist,0,0,0,0,,0.22,0,1,1,new,
32,Phone and computer repair,services,GROUP,0,generalist,0,0,0,0,,0.39,0,0,0,new,
33,Funeral directors,services,GROUP,0,generalist,0,0,0,0,,0.39,0,6,2,new,
34,Monumental masons,services,GROUP,0,generalist,0,0,0,0,,0.47,0,1,1,new,
35,Cleaning businesses,services,ABSORB,0,generalist,0,0,0,0,,0.12,2,25,6,live,
37,Antique dealers,retail,PAGE,1,generalist,0,0,0,0,,0.56,0,2,1,new,"no measured volume, but page one is wide open"
40,Market traders,retail,GROUP,0,generalist,0,0,0,0,,0.11,0,5,4,new,
42,Bookshops,retail,GROUP,0,generalist,0,0,0,0,,0.44,0,1,1,new,
43,Bike shops,retail,GROUP,0,generalist,0,0,0,0,,0.22,0,1,1,new,
44,Florists,retail,PAGE,1,generalist,0,0,0,0,,0.67,0,5,3,new,"no measured volume, but page one is wide open"
45,Garden centres,retail,PAGE,1,generalist,0,0,0,0,,0.56,0,2,1,new,"no measured volume, but page one is wide open"
47,Furniture and flooring showrooms,retail,GROUP,0,generalist,0,0,0,0,,0.44,0,3,1,new,
48,Kitchen and bathroom showrooms,retail,GROUP,0,generalist,0,0,0,0,,0.28,0,3,1,new,
49,Toy gift and card shops,retail,GROUP,0,generalist,0,0,0,0,,0.33,0,1,1,new,
50,Jewellers,retail,ABSORB,0,generalist,0,0,0,0,,0.39,1,1,1,live,
52,Aesthetics and cosmetic clinics,health,GROUP,0,generalist,0,0,0,0,,0.16,0,3,1,new,
53,Osteopaths,health,GROUP,0,generalist,0,0,0,0,,0.22,0,6,5,new,
54,Chiropractors,health,GROUP,0,generalist,0,0,0,0,,0.28,0,5,5,new,
55,Physiotherapists,health,ABSORB,0,Medical,0,0,0,0,,0.11,1,10,7,new,
56,Chiropodists and podiatrists,health,GROUP,0,generalist,0,0,0,0,,0.32,0,5,4,new,
57,Acupuncturists and herbalists,health,GROUP,0,generalist,0,0,0,0,,0.33,0,3,3,new,
58,Massage and holistic therapists,health,GROUP,0,generalist,0,0,0,0,,0.29,0,4,3,new,
59,Counsellors and psychotherapists,health,GROUP,0,generalist,0,0,0,0,,0.11,0,7,4,mapped,
60,Audiologists and hearing aid dispensers,health,GROUP,0,generalist,0,0,0,0,,0.44,0,1,1,new,
61,Private GP and walk in clinics,health,ABSORB,0,Medical,0,0,0,0,,0.22,1,1,1,live,
65,Vets,health,ABSORB,0,generalist,0,0,0,0,,0.11,2,14,2,mapped,
66,Tattoo studios,beauty,GROUP,0,generalist,0,0,0,0,,0.42,0,0,0,new,
70,Mobile hairdressers,beauty,GROUP,0,generalist,0,0,0,0,,0.22,0,1,1,new,
72,Beauty therapists,beauty,ABSORB,0,generalist,0,0,0,0,,0.33,1,3,2,live,
75,Roofers,trades,GROUP,0,construction-cis,0,0,0,0,,0.37,0,8,7,new,
76,Plasterers,trades,GROUP,0,construction-cis,0,0,0,0,,0.33,0,7,7,new,
77,Tilers,trades,GROUP,0,construction-cis,0,0,0,0,,0.28,0,8,6,new,
80,Scaffolders,trades,GROUP,0,construction-cis,0,0,0,0,,0.28,0,7,6,new,
81,Glaziers and window fitters,trades,GROUP,0,construction-cis,0,0,0,0,,0.33,0,3,3,new,
82,Flooring fitters,trades,GROUP,0,construction-cis,0,0,0,0,,0.39,0,2,2,new,
83,Kitchen and bathroom fitters,trades,GROUP,0,construction-cis,0,0,0,0,,0.37,0,6,5,new,
84,Damp proofing and remedial,trades,GROUP,0,construction-cis,0,0,0,0,,0.44,0,4,3,new,
85,Groundworkers,trades,GROUP,0,construction-cis,0,0,0,0,,0.42,0,5,5,new,
86,Demolition contractors,trades,GROUP,0,construction-cis,0,0,0,0,,0.05,0,3,3,new,
87,Asbestos removal,trades,GROUP,0,construction-cis,0,0,0,0,,0.33,0,4,2,new,
88,Scrap metal dealers,trades,GROUP,0,construction-cis,0,0,0,0,,0.42,0,0,0,new,
89,Skip hire and waste,trades,GROUP,0,construction-cis,0,0,0,0,,0.4,0,2,2,new,
90,Plant and tool hire,trades,ABSORB,0,construction-cis,0,0,0,0,,0.56,1,5,4,new,
91,Tree surgeons,trades,GROUP,0,construction-cis,0,0,0,0,,0.33,0,7,5,new,
92,Fencing and driveways,trades,GROUP,0,construction-cis,0,0,0,0,,0.39,0,5,4,new,
93,Pest control,trades,GROUP,0,construction-cis,0,0,0,0,,0.11,0,6,5,new,
94,Chimney sweeps,trades,GROUP,0,construction-cis,0,0,0,0,,0.32,0,3,3,new,
97,Solar PV installers,energy,GROUP,0,generalist,0,0,0,0,,0.22,0,3,3,new,
98,Heat pump installers,energy,GROUP,0,generalist,0,0,0,0,,0.47,0,0,0,new,
99,EV charger installers,energy,GROUP,0,generalist,0,0,0,0,,0.39,0,1,1,new,
102,Gas engineers,energy,GROUP,0,generalist,0,0,0,0,,0.18,0,4,4,new,
104,Mobile mechanics,motor,GROUP,0,generalist,0,0,0,0,,0.25,0,5,4,new,
105,Tyre and exhaust fitters,motor,GROUP,0,generalist,0,0,0,0,,0.33,0,4,2,new,
106,Body shops and smart repair,motor,GROUP,0,generalist,0,0,0,0,,0.28,0,0,0,new,
107,Car valeting and detailing,motor,PAGE,1,generalist,0,0,0,0,,0.67,0,2,2,new,"no measured volume, but page one is wide open"
108,Breakdown and vehicle recovery,motor,GROUP,0,generalist,0,0,0,0,,0.22,0,1,1,new,
109,Car and van hire,motor,GROUP,0,generalist,0,0,0,0,,0.47,0,4,3,new,
110,Chauffeurs and wedding cars,motor,GROUP,0,generalist,0,0,0,0,,0.17,0,5,4,new,
111,Coach and minibus operators,motor,PAGE,1,generalist,0,0,0,0,,0.61,0,2,1,new,"no measured volume, but page one is wide open"
112,Removals and man with a van,motor,GROUP,0,generalist,0,0,0,0,,0.37,0,18,7,new,
119,Glamping sites,leisure,GROUP,0,generalist,0,0,0,0,,0.39,0,1,1,new,
120,Wedding venues,leisure,GROUP,0,generalist,0,0,0,0,,0.3,0,2,1,new,
121,Soft play and trampoline parks,leisure,GROUP,0,generalist,0,0,0,0,,0.22,0,1,1,new,
122,Escape rooms,leisure,GROUP,0,generalist,0,0,0,0,,0.22,0,3,3,new,
127,Martial arts clubs,leisure,GROUP,0,generalist,0,0,0,0,,0.17,0,2,1,new,
131,Bouncy castle and equipment hire,leisure,GROUP,0,generalist,0,0,0,0,,0.17,0,1,1,new,
133,Event caterers,leisure,GROUP,0,generalist,0,0,0,0,,0.26,0,1,1,mapped,
138,Translators and interpreters,professional,GROUP,0,generalist,0,0,0,0,,0.33,0,4,4,new,
139,Copywriters and editors,professional,ABSORB,0,digital-agency,0,0,0,0,,0.33,2,6,3,new,
140,Graphic and web designers,professional,GROUP,0,generalist,0,0,0,0,,0.28,0,1,1,new,
141,Videographers,professional,GROUP,0,generalist,0,0,0,0,,0.24,0,6,4,new,
142,Drone pilots and surveyors,professional,GROUP,0,generalist,0,0,0,0,,0.28,0,0,0,new,
143,Training providers,professional,GROUP,0,generalist,0,0,0,0,,0.44,0,13,2,new,
145,HR consultants,professional,GROUP,0,generalist,0,0,0,0,,0.17,0,1,1,new,
147,Private investigators,professional,GROUP,0,generalist,0,0,0,0,,0.17,0,2,1,new,
148,Wedding planners and celebrants,professional,GROUP,0,generalist,0,0,0,0,,0.32,0,5,5,new,
154,Security firms,professional,ABSORB,0,generalist,0,0,0,0,,0.21,3,146,14,live,
155,Farm diversification,rural,GROUP,0,generalist,0,0,0,0,,0.11,0,2,1,new,
156,Equestrian businesses,rural,GROUP,0,generalist,0,0,0,0,,0.26,0,11,5,new,
157,Kennels and catteries,rural,GROUP,0,generalist,0,0,0,0,,0.28,0,1,1,new,
158,Dog groomers,rural,GROUP,0,generalist,0,0,0,0,,0.11,0,5,3,new,
159,Forestry and woodland,rural,GROUP,0,generalist,0,0,0,0,,0.28,0,4,4,new,
160,Fisheries and fish farms,rural,GROUP,0,generalist,0,0,0,0,,0.4,0,0,0,new,
161,Game and shoot businesses,rural,PAGE,1,generalist,0,0,0,0,,0.61,0,0,0,new,"no measured volume, but page one is wide open"
162,Farm shops,rural,GROUP,0,generalist,0,0,0,0,,0.17,0,3,3,new,
165,Mortgage brokers,regulated,GROUP,0,generalist,0,0,0,0,,0.11,0,7,6,caution,regulatory review required first
166,Insurance brokers,regulated,GROUP,0,generalist,0,0,0,0,,0.28,0,1,1,caution,regulatory review required first
167,Credit brokers,regulated,GROUP,0,generalist,0,0,0,0,,0.11,0,0,0,caution,regulatory review required first
168,Pawnbrokers,regulated,PAGE,1,generalist,0,0,0,0,,0.56,0,0,0,caution,"no measured volume, but page one is wide open; regulatory review required first"
169,Debt advice firms,regulated,GROUP,0,generalist,0,0,0,0,,0.22,0,0,0,caution,regulatory review required first
170,Claims management firms,regulated,GROUP,0,generalist,0,0,0,0,,0.11,0,1,1,caution,regulatory review required first
171,Immigration advisers,regulated,GROUP,0,generalist,0,0,0,0,,0.22,0,0,0,caution,regulatory review required first
172,Will writers and estate planners,regulated,ABSORB,0,wills-probate,0,0,0,0,,0.25,1,2,2,caution,regulatory review required first
174,CBD and cannabis clinics,regulated,GROUP,0,generalist,0,0,0,0,,0.33,0,1,1,caution,regulatory review required first
175,Adult entertainment venues,regulated,GROUP,0,generalist,0,0,0,0,,0.39,0,0,0,caution,regulatory review required first
176,Financial advisers,regulated,ABSORB,0,Property,0,0,0,0,,0.22,1,11,6,caution,regulatory review required first
