Type,Year,Qtr,CAFCASS or MoJ,Count,,,,
Private Law cases,2022,1,MoJ,"12,349",,,,
Private Law cases,2022,2,MoJ,"12,191",,,,
Private Law cases,2022,3,MoJ,"12,700",,,,
Private Law cases,2022,4,MoJ,"11,417",,,,
Private Law cases,2023,1,MoJ,"12,342",,,,
Private Law cases,2023,2,MoJ,"11,644",,,,
Private Law cases,2023,3,MoJ,"11,980",,,,
Private Law cases,2023,4,MoJ,"11,297",,,,
Private Law cases,2024,1,MoJ,"12,472",,,,
Private Law cases,2024,2,MoJ,11526,,,,
Private Law cases,2024,3,MoJ,12190,,,,
Private Law cases,2024,4,MoJ,11427,,,,
Private Law cases,2025,1,MoJ,12416,,,,
Private Law cases,2025,2,MoJ,12307,,,,
Private Law cases,2025,3,MoJ,13566,,,,
Private Law cases,2025,4,MoJ,13077,,,,
