Case_type,Region,Representation,Quarter,Number_of_disposals,Mean_duration,Median_duration
Children Act (Public),Wales,2 Applicant Only,2012-Q1,22,19.000000,8.500000000
Children Act (Public),Wales,3 Respondent Only,2012-Q1,10,53.100000,54.300000000
Children Act (Public),Wales,4 Neither,2012-Q1,4,17.900000,0.400000000
Children Act (Public),Wales,All types,2012-Q1,203,46.500000,45.300000000
Children Act (Public),England & Wales,1 Both,2012-Q2,2759,48.400000,44.000000000
Children Act (Public),England & Wales,2 Applicant Only,2012-Q2,498,17.900000,9.500000000
Children Act (Public),England & Wales,3 Respondent Only,2012-Q2,62,54.700000,48.600000000
Children Act (Public),England & Wales,4 Neither,2012-Q2,20,17.700000,11.100000000
Children Act (Public),England & Wales,All types,2012-Q2,3339,43.800000,40.300000000
Children Act (Public),London,1 Both,2012-Q2,342,53.100000,51.800000000
Children Act (Public),London,2 Applicant Only,2012-Q2,74,19.300000,6.000000000
Children Act (Public),London,3 Respondent Only,2012-Q2,1,6.100000,6.100000000
Children Act (Public),London,4 Neither,2012-Q2,3,20.600000,21.600000000
Children Act (Public),London,All types,2012-Q2,420,46.800000,46.900000000
Children Act (Public),Midlands,1 Both,2012-Q2,526,44.500000,40.000000000
Children Act (Public),Midlands,2 Applicant Only,2012-Q2,87,13.800000,9.400000000
Children Act (Public),Midlands,3 Respondent Only,2012-Q2,10,39.800000,35.300000000
Children Act (Public),Midlands,All types,2012-Q2,623,40.100000,36.000000000
Children Act (Public),North East,1 Both,2012-Q2,570,43.800000,40.000000000
Children Act (Public),North East,2 Applicant Only,2012-Q2,93,18.700000,10.400000000
Children Act (Public),North East,3 Respondent Only,2012-Q2,7,31.100000,29.700000000
Children Act (Public),North East,4 Neither,2012-Q2,2,44.400000,44.400000000
Children Act (Public),North East,All types,2012-Q2,672,40.200000,37.200000000
Children Act (Public),North West,1 Both,2012-Q2,469,54.100000,48.300000000
Children Act (Public),North West,2 Applicant Only,2012-Q2,75,22.200000,14.600000000
Children Act (Public),North West,3 Respondent Only,2012-Q2,5,104.900000,104.700000000
Children Act (Public),North West,4 Neither,2012-Q2,1,12.400000,12.400000000
Children Act (Public),North West,All types,2012-Q2,550,50.100000,45.600000000
Children Act (Public),South East,1 Both,2012-Q2,405,49.400000,44.100000000
Children Act (Public),South East,2 Applicant Only,2012-Q2,82,21.500000,13.100000000
Children Act (Public),South East,3 Respondent Only,2012-Q2,26,60.300000,50.500000000
Children Act (Public),South East,4 Neither,2012-Q2,8,14.500000,4.400000000
Children Act (Public),South East,All types,2012-Q2,521,45.000000,41.300000000
Children Act (Public),South West,1 Both,2012-Q2,260,45.800000,42.800000000
Children Act (Public),South West,2 Applicant Only,2012-Q2,61,10.700000,2.000000000
Children Act (Public),South West,3 Respondent Only,2012-Q2,5,56.300000,59.000000000
Children Act (Public),South West,4 Neither,2012-Q2,4,15.900000,10.700000000
Children Act (Public),South West,All types,2012-Q2,330,39.100000,39.000000000
Children Act (Public),Wales,1 Both,2012-Q2,187,52.500000,45.600000000
Children Act (Public),Wales,2 Applicant Only,2012-Q2,26,17.700000,8.900000000
Children Act (Public),Wales,3 Respondent Only,2012-Q2,8,49.700000,52.500000000
Children Act (Public),Wales,4 Neither,2012-Q2,2,5.800000,5.800000000
Children Act (Public),Wales,All types,2012-Q2,223,47.900000,43.000000000
Children Act (Public),England & Wales,1 Both,2012-Q3,3119,45.600000,40.400000000
Children Act (Public),England & Wales,2 Applicant Only,2012-Q3,565,14.700000,7.300000000
Children Act (Public),England & Wales,3 Respondent Only,2012-Q3,82,52.000000,47.000000000
Children Act (Public),England & Wales,4 Neither,2012-Q3,26,11.000000,4.800000000
Children Act (Public),England & Wales,All types,2012-Q3,3792,40.900000,36.700000000
Children Act (Public),London,1 Both,2012-Q3,358,49.800000,45.200000000
Children Act (Public),London,2 Applicant Only,2012-Q3,95,13.200000,5.900000000
Children Act (Public),London,3 Respondent Only,2012-Q3,6,23.500000,22.200000000
Children Act (Public),London,4 Neither,2012-Q3,4,4.100000,3.800000000
Children Act (Public),London,All types,2012-Q3,463,41.600000,39.100000000
Children Act (Public),Midlands,1 Both,2012-Q3,611,40.500000,35.400000000
Children Act (Public),Midlands,2 Applicant Only,2012-Q3,94,10.200000,5.600000000
Children Act (Public),Midlands,3 Respondent Only,2012-Q3,5,45.600000,43.400000000
Children Act (Public),Midlands,4 Neither,2012-Q3,5,13.200000,11.300000000
Children Act (Public),Midlands,All types,2012-Q3,715,36.400000,31.600000000
Children Act (Public),North East,1 Both,2012-Q3,633,42.800000,38.600000000
Children Act (Public),North East,2 Applicant Only,2012-Q3,107,14.100000,8.100000000
Children Act (Public),North East,3 Respondent Only,2012-Q3,5,40.000000,25.400000000
Children Act (Public),North East,4 Neither,2012-Q3,5,10.900000,10.100000000
Children Act (Public),North East,All types,2012-Q3,750,38.500000,35.100000000
Children Act (Public),North West,1 Both,2012-Q3,506,46.500000,40.700000000
Children Act (Public),North West,2 Applicant Only,2012-Q3,100,16.400000,11.100000000
Children Act (Public),North West,3 Respondent Only,2012-Q3,4,50.200000,41.300000000
Children Act (Public),North West,4 Neither,2012-Q3,1,4.600000,4.600000000
Children Act (Public),North West,All types,2012-Q3,611,41.500000,37.300000000
Children Act (Public),South East,1 Both,2012-Q3,485,49.700000,43.300000000
Children Act (Public),South East,2 Applicant Only,2012-Q3,87,14.600000,7.300000000
Children Act (Public),South East,3 Respondent Only,2012-Q3,31,57.300000,55.300000000
Children Act (Public),South East,4 Neither,2012-Q3,5,15.400000,11.300000000
Children Act (Public),South East,All types,2012-Q3,608,44.800000,40.300000000
Children Act (Public),South West,1 Both,2012-Q3,312,43.200000,38.800000000
Children Act (Public),South West,2 Applicant Only,2012-Q3,49,13.700000,2.600000000
Children Act (Public),South West,3 Respondent Only,2012-Q3,11,44.000000,45.400000000
Children Act (Public),South West,4 Neither,2012-Q3,3,20.100000,0.700000000
Children Act (Public),South West,All types,2012-Q3,375,39.200000,34.900000000
Children Act (Public),Wales,1 Both,2012-Q3,214,52.700000,47.100000000
Children Act (Public),Wales,2 Applicant Only,2012-Q3,33,30.700000,13.900000000
Children Act (Public),Wales,3 Respondent Only,2012-Q3,20,61.600000,58.900000000
Children Act (Public),Wales,4 Neither,2012-Q3,3,2.000000,2.000000000
Children Act (Public),Wales,All types,2012-Q3,270,50.100000,44.100000000
Children Act (Public),England & Wales,1 Both,2012-Q4,3331,43.300000,38.600000000
Children Act (Public),England & Wales,2 Applicant Only,2012-Q4,614,14.800000,6.000000000
Children Act (Public),England & Wales,3 Respondent Only,2012-Q4,68,49.000000,48.000000000
Children Act (Public),England & Wales,4 Neither,2012-Q4,22,19.900000,10.900000000
Children Act (Public),England & Wales,All types,2012-Q4,4035,38.900000,35.300000000
Children Act (Public),London,1 Both,2012-Q4,403,49.700000,45.100000000
Children Act (Public),London,2 Applicant Only,2012-Q4,107,15.700000,2.300000000
Children Act (Public),London,3 Respondent Only,2012-Q4,6,20.300000,12.200000000
Children Act (Public),London,4 Neither,2012-Q4,2,8.300000,8.300000000
Children Act (Public),London,All types,2012-Q4,518,42.200000,41.000000000
Children Act (Public),Midlands,1 Both,2012-Q4,603,38.600000,32.700000000
Children Act (Public),Midlands,2 Applicant Only,2012-Q4,80,15.400000,4.500000000
Children Act (Public),Midlands,3 Respondent Only,2012-Q4,6,23.400000,22.700000000
Children Act (Public),Midlands,4 Neither,2012-Q4,2,11.600000,11.600000000
Children Act (Public),Midlands,All types,2012-Q4,691,35.700000,30.000000000
Children Act (Public),North East,1 Both,2012-Q4,692,39.700000,36.000000000
Children Act (Public),North East,2 Applicant Only,2012-Q4,110,12.000000,5.500000000
Children Act (Public),North East,3 Respondent Only,2012-Q4,9,34.500000,27.700000000
Children Act (Public),North East,4 Neither,2012-Q4,6,17.300000,2.000000000
Children Act (Public),North East,All types,2012-Q4,817,35.800000,31.300000000
Children Act (Public),North West,1 Both,2012-Q4,498,43.500000,37.800000000
Children Act (Public),North West,2 Applicant Only,2012-Q4,120,12.700000,6.400000000
Children Act (Public),North West,3 Respondent Only,2012-Q4,2,80.900000,80.900000000
Children Act (Public),North West,4 Neither,2012-Q4,3,25.700000,36.900000000
Children Act (Public),North West,All types,2012-Q4,623,37.600000,33.300000000
Children Act (Public),South East,1 Both,2012-Q4,574,47.400000,44.300000000
Children Act (Public),South East,2 Applicant Only,2012-Q4,91,18.500000,9.600000000
Children Act (Public),South East,3 Respondent Only,2012-Q4,20,70.500000,68.300000000
Children Act (Public),South East,4 Neither,2012-Q4,6,31.200000,33.700000000
Children Act (Public),South East,All types,2012-Q4,691,44.100000,42.300000000
Children Act (Public),South West,1 Both,2012-Q4,333,43.600000,39.400000000
Children Act (Public),South West,2 Applicant Only,2012-Q4,68,11.300000,2.400000000
Children Act (Public),South West,3 Respondent Only,2012-Q4,14,57.400000,55.300000000
Children Act (Public),South West,4 Neither,2012-Q4,3,9.700000,0.400000000
Children Act (Public),South West,All types,2012-Q4,418,38.600000,35.100000000
Children Act (Public),Wales,1 Both,2012-Q4,228,43.900000,39.800000000
Children Act (Public),Wales,2 Applicant Only,2012-Q4,38,22.400000,13.900000000
Children Act (Public),Wales,3 Respondent Only,2012-Q4,11,35.100000,34.600000000
Children Act (Public),Wales,All types,2012-Q4,277,40.600000,36.900000000
Children Act (Public),England & Wales,1 Both,2013-Q1,2869,40.400000,33.900000000
Children Act (Public),England & Wales,2 Applicant Only,2013-Q1,554,14.100000,6.700000000
Children Act (Public),England & Wales,3 Respondent Only,2013-Q1,57,40.000000,34.600000000
Children Act (Public),England & Wales,4 Neither,2013-Q1,29,19.900000,8.100000000
Children Act (Public),England & Wales,All types,2013-Q1,3509,36.000000,31.000000000
Children Act (Public),London,1 Both,2013-Q1,345,47.100000,41.000000000
Children Act (Public),London,2 Applicant Only,2013-Q1,82,18.600000,11.800000000
Children Act (Public),London,3 Respondent Only,2013-Q1,4,14.200000,7.300000000
Children Act (Public),London,4 Neither,2013-Q1,4,4.500000,1.000000000
Children Act (Public),London,All types,2013-Q1,435,41.000000,36.600000000
Children Act (Public),Midlands,1 Both,2013-Q1,530,37.600000,30.000000000
Children Act (Public),Midlands,2 Applicant Only,2013-Q1,90,12.300000,6.500000000
Children Act (Public),Midlands,3 Respondent Only,2013-Q1,3,24.600000,16.400000000
Children Act (Public),Midlands,4 Neither,2013-Q1,2,7.900000,7.900000000
Children Act (Public),Midlands,All types,2013-Q1,625,33.800000,27.600000000
Children Act (Public),North East,1 Both,2013-Q1,555,36.900000,31.700000000
Children Act (Public),North East,2 Applicant Only,2013-Q1,94,10.800000,2.500000000
Children Act (Public),North East,3 Respondent Only,2013-Q1,7,20.900000,17.400000000
Children Act (Public),North East,4 Neither,2013-Q1,6,10.400000,6.100000000
Children Act (Public),North East,All types,2013-Q1,662,32.800000,28.000000000
Children Act (Public),North West,1 Both,2013-Q1,447,40.200000,33.600000000
Children Act (Public),North West,2 Applicant Only,2013-Q1,98,15.300000,11.900000000
Children Act (Public),North West,3 Respondent Only,2013-Q1,2,34.000000,34.000000000
Children Act (Public),North West,All types,2013-Q1,547,35.800000,30.700000000
Children Act (Public),South East,1 Both,2013-Q1,451,42.400000,37.000000000
Children Act (Public),South East,2 Applicant Only,2013-Q1,103,14.700000,5.400000000
Children Act (Public),South East,3 Respondent Only,2013-Q1,22,49.400000,45.500000000
Children Act (Public),South East,4 Neither,2013-Q1,10,26.300000,13.800000000
Children Act (Public),South East,All types,2013-Q1,586,37.500000,32.600000000
Children Act (Public),South West,1 Both,2013-Q1,333,38.300000,33.000000000
Children Act (Public),South West,2 Applicant Only,2013-Q1,62,11.600000,3.000000000
Children Act (Public),South West,3 Respondent Only,2013-Q1,7,63.200000,72.400000000
Children Act (Public),South West,4 Neither,2013-Q1,4,22.300000,23.500000000
Children Act (Public),South West,All types,2013-Q1,406,34.500000,30.700000000
Children Act (Public),Wales,1 Both,2013-Q1,208,44.600000,36.700000000
Children Act (Public),Wales,2 Applicant Only,2013-Q1,25,17.500000,8.900000000
Children Act (Public),Wales,3 Respondent Only,2013-Q1,12,33.800000,27.800000000
Children Act (Public),Wales,4 Neither,2013-Q1,3,42.700000,4.400000000
Children Act (Public),Wales,All types,2013-Q1,248,41.300000,34.300000000
Children Act (Public),England & Wales,1 Both,2013-Q2,3436,39.100000,33.400000000
Children Act (Public),England & Wales,2 Applicant Only,2013-Q2,611,15.700000,9.900000000
Children Act (Public),England & Wales,3 Respondent Only,2013-Q2,84,45.300000,41.400000000
Children Act (Public),England & Wales,4 Neither,2013-Q2,26,28.700000,12.000000000
Children Act (Public),England & Wales,All types,2013-Q2,4157,35.700000,30.600000000
Children Act (Public),London,1 Both,2013-Q2,441,46.100000,40.000000000
Children Act (Public),London,2 Applicant Only,2013-Q2,86,17.400000,18.100000000
Children Act (Public),London,3 Respondent Only,2013-Q2,9,39.400000,29.000000000
Children Act (Public),London,4 Neither,2013-Q2,6,20.900000,19.800000000
Children Act (Public),London,All types,2013-Q2,542,41.200000,36.500000000
Children Act (Public),Midlands,1 Both,2013-Q2,622,35.900000,30.900000000
