year,country,ua_county,application_count,,
2013,Wales,Monmouthshire,165,,
2013,Wales,Neath Port Talbot,190,,
2013,Wales,Newport,271,,
2013,Wales,Pembrokeshire,249,,
2013,Wales,Powys,209,,
2013,Wales,Rhondda Cynon Taf,428,,
2013,Wales,Swansea,401,,
2013,Wales,Torfaen,172,,
2013,Wales,Vale of Glamorgan,257,,
2013,Wales,Wrexham,259,,
2014,Confidentiality requested,Confidentiality requested,2419,,
2014,England,Bath and North East Somerset UA,318,,
2014,England,Bedford UA,349,,
2014,England,Blackburn with Darwen UA,226,,
2014,England,Blackpool UA,264,,
2014,England,"Bournemouth, Christchurch and Poole UA",821,,
2014,England,Bracknell Forest UA,280,,
2014,England,Brighton and Hove UA,451,,
2014,England,"Bristol, City of UA",707,,
2014,England,Buckinghamshire UA,914,,
2014,England,Cambridgeshire,1206,,
2014,England,Central Bedfordshire UA,591,,
2014,England,Cheshire East UA,794,,
2014,England,Cheshire West and Chester UA,646,,
2014,England,Cornwall & Isles of Scilly,1130,,
2014,England,County Durham UA,720,,
2014,England,Cumberland UA,453,,
2014,England,Darlington UA,194,,
2014,England,Derby UA,466,,
2014,England,Derbyshire,1557,,
2014,England,Devon,1500,,
2014,England,Dorset UA,760,,
2014,England,East Riding of Yorkshire UA,687,,
2014,England,East Sussex,1067,,
2014,England,Essex,2895,,
2014,England,Gloucestershire,1156,,
2014,England,Greater Manchester (Met County),4421,,
2014,England,Halton UA,194,,
2014,England,Hampshire,2926,,
2014,England,Hartlepool UA,115,,
2014,England,"Herefordshire, County of UA",347,,
2014,England,Hertfordshire,2026,,
2014,England,Inner London,5221,,
2014,England,Isle of Wight UA,270,,
2014,England,Kent,2969,,
2014,England,"Kingston upon Hull, City of UA",388,,
2014,England,Lancashire,2099,,
2014,England,Leicester UA,561,,
2014,England,Leicestershire,1294,,
2014,England,Lincolnshire,1438,,
2014,England,Luton UA,395,,
2014,England,Medway UA,500,,
2014,England,Merseyside (Met County),1868,,
2014,England,Middlesbrough UA,159,,
2014,England,Milton Keynes UA,604,,
2014,England,Norfolk,1829,,
2014,England,North East Lincolnshire UA,300,,
2014,England,North Lincolnshire UA,335,,
2014,England,North Northamptonshire UA,698,,
2014,England,North Somerset UA,444,,
2014,England,North Yorkshire UA,1244,,
2014,England,Northumberland UA,533,,
2014,England,Nottingham UA,451,,
2014,England,Nottinghamshire,1529,,
2014,England,Outer London,9222,,
2014,England,Oxfordshire,1211,,
2014,England,Peterborough UA,401,,
2014,England,Plymouth UA,545,,
2014,England,Portsmouth UA,394,,
2014,England,Reading UA,284,,
2014,England,Redcar and Cleveland UA,219,,
2014,England,Rutland UA,80,,
2014,England,Shropshire UA,577,,
2014,England,Slough UA,361,,
2014,England,Somerset UA,1085,,
2014,England,South Gloucestershire UA,527,,
2014,England,South Yorkshire (Met County),2164,,
2014,England,Southampton UA,429,,
2014,England,Southend-on-Sea UA,362,,
2014,England,Staffordshire,1622,,
2014,England,Stockton-on-Tees UA,347,,
2014,England,Stoke-on-Trent UA,455,,
2014,England,Suffolk,1588,,
2014,England,Surrey,2151,,
2014,England,Swindon UA,451,,
2014,England,Telford and Wrekin UA,353,,
2014,England,Thurrock UA,339,,
2014,England,Torbay UA,259,,
2014,England,Tyne and Wear (Met County),1471,,
2014,England,Warrington UA,429,,
2014,England,Warwickshire,1102,,
2014,England,West Berkshire UA,341,,
2014,England,West Midlands (Met County),4417,,
2014,England,West Northamptonshire UA,817,,
2014,England,West Sussex,1610,,
2014,England,West Yorkshire (Met County),3925,,
2014,England,Westmorland and Furness UA,365,,
2014,England,Wiltshire UA,1028,,
2014,England,Windsor and Maidenhead UA,275,,
2014,England,Wokingham UA,310,,
2014,England,Worcestershire,1162,,
2014,England,York UA,350,,
2014,Invalid postcode or foreign,Invalid postcode or foreign,1227,,
2014,Unknown,Unknown,6202,,
2014,Wales,Blaenau Gwent,107,,
2014,Wales,Bridgend,265,,
2014,Wales,Caerphilly,321,,
2014,Wales,Cardiff,519,,
2014,Wales,Carmarthenshire,314,,
2014,Wales,Ceredigion,101,,
2014,Wales,Conwy,213,,
2014,Wales,Denbighshire,148,,
2014,Wales,Flintshire,300,,
2014,Wales,Gwynedd,152,,
2014,Wales,Isle of Anglesey,118,,
2014,Wales,Merthyr Tydfil,100,,
2014,Wales,Monmouthshire,196,,
2014,Wales,Neath Port Talbot,200,,
2014,Wales,Newport,228,,
2014,Wales,Pembrokeshire,198,,
2014,Wales,Powys,220,,
2014,Wales,Rhondda Cynon Taf,365,,
2014,Wales,Swansea,397,,
2014,Wales,Torfaen,151,,
2014,Wales,Vale of Glamorgan,225,,
2014,Wales,Wrexham,257,,
2015,Confidentiality requested,Confidentiality requested,2690,,
2015,England,Bath and North East Somerset UA,304,,
2015,England,Bedford UA,356,,
2015,England,Blackburn with Darwen UA,216,,
2015,England,Blackpool UA,259,,
2015,England,"Bournemouth, Christchurch and Poole UA",781,,
2015,England,Bracknell Forest UA,262,,
2015,England,Brighton and Hove UA,520,,
2015,England,"Bristol, City of UA",661,,
2015,England,Buckinghamshire UA,1030,,
2015,England,Cambridgeshire,1237,,
2015,England,Central Bedfordshire UA,573,,
2015,England,Cheshire East UA,787,,
2015,England,Cheshire West and Chester UA,581,,
2015,England,Cornwall & Isles of Scilly,1145,,
2015,England,County Durham UA,662,,
2015,England,Cumberland UA,457,,
2015,England,Darlington UA,132,,
2015,England,Derby UA,471,,
2015,England,Derbyshire,1652,,
2015,England,Devon,1518,,
2015,England,Dorset UA,787,,
2015,England,East Riding of Yorkshire UA,684,,
2015,England,East Sussex,1121,,
2015,England,Essex,2904,,
2015,England,Gloucestershire,1193,,
2015,England,Greater Manchester (Met County),4663,,
2015,England,Halton UA,223,,
2015,England,Hampshire,2899,,
2015,England,Hartlepool UA,99,,
2015,England,"Herefordshire, County of UA",342,,
2015,England,Hertfordshire,2172,,
2015,England,Inner London,5906,,
2015,England,Isle of Wight UA,258,,
2015,England,Kent,2929,,
2015,England,"Kingston upon Hull, City of UA",409,,
2015,England,Lancashire,2212,,
2015,England,Leicester UA,586,,
2015,England,Leicestershire,1383,,
2015,England,Lincolnshire,1614,,
2015,England,Luton UA,373,,
2015,England,Medway UA,542,,
2015,England,Merseyside (Met County),1936,,
2015,England,Middlesbrough UA,126,,
2015,England,Milton Keynes UA,642,,
2015,England,Norfolk,1748,,
2015,England,North East Lincolnshire UA,269,,
2015,England,North Lincolnshire UA,309,,
2015,England,North Northamptonshire UA,726,,
2015,England,North Somerset UA,448,,
2015,England,North Yorkshire UA,1140,,
2015,England,Northumberland UA,380,,
2015,England,Nottingham UA,443,,
2015,England,Nottinghamshire,1566,,
2015,England,Outer London,9610,,
2015,England,Oxfordshire,1294,,
2015,England,Peterborough UA,398,,
2015,England,Plymouth UA,517,,
2015,England,Portsmouth UA,389,,
2015,England,Reading UA,311,,
2015,England,Redcar and Cleveland UA,168,,
2015,England,Rutland UA,86,,
2015,England,Shropshire UA,600,,
2015,England,Slough UA,319,,
2015,England,Somerset UA,1119,,
2015,England,South Gloucestershire UA,501,,
2015,England,South Yorkshire (Met County),2233,,
2015,England,Southampton UA,447,,
2015,England,Southend-on-Sea UA,366,,
2015,England,Staffordshire,1703,,
2015,England,Stockton-on-Tees UA,216,,
2015,England,Stoke-on-Trent UA,413,,
2015,England,Suffolk,1523,,
2015,England,Surrey,2241,,
2015,England,Swindon UA,499,,
2015,England,Telford and Wrekin UA,346,,
2015,England,Thurrock UA,337,,
2015,England,Torbay UA,253,,
2015,England,Tyne and Wear (Met County),1095,,
2015,England,Warrington UA,440,,
2015,England,Warwickshire,1105,,
2015,England,West Berkshire UA,315,,
2015,England,West Midlands (Met County),4603,,
2015,England,West Northamptonshire UA,902,,
2015,England,West Sussex,1698,,
2015,England,West Yorkshire (Met County),4037,,
2015,England,Westmorland and Furness UA,375,,
2015,England,Wiltshire UA,1020,,
2015,England,Windsor and Maidenhead UA,307,,
2015,England,Wokingham UA,308,,
2015,England,Worcestershire,1151,,
2015,England,York UA,357,,
2015,Invalid postcode or foreign,Invalid postcode or foreign,1327,,
2015,Unknown,Unknown,5836,,
2015,Wales,Blaenau Gwent,91,,
2015,Wales,Bridgend,273,,
2015,Wales,Caerphilly,287,,
2015,Wales,Cardiff,524,,
2015,Wales,Carmarthenshire,345,,
2015,Wales,Ceredigion,89,,
2015,Wales,Conwy,181,,
2015,Wales,Denbighshire,165,,
2015,Wales,Flintshire,307,,
2015,Wales,Gwynedd,165,,
2015,Wales,Isle of Anglesey,115,,
2015,Wales,Merthyr Tydfil,79,,
2015,Wales,Monmouthshire,154,,
2015,Wales,Neath Port Talbot,287,,
2015,Wales,Newport,258,,
2015,Wales,Pembrokeshire,160,,
2015,Wales,Powys,209,,
2015,Wales,Rhondda Cynon Taf,399,,
2015,Wales,Swansea,422,,
2015,Wales,Torfaen,147,,
2015,Wales,Vale of Glamorgan,222,,
2015,Wales,Wrexham,235,,
2016,Confidentiality requested,Confidentiality requested,2900,,
2016,England,Bath and North East Somerset UA,341,,
2016,England,Bedford UA,352,,
2016,England,Blackburn with Darwen UA,250,,
2016,England,Blackpool UA,240,,
2016,England,"Bournemouth, Christchurch and Poole UA",830,,
2016,England,Bracknell Forest UA,289,,
2016,England,Brighton and Hove UA,480,,
2016,England,"Bristol, City of UA",758,,
2016,England,Buckinghamshire UA,965,,
2016,England,Cambridgeshire,1190,,
2016,England,Central Bedfordshire UA,618,,
2016,England,Cheshire East UA,797,,
2016,England,Cheshire West and Chester UA,628,,
2016,England,Cornwall & Isles of Scilly,1164,,
2016,England,County Durham UA,666,,
2016,England,Cumberland UA,476,,
2016,England,Darlington UA,161,,
2016,England,Derby UA,437,,
2016,England,Derbyshire,1629,,
2016,England,Devon,1631,,
2016,England,Dorset UA,778,,
2016,England,East Riding of Yorkshire UA,628,,
2016,England,East Sussex,1113,,
2016,England,Essex,2937,,
2016,England,Gloucestershire,1262,,
2016,England,Greater Manchester (Met County),4662,,
2016,England,Halton UA,211,,
2016,England,Hampshire,2945,,
2016,England,Hartlepool UA,108,,
2016,England,"Herefordshire, County of UA",356,,
2016,England,Hertfordshire,2199,,
2016,England,Inner London,6224,,
2016,England,Isle of Wight UA,273,,
2016,England,Kent,3069,,
2016,England,"Kingston upon Hull, City of UA",384,,
2016,England,Lancashire,2220,,
2016,England,Leicester UA,491,,
2016,England,Leicestershire,1449,,
2016,England,Lincolnshire,1537,,
2016,England,Luton UA,371,,
2016,England,Medway UA,573,,
2016,England,Merseyside (Met County),1962,,
2016,England,Middlesbrough UA,158,,
2016,England,Milton Keynes UA,645,,
2016,England,Norfolk,1704,,
2016,England,North East Lincolnshire UA,273,,
2016,England,North Lincolnshire UA,299,,
2016,England,North Northamptonshire UA,791,,
2016,England,North Somerset UA,477,,
2016,England,North Yorkshire UA,1166,,
2016,England,Northumberland UA,423,,
2016,England,Nottingham UA,456,,
2016,England,Nottinghamshire,1598,,
2016,England,Outer London,9466,,
2016,England,Oxfordshire,1254,,
2016,England,Peterborough UA,387,,
2016,England,Plymouth UA,536,,
2016,England,Portsmouth UA,365,,
2016,England,Reading UA,294,,
2016,England,Redcar and Cleveland UA,161,,
2016,England,Rutland UA,93,,
2016,England,Shropshire UA,622,,
2016,England,Slough UA,350,,
2016,England,Somerset UA,1076,,
2016,England,South Gloucestershire UA,516,,
2016,England,South Yorkshire (Met County),2130,,
2016,England,Southampton UA,429,,
2016,England,Southend-on-Sea UA,370,,
2016,England,Staffordshire,1723,,
2016,England,Stockton-on-Tees UA,241,,
2016,England,Stoke-on-Trent UA,449,,
2016,England,Suffolk,1496,,
2016,England,Surrey,2344,,
2016,England,Swindon UA,545,,
2016,England,Telford and Wrekin UA,377,,
2016,England,Thurrock UA,370,,
2016,England,Torbay UA,279,,
2016,England,Tyne and Wear (Met County),1224,,
2016,England,Warrington UA,434,,
2016,England,Warwickshire,1204,,
2016,England,West Berkshire UA,341,,
2016,England,West Midlands (Met County),4535,,
2016,England,West Northamptonshire UA,884,,
2016,England,West Sussex,1663,,
2016,England,West Yorkshire (Met County),4022,,
2016,England,Westmorland and Furness UA,396,,
2016,England,Wiltshire UA,1052,,
2016,England,Windsor and Maidenhead UA,300,,
2016,England,Wokingham UA,319,,
2016,England,Worcestershire,1206,,
2016,England,York UA,338,,
2016,Invalid postcode or foreign,Invalid postcode or foreign,1302,,
2016,Unknown,Unknown,3785,,
2016,Wales,Blaenau Gwent,97,,
2016,Wales,Bridgend,301,,
2016,Wales,Caerphilly,322,,
2016,Wales,Cardiff,542,,
2016,Wales,Carmarthenshire,337,,
2016,Wales,Ceredigion,93,,
2016,Wales,Conwy,187,,
2016,Wales,Denbighshire,154,,
2016,Wales,Flintshire,280,,
2016,Wales,Gwynedd,177,,
2016,Wales,Isle of Anglesey,103,,
2016,Wales,Merthyr Tydfil,85,,
2016,Wales,Monmouthshire,177,,
2016,Wales,Neath Port Talbot,250,,
2016,Wales,Newport,277,,
2016,Wales,Pembrokeshire,191,,
2016,Wales,Powys,219,,
2016,Wales,Rhondda Cynon Taf,387,,
2016,Wales,Swansea,439,,
2016,Wales,Torfaen,185,,
2016,Wales,Vale of Glamorgan,254,,
2016,Wales,Wrexham,260,,
2017,Confidentiality requested,Confidentiality requested,3861,,
2017,England,Bath and North East Somerset UA,285,,
2017,England,Bedford UA,340,,
2017,England,Blackburn with Darwen UA,246,,
2017,England,Blackpool UA,261,,
2017,England,"Bournemouth, Christchurch and Poole UA",757,,
2017,England,Bracknell Forest UA,248,,
2017,England,Brighton and Hove UA,462,,
2017,England,"Bristol, City of UA",620,,
2017,England,Buckinghamshire UA,977,,
2017,England,Cambridgeshire,1146,,
2017,England,Central Bedfordshire UA,589,,
2017,England,Cheshire East UA,708,,
2017,England,Cheshire West and Chester UA,693,,
2017,England,Cornwall & Isles of Scilly,1071,,
2017,England,County Durham UA,879,,
2017,England,Cumberland UA,499,,
2017,England,Darlington UA,168,,
2017,England,Derby UA,415,,
2017,England,Derbyshire,1489,,
2017,England,Devon,1544,,
2017,England,Dorset UA,798,,
2017,England,East Riding of Yorkshire UA,702,,
2017,England,East Sussex,1025,,
2017,England,Essex,2740,,
2017,England,Gloucestershire,1213,,
2017,England,Greater Manchester (Met County),4433,,
2017,England,Halton UA,200,,
2017,England,Hampshire,2917,,
2017,England,Hartlepool UA,142,,
2017,England,"Herefordshire, County of UA",369,,
2017,England,Hertfordshire,2033,,
2017,England,Inner London,5485,,
2017,England,Isle of Wight UA,268,,
2017,England,Kent,2874,,
2017,England,"Kingston upon Hull, City of UA",359,,
2017,England,Lancashire,2203,,
2017,England,Leicester UA,508,,
2017,England,Leicestershire,1330,,
2017,England,Lincolnshire,1520,,
2017,England,Luton UA,354,,
2017,England,Medway UA,543,,
2017,England,Merseyside (Met County),1907,,
2017,England,Middlesbrough UA,167,,
2017,England,Milton Keynes UA,586,,
2017,England,Norfolk,1708,,
2017,England,North East Lincolnshire UA,304,,
2017,England,North Lincolnshire UA,304,,
2017,England,North Northamptonshire UA,721,,
2017,England,North Somerset UA,447,,
2017,England,North Yorkshire UA,1217,,
2017,England,Northumberland UA,508,,
2017,England,Nottingham UA,432,,
2017,England,Nottinghamshire,1526,,
2017,England,Outer London,8759,,
2017,England,Oxfordshire,1207,,
