YEAR,QUARTER,DIGITAL_PAPER_CHANNEL,APPLICANT TYPE,GRANT TYPE,GRANTS_ISSUED,APPLICATIONS_MADE
2020,2,Paper,Solicitor,Grant of Administration with Will annexed,1840,1773
2020,2,Paper,All,Grant of Probate,34458,34140
2020,2,Paper,Personal,Grant of Probate,8798,8213
2020,2,Paper,Solicitor,Grant of Probate,25660,25927
2020,2,Paper,All,Standing Search,526,:
2020,2,Paper,Personal,Standing Search,:,:
2020,2,Paper,Solicitor,Standing Search,:,:
2020,3,All,All,All grant types,72547,74622
2020,3,All,Personal,All grant types,32291,28370
2020,3,All,Solicitor,All grant types,40256,46252
2020,3,All,All,Grant of Administration,9805,10615
2020,3,All,Personal,Grant of Administration,4919,5030
2020,3,All,Solicitor,Grant of Administration,4886,5585
2020,3,All,All,Grant of Administration with Will annexed,2533,3230
2020,3,All,Personal,Grant of Administration with Will annexed,562,732
2020,3,All,Solicitor,Grant of Administration with Will annexed,1971,2498
2020,3,All,All,Grant of Probate,60209,60777
2020,3,All,Personal,Grant of Probate,26810,22608
2020,3,All,Solicitor,Grant of Probate,33399,38169
2020,3,All,All,Standing Search,785,:
2020,3,All,Personal,Standing Search,:,:
2020,3,All,Solicitor,Standing Search,:,:
2020,3,Digital,All,All grant types,24551,24217
2020,3,Digital,Personal,All grant types,18640,16108
2020,3,Digital,Solicitor,All grant types,5911,8109
2020,3,Digital,All,Grant of Administration,2868,2791
2020,3,Digital,Personal,Grant of Administration,2576,2315
2020,3,Digital,Solicitor,Grant of Administration,292,476
2020,3,Digital,All,Grant of Administration with Will annexed,105,392
2020,3,Digital,Personal,Grant of Administration with Will annexed,48,164
2020,3,Digital,Solicitor,Grant of Administration with Will annexed,57,228
2020,3,Digital,All,Grant of Probate,21578,21034
2020,3,Digital,Personal,Grant of Probate,16016,13629
2020,3,Digital,Solicitor,Grant of Probate,5562,7405
2020,3,Digital,All,Standing Search,:,:
2020,3,Digital,Personal,Standing Search,:,:
2020,3,Digital,Solicitor,Standing Search,:,:
2020,3,Paper,All,All grant types,47735,50093
2020,3,Paper,Personal,All grant types,13576,12199
2020,3,Paper,Solicitor,All grant types,34159,37894
2020,3,Paper,All,Grant of Administration,6887,7763
2020,3,Paper,Personal,Grant of Administration,2333,2698
2020,3,Paper,Solicitor,Grant of Administration,4554,5065
2020,3,Paper,All,Grant of Administration with Will annexed,2416,2816
2020,3,Paper,Personal,Grant of Administration with Will annexed,511,568
2020,3,Paper,Solicitor,Grant of Administration with Will annexed,1905,2248
2020,3,Paper,All,Grant of Probate,38432,39514
2020,3,Paper,Personal,Grant of Probate,10732,8933
2020,3,Paper,Solicitor,Grant of Probate,27700,30581
2020,3,Paper,All,Standing Search,785,:
2020,3,Paper,Personal,Standing Search,:,:
2020,3,Paper,Solicitor,Standing Search,:,:
2020,4,All,All,All grant types,65959,67737
2020,4,All,Personal,All grant types,25701,25744
2020,4,All,Solicitor,All grant types,40258,41993
2020,4,All,All,Grant of Administration,9160,10370
2020,4,All,Personal,Grant of Administration,4308,4509
2020,4,All,Solicitor,Grant of Administration,4852,5861
2020,4,All,All,Grant of Administration with Will annexed,2335,2916
2020,4,All,Personal,Grant of Administration with Will annexed,527,706
2020,4,All,Solicitor,Grant of Administration with Will annexed,1808,2210
2020,4,All,All,Grant of Probate,54464,54451
2020,4,All,Personal,Grant of Probate,20866,20529
2020,4,All,Solicitor,Grant of Probate,33598,33922
2020,4,All,All,Standing Search,632,:
2020,4,All,Personal,Standing Search,:,:
2020,4,All,Solicitor,Standing Search,:,:
2020,4,Digital,All,All grant types,24471,28759
2020,4,Digital,Personal,All grant types,14749,14492
2020,4,Digital,Solicitor,All grant types,9722,14267
2020,4,Digital,All,Grant of Administration,2387,2496
2020,4,Digital,Personal,Grant of Administration,1975,1888
2020,4,Digital,Solicitor,Grant of Administration,412,608
2020,4,Digital,All,Grant of Administration with Will annexed,223,531
2020,4,Digital,Personal,Grant of Administration with Will annexed,78,215
2020,4,Digital,Solicitor,Grant of Administration with Will annexed,145,316
2020,4,Digital,All,Grant of Probate,21861,25732
2020,4,Digital,Personal,Grant of Probate,12696,12389
2020,4,Digital,Solicitor,Grant of Probate,9165,13343
2020,4,Digital,All,Standing Search,:,:
2020,4,Digital,Personal,Standing Search,:,:
2020,4,Digital,Solicitor,Standing Search,:,:
2020,4,Paper,All,All grant types,41245,38713
2020,4,Paper,Personal,All grant types,10912,11210
2020,4,Paper,Solicitor,All grant types,30333,27503
2020,4,Paper,All,Grant of Administration,6703,7792
2020,4,Paper,Personal,Grant of Administration,2325,2615
2020,4,Paper,Solicitor,Grant of Administration,4378,5177
2020,4,Paper,All,Grant of Administration with Will annexed,2095,2366
2020,4,Paper,Personal,Grant of Administration with Will annexed,446,490
2020,4,Paper,Solicitor,Grant of Administration with Will annexed,1649,1876
2020,4,Paper,All,Grant of Probate,32447,28555
2020,4,Paper,Personal,Grant of Probate,8141,8105
2020,4,Paper,Solicitor,Grant of Probate,24306,20450
2020,4,Paper,All,Standing Search,632,:
2020,4,Paper,Personal,Standing Search,:,:
2020,4,Paper,Solicitor,Standing Search,:,:
2021,,All,All,All grant types,273428,282855
2021,,All,Personal,All grant types,105388,115427
2021,,All,Solicitor,All grant types,168040,167428
2021,,All,All,Grant of Administration,40936,45769
2021,,All,Personal,Grant of Administration,17679,21645
2021,,All,Solicitor,Grant of Administration,23257,24124
2021,,All,All,Grant of Administration with Will annexed,12461,12357
2021,,All,Personal,Grant of Administration with Will annexed,3328,3206
2021,,All,Solicitor,Grant of Administration with Will annexed,9133,9151
2021,,All,All,Grant of Probate,220031,224729
2021,,All,Personal,Grant of Probate,84381,90576
2021,,All,Solicitor,Grant of Probate,135650,134153
2021,,All,All,Standing Search,2951,:
2021,,All,Personal,Standing Search,:,:
2021,,All,Solicitor,Standing Search,:,:
2021,,Digital,All,All grant types,182881,195281
2021,,Digital,Personal,All grant types,63094,68598
2021,,Digital,Solicitor,All grant types,119787,126683
2021,,Digital,All,Grant of Administration,13003,14763
2021,,Digital,Personal,Grant of Administration,7730,9259
2021,,Digital,Solicitor,Grant of Administration,5273,5504
2021,,Digital,All,Grant of Administration with Will annexed,2387,2384
2021,,Digital,Personal,Grant of Administration with Will annexed,1038,1006
2021,,Digital,Solicitor,Grant of Administration with Will annexed,1349,1378
2021,,Digital,All,Grant of Probate,167491,178134
2021,,Digital,Personal,Grant of Probate,54326,58333
2021,,Digital,Solicitor,Grant of Probate,113165,119801
2021,,Digital,All,Standing Search,:,:
2021,,Digital,Personal,Standing Search,:,:
2021,,Digital,Solicitor,Standing Search,:,:
2021,,Paper,All,All grant types,89701,86878
2021,,Paper,Personal,All grant types,42163,46724
2021,,Paper,Solicitor,All grant types,47538,40154
2021,,Paper,All,Grant of Administration,27554,30659
2021,,Paper,Personal,Grant of Administration,9928,12370
2021,,Paper,Solicitor,Grant of Administration,17626,18289
2021,,Paper,All,Grant of Administration with Will annexed,9998,9920
2021,,Paper,Personal,Grant of Administration with Will annexed,2286,2197
2021,,Paper,Solicitor,Grant of Administration with Will annexed,7712,7723
2021,,Paper,All,Grant of Probate,52149,46299
2021,,Paper,Personal,Grant of Probate,29949,32157
2021,,Paper,Solicitor,Grant of Probate,22200,14142
2021,,Paper,All,Standing Search,2951,:
2021,,Paper,Personal,Standing Search,:,:
2021,,Paper,Solicitor,Standing Search,:,:
2021,1,All,All,All grant types,73600,75251
2021,1,All,Personal,All grant types,29303,32519
2021,1,All,Solicitor,All grant types,44297,42732
2021,1,All,All,Grant of Administration,11991,11327
2021,1,All,Personal,Grant of Administration,5334,5687
2021,1,All,Solicitor,Grant of Administration,6657,5640
2021,1,All,All,Grant of Administration with Will annexed,3995,2867
2021,1,All,Personal,Grant of Administration with Will annexed,1228,812
2021,1,All,Solicitor,Grant of Administration with Will annexed,2767,2055
2021,1,All,All,Grant of Probate,57614,61057
2021,1,All,Personal,Grant of Probate,22741,26020
2021,1,All,Solicitor,Grant of Probate,34873,35037
2021,1,All,All,Standing Search,641,:
2021,1,All,Personal,Standing Search,:,:
2021,1,All,Solicitor,Standing Search,:,:
2021,1,Digital,All,All grant types,40096,52241
2021,1,Digital,Personal,All grant types,16963,20377
2021,1,Digital,Solicitor,All grant types,23133,31864
2021,1,Digital,All,Grant of Administration,3423,3929
2021,1,Digital,Personal,Grant of Administration,2382,2583
2021,1,Digital,Solicitor,Grant of Administration,1041,1346
2021,1,Digital,All,Grant of Administration with Will annexed,724,662
2021,1,Digital,Personal,Grant of Administration with Will annexed,375,266
2021,1,Digital,Solicitor,Grant of Administration with Will annexed,349,396
2021,1,Digital,All,Grant of Probate,35949,47650
2021,1,Digital,Personal,Grant of Probate,14206,17528
2021,1,Digital,Solicitor,Grant of Probate,21743,30122
2021,1,Digital,All,Standing Search,:,:
2021,1,Digital,Personal,Standing Search,:,:
2021,1,Digital,Solicitor,Standing Search,:,:
2021,1,Paper,All,All grant types,33221,22742
2021,1,Paper,Personal,All grant types,12292,12090
2021,1,Paper,Solicitor,All grant types,20929,10652
2021,1,Paper,All,Grant of Administration,8466,7281
2021,1,Paper,Personal,Grant of Administration,2943,3094
2021,1,Paper,Solicitor,Grant of Administration,5523,4187
2021,1,Paper,All,Grant of Administration with Will annexed,3244,2183
2021,1,Paper,Personal,Grant of Administration with Will annexed,852,545
2021,1,Paper,Solicitor,Grant of Administration with Will annexed,2392,1638
2021,1,Paper,All,Grant of Probate,21511,13278
2021,1,Paper,Personal,Grant of Probate,8497,8451
2021,1,Paper,Solicitor,Grant of Probate,13014,4827
2021,1,Paper,All,Standing Search,641,:
2021,1,Paper,Personal,Standing Search,:,:
2021,1,Paper,Solicitor,Standing Search,:,:
2021,2,All,All,All grant types,66358,78219
2021,2,All,Personal,All grant types,27106,31779
2021,2,All,Solicitor,All grant types,39252,46440
2021,2,All,All,Grant of Administration,9502,12997
2021,2,All,Personal,Grant of Administration,4058,6186
2021,2,All,Solicitor,Grant of Administration,5444,6811
2021,2,All,All,Grant of Administration with Will annexed,2816,3588
2021,2,All,Personal,Grant of Administration with Will annexed,781,978
2021,2,All,Solicitor,Grant of Administration with Will annexed,2035,2610
2021,2,All,All,Grant of Probate,54040,61634
2021,2,All,Personal,Grant of Probate,22267,24615
2021,2,All,Solicitor,Grant of Probate,31773,37019
2021,2,All,All,Standing Search,739,:
2021,2,All,Personal,Standing Search,:,:
2021,2,All,Solicitor,Standing Search,:,:
2021,2,Digital,All,All grant types,45731,51620
2021,2,Digital,Personal,All grant types,15890,16637
2021,2,Digital,Solicitor,All grant types,29841,34983
2021,2,Digital,All,Grant of Administration,3028,3890
2021,2,Digital,Personal,Grant of Administration,1612,2377
2021,2,Digital,Solicitor,Grant of Administration,1416,1513
2021,2,Digital,All,Grant of Administration with Will annexed,505,640
2021,2,Digital,Personal,Grant of Administration with Will annexed,232,327
2021,2,Digital,Solicitor,Grant of Administration with Will annexed,273,313
2021,2,Digital,All,Grant of Probate,42198,47090
2021,2,Digital,Personal,Grant of Probate,14046,13933
2021,2,Digital,Solicitor,Grant of Probate,28152,33157
2021,2,Digital,All,Standing Search,:,:
2021,2,Digital,Personal,Standing Search,:,:
2021,2,Digital,Solicitor,Standing Search,:,:
2021,2,Paper,All,All grant types,20407,26367
2021,2,Paper,Personal,All grant types,11174,15105
2021,2,Paper,Solicitor,All grant types,9233,11262
2021,2,Paper,All,Grant of Administration,6359,8982
2021,2,Paper,Personal,Grant of Administration,2442,3805
2021,2,Paper,Solicitor,Grant of Administration,3917,5177
2021,2,Paper,All,Grant of Administration with Will annexed,2298,2934
2021,2,Paper,Personal,Grant of Administration with Will annexed,548,650
2021,2,Paper,Solicitor,Grant of Administration with Will annexed,1750,2284
2021,2,Paper,All,Grant of Probate,11750,14451
2021,2,Paper,Personal,Grant of Probate,8184,10650
2021,2,Paper,Solicitor,Grant of Probate,3566,3801
2021,2,Paper,All,Standing Search,739,:
2021,2,Paper,Personal,Standing Search,:,:
2021,2,Paper,Solicitor,Standing Search,:,:
2021,3,All,All,All grant types,71785,65980
2021,3,All,Personal,All grant types,26622,26087
2021,3,All,Solicitor,All grant types,45163,39893
2021,3,All,All,Grant of Administration,10091,10960
2021,3,All,Personal,Grant of Administration,4110,5066
2021,3,All,Solicitor,Grant of Administration,5981,5894
2021,3,All,All,Grant of Administration with Will annexed,3050,3001
2021,3,All,Personal,Grant of Administration with Will annexed,655,746
2021,3,All,Solicitor,Grant of Administration with Will annexed,2395,2255
2021,3,All,All,Grant of Probate,58644,52019
2021,3,All,Personal,Grant of Probate,21857,20275
2021,3,All,Solicitor,Grant of Probate,36787,31744
2021,3,All,All,Standing Search,849,:
2021,3,All,Personal,Standing Search,:,:
2021,3,All,Solicitor,Standing Search,:,:
2021,3,Digital,All,All grant types,51785,45921
2021,3,Digital,Personal,All grant types,16365,15567
2021,3,Digital,Solicitor,All grant types,35420,30354
2021,3,Digital,All,Grant of Administration,3242,3485
2021,3,Digital,Personal,Grant of Administration,1768,2222
2021,3,Digital,Solicitor,Grant of Administration,1474,1263
2021,3,Digital,All,Grant of Administration with Will annexed,623,521
2021,3,Digital,Personal,Grant of Administration with Will annexed,213,188
2021,3,Digital,Solicitor,Grant of Administration with Will annexed,410,333
2021,3,Digital,All,Grant of Probate,47920,41915
2021,3,Digital,Personal,Grant of Probate,14384,13157
2021,3,Digital,Solicitor,Grant of Probate,33536,28758
2021,3,Digital,All,Standing Search,:,:
2021,3,Digital,Personal,Standing Search,:,:
2021,3,Digital,Solicitor,Standing Search,:,:
2021,3,Paper,All,All grant types,19752,19904
2021,3,Paper,Personal,All grant types,10229,10505
2021,3,Paper,Solicitor,All grant types,9523,9399
2021,3,Paper,All,Grant of Administration,6726,7391
2021,3,Paper,Personal,Grant of Administration,2336,2842
2021,3,Paper,Solicitor,Grant of Administration,4390,4549
2021,3,Paper,All,Grant of Administration with Will annexed,2403,2467
2021,3,Paper,Personal,Grant of Administration with Will annexed,441,557
2021,3,Paper,Solicitor,Grant of Administration with Will annexed,1962,1910
2021,3,Paper,All,Grant of Probate,10623,10046
2021,3,Paper,Personal,Grant of Probate,7452,7106
2021,3,Paper,Solicitor,Grant of Probate,3171,2940
2021,3,Paper,All,Standing Search,849,:
2021,3,Paper,Personal,Standing Search,:,:
2021,3,Paper,Solicitor,Standing Search,:,:
2021,4,All,All,All grant types,61685,63405
2021,4,All,Personal,All grant types,22357,25042
2021,4,All,Solicitor,All grant types,39328,38363
2021,4,All,All,Grant of Administration,9352,10485
2021,4,All,Personal,Grant of Administration,4177,4706
2021,4,All,Solicitor,Grant of Administration,5175,5779
2021,4,All,All,Grant of Administration with Will annexed,2600,2901
2021,4,All,Personal,Grant of Administration with Will annexed,664,670
2021,4,All,Solicitor,Grant of Administration with Will annexed,1936,2231
2021,4,All,All,Grant of Probate,49733,50019
2021,4,All,Personal,Grant of Probate,17516,19666
2021,4,All,Solicitor,Grant of Probate,32217,30353
2021,4,All,All,Standing Search,722,:
2021,4,All,Personal,Standing Search,:,:
2021,4,All,Solicitor,Standing Search,:,:
2021,4,Digital,All,All grant types,45269,45499
2021,4,Digital,Personal,All grant types,13876,16017
2021,4,Digital,Solicitor,All grant types,31393,29482
2021,4,Digital,All,Grant of Administration,3310,3459
2021,4,Digital,Personal,Grant of Administration,1968,2077
2021,4,Digital,Solicitor,Grant of Administration,1342,1382
2021,4,Digital,All,Grant of Administration with Will annexed,535,561
2021,4,Digital,Personal,Grant of Administration with Will annexed,218,225
2021,4,Digital,Solicitor,Grant of Administration with Will annexed,317,336
2021,4,Digital,All,Grant of Probate,41424,41479
2021,4,Digital,Personal,Grant of Probate,11690,13715
2021,4,Digital,Solicitor,Grant of Probate,29734,27764
2021,4,Digital,All,Standing Search,:,:
2021,4,Digital,Personal,Standing Search,:,:
2021,4,Digital,Solicitor,Standing Search,:,:
2021,4,Paper,All,All grant types,16321,17865
2021,4,Paper,Personal,All grant types,8468,9024
2021,4,Paper,Solicitor,All grant types,7853,8841
2021,4,Paper,All,Grant of Administration,6003,7005
2021,4,Paper,Personal,Grant of Administration,2207,2629
2021,4,Paper,Solicitor,Grant of Administration,3796,4376
2021,4,Paper,All,Grant of Administration with Will annexed,2053,2336
2021,4,Paper,Personal,Grant of Administration with Will annexed,445,445
2021,4,Paper,Solicitor,Grant of Administration with Will annexed,1608,1891
2021,4,Paper,All,Grant of Probate,8265,8524
2021,4,Paper,Personal,Grant of Probate,5816,5950
2021,4,Paper,Solicitor,Grant of Probate,2449,2574
2021,4,Paper,All,Standing Search,722,:
