stage,year,quarter,case_type,law,count,mean_weeks,median_weeks
Decree Absolute,,2023 Q2,All,Old,7069,130.477,103
Decree Absolute,,2024 Q2,All,Old,3111,199.223,158
Decree Absolute,,2023 Q4,All,Old,4633,165.806,132.571
Decree Absolute,,2009 Q4,All,Old,29883,47.451,31
Decree Absolute,,2024 Q1,All,New,22135,47.527,40.429
Decree Absolute,,2024 Q3,All,New,25064,48.321,38
Decree Absolute,,2025 Q2,All,New,26591,55.19,41.714
Decree Absolute,,2017 Q4,All,Old,23398,50.965,31.143
Decree Absolute,,2014 Q1,All,Old,29141,49.378,31.714
Decree Absolute,,2016 Q2,All,Old,29117,48.597,30
Decree Absolute,,2009 Q3,All,Old,29144,47.862,31.714
Decree Absolute,,2020 Q1,All,Old,30174,52.835,36
Decree Absolute,,2019 Q4,All,Old,30298,53.757,38.143
Decree Absolute,,2022 Q3,All,Old,19724,65.702,39.286
Decree Absolute,,2018 Q1,All,Old,24047,52.254,32
Decree Absolute,,2003 Q3,All,Old,37853,42.704,30.714
Decree Absolute,,2015 Q2,All,Old,26213,48.117,28.857
Decree Absolute,,2013 Q4,All,Old,28195,49.477,30.857
Decree Absolute,,2006 Q4,All,Old,32341,45.768,31.286
Decree Absolute,,2011 Q1,All,Old,30864,48.999,32.714
Decree Absolute,,2023 Q4,All,New,18241,43.823,37.286
Decree Absolute,,2022 Q4,All,New,7448,32.836,32.571
Decree Absolute,,2025 Q4,All,New,26596,54.257,37.571
Decree Absolute,,2023 Q3,All,New,20224,40.058,35
Decree Absolute,,2015 Q3,All,Old,26303,48.216,28.286
Decree Absolute,,2020 Q3,All,Old,23625,50.763,35.286
Decree Absolute,,2015 Q1,All,Old,27068,48.836,28.286
Decree Absolute,,2003 Q4,All,Old,37652,43.375,31.286
Decree Absolute,,2011 Q4,All,Old,29424,48.681,32
Decree Absolute,,2012 Q3,All,Old,30191,48.946,31
Decree Absolute,,2022 Q1,All,Old,23912,55.845,32.857
Decree Absolute,,2003 Q2,All,Old,37920,41.979,30.857
Decree Absolute,,2008 Q1,All,Old,31977,47.622,33.714
Decree Absolute,,2016 Q1,All,Old,26735,50.997,31.429
Decree Absolute,,2014 Q3,All,Old,27805,49.669,29.143
Decree Absolute,,2019 Q3,All,Old,28821,54.972,39.857
Decree Absolute,,2005 Q2,All,Old,36349,45.257,31.571
Decree Absolute,,2012 Q1,All,Old,31612,49.037,31.714
Decree Absolute,,2018 Q3,All,Old,21195,57.133,37.143
Decree Absolute,,2015 Q4,All,Old,22570,51.613,31
Decree Absolute,,2005 Q4,All,Old,33254,45.353,31.143
Decree Absolute,,2013 Q2,All,Old,28181,50.476,32
Decree Absolute,,2025 Q3,All,Old,1291,303.832,243.857
Decree Absolute,,2008 Q3,All,Old,30593,47.789,31.143
Decree Absolute,,2010 Q1,All,Old,30280,47.246,31.714
Decree Absolute,,2022 Q4,All,Old,9617,92.613,66.429
Decree Absolute,,2017 Q2,All,Old,26493,49.059,30
Decree Absolute,,2014 Q2,All,Old,27719,49.202,30.286
Decree Absolute,,2006 Q2,All,Old,32913,45.516,31.714
Decree Absolute,,2025 Q2,All,Old,1573,297.32,233
Decree Absolute,,2025 Q3,All,New,26426,55.863,40.714
Decree Absolute,,2023 Q1,All,New,18197,36,34.714
Decree Absolute,,2024 Q4,All,New,21129,52.136,39.286
Decree Absolute,,2024 Q2,All,New,25917,46.849,38.571
Decree Absolute,,2004 Q1,All,Old,39091,44.208,31.857
Decree Absolute,,2021 Q3,All,Old,27389,54.419,30.571
Decree Absolute,,2017 Q3,All,Old,24947,49.832,29.857
Decree Absolute,,2008 Q4,All,Old,28838,46.983,31
Decree Absolute,,2018 Q2,All,Old,22639,55.093,34.571
Decree Absolute,,2006 Q1,All,Old,34240,45.682,31.714
Decree Absolute,,2007 Q3,All,Old,33129,45.944,31.286
Decree Absolute,,2009 Q2,All,Old,27283,48.314,32.571
Decree Absolute,,2012 Q4,All,Old,29164,49.061,31
Decree Absolute,,2020 Q4,All,Old,25339,53.956,37
Decree Absolute,,2020 Q2,All,Old,24837,45.451,29.571
Decree Absolute,,2010 Q4,All,Old,30269,48.988,31
Decree Absolute,,2004 Q3,All,Old,38899,43.747,30.143
Decree Absolute,,2004 Q4,All,Old,36891,43.992,31
Decree Absolute,,2016 Q3,All,Old,27593,48.14,29.143
Decree Absolute,,2023 Q3,All,Old,5586,152.646,120.286
Decree Absolute,,2009 Q1,All,Old,28705,48.43,32.571
Decree Absolute,,2024 Q1,All,Old,3587,188.302,150.857
Decree Absolute,,2024 Q3,All,Old,2209,226.39,181.571
Decree Absolute,,2025 Q4,All,Old,1121,316.051,259.286
Decree Absolute,,2024 Q4,All,Old,2286,239.294,192.571
Decree Absolute,,2023 Q2,All,New,20262,37.474,34.429
Decree Absolute,,2007 Q4,All,All,27809,46.594,31.286
Decree Absolute,,2021 Q2,All,All,30566,48.915,28.429
Decree Absolute,,2010 Q3,All,All,30520,48.095,31.429
Decree Absolute,,2014 Q4,All,All,27135,48.637,28.571
Decree Absolute,,2009 Q2,All,All,27283,48.314,32.571
Decree Absolute,,2012 Q4,All,All,29164,49.061,31
Decree Absolute,,2025 Q3,All,All,27717,67.413,41.857
Decree Absolute,,2021 Q1,All,All,30133,50.473,30.714
Decree Absolute,,2004 Q4,All,All,36891,43.992,31
Decree Absolute,,2024 Q3,All,All,27273,62.745,40
Decree Absolute,,2025 Q2,All,All,28164,68.713,42.857
Decree Absolute,,2018 Q4,All,All,24102,56.228,36.857
Decree Absolute,,2017 Q4,All,All,23398,50.965,31.143
Decree Absolute,,2020 Q4,All,All,25339,53.956,37
Decree Absolute,,2020 Q2,All,All,24837,45.451,29.571
Decree Absolute,,2012 Q1,All,All,31612,49.037,31.714
Decree Absolute,,2019 Q4,All,All,30298,53.757,38.143
Decree Absolute,,2018 Q3,All,All,21195,57.133,37.143
Decree Absolute,,2015 Q3,All,All,26303,48.216,28.286
Decree Absolute,,2015 Q1,All,All,27068,48.836,28.286
Decree Absolute,,2011 Q4,All,All,29424,48.681,32
Decree Absolute,,2011 Q3,All,All,30174,47.82,31.857
Decree Absolute,,2016 Q4,All,All,24810,52.857,30.714
Decree Absolute,,2003 Q2,All,All,37920,41.979,30.857
Decree Absolute,,2018 Q2,All,All,22639,55.093,34.571
Decree Absolute,,2008 Q1,All,All,31977,47.622,33.714
Decree Absolute,,2005 Q1,All,All,35922,44.748,31.286
Decree Absolute,,2004 Q2,All,All,37714,43.739,31.143
Decree Absolute,,2014 Q3,All,All,27805,49.669,29.143
Decree Absolute,,2008 Q2,All,All,30851,47.813,33.714
Decree Absolute,,2014 Q1,All,All,29141,49.378,31.714
Decree Absolute,,2016 Q2,All,All,29117,48.597,30
Decree Absolute,,2009 Q3,All,All,29144,47.862,31.714
Decree Absolute,,2019 Q1,All,All,23968,60.482,39.857
Decree Absolute,,2010 Q4,All,All,30269,48.988,31
Decree Absolute,,2006 Q3,All,All,32816,45.945,31.429
Decree Absolute,,2013 Q3,All,All,29808,50.728,30.143
Decree Absolute,,2004 Q3,All,All,38899,43.747,30.143
Decree Absolute,,2010 Q1,All,All,30280,47.246,31.714
Decree Absolute,,2022 Q4,All,All,17065,66.523,36.857
Decree Absolute,,2023 Q3,All,All,25810,64.425,39.857
Decree Absolute,,2004 Q1,All,All,39091,44.208,31.857
Decree Absolute,,2020 Q3,All,All,23625,50.763,35.286
Decree Absolute,,2012 Q2,All,All,29549,48.795,31.571
Decree Absolute,,2017 Q3,All,All,24947,49.832,29.857
Decree Absolute,,2011 Q2,All,All,29026,49.003,32.429
Decree Absolute,,2007 Q3,All,All,33129,45.944,31.286
Decree Absolute,,2017 Q1,All,All,27963,50.163,31.714
Decree Absolute,,2019 Q2,All,All,24221,58.167,40.857
Decree Absolute,,2022 Q2,All,All,19716,55.925,31.143
Decree Absolute,,2019 Q3,All,All,28821,54.972,39.857
Decree Absolute,,2005 Q2,All,All,36349,45.257,31.571
Decree Absolute,,2022 Q3,All,All,19724,65.702,39.286
Decree Absolute,,2013 Q1,All,All,28683,49.039,31.143
Decree Absolute,,2018 Q1,All,All,24047,52.254,32
Decree Absolute,,2013 Q4,All,All,28195,49.477,30.857
Decree Absolute,,2023 Q1,All,All,27460,63.356,38
Decree Absolute,,2025 Q1,All,All,22106,74.429,45
Decree Absolute,,2008 Q3,All,All,30593,47.789,31.143
Decree Absolute,,2023 Q2,All,All,27331,61.529,37.857
Decree Absolute,,2017 Q2,All,All,26493,49.059,30
Decree Absolute,,2006 Q2,All,All,32913,45.516,31.714
Decree Absolute,,2025 Q4,All,All,27717,64.845,38.286
Decree Absolute,,2024 Q4,All,All,23415,70.41,42.429
Decree Absolute,,2021 Q3,All,All,27389,54.419,30.571
Decree Absolute,,2003 Q4,All,All,37652,43.375,31.286
Decree Absolute,,2012 Q3,All,All,30191,48.946,31
Decree Absolute,,2022 Q1,All,All,23912,55.845,32.857
Decree Absolute,,2008 Q4,All,All,28838,46.983,31
Decree Absolute,,2006 Q1,All,All,34240,45.682,31.714
Decree Absolute,,2003 Q1,All,All,38811,42.121,31.143
Decree Absolute,,2016 Q1,All,All,26735,50.997,31.429
Decree Absolute,,2007 Q1,All,All,34612,46.189,31.571
Decree Absolute,,2007 Q2,All,All,33129,45.835,31.571
Decree Absolute,,2005 Q3,All,All,35876,45.077,31.143
Decree Absolute,,2020 Q1,All,All,30174,52.835,36
Decree Absolute,,2021 Q4,All,All,25753,52.395,27.857
Decree Absolute,,2015 Q4,All,All,22570,51.613,31
Decree Absolute,,2010 Q2,All,All,29764,48.449,32.357
Decree Absolute,,2005 Q4,All,All,33254,45.353,31.143
Decree Absolute,,2013 Q2,All,All,28181,50.476,32
Decree Absolute,,2003 Q3,All,All,37853,42.704,30.714
Decree Absolute,,2015 Q2,All,All,26213,48.117,28.857
Decree Absolute,,2016 Q3,All,All,27593,48.14,29.143
Decree Absolute,,2024 Q2,All,All,29028,63.179,40.571
Decree Absolute,,2009 Q1,All,All,28705,48.43,32.571
Decree Absolute,,2006 Q4,All,All,32341,45.768,31.286
Decree Absolute,,2024 Q1,All,All,25722,67.158,43.286
Decree Absolute,,2023 Q4,All,All,22874,68.53,41.714
Decree Absolute,,2011 Q1,All,All,30864,48.999,32.714
Decree Absolute,,2014 Q2,All,All,27719,49.202,30.286
Decree Absolute,,2009 Q4,All,All,29883,47.451,31
Decree Absolute,,2004 Q1,Paper,All,39091,44.208,31.857
Decree Absolute,,2011 Q3,Paper,All,30174,47.82,31.857
Decree Absolute,,2016 Q4,Paper,All,24810,52.857,30.714
Decree Absolute,,2022 Q1,Digital,All,15467,27.988,18.714
Decree Absolute,,2014 Q4,Paper,All,27135,48.637,28.571
Decree Absolute,,2003 Q1,Paper,All,38811,42.121,31.143
Decree Absolute,,2018 Q4,Paper,All,24102,56.228,36.857
Decree Absolute,,2019 Q2,Paper,All,24221,58.167,40.857
Decree Absolute,,2020 Q4,Paper,All,14403,80.063,60.143
Decree Absolute,,2008 Q2,Paper,All,30851,47.813,33.714
Decree Absolute,,2020 Q2,Paper,All,14454,66.498,47.429
Decree Absolute,,2005 Q3,Paper,All,35876,45.077,31.143
Decree Absolute,,2015 Q1,Paper,All,27068,48.836,28.286
Decree Absolute,,2017 Q3,Paper,All,24947,49.832,29.857
Decree Absolute,,2006 Q3,Paper,All,32816,45.945,31.429
Decree Absolute,,2005 Q4,Paper,All,33254,45.353,31.143
Decree Absolute,,2004 Q3,Paper,All,38899,43.747,30.143
Decree Absolute,,2021 Q1,Paper,All,15095,80.124,60.571
Decree Absolute,,2025 Q1,Digital,All,20100,61.761,43
Decree Absolute,,2004 Q4,Paper,All,36891,43.992,31
Decree Absolute,,2020 Q2,Digital,All,10383,16.153,14
Decree Absolute,,2020 Q4,Digital,All,10936,19.572,16
Decree Absolute,,2021 Q1,Digital,All,15038,20.709,17
Decree Absolute,,2017 Q2,Paper,All,26493,49.059,30
Decree Absolute,,2024 Q1,Paper,All,3336,166.321,139.143
Decree Absolute,,2023 Q4,Digital,All,19431,50.997,38.429
Decree Absolute,,2011 Q1,Paper,All,30864,48.999,32.714
Decree Absolute,,2023 Q2,Paper,All,4367,149.098,119.571
Decree Absolute,,2022 Q4,Paper,All,4741,127.711,98.571
Decree Absolute,,2023 Q3,Digital,All,21620,46.286,36
Decree Absolute,,2025 Q2,Digital,All,26103,58.169,41.571
Decree Absolute,,2025 Q1,Paper,All,2006,201.252,172.286
Decree Absolute,,2020 Q3,Paper,All,14256,73.404,54.714
Decree Absolute,,2012 Q2,Paper,All,29549,48.795,31.571
Decree Absolute,,2007 Q4,Paper,All,27809,46.594,31.286
Decree Absolute,,2021 Q2,Digital,All,16624,21.132,15
Decree Absolute,,2011 Q4,Paper,All,29424,48.681,32
Decree Absolute,,2008 Q4,Paper,All,28838,46.983,31
Decree Absolute,,2018 Q2,Paper,All,22639,55.093,34.571
Decree Absolute,,2011 Q2,Paper,All,29026,49.003,32.429
Decree Absolute,,2008 Q1,Paper,All,31977,47.622,33.714
Decree Absolute,,2009 Q2,Paper,All,27283,48.314,32.571
Decree Absolute,,2005 Q1,Paper,All,35922,44.748,31.286
Decree Absolute,,2017 Q1,Paper,All,27963,50.163,31.714
Decree Absolute,,2016 Q1,Paper,All,26735,50.997,31.429
Decree Absolute,,2022 Q2,Paper,All,6215,114.667,83
Decree Absolute,,2007 Q1,Paper,All,34612,46.189,31.571
Decree Absolute,,2020 Q1,Paper,All,23063,63.607,45.286
Decree Absolute,,2019 Q4,Paper,All,30143,53.949,38.286
Decree Absolute,,2018 Q3,Paper,All,21195,57.133,37.143
Decree Absolute,,2022 Q2,Digital,All,13501,28.883,18.857
Decree Absolute,,2015 Q2,Paper,All,26213,48.117,28.857
Decree Absolute,,2023 Q3,Paper,All,4190,158.022,129.286
Decree Absolute,,2006 Q4,Paper,All,32341,45.768,31.286
Decree Absolute,,2006 Q2,Paper,All,32913,45.516,31.714
Decree Absolute,,2024 Q3,Digital,All,24607,51.754,38
Decree Absolute,,2020 Q1,Digital,All,7111,17.898,17.429
Decree Absolute,,2024 Q3,Paper,All,2666,164.179,124.571
Decree Absolute,,2023 Q1,Digital,All,21797,42.216,35.571
Decree Absolute,,2023 Q4,Paper,All,3443,167.48,137.857
Decree Absolute,,2021 Q3,Digital,All,15369,22.853,16
Decree Absolute,,2012 Q3,Paper,All,30191,48.946,31
Decree Absolute,,2010 Q3,Paper,All,30520,48.095,31.429
Decree Absolute,,2022 Q1,Paper,All,8445,106.866,80.857
Decree Absolute,,2003 Q2,Paper,All,37920,41.979,30.857
Decree Absolute,,2006 Q1,Paper,All,34240,45.682,31.714
Decree Absolute,,2020 Q3,Digital,All,9369,16.311,13.143
Decree Absolute,,2019 Q3,Paper,All,28821,54.972,39.857
Decree Absolute,,2016 Q2,Paper,All,29117,48.597,30
Decree Absolute,,2007 Q2,Paper,All,33129,45.835,31.571
Decree Absolute,,2012 Q1,Paper,All,31612,49.037,31.714
Decree Absolute,,2022 Q3,Digital,All,13264,36.791,27.714
Decree Absolute,,2021 Q4,Digital,All,16464,23.083,15.429
Decree Absolute,,2021 Q4,Paper,All,9289,104.347,80.857
Decree Absolute,,2019 Q1,Paper,All,23968,60.482,39.857
Decree Absolute,,2010 Q4,Paper,All,30269,48.988,31
Decree Absolute,,2010 Q2,Paper,All,29764,48.449,32.357
Decree Absolute,,2018 Q1,Paper,All,24047,52.254,32
Decree Absolute,,2013 Q2,Paper,All,28181,50.476,32
Decree Absolute,,2021 Q2,Paper,All,13942,82.042,61
Decree Absolute,,2013 Q4,Paper,All,28195,49.477,30.857
Decree Absolute,,2008 Q3,Paper,All,30593,47.789,31.143
Decree Absolute,,2023 Q2,Digital,All,22964,44.876,35.286
Decree Absolute,,2010 Q1,Paper,All,30280,47.246,31.714
Decree Absolute,,2024 Q2,Digital,All,26044,52.208,39
Decree Absolute,,2022 Q4,Digital,All,12324,42.984,33.286
Decree Absolute,,2014 Q2,Paper,All,27719,49.202,30.286
Decree Absolute,,2022 Q3,Paper,All,6460,125.065,95.357
Decree Absolute,,2024 Q4,Paper,All,2560,175.629,136.143
Decree Absolute,,2019 Q4,Digital,All,155,16.43,16.714
Decree Absolute,,2015 Q3,Paper,All,26303,48.216,28.286
Decree Absolute,,2003 Q4,Paper,All,37652,43.375,31.286
Decree Absolute,,2007 Q3,Paper,All,33129,45.944,31.286
Decree Absolute,,2004 Q2,Paper,All,37714,43.739,31.143
Decree Absolute,,2012 Q4,Paper,All,29164,49.061,31
Decree Absolute,,2017 Q4,Paper,All,23398,50.965,31.143
Decree Absolute,,2014 Q3,Paper,All,27805,49.669,29.143
Decree Absolute,,2014 Q1,Paper,All,29141,49.378,31.714
Decree Absolute,,2005 Q2,Paper,All,36349,45.257,31.571
Decree Absolute,,2009 Q3,Paper,All,29144,47.862,31.714
Decree Absolute,,2015 Q4,Paper,All,22570,51.613,31
Decree Absolute,,2013 Q1,Paper,All,28683,49.039,31.143
Decree Absolute,,2003 Q3,Paper,All,37853,42.704,30.714
Decree Absolute,,2013 Q3,Paper,All,29808,50.728,30.143
Decree Absolute,,2025 Q3,Paper,All,1766,202.5,126.929
Decree Absolute,,2023 Q1,Paper,All,5663,144.725,115
Decree Absolute,,2021 Q3,Paper,All,12020,94.78,73.286
Decree Absolute,,2016 Q3,Paper,All,27593,48.14,29.143
Decree Absolute,,2009 Q1,Paper,All,28705,48.43,32.571
Decree Absolute,,2009 Q4,Paper,All,29883,47.451,31
Decree Absolute,,2025 Q4,Digital,All,26119,56.432,37.286
Decree Absolute,,2024 Q2,Paper,All,2984,158.939,115.714
Decree Absolute,,2024 Q1,Digital,All,22386,52.381,40.857
Decree Absolute,,2024 Q4,Digital,All,20855,57.493,39.714
Decree Absolute,,2025 Q2,Paper,All,2061,202.263,117.429
Decree Absolute,,2025 Q3,Digital,All,25951,58.22,40.571
Decree Absolute,,2025 Q4,Paper,All,1598,202.341,124.143
Petition,2016,,Paper,All,114039,,
Petition,2011,,Paper,All,129258,,
Petition,2005,,Paper,All,149821,,
Petition,2014,,Paper,All,112559,,
Petition,2020,,Paper,All,51885,,
Petition,2023,,Digital,All,107278,,
Petition,2009,,Paper,All,131896,,
Petition,2021,,Paper,All,26657,,
Petition,2008,,Paper,All,128571,,
Petition,2007,,Paper,All,135853,,
Petition,2013,,Paper,All,117483,,
Petition,2004,,Paper,All,165133,,
Petition,2022,,Digital,All,114901,,
Petition,2022,,Paper,All,7583,,
Petition,2023,,Paper,All,5795,,
Petition,2024,,Paper,All,4134,,
Petition,2015,,Paper,All,114504,,
Petition,2003,,Paper,All,170741,,
Petition,2019,,Paper,All,104188,,
Petition,2020,,Digital,All,61185,,
Petition,2017,,Paper,All,109266,,
Petition,2010,,Paper,All,133268,,
Petition,2006,,Paper,All,146765,,
Petition,2025,,Digital,All,106026,,
Petition,2024,,Digital,All,106294,,
Petition,2021,,Digital,All,81875,,
Petition,2012,,Paper,All,124395,,
Petition,2018,,Paper,All,118346,,
Petition,2019,,Digital,All,12440,,
Petition,2025,,Paper,All,3158,,
Decree Absolute,2010,,All,Old,120833,48.193,31.571
Decree Absolute,2008,,All,Old,122259,47.561,32.429
Decree Absolute,2018,,All,Old,91983,55.118,35.143
Decree Absolute,2014,,All,Old,111800,49.227,30
Decree Absolute,2005,,All,Old,141401,45.104,31.286
Decree Absolute,2013,,All,Old,114867,49.937,31
Decree Absolute,2025,,All,Old,5847,290.951,234.143
Decree Absolute,2023,,All,Old,26551,136.638,108.714
Decree Absolute,2025,,All,New,99857,55.528,40.857
Decree Absolute,2021,,All,Old,113841,51.439,29.286
Decree Absolute,2012,,All,Old,120516,48.961,31.286
Decree Absolute,2011,,All,Old,119488,48.624,32.143
Decree Absolute,2017,,All,Old,102801,49.981,30.714
Decree Absolute,2023,,All,New,76924,39.31,35.286
Decree Absolute,2024,,All,New,94245,48.585,39.143
Decree Absolute,2004,,All,Old,152595,43.922,31
Decree Absolute,2020,,All,Old,103975,50.874,34.429
Decree Absolute,2007,,All,Old,128679,46.122,31.429
Decree Absolute,2016,,All,Old,108255,50.05,30.429
Decree Absolute,2006,,All,Old,132310,45.727,31.571
Decree Absolute,2015,,All,Old,102154,49.106,29
Decree Absolute,2003,,All,Old,152236,42.541,31
Decree Absolute,2022,,All,Old,72969,63.377,39.143
Decree Absolute,2009,,All,Old,115015,48.004,32
Decree Absolute,2019,,All,Old,107308,56.581,39.571
Decree Absolute,2024,,All,Old,11193,209.269,169.143
Decree Absolute,2022,,All,New,7448,32.836,32.571
Decree Nisi,2020,,All,Old,106649,27.569,18.857
Decree Nisi,2019,,All,Old,115240,31.544,24.429
Decree Nisi,2003,,All,Old,156210,24.718,17.143
Decree Nisi,2009,,All,Old,119347,24.927,16.714
Decree Nisi,2006,,All,Old,134705,24.584,16.571
Decree Nisi,2016,,All,Old,114123,25.466,17.714
Decree Nisi,2018,,All,Old,91991,29.733,22.286
Decree Nisi,2025,,All,Old,1866,286.944,245
Decree Nisi,2022,,All,New,21506,27.489,27
Decree Nisi,2023,,All,New,95178,30.903,28.143
Decree Nisi,2008,,All,Old,120537,24.759,16.143
Decree Nisi,2005,,All,Old,141803,24.432,16.286
Decree Nisi,2007,,All,Old,133113,25.077,16.857
Decree Nisi,2017,,All,Old,103120,24.834,16.571
Decree Nisi,2012,,All,Old,122337,24.539,15.857
Decree Nisi,2024,,All,New,103245,34.52,29.143
Decree Nisi,2010,,All,Old,125277,25.503,16.857
Decree Nisi,2021,,All,Old,114077,25.09,13.286
Decree Nisi,2015,,All,Old,99082,24.641,16.143
Decree Nisi,2025,,All,New,115821,36.845,30.286
Decree Nisi,2014,,All,Old,109656,23.887,15.143
Decree Nisi,2013,,All,Old,113286,24.51,15.571
Decree Nisi,2011,,All,Old,122234,25.271,16.714
Decree Nisi,2004,,All,Old,154305,24.631,16.857
Decree Nisi,2022,,All,Old,58728,37.911,21.571
Decree Nisi,2023,,All,Old,9764,124.744,100.429
Decree Nisi,2024,,All,Old,3779,202.86,169.714
Decree Absolute,2004,,Paper,Old,152595,43.922,31
Decree Absolute,2020,,Paper,Old,66176,69.931,51
Decree Absolute,2011,,Paper,Old,119488,48.624,32.143
Decree Absolute,2017,,Paper,Old,102801,49.981,30.714
Decree Absolute,2016,,Paper,Old,108255,50.05,30.429
Decree Absolute,2022,,Paper,Old,25860,117.111,88.143
Decree Absolute,2009,,Paper,Old,115015,48.004,32
Decree Absolute,2023,,Digital,Old,11376,91.49,87.143
Decree Absolute,2023,,Digital,New,74436,38.981,35
Decree Absolute,2024,,Digital,New,89002,48.198,38.286
Decree Absolute,2015,,Paper,Old,102154,49.106,29
Decree Absolute,2021,,Digital,Old,63495,21.955,16
Decree Absolute,2010,,Paper,Old,120833,48.193,31.571
Decree Absolute,2019,,Paper,Old,107153,56.639,39.714
Decree Absolute,2021,,Paper,Old,50346,88.624,66
Decree Absolute,2025,,Digital,New,96053,55.2,40.286
Decree Absolute,2023,,Paper,New,2488,49.176,46.857
Decree Absolute,2019,,Digital,Old,155,16.43,16.714
Decree Absolute,2022,,Paper,New,1,36,36
Decree Absolute,2012,,Paper,Old,120516,48.961,31.286
Decree Absolute,2007,,Paper,Old,128679,46.122,31.429
Decree Absolute,2008,,Paper,Old,122259,47.561,32.429
Decree Absolute,2022,,Digital,Old,47109,33.88,25
Decree Absolute,2006,,Paper,Old,132310,45.727,31.571
Decree Absolute,2005,,Paper,Old,141401,45.104,31.286
Decree Absolute,2020,,Digital,Old,37799,17.51,15.286
Decree Absolute,2025,,Paper,Old,3627,347.083,292.143
Decree Absolute,2023,,Paper,Old,15175,170.484,138.571
Decree Absolute,2024,,Digital,Old,4890,146.231,140.286
Decree Absolute,2022,,Digital,New,7447,32.835,32.571
Decree Absolute,2024,,Paper,New,5243,55.151,48.714
Decree Absolute,2003,,Paper,Old,152236,42.541,31
Decree Absolute,2018,,Paper,Old,91983,55.118,35.143
Decree Absolute,2014,,Paper,Old,111800,49.227,30
Decree Absolute,2013,,Paper,Old,114867,49.937,31
Decree Absolute,2025,,Digital,Old,2220,199.244,193.714
Decree Absolute,2024,,Paper,Old,6303,258.175,213.571
Decree Absolute,2025,,Paper,New,3804,63.791,52.571
Decree Absolute,,2021 Q2,Digital,Old,16624,21.132,15
Decree Absolute,,2015 Q1,Paper,Old,27068,48.836,28.286
Decree Absolute,,2017 Q3,Paper,Old,24947,49.832,29.857
Decree Absolute,,2004 Q2,Paper,Old,37714,43.739,31.143
Decree Absolute,,2017 Q1,Paper,Old,27963,50.163,31.714
Decree Absolute,,2017 Q4,Paper,Old,23398,50.965,31.143
