year,quarter,applicant_type,digital_paper_channel,total_open_caseload,total_non_workable_open_caseload,total_workable_open_caseload,total_open_caseload_probate,total_open_caseload_admin,total_open_caseload_admin_will,open_caseload_up_to_6m,open_caseload_6m_to_12m,open_caseload_12m_to_24m,open_caseload_over_24m
2024,Q2,Personal,All,32960,19119,13841,22700,8467,1793,26431,4162,1531,836
2024,Q2,Personal,Digital,22060,13771,8289,17985,3731,344,18775,2201,804,280
2024,Q2,Personal,Paper,10850,5346,5504,4666,4736,1448,7656,1961,727,506
2024,Q2,Solicitor,All,29117,12965,16152,17873,7836,3408,24588,2830,1062,637
2024,Q2,Solicitor,Digital,16304,9708,6596,14944,799,561,14571,1214,372,147
2024,Q2,Solicitor,Paper,12796,3257,9539,2912,7037,2847,10017,1616,690,473
2024,Q3,All,All,45504,31432,14072,29101,11559,4844,35218,6166,2578,1542
2024,Q3,All,Digital,26620,22212,4408,22783,3147,690,22026,3046,1121,427
2024,Q3,All,Paper,18820,9218,9602,6255,8412,4153,13192,3120,1457,1051
2024,Q3,Personal,All,24200,18924,5276,16163,6505,1532,18025,3730,1566,879
2024,Q3,Personal,Digital,15685,13510,2175,12690,2674,321,12532,2123,744,286
2024,Q3,Personal,Paper,8468,5412,3056,3427,3831,1210,5493,1607,822,546
2024,Q3,Solicitor,All,21304,12508,8796,12938,5054,3312,17193,2436,1012,663
2024,Q3,Solicitor,Digital,10935,8702,2233,10093,473,369,9494,923,377,141
2024,Q3,Solicitor,Paper,10352,3806,6546,2828,4581,2943,7699,1513,635,505
2024,Q4,All,All,39429,27250,12179,25103,10355,3971,30841,5097,2208,1283
2024,Q4,All,Digital,22976,18883,4093,19682,2775,519,19336,2372,898,370
2024,Q4,All,Paper,16396,8365,8031,5365,7580,3451,11505,2725,1310,856
2024,Q4,Personal,All,21824,16595,5229,14710,5930,1184,16542,3107,1381,794
2024,Q4,Personal,Digital,14401,11947,2454,11731,2407,263,11675,1793,640,293
2024,Q4,Personal,Paper,7383,4646,2737,2940,3523,920,4867,1314,741,461
2024,Q4,Solicitor,All,17605,10655,6950,10393,4425,2787,14299,1990,827,489
2024,Q4,Solicitor,Digital,8575,6936,1639,7951,368,256,7661,579,258,77
2024,Q4,Solicitor,Paper,9013,3719,5294,2425,4057,2531,6638,1411,569,395
2025,,All,All,39437,18659,20778,23932,11654,3851,30659,5337,2272,1169
2025,,All,Digital,21301,12447,8854,18108,2750,443,17823,2295,812,371
2025,,All,Paper,18092,6203,11889,5782,8903,3407,12824,3042,1459,767
2025,,Personal,All,21549,11776,9773,14655,5885,1009,16642,2959,1284,664
2025,,Personal,Digital,14302,8381,5921,11717,2409,176,11822,1666,563,251
2025,,Personal,Paper,7211,3388,3823,2904,3475,832,4808,1293,720,390
2025,,Solicitor,All,17888,6883,11005,9277,5769,2842,14017,2378,988,505
2025,,Solicitor,Digital,6999,4066,2933,6391,341,267,6001,629,249,120
2025,,Solicitor,Paper,10881,2815,8066,2878,5428,2575,8016,1749,739,377
2025,Q1,All,All,35684,26547,9137,23437,9030,3217,28114,4199,2134,1237
2025,Q1,All,Digital,21697,18787,2910,18765,2441,491,18682,1853,807,355
2025,Q1,All,Paper,13950,7758,6192,4636,6589,2725,9432,2346,1327,845
2025,Q1,Personal,All,20346,16160,4186,14028,5198,1120,15801,2492,1291,762
2025,Q1,Personal,Digital,13911,11839,2072,11505,2145,261,11690,1363,579,279
2025,Q1,Personal,Paper,6408,4319,2089,2497,3053,858,4111,1129,712,456
2025,Q1,Solicitor,All,15338,10387,4951,9409,3832,2097,12313,1707,843,475
2025,Q1,Solicitor,Digital,7786,6948,838,7260,296,230,6992,490,228,76
2025,Q1,Solicitor,Paper,7542,3439,4103,2139,3536,1867,5321,1217,615,389
2025,Q2,All,All,39245,21883,17362,23863,11178,4204,32177,3945,1976,1147
2025,Q2,All,Digital,21964,15983,5981,18828,2634,502,19269,1655,723,317
2025,Q2,All,Paper,17243,5896,11347,4998,8544,3701,12907,2289,1253,794
2025,Q2,Personal,All,20757,13365,7392,13855,5609,1293,16612,2304,1137,704
2025,Q2,Personal,Digital,13717,10103,3614,11145,2331,241,11744,1212,511,250
2025,Q2,Personal,Paper,7013,3259,3754,2684,3278,1051,4868,1091,626,428
2025,Q2,Solicitor,All,18488,8518,9970,10008,5569,2911,15565,1641,839,443
2025,Q2,Solicitor,Digital,8247,5880,2367,7683,303,261,7525,443,212,67
2025,Q2,Solicitor,Paper,10230,2637,7593,2314,5266,2650,8039,1198,627,366
2025,Q3,All,All,38282,21404,16878,23499,10682,4101,31219,4004,2012,1047
2025,Q3,All,Digital,21503,15275,6228,18590,2434,479,18704,1794,722,283
2025,Q3,All,Paper,16741,6124,10617,4872,8248,3621,12514,2209,1290,728
2025,Q3,Personal,All,19533,12663,6870,13001,5298,1234,15345,2408,1155,625
2025,Q3,Personal,Digital,12837,9378,3459,10452,2158,227,10797,1346,490,204
2025,Q3,Personal,Paper,6669,3282,3387,2523,3140,1006,4548,1061,665,395
2025,Q3,Solicitor,All,18749,8741,10008,10498,5384,2867,15874,1596,857,422
2025,Q3,Solicitor,Digital,8666,5897,2769,8138,276,252,7907,448,232,79
2025,Q3,Solicitor,Paper,10072,2842,7230,2349,5108,2615,7966,1148,625,333
2025,Q4,All,All,39437,18659,20778,23932,11654,3851,30659,5337,2272,1169
2025,Q4,All,Digital,21301,12447,8854,18108,2750,443,17823,2295,812,371
2025,Q4,All,Paper,18092,6203,11889,5782,8903,3407,12824,3042,1459,767
2025,Q4,Personal,All,21549,11776,9773,14655,5885,1009,16642,2959,1284,664
2025,Q4,Personal,Digital,14302,8381,5921,11717,2409,176,11822,1666,563,251
2025,Q4,Personal,Paper,7211,3388,3823,2904,3475,832,4808,1293,720,390
2025,Q4,Solicitor,All,17888,6883,11005,9277,5769,2842,14017,2378,988,505
2025,Q4,Solicitor,Digital,6999,4066,2933,6391,341,267,6001,629,249,120
2025,Q4,Solicitor,Paper,10881,2815,8066,2878,5428,2575,8016,1749,739,377
