case_type,region,representation,quarter,number_of_cases,mean_duration,median_duration
Adoption,England & Wales,2 Applicant Only,2023-Q2,22,34,28.4
Adoption,England & Wales,2 Applicant Only,2023-Q3,21,28.6,25.9
Adoption,England & Wales,2 Applicant Only,2023-Q4,26,38,23.9
Adoption,England & Wales,2 Applicant Only,2024-Q1,21,31.7,23.6
Adoption,England & Wales,2 Applicant Only,2024-Q2,18,24.5,17.4
Adoption,England & Wales,2 Applicant Only,2024-Q3,26,25.3,23.2
Adoption,England & Wales,2 Applicant Only,2024-Q4,26,33.5,26.2
Adoption,England & Wales,2 Applicant Only,2025-Q1,25,23.4,21.9
Adoption,England & Wales,2 Applicant Only,2025-Q2,24,19.6,14.9
Adoption,England & Wales,2 Applicant Only,2025-Q3,24,25.2,22.6
Adoption,England & Wales,2 Applicant Only,2025-Q4,23,26.4,25.6
Adoption,England & Wales,3 Respondent Only,2011-Q1,38,21,16.5
Adoption,England & Wales,3 Respondent Only,2011-Q2,44,16.6,15.7
Adoption,England & Wales,3 Respondent Only,2011-Q3,44,20,18.5
Adoption,England & Wales,3 Respondent Only,2011-Q4,52,18.9,16.4
Adoption,England & Wales,3 Respondent Only,2012-Q1,39,20.1,19.1
Adoption,England & Wales,3 Respondent Only,2012-Q2,39,17.9,18.1
Adoption,England & Wales,3 Respondent Only,2012-Q3,37,21.8,19.4
Adoption,England & Wales,3 Respondent Only,2012-Q4,42,16.9,14.3
Adoption,England & Wales,3 Respondent Only,2013-Q1,48,21.3,17.4
Adoption,England & Wales,3 Respondent Only,2013-Q2,54,17.9,15.6
Adoption,England & Wales,3 Respondent Only,2013-Q3,28,18.5,17.3
Adoption,England & Wales,3 Respondent Only,2013-Q4,23,17.9,18
Adoption,England & Wales,3 Respondent Only,2014-Q1,37,22.4,20.6
Adoption,England & Wales,3 Respondent Only,2014-Q2,46,24.2,23.4
Adoption,England & Wales,3 Respondent Only,2014-Q3,57,22.8,21.4
Adoption,England & Wales,3 Respondent Only,2014-Q4,58,23.8,22.1
Adoption,England & Wales,3 Respondent Only,2015-Q1,64,24.1,21.3
Adoption,England & Wales,3 Respondent Only,2015-Q2,53,25.9,24.1
Adoption,England & Wales,3 Respondent Only,2015-Q3,44,28,24.3
Adoption,England & Wales,3 Respondent Only,2015-Q4,64,23,21.1
Adoption,England & Wales,3 Respondent Only,2016-Q1,75,29.1,27.9
Adoption,England & Wales,3 Respondent Only,2016-Q2,72,27.4,24.7
Adoption,England & Wales,3 Respondent Only,2016-Q3,77,24.8,23.7
Adoption,England & Wales,3 Respondent Only,2016-Q4,52,23.7,20.4
Adoption,England & Wales,3 Respondent Only,2017-Q1,46,27.9,26.1
Adoption,England & Wales,3 Respondent Only,2017-Q2,66,27.6,25
Adoption,England & Wales,3 Respondent Only,2017-Q3,58,24.1,24.1
Adoption,England & Wales,3 Respondent Only,2017-Q4,56,27.7,27.6
Adoption,England & Wales,3 Respondent Only,2018-Q1,27,32.6,31
Adoption,England & Wales,3 Respondent Only,2018-Q2,42,30,28.1
Adoption,England & Wales,3 Respondent Only,2018-Q3,43,25.7,24.1
Adoption,England & Wales,3 Respondent Only,2018-Q4,32,28.2,27.1
Adoption,England & Wales,3 Respondent Only,2019-Q1,52,29,25.6
Adoption,England & Wales,3 Respondent Only,2019-Q2,58,27.4,26.4
Adoption,England & Wales,3 Respondent Only,2019-Q3,53,28.3,26.1
Adoption,England & Wales,3 Respondent Only,2019-Q4,42,26.6,25.1
Adoption,England & Wales,3 Respondent Only,2020-Q1,42,28.9,26.5
Adoption,England & Wales,3 Respondent Only,2020-Q2,21,23.5,23.9
Adoption,England & Wales,3 Respondent Only,2020-Q3,52,34.7,32.6
Adoption,England & Wales,3 Respondent Only,2020-Q4,56,39.1,39.1
Adoption,England & Wales,3 Respondent Only,2021-Q1,40,36.5,33.9
Adoption,England & Wales,3 Respondent Only,2021-Q2,47,36,31
Adoption,England & Wales,3 Respondent Only,2021-Q3,73,31.7,30.6
Adoption,England & Wales,3 Respondent Only,2021-Q4,44,31.9,27.5
Adoption,England & Wales,3 Respondent Only,2022-Q1,45,33,33.3
Adoption,England & Wales,3 Respondent Only,2022-Q2,48,31.1,29.9
Adoption,England & Wales,3 Respondent Only,2022-Q3,59,36.4,36
Adoption,England & Wales,3 Respondent Only,2022-Q4,59,28.2,25.3
Adoption,England & Wales,3 Respondent Only,2023-Q1,57,35.4,29.1
Adoption,England & Wales,3 Respondent Only,2023-Q2,59,31.3,27.1
Adoption,England & Wales,3 Respondent Only,2023-Q3,75,30.1,27.1
Adoption,England & Wales,3 Respondent Only,2023-Q4,71,29.4,24
Adoption,England & Wales,3 Respondent Only,2024-Q1,73,30.3,24.6
Adoption,England & Wales,3 Respondent Only,2024-Q2,112,27.8,25.4
Adoption,England & Wales,3 Respondent Only,2024-Q3,104,30.7,27.7
Adoption,England & Wales,3 Respondent Only,2024-Q4,113,24.8,23.7
Adoption,England & Wales,3 Respondent Only,2025-Q1,80,27.6,27.9
Adoption,England & Wales,3 Respondent Only,2025-Q2,118,23.7,22.4
Adoption,England & Wales,3 Respondent Only,2025-Q3,89,27.5,25.3
Adoption,England & Wales,3 Respondent Only,2025-Q4,83,24.2,21
Adoption,England & Wales,4 Neither,2011-Q1,906,15.9,14.1
Adoption,England & Wales,4 Neither,2011-Q2,1049,14.7,12.9
Adoption,England & Wales,4 Neither,2011-Q3,967,15.8,14
Adoption,England & Wales,4 Neither,2011-Q4,1037,15.7,13.1
Adoption,England & Wales,4 Neither,2012-Q1,1056,14.8,13.4
Adoption,England & Wales,4 Neither,2012-Q2,1094,14.5,12.7
Adoption,England & Wales,4 Neither,2012-Q3,1195,14.6,13
Adoption,England & Wales,4 Neither,2012-Q4,1289,13.9,12
Adoption,England & Wales,4 Neither,2013-Q1,1190,14.5,13.1
Adoption,England & Wales,4 Neither,2013-Q2,1454,14.1,12.1
Adoption,England & Wales,4 Neither,2013-Q3,1444,13.6,12
Adoption,England & Wales,4 Neither,2013-Q4,1432,14.6,12.7
Adoption,England & Wales,4 Neither,2014-Q1,1512,14.6,13.3
Adoption,England & Wales,4 Neither,2014-Q2,1537,14.7,13.1
Adoption,England & Wales,4 Neither,2014-Q3,1596,16.6,13.3
Adoption,England & Wales,4 Neither,2014-Q4,1479,15.1,13.1
Adoption,England & Wales,4 Neither,2015-Q1,1439,15.1,13.4
Adoption,England & Wales,4 Neither,2015-Q2,1485,15.4,13.1
Adoption,England & Wales,4 Neither,2015-Q3,1326,15,13
Adoption,England & Wales,4 Neither,2015-Q4,1325,15.7,13.9
Adoption,England & Wales,4 Neither,2016-Q1,1407,15.9,13.9
Adoption,England & Wales,4 Neither,2016-Q2,1349,15.1,13.3
Adoption,England & Wales,4 Neither,2016-Q3,1330,15.4,13
Adoption,England & Wales,4 Neither,2016-Q4,1189,15,13.1
Adoption,England & Wales,4 Neither,2017-Q1,1322,16.2,14.1
Adoption,England & Wales,4 Neither,2017-Q2,1248,15.9,13.9
Adoption,England & Wales,4 Neither,2017-Q3,1187,15.7,14
Adoption,England & Wales,4 Neither,2017-Q4,1197,16.2,14.1
Adoption,England & Wales,4 Neither,2018-Q1,1210,16.7,14.8
Adoption,England & Wales,4 Neither,2018-Q2,1174,16.1,14.1
Adoption,England & Wales,4 Neither,2018-Q3,1073,16.2,13.7
Adoption,England & Wales,4 Neither,2018-Q4,1088,16.4,14.3
Adoption,England & Wales,4 Neither,2019-Q1,1226,17.3,14.6
Adoption,England & Wales,4 Neither,2019-Q2,1095,16.7,13.9
Adoption,England & Wales,4 Neither,2019-Q3,1159,16,14
Adoption,England & Wales,4 Neither,2019-Q4,1126,17.3,14.4
Adoption,England & Wales,4 Neither,2020-Q1,1000,16,14
Adoption,England & Wales,4 Neither,2020-Q2,545,19.2,16.4
Adoption,England & Wales,4 Neither,2020-Q3,935,22.5,20.1
Adoption,England & Wales,4 Neither,2020-Q4,1003,22.1,17.7
Adoption,England & Wales,4 Neither,2021-Q1,1094,20.1,17
Adoption,England & Wales,4 Neither,2021-Q2,1069,19.6,16
Adoption,England & Wales,4 Neither,2021-Q3,994,20.5,17.3
Adoption,England & Wales,4 Neither,2021-Q4,903,18.8,15.9
Adoption,England & Wales,4 Neither,2022-Q1,796,20.8,17.9
Adoption,England & Wales,4 Neither,2022-Q2,906,21.5,17.1
Adoption,England & Wales,4 Neither,2022-Q3,942,21.9,18.7
Adoption,England & Wales,4 Neither,2022-Q4,954,20.1,17.2
Adoption,England & Wales,4 Neither,2023-Q1,951,19.8,16.3
Adoption,England & Wales,4 Neither,2023-Q2,932,19.2,15.9
Adoption,England & Wales,4 Neither,2023-Q3,884,18,15.1
Adoption,England & Wales,4 Neither,2023-Q4,933,18.9,15.9
Adoption,England & Wales,4 Neither,2024-Q1,980,17.8,15.7
Adoption,England & Wales,4 Neither,2024-Q2,945,17.4,15
Adoption,England & Wales,4 Neither,2024-Q3,917,17.1,14.6
Adoption,England & Wales,4 Neither,2024-Q4,841,17.4,14.4
Adoption,England & Wales,4 Neither,2025-Q1,890,16.8,14
Adoption,England & Wales,4 Neither,2025-Q2,802,16.6,14.3
Adoption,England & Wales,4 Neither,2025-Q3,801,17.1,14.9
Adoption,England & Wales,4 Neither,2025-Q4,792,17,14.6
Adoption,England & Wales,5 Unknown,2011-Q1,46,14.1,12.6
Adoption,England & Wales,5 Unknown,2011-Q2,38,15.3,14.9
Adoption,England & Wales,5 Unknown,2011-Q3,58,14.3,14
Adoption,England & Wales,5 Unknown,2011-Q4,30,17.5,13.9
Adoption,England & Wales,5 Unknown,2012-Q1,24,17.6,10.1
Adoption,England & Wales,5 Unknown,2012-Q2,35,20.2,15.4
Adoption,England & Wales,5 Unknown,2012-Q3,24,19.5,15.2
Adoption,England & Wales,5 Unknown,2012-Q4,21,17.5,11
Adoption,England & Wales,5 Unknown,2013-Q1,11,19.1,16.7
Adoption,England & Wales,5 Unknown,2013-Q2,25,14.7,11.7
Adoption,England & Wales,5 Unknown,2013-Q3,15,17.7,15.7
Adoption,England & Wales,5 Unknown,2013-Q4,11,10.1,9.7
Adoption,England & Wales,5 Unknown,2014-Q1,17,15,14
Adoption,England & Wales,5 Unknown,2014-Q2,14,10.1,10
Adoption,England & Wales,5 Unknown,2014-Q3,15,82.7,15.1
Adoption,England & Wales,5 Unknown,2014-Q4,15,17.9,13.6
Adoption,England & Wales,5 Unknown,2015-Q1,20,13,10.1
Adoption,England & Wales,5 Unknown,2015-Q2,18,15.3,11.9
Adoption,England & Wales,5 Unknown,2015-Q3,15,20.4,18
Adoption,England & Wales,5 Unknown,2015-Q4,16,15,12.8
Adoption,England & Wales,5 Unknown,2016-Q1,10,14.5,10
Adoption,England & Wales,5 Unknown,2016-Q2,9,12.3,12.7
Adoption,England & Wales,5 Unknown,2016-Q3,4,16.7,16.9
Adoption,England & Wales,5 Unknown,2016-Q4,8,14.2,8.6
Adoption,England & Wales,5 Unknown,2017-Q1,11,31.5,12.1
Adoption,England & Wales,5 Unknown,2017-Q2,8,10.8,13
Adoption,England & Wales,5 Unknown,2017-Q3,10,11.9,10
Adoption,England & Wales,5 Unknown,2017-Q4,9,13.1,10.3
Adoption,England & Wales,5 Unknown,2018-Q1,7,16.3,16.7
Adoption,England & Wales,5 Unknown,2018-Q2,6,27.7,24.8
Adoption,England & Wales,5 Unknown,2018-Q3,3,26.4,27
Adoption,England & Wales,5 Unknown,2018-Q4,4,21.4,19.7
Adoption,England & Wales,5 Unknown,2019-Q1,5,10,11.6
Adoption,England & Wales,5 Unknown,2019-Q2,8,15.3,14.6
Adoption,England & Wales,5 Unknown,2019-Q3,10,11.9,12.9
Adoption,England & Wales,5 Unknown,2019-Q4,7,17.7,14.7
Adoption,England & Wales,5 Unknown,2020-Q1,8,12.1,9.4
Adoption,England & Wales,5 Unknown,2020-Q2,3,22,27.3
Adoption,England & Wales,5 Unknown,2020-Q3,2,13,13
Adoption,England & Wales,5 Unknown,2020-Q4,8,21.4,19.2
Adoption,England & Wales,5 Unknown,2021-Q1,8,12.9,11.7
Adoption,England & Wales,5 Unknown,2021-Q2,4,28.3,16.9
Adoption,England & Wales,5 Unknown,2021-Q3,11,18.9,14.4
Adoption,England & Wales,5 Unknown,2021-Q4,9,14.9,12
Adoption,England & Wales,5 Unknown,2022-Q1,8,18.1,14.9
Adoption,England & Wales,5 Unknown,2022-Q2,9,14.2,13.3
Adoption,England & Wales,5 Unknown,2022-Q3,11,18.5,14.3
Adoption,England & Wales,5 Unknown,2022-Q4,16,20.1,12.1
Adoption,England & Wales,5 Unknown,2023-Q1,11,15.9,13
Adoption,England & Wales,5 Unknown,2023-Q2,7,27.1,21.1
Adoption,England & Wales,5 Unknown,2023-Q3,11,18.2,11.4
Adoption,England & Wales,5 Unknown,2023-Q4,17,21.5,20.6
Adoption,England & Wales,5 Unknown,2024-Q1,7,13,10.1
Adoption,England & Wales,5 Unknown,2024-Q2,14,23.5,18.3
Adoption,England & Wales,5 Unknown,2024-Q3,9,20.5,20.9
Adoption,England & Wales,5 Unknown,2024-Q4,6,20.9,18.6
Adoption,England & Wales,5 Unknown,2025-Q1,2,22.2,22.2
Adoption,England & Wales,5 Unknown,2025-Q2,3,4.2,2.1
Adoption,England & Wales,5 Unknown,2025-Q3,7,24.6,23
Adoption,England & Wales,5 Unknown,2025-Q4,4,19,20.4
Adoption,England & Wales,All types,2011-Q1,1072,16.6,14.3
Adoption,England & Wales,All types,2011-Q2,1200,15.3,13
Adoption,England & Wales,All types,2011-Q3,1157,16.2,14.3
Adoption,England & Wales,All types,2011-Q4,1224,16.4,13.4
Adoption,England & Wales,All types,2012-Q1,1191,15.6,13.6
Adoption,England & Wales,All types,2012-Q2,1246,15.5,13
Adoption,England & Wales,All types,2012-Q3,1330,15.4,13.3
Adoption,England & Wales,All types,2012-Q4,1429,14.5,12.4
Adoption,England & Wales,All types,2013-Q1,1325,15.4,13.4
Adoption,England & Wales,All types,2013-Q2,1610,14.4,12.4
Adoption,England & Wales,All types,2013-Q3,1559,14.1,12.1
Adoption,England & Wales,All types,2013-Q4,1521,15,13
Adoption,England & Wales,All types,2014-Q1,1623,14.9,13.4
Adoption,England & Wales,All types,2014-Q2,1668,15.4,13.4
Adoption,England & Wales,All types,2014-Q3,1750,17.7,13.6
Adoption,England & Wales,All types,2014-Q4,1637,16,13.9
Adoption,England & Wales,All types,2015-Q1,1598,15.7,13.9
Adoption,England & Wales,All types,2015-Q2,1612,15.9,13.4
Adoption,England & Wales,All types,2015-Q3,1459,15.9,13.3
Adoption,England & Wales,All types,2015-Q4,1463,16.2,14.3
Adoption,England & Wales,All types,2016-Q1,1555,17,14.4
Adoption,England & Wales,All types,2016-Q2,1481,16.1,13.9
Adoption,England & Wales,All types,2016-Q3,1459,16.2,13.7
Adoption,England & Wales,All types,2016-Q4,1294,15.6,13.4
Adoption,England & Wales,All types,2017-Q1,1412,16.9,14.4
Adoption,England & Wales,All types,2017-Q2,1375,16.9,14.1
Adoption,England & Wales,All types,2017-Q3,1303,16.4,14.4
Adoption,England & Wales,All types,2017-Q4,1307,17,14.6
Adoption,England & Wales,All types,2018-Q1,1277,17.5,15
Adoption,England & Wales,All types,2018-Q2,1259,17,14.7
Adoption,England & Wales,All types,2018-Q3,1161,17,14.1
Adoption,England & Wales,All types,2018-Q4,1177,17.3,15
Adoption,England & Wales,All types,2019-Q1,1324,18.2,15.1
Adoption,England & Wales,All types,2019-Q2,1193,17.6,14.4
Adoption,England & Wales,All types,2019-Q3,1256,16.9,14.4
Adoption,England & Wales,All types,2019-Q4,1198,17.9,14.9
Adoption,England & Wales,All types,2020-Q1,1093,16.7,14.3
Adoption,England & Wales,All types,2020-Q2,584,19.6,16.9
Adoption,England & Wales,All types,2020-Q3,1016,23.4,20.9
Adoption,England & Wales,All types,2020-Q4,1093,23.4,18.3
Adoption,England & Wales,All types,2021-Q1,1168,21,17.3
Adoption,England & Wales,All types,2021-Q2,1152,20.7,16.6
Adoption,England & Wales,All types,2021-Q3,1102,21.7,18
Adoption,England & Wales,All types,2021-Q4,981,19.6,16.1
Adoption,England & Wales,All types,2022-Q1,885,21.8,18.1
Adoption,England & Wales,All types,2022-Q2,983,22,18
Adoption,England & Wales,All types,2022-Q3,1031,22.9,19.1
Adoption,England & Wales,All types,2022-Q4,1058,20.9,17.9
Adoption,England & Wales,All types,2023-Q1,1046,21,17
Adoption,England & Wales,All types,2023-Q2,1026,20.3,16.4
Adoption,England & Wales,All types,2023-Q3,1000,19.3,16.3
Adoption,England & Wales,All types,2023-Q4,1054,20.2,16.6
Adoption,England & Wales,All types,2024-Q1,1086,19,16.4
Adoption,England & Wales,All types,2024-Q2,1092,18.7,16.1
Adoption,England & Wales,All types,2024-Q3,1058,18.7,15.6
Adoption,England & Wales,All types,2024-Q4,990,18.8,15.7
Adoption,England & Wales,All types,2025-Q1,998,17.9,15
Adoption,England & Wales,All types,2025-Q2,956,17.8,15
Adoption,England & Wales,All types,2025-Q3,923,18.4,15.9
Adoption,England & Wales,All types,2025-Q4,907,18,15.3
Adoption,LONDON,1 Both,2011-Q1,2,14.9,14.9
Adoption,LONDON,1 Both,2011-Q2,4,30.7,32.1
Adoption,LONDON,1 Both,2011-Q3,11,21,22.3
Adoption,LONDON,1 Both,2011-Q4,8,38.9,33.9
Adoption,LONDON,1 Both,2012-Q1,8,35.8,35.8
Adoption,LONDON,1 Both,2012-Q2,6,23,21
Adoption,LONDON,1 Both,2012-Q3,8,20.1,13.4
Adoption,LONDON,1 Both,2012-Q4,9,28.8,23.7
Adoption,LONDON,1 Both,2013-Q1,10,23.8,28.4
Adoption,LONDON,1 Both,2013-Q2,7,13.7,11.7
Adoption,LONDON,1 Both,2013-Q3,4,28.9,21.9
Adoption,LONDON,1 Both,2013-Q4,5,15.2,13.3
Adoption,LONDON,1 Both,2014-Q1,1,14.6,14.6
Adoption,LONDON,1 Both,2014-Q2,11,30.2,25.6
Adoption,LONDON,1 Both,2014-Q3,8,29.4,30
Adoption,LONDON,1 Both,2014-Q4,6,39.1,42.4
Adoption,LONDON,1 Both,2015-Q1,5,23.3,21.7
Adoption,LONDON,1 Both,2015-Q2,7,25.9,24.3
Adoption,LONDON,1 Both,2015-Q3,5,24.6,27.3
Adoption,LONDON,1 Both,2015-Q4,6,27.9,27.6
Adoption,LONDON,1 Both,2016-Q1,7,49.6,55.9
Adoption,LONDON,1 Both,2016-Q2,3,26.7,21.4
Adoption,LONDON,1 Both,2016-Q3,5,27,24
Adoption,LONDON,1 Both,2016-Q4,2,25.3,25.3
Adoption,LONDON,1 Both,2017-Q1,1,43.1,43.1
Adoption,LONDON,1 Both,2017-Q2,4,48.4,21.8
Adoption,LONDON,1 Both,2017-Q3,1,66.1,66.1
Adoption,LONDON,1 Both,2017-Q4,2,33.8,33.8
Adoption,LONDON,1 Both,2018-Q1,2,52.8,52.8
Adoption,LONDON,1 Both,2018-Q2,3,51.9,54
Adoption,LONDON,1 Both,2018-Q4,3,38.6,40.4
Adoption,LONDON,1 Both,2019-Q1,5,50.3,46.1
Adoption,LONDON,1 Both,2019-Q2,3,32.9,28.3
Adoption,LONDON,1 Both,2019-Q3,2,49.7,49.7
Adoption,LONDON,1 Both,2019-Q4,1,33.6,33.6
Adoption,LONDON,1 Both,2020-Q1,2,33.6,33.6
Adoption,LONDON,1 Both,2020-Q2,1,54.3,54.3
Adoption,LONDON,1 Both,2020-Q3,2,81.7,81.7
Adoption,LONDON,1 Both,2020-Q4,3,63.6,63
Adoption,LONDON,1 Both,2021-Q3,1,57,57
Adoption,LONDON,1 Both,2022-Q1,2,58.6,58.6
Adoption,LONDON,1 Both,2022-Q3,1,80.9,80.9
Adoption,LONDON,1 Both,2022-Q4,1,52.4,52.4
Adoption,LONDON,1 Both,2023-Q1,2,42.3,42.3
Adoption,LONDON,1 Both,2023-Q3,2,21.4,21.4
Adoption,LONDON,1 Both,2023-Q4,2,47.4,47.4
Adoption,LONDON,1 Both,2024-Q1,3,39.3,39.7
Adoption,LONDON,1 Both,2024-Q2,1,72,72
Adoption,LONDON,2 Applicant Only,2011-Q1,27,10.4,11.4
Adoption,LONDON,2 Applicant Only,2011-Q2,25,12.8,10.7
Adoption,LONDON,2 Applicant Only,2011-Q3,21,15.1,12.9
