YEAR,Qtr,Type,Count_type,Public_private,Disposal_type,Order_type,Order_type_code,Sex,age_band,Applicants_in_case,Respondents_in_case,HC_INDICATOR,Count
2011,2,Application,Children,Private law,N/A,Financial Application,34,N/A,N/A,N/A,N/A,N/A,143
2011,2,Application,Children,Private law,N/A,Enforcement - Breach of an Enforcement Order,35,N/A,N/A,N/A,N/A,N/A,249
2011,2,Application,Children,Private law,N/A,Enforcement - Change of Area,35,N/A,N/A,N/A,N/A,N/A,11
2011,2,Application,Children,Private law,N/A,Enforcement - Increased Hours,35,N/A,N/A,N/A,N/A,N/A,17
2011,2,Application,Children,Private law,N/A,Enforcement - Reduced Hours,35,N/A,N/A,N/A,N/A,N/A,11
2011,2,Application,Children,Private law,N/A,Enforcement - Unpaid Work,35,N/A,N/A,N/A,N/A,N/A,101
2011,2,Application,Children,Public law,N/A,Enforcement - Breach of an Enforcement Order,35,N/A,N/A,N/A,N/A,N/A,5
2011,2,Application,Children,Public law,N/A,Enforcement - Reduced Hours,35,N/A,N/A,N/A,N/A,N/A,1
2011,2,Application,Children,Private law,N/A,Enforcement - Order for Financial Compensation,36,N/A,N/A,N/A,N/A,N/A,68
2011,2,Application,Children,Private law,N/A,Enforcement - Revoke an Enforcement Order,37,N/A,N/A,N/A,N/A,N/A,9
2011,2,Application,Children,Public law,N/A,Enforcement - Revoke an Enforcement Order,37,N/A,N/A,N/A,N/A,N/A,17
2011,2,Application,Children,Private law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,15877
2011,2,Application,Children,Public law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,480
2011,3,Application,Children,Public law,N/A,Care Order/Substitute Supervision Order,1,N/A,N/A,N/A,N/A,N/A,5207
2011,3,Application,Children,Public law,N/A,Discharge of Care Order,2,N/A,N/A,N/A,N/A,N/A,219
2011,3,Application,Children,Public law,N/A,Secure Accommodation Order,3,N/A,N/A,N/A,N/A,N/A,76
2011,3,Application,Children,Public law,N/A,Supervision Order,4,N/A,N/A,N/A,N/A,N/A,295
2011,3,Application,Children,Public law,N/A,Discharge of Supervision Order,7,N/A,N/A,N/A,N/A,N/A,13
2011,3,Application,Children,Public law,N/A,Contact With a Child in Care,8,N/A,N/A,N/A,N/A,N/A,161
2011,3,Application,Children,Public law,N/A,Authority to Refuse Contact,9,N/A,N/A,N/A,N/A,N/A,181
2011,3,Application,Children,Public law,N/A,Education Supervision Order,10,N/A,N/A,N/A,N/A,N/A,88
2011,3,Application,Children,Public law,N/A,Extension of Education Supervision Order,11,N/A,N/A,N/A,N/A,N/A,3
2011,3,Application,Children,Public law,N/A,Child Assessment Order,13,N/A,N/A,N/A,N/A,N/A,59
2011,3,Application,Children,Public law,N/A,Emergency Protection Order,14,N/A,N/A,N/A,N/A,N/A,424
2011,3,Application,Children,Public law,N/A,Extension of Emergency Protection Order,15,N/A,N/A,N/A,N/A,N/A,11
2011,3,Application,Children,Public law,N/A,Discharge of Emergency Protection Order,17,N/A,N/A,N/A,N/A,N/A,7
2011,3,Application,Children,Public law,N/A,Warrant to assist emergency protection order,18,N/A,N/A,N/A,N/A,N/A,1
2011,3,Application,Children,Public law,N/A,Recovery Order,22,N/A,N/A,N/A,N/A,N/A,50
2011,3,Application,Children,Public law,N/A,Warrant to assist,24,N/A,N/A,N/A,N/A,N/A,4
2011,3,Application,Children,Private law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,1414
2011,3,Application,Children,Public law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,80
2011,3,Application,Children,Private law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,458
2011,3,Application,Children,Public law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,59
2011,3,Application,Children,Private law,N/A,Parental Order,28,N/A,N/A,N/A,N/A,N/A,188
2011,3,Application,Children,Private law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,9713
2011,3,Application,Children,Public law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,325
2011,3,Application,Children,Private law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,9578
2011,3,Application,Children,Public law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,233
2011,3,Application,Children,Private law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,5134
2011,3,Application,Children,Public law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,12
2011,3,Application,Children,Private law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,2680
2011,3,Application,Children,Public law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,66
2011,3,Application,Children,Private law,N/A,Financial Application,34,N/A,N/A,N/A,N/A,N/A,171
2011,3,Application,Children,Private law,N/A,Enforcement - Breach of an Enforcement Order,35,N/A,N/A,N/A,N/A,N/A,224
2011,3,Application,Children,Private law,N/A,Enforcement - Change of Area,35,N/A,N/A,N/A,N/A,N/A,23
2011,3,Application,Children,Private law,N/A,Enforcement - Increased Hours,35,N/A,N/A,N/A,N/A,N/A,25
2011,3,Application,Children,Private law,N/A,Enforcement - Reduced Hours,35,N/A,N/A,N/A,N/A,N/A,6
2011,3,Application,Children,Private law,N/A,Enforcement - Unpaid Work,35,N/A,N/A,N/A,N/A,N/A,141
2011,3,Application,Children,Public law,N/A,Enforcement - Breach of an Enforcement Order,35,N/A,N/A,N/A,N/A,N/A,4
2011,3,Application,Children,Public law,N/A,Enforcement - Increased Hours,35,N/A,N/A,N/A,N/A,N/A,1
2011,3,Application,Children,Public law,N/A,Enforcement - Unpaid Work,35,N/A,N/A,N/A,N/A,N/A,1
2011,3,Application,Children,Private law,N/A,Enforcement - Order for Financial Compensation,36,N/A,N/A,N/A,N/A,N/A,97
2011,3,Application,Children,Private law,N/A,Enforcement - Revoke an Enforcement Order,37,N/A,N/A,N/A,N/A,N/A,38
2011,3,Application,Children,Private law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,19076
2011,3,Application,Children,Public law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,577
2011,4,Application,Children,Public law,N/A,Care Order/Substitute Supervision Order,1,N/A,N/A,N/A,N/A,N/A,5048
2011,4,Application,Children,Public law,N/A,Discharge of Care Order,2,N/A,N/A,N/A,N/A,N/A,236
2011,4,Application,Children,Public law,N/A,Secure Accommodation Order,3,N/A,N/A,N/A,N/A,N/A,84
2011,4,Application,Children,Public law,N/A,Supervision Order,4,N/A,N/A,N/A,N/A,N/A,320
2011,4,Application,Children,Public law,N/A,Discharge of Supervision Order,7,N/A,N/A,N/A,N/A,N/A,12
2011,4,Application,Children,Public law,N/A,Contact With a Child in Care,8,N/A,N/A,N/A,N/A,N/A,173
2011,4,Application,Children,Public law,N/A,Authority to Refuse Contact,9,N/A,N/A,N/A,N/A,N/A,145
2011,4,Application,Children,Public law,N/A,Education Supervision Order,10,N/A,N/A,N/A,N/A,N/A,60
2011,4,Application,Children,Public law,N/A,Extension of Education Supervision Order,11,N/A,N/A,N/A,N/A,N/A,2
2011,4,Application,Children,Public law,N/A,Child Assessment Order,13,N/A,N/A,N/A,N/A,N/A,52
2011,4,Application,Children,Public law,N/A,Emergency Protection Order,14,N/A,N/A,N/A,N/A,N/A,471
2011,4,Application,Children,Public law,N/A,Extension of Emergency Protection Order,15,N/A,N/A,N/A,N/A,N/A,6
2011,4,Application,Children,Public law,N/A,Discharge of Emergency Protection Order,17,N/A,N/A,N/A,N/A,N/A,4
2011,4,Application,Children,Public law,N/A,Warrant to assist emergency protection order,18,N/A,N/A,N/A,N/A,N/A,1
2011,4,Application,Children,Public law,N/A,Recovery Order,22,N/A,N/A,N/A,N/A,N/A,60
2011,4,Application,Children,Private law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,1382
2011,4,Application,Children,Public law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,62
2011,4,Application,Children,Private law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,422
2011,4,Application,Children,Public law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,82
2011,4,Application,Children,Private law,N/A,Parental Order,28,N/A,N/A,N/A,N/A,N/A,146
2011,4,Application,Children,Private law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,9814
2011,4,Application,Children,Public law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,268
2011,4,Application,Children,Private law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,8416
2011,4,Application,Children,Public law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,210
2011,4,Application,Children,Private law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,4231
2011,4,Application,Children,Public law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,7
2011,4,Application,Children,Private law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,2036
2011,4,Application,Children,Public law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,46
2011,4,Application,Children,Private law,N/A,Financial Application,34,N/A,N/A,N/A,N/A,N/A,198
2011,4,Application,Children,Private law,N/A,Enforcement - Breach of an Enforcement Order,35,N/A,N/A,N/A,N/A,N/A,265
2011,4,Application,Children,Private law,N/A,Enforcement - Change of Area,35,N/A,N/A,N/A,N/A,N/A,15
2011,4,Application,Children,Private law,N/A,Enforcement - Increased Hours,35,N/A,N/A,N/A,N/A,N/A,52
2011,4,Application,Children,Private law,N/A,Enforcement - Reduced Hours,35,N/A,N/A,N/A,N/A,N/A,10
2011,4,Application,Children,Private law,N/A,Enforcement - Unpaid Work,35,N/A,N/A,N/A,N/A,N/A,167
2011,4,Application,Children,Public law,N/A,Enforcement - Change of Area,35,N/A,N/A,N/A,N/A,N/A,2
2011,4,Application,Children,Public law,N/A,Enforcement - Increased Hours,35,N/A,N/A,N/A,N/A,N/A,1
2011,4,Application,Children,Private law,N/A,Enforcement - Order for Financial Compensation,36,N/A,N/A,N/A,N/A,N/A,106
2011,4,Application,Children,Private law,N/A,Enforcement - Revoke an Enforcement Order,37,N/A,N/A,N/A,N/A,N/A,16
2011,4,Application,Children,Private law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,17870
2011,4,Application,Children,Public law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,483
2012,1,Application,Children,Public law,N/A,Care Order/Substitute Supervision Order,1,N/A,N/A,N/A,N/A,N/A,5225
2012,1,Application,Children,Public law,N/A,Discharge of Care Order,2,N/A,N/A,N/A,N/A,N/A,329
2012,1,Application,Children,Public law,N/A,Secure Accommodation Order,3,N/A,N/A,N/A,N/A,N/A,83
2012,1,Application,Children,Public law,N/A,Supervision Order,4,N/A,N/A,N/A,N/A,N/A,336
2012,1,Application,Children,Public law,N/A,Discharge of Supervision Order,7,N/A,N/A,N/A,N/A,N/A,23
2012,1,Application,Children,Public law,N/A,Contact With a Child in Care,8,N/A,N/A,N/A,N/A,N/A,191
2012,1,Application,Children,Public law,N/A,Authority to Refuse Contact,9,N/A,N/A,N/A,N/A,N/A,140
2012,1,Application,Children,Public law,N/A,Education Supervision Order,10,N/A,N/A,N/A,N/A,N/A,55
2012,1,Application,Children,Public law,N/A,Extension of Education Supervision Order,11,N/A,N/A,N/A,N/A,N/A,2
2012,1,Application,Children,Public law,N/A,Child Assessment Order,13,N/A,N/A,N/A,N/A,N/A,59
2012,1,Application,Children,Public law,N/A,Emergency Protection Order,14,N/A,N/A,N/A,N/A,N/A,449
2012,1,Application,Children,Public law,N/A,Extension of Emergency Protection Order,15,N/A,N/A,N/A,N/A,N/A,9
2012,1,Application,Children,Public law,N/A,Discharge of Emergency Protection Order,17,N/A,N/A,N/A,N/A,N/A,4
2012,1,Application,Children,Public law,N/A,Recovery Order,22,N/A,N/A,N/A,N/A,N/A,81
2012,1,Application,Children,Public law,N/A,Warrant to assist,24,N/A,N/A,N/A,N/A,N/A,2
2012,1,Application,Children,Private law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,1372
2012,1,Application,Children,Public law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,91
2012,1,Application,Children,Private law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,489
2012,1,Application,Children,Public law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,98
2012,1,Application,Children,Private law,N/A,Parental Order,28,N/A,N/A,N/A,N/A,N/A,195
2012,1,Application,Children,Private law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,10634
2012,1,Application,Children,Public law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,274
2012,1,Application,Children,Private law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,9343
2012,1,Application,Children,Public law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,172
2012,1,Application,Children,Private law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,4661
2012,1,Application,Children,Public law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,22
2012,1,Application,Children,Private law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,2466
2012,1,Application,Children,Public law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,71
2012,1,Application,Children,Private law,N/A,Financial Application,34,N/A,N/A,N/A,N/A,N/A,167
2012,1,Application,Children,Private law,N/A,Enforcement - Breach of an Enforcement Order,35,N/A,N/A,N/A,N/A,N/A,260
2012,1,Application,Children,Private law,N/A,Enforcement - Change of Area,35,N/A,N/A,N/A,N/A,N/A,19
2012,1,Application,Children,Private law,N/A,Enforcement - Increased Hours,35,N/A,N/A,N/A,N/A,N/A,70
2012,1,Application,Children,Private law,N/A,Enforcement - Reduced Hours,35,N/A,N/A,N/A,N/A,N/A,4
2012,1,Application,Children,Private law,N/A,Enforcement - Unpaid Work,35,N/A,N/A,N/A,N/A,N/A,172
2012,1,Application,Children,Private law,N/A,Enforcement - Order for Financial Compensation,36,N/A,N/A,N/A,N/A,N/A,53
2012,1,Application,Children,Private law,N/A,Enforcement - Revoke an Enforcement Order,37,N/A,N/A,N/A,N/A,N/A,31
2012,1,Application,Children,Private law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,19555
2012,1,Application,Children,Public law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,503
2012,2,Application,Children,Public law,N/A,Care Order/Substitute Supervision Order,1,N/A,N/A,N/A,N/A,N/A,4873
2012,2,Application,Children,Public law,N/A,Discharge of Care Order,2,N/A,N/A,N/A,N/A,N/A,262
2012,2,Application,Children,Public law,N/A,Secure Accommodation Order,3,N/A,N/A,N/A,N/A,N/A,77
2012,2,Application,Children,Public law,N/A,Supervision Order,4,N/A,N/A,N/A,N/A,N/A,296
2012,2,Application,Children,Public law,N/A,Discharge of Supervision Order,7,N/A,N/A,N/A,N/A,N/A,10
2012,2,Application,Children,Public law,N/A,Contact With a Child in Care,8,N/A,N/A,N/A,N/A,N/A,154
2012,2,Application,Children,Public law,N/A,Authority to Refuse Contact,9,N/A,N/A,N/A,N/A,N/A,114
2012,2,Application,Children,Public law,N/A,Education Supervision Order,10,N/A,N/A,N/A,N/A,N/A,51
2012,2,Application,Children,Public law,N/A,Child Assessment Order,13,N/A,N/A,N/A,N/A,N/A,41
2012,2,Application,Children,Public law,N/A,Emergency Protection Order,14,N/A,N/A,N/A,N/A,N/A,441
2012,2,Application,Children,Public law,N/A,Extension of Emergency Protection Order,15,N/A,N/A,N/A,N/A,N/A,4
2012,2,Application,Children,Public law,N/A,Discharge of Emergency Protection Order,17,N/A,N/A,N/A,N/A,N/A,4
2012,2,Application,Children,Public law,N/A,Recovery Order,22,N/A,N/A,N/A,N/A,N/A,66
2012,2,Application,Children,Private law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,1301
2012,2,Application,Children,Public law,N/A,Parental Responsibility Order,25,N/A,N/A,N/A,N/A,N/A,64
2012,2,Application,Children,Private law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,400
2012,2,Application,Children,Public law,N/A,Special Guardianship Order,27,N/A,N/A,N/A,N/A,N/A,87
2012,2,Application,Children,Private law,N/A,Parental Order,28,N/A,N/A,N/A,N/A,N/A,173
2012,2,Application,Children,Private law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,9746
2012,2,Application,Children,Public law,N/A,Section 8 Contact Order,29,N/A,N/A,N/A,N/A,N/A,269
2012,2,Application,Children,Private law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,8550
2012,2,Application,Children,Public law,N/A,Section 8 Residence Order,30,N/A,N/A,N/A,N/A,N/A,166
2012,2,Application,Children,Private law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,4550
2012,2,Application,Children,Public law,N/A,Section 8 Prohibited Steps Order,31,N/A,N/A,N/A,N/A,N/A,1
2012,2,Application,Children,Private law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,2496
2012,2,Application,Children,Public law,N/A,Section 8 Specific Issue Order,32,N/A,N/A,N/A,N/A,N/A,63
2012,2,Application,Children,Private law,N/A,Financial Application,34,N/A,N/A,N/A,N/A,N/A,176
2012,2,Application,Children,Private law,N/A,Enforcement - Breach of an Enforcement Order,35,N/A,N/A,N/A,N/A,N/A,233
2012,2,Application,Children,Private law,N/A,Enforcement - Change of Area,35,N/A,N/A,N/A,N/A,N/A,13
2012,2,Application,Children,Private law,N/A,Enforcement - Increased Hours,35,N/A,N/A,N/A,N/A,N/A,52
2012,2,Application,Children,Private law,N/A,Enforcement - Reduced Hours,35,N/A,N/A,N/A,N/A,N/A,7
2012,2,Application,Children,Private law,N/A,Enforcement - Unpaid Work,35,N/A,N/A,N/A,N/A,N/A,149
2012,2,Application,Children,Public law,N/A,Enforcement - Change of Area,35,N/A,N/A,N/A,N/A,N/A,4
2012,2,Application,Children,Private law,N/A,Enforcement - Order for Financial Compensation,36,N/A,N/A,N/A,N/A,N/A,58
2012,2,Application,Children,Private law,N/A,Enforcement - Revoke an Enforcement Order,37,N/A,N/A,N/A,N/A,N/A,14
2012,2,Application,Children,Public law,N/A,Enforcement - Revoke an Enforcement Order,37,N/A,N/A,N/A,N/A,N/A,2
2012,2,Application,Children,Private law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,18423
2012,2,Application,Children,Public law,N/A,"Child arrangements, prohibited steps or specific issue",2999,N/A,N/A,N/A,N/A,N/A,468
2012,3,Application,Children,Public law,N/A,Care Order/Substitute Supervision Order,1,N/A,N/A,N/A,N/A,N/A,5369
2012,3,Application,Children,Public law,N/A,Discharge of Care Order,2,N/A,N/A,N/A,N/A,N/A,311
2012,3,Application,Children,Public law,N/A,Secure Accommodation Order,3,N/A,N/A,N/A,N/A,N/A,90
2012,3,Application,Children,Public law,N/A,Supervision Order,4,N/A,N/A,N/A,N/A,N/A,268
2012,3,Application,Children,Public law,N/A,Discharge of Supervision Order,7,N/A,N/A,N/A,N/A,N/A,24
2012,3,Application,Children,Public law,N/A,Contact With a Child in Care,8,N/A,N/A,N/A,N/A,N/A,164
2012,3,Application,Children,Public law,N/A,Authority to Refuse Contact,9,N/A,N/A,N/A,N/A,N/A,139
2012,3,Application,Children,Public law,N/A,Education Supervision Order,10,N/A,N/A,N/A,N/A,N/A,46
2012,3,Application,Children,Public law,N/A,Child Assessment Order,13,N/A,N/A,N/A,N/A,N/A,24
2012,3,Application,Children,Public law,N/A,Emergency Protection Order,14,N/A,N/A,N/A,N/A,N/A,439
2012,3,Application,Children,Public law,N/A,Extension of Emergency Protection Order,15,N/A,N/A,N/A,N/A,N/A,15
2012,3,Application,Children,Public law,N/A,Discharge of Emergency Protection Order,17,N/A,N/A,N/A,N/A,N/A,1
2012,3,Application,Children,Public law,N/A,Recovery Order,22,N/A,N/A,N/A,N/A,N/A,58
