case_type,year,quarter,category,party,gender,representation,count
Adoption,2022,1,Party,Applicant,Male,Y,24
Adoption,2020,1,Party,Applicant,Female,Y,21
Adoption,2024,2,Party,Applicant,Unknown,N,17
Adoption,2011,2,Party,Applicant,Unknown,N,2
Adoption,2016,1,Party,Applicant,Unknown,N,3
Adoption,2015,1,Party,Applicant,Unknown,Y,1
Adoption,2020,4,Party,Applicant,Unknown,N,3
Adoption,2013,1,Party,Applicant,Unknown,N,2
Adoption,2015,2,Party,Applicant,Unknown,N,1
Adoption,2018,1,Party,Applicant,Male,N,1155
Adoption,2013,4,Party,Applicant,Female,N,1342
Adoption,2013,4,Party,Applicant,Male,N,1388
Adoption,2012,2,Party,Applicant,Male,Y,72
Adoption,2015,3,Party,Applicant,Female,N,1226
Adoption,2016,1,Party,Applicant,Female,N,1248
Adoption,2016,2,Party,Applicant,Female,Y,39
Adoption,2016,3,Party,Applicant,Female,N,1143
Adoption,2016,4,Party,Applicant,Female,N,1121
Adoption,2014,2,Party,Applicant,Male,Y,68
Adoption,2014,2,Party,Applicant,Female,Y,57
Adoption,2013,2,Party,Applicant,Male,Y,56
Adoption,2014,1,Party,Applicant,Male,Y,86
Adoption,2015,4,Party,Applicant,Female,Y,57
Adoption,2014,3,Party,Applicant,Male,Y,70
Adoption,2017,1,Party,Applicant,Female,N,1100
Adoption,2017,1,Party,Applicant,Male,N,1267
Adoption,2017,2,Party,Applicant,Female,N,978
Adoption,2017,4,Party,Applicant,Male,N,1132
Adoption,2019,4,Party,Applicant,Female,N,930
Adoption,2020,2,Party,Applicant,Male,N,698
Adoption,2020,4,Party,Applicant,Female,N,936
Adoption,2021,1,Party,Applicant,Male,N,1018
Adoption,2022,2,Party,Applicant,Male,N,817
Adoption,2023,1,Party,Applicant,Male,N,935
Adoption,2024,3,Party,Applicant,Female,N,662
Adoption,2024,4,Party,Applicant,Male,N,839
Adoption,2019,1,Party,Applicant,Female,Y,28
Adoption,2017,3,Party,Applicant,Female,Y,41
Adoption,2011,4,Party,Applicant,Male,Y,73
Adoption,2012,3,Party,Applicant,Female,Y,47
Adoption,2017,4,Party,Applicant,Female,Y,27
Adoption,2017,4,Party,Applicant,Male,Y,40
Adoption,2019,4,Party,Applicant,Female,Y,33
Adoption,2025,1,Party,Applicant,Male,Y,23
Adoption,2018,2,Party,Applicant,Female,Y,36
Adoption,2020,4,Party,Applicant,Male,Y,20
Adoption,2023,4,Party,Applicant,Male,Y,20
Adoption,2016,3,Party,Applicant,Female,Y,41
Adoption,2025,4,Party,Applicant,Female,Y,17
Adoption,2018,4,Party,Applicant,Male,Y,33
Adoption,2020,2,Party,Applicant,Female,Y,19
Adoption,2015,3,Party,Applicant,Unknown,Y,1
Adoption,2021,3,Party,Applicant,Female,Y,16
Adoption,2024,2,Party,Applicant,Male,Y,27
Adoption,2025,1,Party,Applicant,Unknown,N,19
Adoption,2016,2,Party,Applicant,Unknown,N,2
Adoption,2023,3,Party,Applicant,Female,Y,18
Adoption,2023,3,Party,Applicant,Male,Y,26
Adoption,2019,3,Party,Applicant,Female,Y,18
Adoption,2012,3,Party,Applicant,Unknown,N,6
Adoption,2012,3,Party,Applicant,Unknown,Y,1
Adoption,2011,4,Party,Applicant,Unknown,N,4
Adoption,2019,4,Party,Applicant,Unknown,N,4
Adoption,2012,1,Party,Applicant,Unknown,N,3
Adoption,2014,1,Party,Applicant,Unknown,N,3
Adoption,2011,1,Party,Applicant,Unknown,N,3
Adoption,2014,1,Party,Applicant,Unknown,Y,1
Adoption,2013,4,Party,Applicant,Unknown,N,2
Adoption,2020,3,Party,Applicant,Unknown,N,1
Adoption,2012,2,Party,Applicant,Unknown,N,1
Adoption,2018,3,Party,Applicant,Unknown,N,3
Adoption,2020,1,Party,Applicant,Unknown,N,2
Adoption,2020,2,Party,Applicant,Unknown,N,1
Adoption,2014,3,Party,Applicant,Unknown,N,2
Adoption,2016,2,Party,Applicant,Unknown,Y,1
Adoption,2022,2,Party,Applicant,Unknown,N,2
Adoption,2015,4,Party,Applicant,Unknown,N,1
Adoption,2021,1,Party,Applicant,Unknown,N,5
Adoption,2015,3,Party,Applicant,Unknown,N,2
Adoption,2023,4,Party,Applicant,Unknown,N,5
Adoption,2017,3,Party,Applicant,Unknown,N,2
Adoption,2021,3,Party,Applicant,Unknown,N,3
Adoption,2015,1,Party,Applicant,Male,N,1444
Adoption,2011,1,Party,Applicant,Female,N,1014
Adoption,2011,2,Party,Applicant,Female,N,830
Adoption,2018,2,Party,Applicant,Female,N,894
Adoption,2011,2,Party,Applicant,Male,Y,67
Adoption,2013,3,Party,Applicant,Female,N,1273
Adoption,2014,1,Party,Applicant,Female,N,1446
Adoption,2014,1,Party,Applicant,Male,N,1494
Adoption,2013,1,Party,Applicant,Female,N,1266
Adoption,2011,3,Party,Applicant,Male,N,871
Adoption,2012,2,Party,Applicant,Female,N,940
Adoption,2013,2,Party,Applicant,Female,N,1272
Adoption,2012,1,Party,Applicant,Female,N,1012
Adoption,2012,4,Party,Applicant,Male,N,1138
Adoption,2012,4,Party,Applicant,Male,Y,73
Adoption,2013,2,Party,Applicant,Female,Y,61
Adoption,2014,3,Party,Applicant,Female,N,1307
Adoption,2014,4,Party,Applicant,Female,Y,62
Adoption,2015,4,Party,Applicant,Female,N,1138
Adoption,2016,2,Party,Applicant,Male,N,1245
Adoption,2016,2,Party,Applicant,Female,N,1135
Adoption,2016,3,Party,Applicant,Male,N,1269
Adoption,2012,1,Party,Applicant,Female,Y,61
Adoption,2013,1,Party,Applicant,Male,Y,64
Adoption,2015,4,Party,Applicant,Male,Y,52
Adoption,2015,3,Party,Applicant,Male,Y,54
Adoption,2015,3,Party,Applicant,Female,Y,50
Adoption,2016,4,Party,Applicant,Male,Y,49
Adoption,2018,3,Party,Applicant,Female,N,916
Adoption,2018,3,Party,Applicant,Male,N,1097
Adoption,2021,1,Party,Applicant,Female,N,850
Adoption,2021,2,Party,Applicant,Male,Y,28
Adoption,2021,4,Party,Applicant,Female,N,777
Adoption,2017,3,Party,Respondent,Female,N,1298
Adoption,2018,1,Party,Respondent,Female,N,1201
Adoption,2018,2,Party,Respondent,Male,N,892
Adoption,2016,1,Party,Respondent,Female,Y,80
Adoption,2016,1,Party,Respondent,Male,N,1132
Adoption,2011,4,Party,Respondent,Female,Y,62
Adoption,2016,2,Party,Respondent,Male,Y,21
Adoption,2018,4,Party,Respondent,Female,N,1184
Adoption,2018,4,Party,Respondent,Male,N,876
Adoption,2019,1,Party,Respondent,Male,N,944
Adoption,2019,2,Party,Respondent,Male,N,828
Adoption,2019,3,Party,Respondent,Male,N,823
Adoption,2019,4,Party,Respondent,Male,N,824
Adoption,2019,4,Party,Respondent,Male,Y,22
Adoption,2020,2,Party,Respondent,Female,N,744
Adoption,2020,3,Party,Respondent,Male,N,756
Adoption,2020,3,Party,Respondent,Female,N,985
Adoption,2021,2,Party,Respondent,Female,N,937
Adoption,2021,3,Party,Respondent,Male,N,629
Adoption,2011,1,Party,Respondent,Male,N,841
Adoption,2011,2,Party,Respondent,Male,N,694
Adoption,2011,4,Party,Respondent,Female,N,988
Adoption,2012,1,Party,Respondent,Male,Y,18
Adoption,2021,4,Party,Respondent,Male,N,666
Adoption,2022,3,Party,Respondent,Male,N,682
Adoption,2022,4,Party,Respondent,Female,N,850
Adoption,2022,4,Party,Respondent,Male,N,645
Adoption,2023,1,Party,Respondent,Female,N,944
Adoption,2023,2,Party,Respondent,Unknown,N,3
Adoption,2023,2,Party,Respondent,Female,Y,52
Adoption,2023,4,Party,Respondent,Female,Y,72
Adoption,2024,2,Party,Respondent,Female,Y,73
Adoption,2024,3,Party,Respondent,Male,N,610
Adoption,2020,1,Party,Respondent,Male,Y,18
Adoption,2021,1,Party,Respondent,Female,Y,52
Adoption,2025,2,Party,Respondent,Female,N,774
Adoption,2025,3,Party,Respondent,Female,N,777
Adoption,2025,4,Party,Respondent,Male,N,526
Adoption,2025,4,Party,Respondent,Female,N,744
Adoption,2014,3,Party,Respondent,Female,Y,81
Adoption,2025,2,Party,Respondent,Female,Y,64
Adoption,2024,1,Party,Respondent,Male,Y,25
Adoption,2011,3,Party,Respondent,Female,Y,56
Adoption,2018,4,Party,Respondent,Female,Y,60
Adoption,2020,4,Party,Respondent,Female,Y,51
Adoption,2021,1,Party,Respondent,Male,Y,16
Adoption,2025,1,Party,Respondent,Female,Y,78
Adoption,2025,3,Party,Respondent,Female,Y,56
Adoption,2016,3,Party,Respondent,Unknown,N,16
Adoption,2016,4,Party,Respondent,Unknown,N,9
Adoption,2017,1,Party,Respondent,Unknown,N,10
Adoption,2017,2,Party,Respondent,Female,Y,46
Adoption,2014,2,Party,Respondent,Unknown,N,3
Adoption,2022,1,Party,Respondent,Female,Y,27
Adoption,2023,2,Party,Respondent,Male,Y,18
Adoption,2012,3,Party,Respondent,Female,N,1142
Adoption,2012,1,Party,Respondent,Male,N,903
Adoption,2013,1,Party,Respondent,Male,N,1066
Adoption,2014,2,Party,Respondent,Male,N,1245
Adoption,2014,4,Party,Respondent,Male,Y,21
Adoption,2014,4,Party,Respondent,Female,N,1378
Adoption,2015,2,Party,Respondent,Female,N,1326
Adoption,2016,1,Party,Respondent,Male,Y,24
Adoption,2022,3,Party,Respondent,Female,Y,44
Adoption,2019,1,Party,Respondent,Male,Y,18
Adoption,2018,2,Party,Respondent,Unknown,Y,5
Adoption,2018,3,Party,Respondent,Unknown,Y,3
Adoption,2021,3,Party,Respondent,Unknown,Y,8
Adoption,2022,3,Party,Respondent,Unknown,Y,18
Adoption,2024,1,Party,Respondent,Unknown,Y,18
Adoption,2025,3,Party,Respondent,Unknown,N,3
Adoption,2025,4,Party,Respondent,Unknown,Y,14
Adoption,2020,2,Party,Respondent,Male,Y,5
Adoption,2019,3,Party,Respondent,Unknown,N,2
Adoption,2016,3,Party,Respondent,Unknown,Y,2
Adoption,2016,4,Party,Respondent,Unknown,Y,2
Adoption,2017,2,Party,Respondent,Unknown,Y,4
Adoption,2020,4,Party,Respondent,Unknown,Y,3
Adoption,2015,1,Party,Respondent,Unknown,N,1
Adoption,2015,4,Party,Respondent,Unknown,Y,1
Adoption,2021,1,Party,Respondent,Unknown,Y,2
Adoption,2015,1,Party,Respondent,Female,N,1559
Adoption,2017,3,Party,Respondent,Male,N,995
Adoption,2014,2,Party,Respondent,Female,N,1556
Adoption,2011,3,Party,Respondent,Female,N,972
Adoption,2011,2,Party,Respondent,Female,Y,53
Adoption,2011,4,Party,Respondent,Male,N,743
Adoption,2013,3,Party,Respondent,Male,N,1120
Adoption,2013,2,Party,Respondent,Male,N,1118
Adoption,2012,2,Party,Respondent,Male,N,840
Adoption,2012,3,Party,Respondent,Male,N,856
Adoption,2012,4,Party,Respondent,Female,Y,47
Adoption,2012,4,Party,Respondent,Female,N,1260
Adoption,2013,4,Party,Respondent,Female,Y,63
Adoption,2014,3,Party,Respondent,Male,N,1195
Adoption,2014,4,Party,Respondent,Male,N,1062
Adoption,2015,2,Party,Respondent,Male,N,1057
Adoption,2015,3,Party,Respondent,Male,N,1118
Adoption,2015,4,Party,Respondent,Male,N,1041
Adoption,2016,4,Party,Respondent,Male,N,1020
Adoption,2014,1,Party,Respondent,Female,Y,71
Adoption,2013,1,Party,Respondent,Female,Y,65
Adoption,2013,3,Party,Respondent,Female,Y,46
Adoption,2013,3,Party,Respondent,Male,Y,18
Adoption,2011,1,Party,Respondent,Female,Y,63
Adoption,2016,4,Party,Respondent,Female,Y,44
Adoption,2017,1,Party,Respondent,Male,Y,16
Adoption,2017,2,Party,Respondent,Male,N,904
Adoption,2017,4,Party,Respondent,Female,N,1211
Adoption,2019,1,Party,Respondent,Female,N,1200
Adoption,2019,2,Party,Respondent,Female,N,1123
Adoption,2019,3,Party,Respondent,Female,N,1089
Adoption,2020,1,Party,Respondent,Female,N,967
Adoption,2020,1,Party,Respondent,Male,N,757
Adoption,2020,4,Party,Respondent,Male,N,783
Adoption,2021,2,Party,Respondent,Male,N,728
Adoption,2021,3,Party,Respondent,Female,N,845
Adoption,2022,1,Party,Respondent,Female,N,923
Adoption,2022,1,Party,Respondent,Male,N,704
Adoption,2022,3,Party,Respondent,Female,N,894
Adoption,2023,2,Party,Respondent,Female,N,897
Adoption,2023,2,Party,Respondent,Male,N,665
Adoption,2023,4,Party,Respondent,Female,N,953
Adoption,2023,4,Party,Respondent,Male,N,689
Adoption,2019,2,Party,Respondent,Female,Y,39
Adoption,2023,1,Party,Respondent,Female,Y,74
Adoption,2025,1,Party,Respondent,Male,N,627
Adoption,2025,2,Party,Respondent,Male,N,548
Adoption,2025,3,Party,Respondent,Male,N,563
Adoption,2020,3,Party,Respondent,Male,Y,16
Adoption,2021,2,Party,Respondent,Female,Y,39
Adoption,2024,4,Party,Respondent,Female,Y,65
Adoption,2012,2,Party,Respondent,Female,Y,42
Adoption,2022,2,Party,Respondent,Female,Y,38
Adoption,2018,2,Party,Respondent,Male,Y,15
Adoption,2011,1,Party,Respondent,Male,Y,30
Adoption,2018,4,Party,Respondent,Unknown,N,5
Adoption,2011,3,Party,Respondent,Male,Y,30
Adoption,2013,4,Party,Respondent,Male,Y,26
Adoption,2017,2,Party,Respondent,Unknown,N,4
Adoption,2024,1,Party,Respondent,Female,Y,77
Adoption,2020,1,Party,Respondent,Female,Y,56
Adoption,2022,1,Party,Respondent,Male,Y,17
Adoption,2024,4,Party,Respondent,Male,Y,25
Adoption,2015,2,Party,Respondent,Unknown,N,3
Adoption,2023,1,Party,Respondent,Male,Y,29
Adoption,2022,3,Party,Respondent,Male,Y,6
Adoption,2018,3,Party,Respondent,Male,Y,10
Adoption,2016,1,Party,Respondent,Unknown,N,5
Adoption,2020,4,Party,Respondent,Unknown,N,5
Adoption,2024,2,Party,Respondent,Unknown,N,6
Adoption,2013,1,Party,Respondent,Unknown,N,6
Adoption,2019,1,Party,Respondent,Unknown,N,11
Adoption,2011,2,Party,Respondent,Unknown,N,4
Adoption,2013,3,Party,Respondent,Unknown,N,3
Adoption,2021,3,Party,Respondent,Male,Y,4
Adoption,2020,3,Party,Respondent,Unknown,Y,2
Adoption,2021,4,Party,Respondent,Unknown,Y,17
Adoption,2022,1,Party,Respondent,Unknown,Y,11
Adoption,2023,1,Party,Respondent,Unknown,Y,18
Adoption,2023,2,Party,Respondent,Unknown,Y,13
Adoption,2023,3,Party,Respondent,Unknown,Y,13
Adoption,2023,4,Party,Respondent,Unknown,Y,23
Adoption,2024,1,Party,Respondent,Unknown,N,4
Adoption,2024,2,Party,Respondent,Unknown,Y,18
Adoption,2024,3,Party,Respondent,Unknown,N,1
Adoption,2025,2,Party,Respondent,Unknown,N,3
Adoption,2016,1,Party,Respondent,Unknown,Y,1
Adoption,2017,1,Party,Respondent,Unknown,Y,4
Adoption,2021,2,Party,Respondent,Unknown,Y,4
Adoption,2019,3,Party,Respondent,Unknown,Y,2
Adoption,2020,2,Party,Respondent,Unknown,Y,1
Adoption,2015,1,Party,Respondent,Unknown,Y,1
Adoption,2017,3,Party,Respondent,Unknown,N,4
Adoption,2018,1,Party,Respondent,Male,N,917
Adoption,2013,4,Party,Respondent,Male,N,1154
Adoption,2013,4,Party,Respondent,Female,N,1511
Adoption,2015,3,Party,Respondent,Female,N,1422
Adoption,2016,1,Party,Respondent,Female,N,1405
Adoption,2016,3,Party,Respondent,Female,N,1361
Adoption,2016,3,Party,Respondent,Female,Y,47
Adoption,2016,4,Party,Respondent,Female,N,1330
Adoption,2011,4,Party,Respondent,Male,Y,25
Adoption,2014,2,Party,Respondent,Female,Y,65
Adoption,2011,1,Party,Respondent,Unknown,N,3
Adoption,2015,4,Party,Respondent,Female,Y,58
Adoption,2014,1,Party,Respondent,Male,Y,24
Adoption,2017,1,Party,Respondent,Male,N,1064
Adoption,2017,1,Party,Respondent,Female,N,1329
Adoption,2017,2,Party,Respondent,Female,N,1170
Adoption,2017,4,Party,Respondent,Male,N,896
Adoption,2019,4,Party,Respondent,Female,N,1087
Adoption,2020,2,Party,Respondent,Male,N,548
Adoption,2020,2,Party,Respondent,Female,Y,27
Adoption,2020,4,Party,Respondent,Female,N,1055
Adoption,2021,1,Party,Respondent,Male,N,789
Adoption,2022,2,Party,Respondent,Male,N,632
Adoption,2023,1,Party,Respondent,Male,N,731
Adoption,2024,3,Party,Respondent,Female,N,820
Adoption,2024,4,Party,Respondent,Male,N,638
Adoption,2016,2,Party,Respondent,Female,Y,68
Adoption,2019,3,Party,Respondent,Female,Y,45
Adoption,2023,3,Party,Respondent,Female,Y,54
Adoption,2023,4,Party,Respondent,Male,Y,27
Adoption,2024,2,Party,Respondent,Male,Y,23
Adoption,2017,3,Party,Respondent,Female,Y,35
Adoption,2012,2,Party,Respondent,Unknown,N,4
Adoption,2023,4,Party,Respondent,Unknown,N,8
Adoption,2012,2,Party,Respondent,Male,Y,23
Adoption,2017,4,Party,Respondent,Female,Y,43
Adoption,2019,4,Party,Respondent,Female,Y,66
Adoption,2020,4,Party,Respondent,Male,Y,19
Adoption,2023,3,Party,Respondent,Unknown,N,9
Adoption,2014,3,Party,Respondent,Male,Y,20
Adoption,2018,2,Party,Respondent,Female,Y,54
Adoption,2018,4,Party,Respondent,Male,Y,17
Adoption,2019,1,Party,Respondent,Female,Y,54
Adoption,2021,3,Party,Respondent,Female,Y,28
Adoption,2012,3,Party,Respondent,Female,Y,37
Adoption,2013,4,Party,Respondent,Unknown,N,3
Adoption,2016,2,Party,Respondent,Unknown,N,9
Adoption,2018,1,Party,Respondent,Unknown,N,10
Adoption,2018,3,Party,Respondent,Unknown,N,14
Adoption,2014,2,Party,Respondent,Male,Y,18
Adoption,2025,4,Party,Respondent,Female,Y,19
Adoption,2025,1,Party,Respondent,Unknown,N,8
Adoption,2017,4,Party,Respondent,Male,Y,9
Adoption,2014,1,Party,Respondent,Unknown,N,6
Adoption,2025,1,Party,Respondent,Male,Y,19
Adoption,2018,2,Party,Respondent,Unknown,N,3
Adoption,2023,3,Party,Respondent,Male,Y,15
