YEAR,QUARTER,DIGITAL_PAPER,APPLICATION_TYPE,STOPPED,GRANTS_ISSUED,SUB_TO_ISS_MEAN,SUB_TO_ISS_MEDIAN,DOC_TO_ISS_MEAN,DOC_TO_ISS_MEDIAN
2019,3,All,Letter of Administration,NOT STOPPED,7472,9.425,8,9.425,8
2019,3,All,Letter of Administration,STOPPED,2413,14.768,13.571,14.768,13.571
2019,3,All,Letter of Administration with will annexed,All,3413,11.835,8.857,11.831,8.857
2019,3,All,Letter of Administration with will annexed,NOT STOPPED,2248,10.031,8,10.031,8
2019,3,All,Letter of Administration with will annexed,STOPPED,1165,15.316,14,15.304,14
2019,3,All,Probate,All,53403,9.538,8,9.387,8
2019,3,All,Probate,NOT STOPPED,41258,8.403,7.857,8.293,7.714
2019,3,All,Probate,STOPPED,12145,13.393,12.857,13.101,12.429
2019,3,Digital,All grants,All,7224,9.465,7.571,8.347,6.714
2019,3,Digital,All grants,NOT STOPPED,4210,7.802,6.714,6.728,5.571
2019,3,Digital,All grants,STOPPED,3014,11.787,11.571,10.608,10.286
2019,3,Digital,Letter of Administration,All,36,13.425,8.286,13.425,8.286
2019,3,Digital,Letter of Administration,NOT STOPPED,26,13.016,8.286,13.016,8.286
2019,3,Digital,Letter of Administration,STOPPED,10,14.486,12.429,14.486,12.429
2019,3,Digital,Letter of Administration with will annexed,All,27,17.46,17.571,16.926,17
2019,3,Digital,Letter of Administration with will annexed,NOT STOPPED,13,13.912,8.429,13.912,8.429
2019,3,Digital,Letter of Administration with will annexed,STOPPED,14,20.755,18.286,19.724,17.643
2019,3,Digital,Probate,All,7161,9.415,7.571,8.289,6.714
2019,3,Digital,Probate,NOT STOPPED,4171,7.75,6.714,6.666,5.571
2019,3,Digital,Probate,STOPPED,2990,11.736,11.571,10.553,10.286
2019,3,Paper,All grants,All,59306,9.87,8.143,9.87,8.143
2019,3,Paper,All grants,NOT STOPPED,46646,8.691,7.857,8.691,7.857
2019,3,Paper,All grants,STOPPED,12660,14.211,13.429,14.211,13.429
2019,3,Paper,Letter of Administration,All,9812,10.713,8.429,10.713,8.429
2019,3,Paper,Letter of Administration,NOT STOPPED,7422,9.407,8,9.407,8
2019,3,Paper,Letter of Administration,STOPPED,2390,14.77,13.571,14.77,13.571
2019,3,Paper,Letter of Administration with will annexed,All,3375,11.793,8.857,11.793,8.857
2019,3,Paper,Letter of Administration with will annexed,NOT STOPPED,2229,10.009,8,10.009,8
2019,3,Paper,Letter of Administration with will annexed,STOPPED,1146,15.264,14,15.264,14
2019,3,Paper,Probate,All,46119,9.549,8.143,9.549,8.143
2019,3,Paper,Probate,NOT STOPPED,36995,8.468,7.857,8.468,7.857
2019,3,Paper,Probate,STOPPED,9124,13.933,13.286,13.933,13.286
2019,4,All,All grants,All,67885,8.233,5.714,8.07,5.571
2019,4,All,All grants,NOT STOPPED,46832,5.85,4.286,5.731,4.286
2019,4,All,All grants,STOPPED,21053,13.536,11.571,13.274,11.286
2019,4,All,Letter of Administration,All,10218,9.486,6.429,9.486,6.429
2019,4,All,Letter of Administration,NOT STOPPED,6766,6.464,4.571,6.464,4.571
2019,4,All,Letter of Administration,STOPPED,3452,15.409,13.714,15.409,13.714
2019,4,All,Letter of Administration with will annexed,All,3283,10.867,7,10.864,7
2019,4,All,Letter of Administration with will annexed,NOT STOPPED,1747,6.501,4.143,6.498,4.143
2019,4,All,Letter of Administration with will annexed,STOPPED,1536,15.833,13.714,15.831,13.714
2019,4,All,Probate,All,54384,7.839,5.571,7.636,5.429
2019,4,All,Probate,NOT STOPPED,38319,5.712,4.286,5.567,4.286
2019,4,All,Probate,STOPPED,16065,12.914,10.857,12.57,10.571
2019,4,Digital,All grants,All,12040,10.028,9,9.108,8.286
2019,4,Digital,All grants,NOT STOPPED,6584,8.447,8.429,7.603,7.714
2019,4,Digital,All grants,STOPPED,5456,11.937,9.857,10.926,9.214
2019,4,Digital,Letter of Administration,All,976,8.507,8.857,8.507,8.857
2019,4,Digital,Letter of Administration,NOT STOPPED,735,7.848,8.714,7.848,8.714
2019,4,Digital,Letter of Administration,STOPPED,241,10.516,10.429,10.516,10.429
2019,4,Digital,Letter of Administration with will annexed,All,11,22.026,21.429,21.182,20.714
2019,4,Digital,Letter of Administration with will annexed,NOT STOPPED,4,21.607,22.643,20.25,20.429
2019,4,Digital,Letter of Administration with will annexed,STOPPED,7,22.265,21.429,21.714,20.714
2019,4,Digital,Probate,All,11053,10.151,9,9.15,8.286
2019,4,Digital,Probate,NOT STOPPED,5845,8.513,8.429,7.563,7.571
2019,4,Digital,Probate,STOPPED,5208,11.989,9.857,10.93,9.143
2019,4,Paper,All grants,All,55718,7.844,5,7.844,5
2019,4,Paper,All grants,NOT STOPPED,40158,5.424,4.143,5.424,4.143
2019,4,Paper,All grants,STOPPED,15560,14.088,12.286,14.088,12.286
2019,4,Paper,Letter of Administration,All,9225,9.581,6,9.581,6
2019,4,Paper,Letter of Administration,NOT STOPPED,6023,6.294,4.286,6.294,4.286
2019,4,Paper,Letter of Administration,STOPPED,3202,15.764,14,15.764,14
2019,4,Paper,Letter of Administration with will annexed,All,3261,10.82,7,10.82,7
2019,4,Paper,Letter of Administration with will annexed,NOT STOPPED,1738,6.47,4.143,6.47,4.143
2019,4,Paper,Letter of Administration with will annexed,STOPPED,1523,15.784,13.571,15.784,13.571
2019,4,Paper,Probate,All,43232,7.249,4.714,7.249,4.714
2019,4,Paper,Probate,NOT STOPPED,32397,5.206,4,5.206,4
2019,4,Paper,Probate,STOPPED,10835,13.355,11.714,13.355,11.714
2020,,All,All grants,All,256706,7.231,4.857,6.734,4.571
2020,,All,All grants,NOT STOPPED,173112,4.609,3.857,4.205,3.571
2020,,All,All grants,STOPPED,83594,12.661,9.857,11.97,9.286
2020,,All,Letter of Administration,All,36693,8.298,5.286,8.298,5.286
2020,,All,Letter of Administration,NOT STOPPED,24781,4.838,4,4.838,4
2020,,All,Letter of Administration,STOPPED,11912,15.496,12,15.496,12
2020,,All,Letter of Administration with will annexed,All,10082,11.713,7.429,11.618,7.286
2020,,All,Letter of Administration with will annexed,NOT STOPPED,5267,6.263,4.714,6.225,4.714
2020,,All,Letter of Administration with will annexed,STOPPED,4815,17.674,13.143,17.517,13
2020,,All,Probate,All,209931,6.829,4.857,6.226,4.429
2020,,All,Probate,NOT STOPPED,143064,4.508,3.857,4.021,3.429
2020,,All,Probate,STOPPED,66867,11.795,9.286,10.943,8.571
2020,,Digital,All grants,All,73698,6.52,4.143,4.79,2.286
2020,,Digital,All grants,NOT STOPPED,43964,3.859,2.429,2.27,0.571
2020,,Digital,All grants,STOPPED,29734,10.453,8.286,8.515,6.286
2020,,Digital,Letter of Administration,All,8164,6.065,3.714,6.065,3.714
2020,,Digital,Letter of Administration,NOT STOPPED,5517,3.957,2.857,3.957,2.857
2020,,Digital,Letter of Administration,STOPPED,2647,10.46,7.857,10.46,7.857
2020,,Digital,Letter of Administration with will annexed,All,366,15.474,13.429,12.927,11.571
2020,,Digital,Letter of Administration with will annexed,NOT STOPPED,124,8.986,5.5,7.414,4.071
2020,,Digital,Letter of Administration with will annexed,STOPPED,242,18.799,15.571,15.751,13.786
2020,,Digital,Probate,All,65168,6.526,4.143,4.584,2.143
2020,,Digital,Probate,NOT STOPPED,38323,3.828,2.429,2.011,0.429
2020,,Digital,Probate,STOPPED,26845,10.377,8.286,8.258,6.143
2020,,Paper,All grants,All,182283,7.513,5.143,7.513,5.143
2020,,Paper,All grants,NOT STOPPED,128673,4.862,4.286,4.862,4.286
2020,,Paper,All grants,STOPPED,53610,13.876,10.714,13.876,10.714
2020,,Paper,Letter of Administration,All,28373,8.949,5.571,8.949,5.571
2020,,Paper,Letter of Administration,NOT STOPPED,19154,5.098,4.143,5.098,4.143
2020,,Paper,Letter of Administration,STOPPED,9219,16.949,13,16.949,13
2020,,Paper,Letter of Administration with will annexed,All,9675,11.557,7.143,11.557,7.143
2020,,Paper,Letter of Administration with will annexed,NOT STOPPED,5118,6.175,4.714,6.175,4.714
2020,,Paper,Letter of Administration with will annexed,STOPPED,4557,17.6,12.857,17.6,12.857
2020,,Paper,Probate,All,144235,6.959,5,6.959,5
2020,,Paper,Probate,NOT STOPPED,104401,4.754,4.143,4.754,4.143
2020,,Paper,Probate,STOPPED,39834,12.739,10,12.739,10
2020,1,All,All grants,All,61839,7.111,4.429,6.917,4.286
2020,1,All,All grants,NOT STOPPED,42632,4.682,3.571,4.544,3.571
2020,1,All,All grants,STOPPED,19207,12.505,9.429,12.183,9.286
2020,1,All,Letter of Administration,All,9300,8.239,4.857,8.239,4.857
2020,1,All,Letter of Administration,NOT STOPPED,5949,5.032,3.714,5.032,3.714
2020,1,All,Letter of Administration,STOPPED,3351,13.933,10.714,13.933,10.714
2020,1,All,Letter of Administration with will annexed,All,2775,10.828,6.286,10.824,6.286
2020,1,All,Letter of Administration with will annexed,NOT STOPPED,1436,5.814,3.714,5.814,3.714
2020,1,All,Letter of Administration with will annexed,STOPPED,1339,16.205,12.143,16.198,12.143
2020,1,All,Probate,All,49764,6.693,4.286,6.452,4.143
2020,1,All,Probate,NOT STOPPED,35247,4.576,3.571,4.41,3.429
2020,1,All,Probate,STOPPED,14517,11.834,9,11.409,8.714
2020,1,Digital,All grants,All,12254,6.752,4.571,5.77,3.571
2020,1,Digital,All grants,NOT STOPPED,6216,4.56,2.429,3.618,1.714
2020,1,Digital,All grants,STOPPED,6038,9.008,6.571,7.986,5.714
2020,1,Digital,Letter of Administration,All,1465,4.21,2.429,4.21,2.429
2020,1,Digital,Letter of Administration,NOT STOPPED,809,3.194,1.714,3.194,1.714
2020,1,Digital,Letter of Administration,STOPPED,656,5.463,3.571,5.463,3.571
2020,1,Digital,Letter of Administration with will annexed,All,9,11.762,11.143,10.698,9
2020,1,Digital,Letter of Administration with will annexed,NOT STOPPED,2,5.857,5.857,5.714,5.714
2020,1,Digital,Letter of Administration with will annexed,STOPPED,7,13.449,13.571,12.122,12.857
2020,1,Digital,Probate,All,10780,7.093,4.857,5.978,3.714
2020,1,Digital,Probate,NOT STOPPED,5405,4.764,2.571,3.68,1.571
2020,1,Digital,Probate,STOPPED,5375,9.435,6.714,8.288,5.857
2020,1,Paper,All grants,All,49466,7.195,4.429,7.195,4.429
2020,1,Paper,All grants,NOT STOPPED,36330,4.697,3.714,4.697,3.714
2020,1,Paper,All grants,STOPPED,13136,14.103,10.857,14.103,10.857
2020,1,Paper,Letter of Administration,All,7812,8.988,5.143,8.988,5.143
2020,1,Paper,Letter of Administration,NOT STOPPED,5122,5.313,3.857,5.313,3.857
2020,1,Paper,Letter of Administration,STOPPED,2690,15.988,12.714,15.988,12.714
2020,1,Paper,Letter of Administration with will annexed,All,2756,10.811,6.286,10.811,6.286
2020,1,Paper,Letter of Administration with will annexed,NOT STOPPED,1429,5.82,3.714,5.82,3.714
2020,1,Paper,Letter of Administration with will annexed,STOPPED,1327,16.186,12.143,16.186,12.143
2020,1,Paper,Probate,All,38898,6.578,4.143,6.578,4.143
2020,1,Paper,Probate,NOT STOPPED,29779,4.537,3.714,4.537,3.714
2020,1,Paper,Probate,STOPPED,9119,13.244,10.286,13.244,10.286
2020,2,All,All grants,All,56361,7.068,4.714,6.784,4.571
2020,2,All,All grants,NOT STOPPED,39284,4.593,3.714,4.343,3.714
2020,2,All,All grants,STOPPED,17077,12.763,10,12.401,9.857
2020,2,All,Letter of Administration,All,8428,8.286,5.286,8.286,5.286
2020,2,All,Letter of Administration,NOT STOPPED,5633,4.808,3.857,4.808,3.857
2020,2,All,Letter of Administration,STOPPED,2795,15.295,11.571,15.295,11.571
2020,2,All,Letter of Administration with will annexed,All,2439,10.759,6.714,10.745,6.714
2020,2,All,Letter of Administration with will annexed,NOT STOPPED,1273,5.785,4.286,5.782,4.286
2020,2,All,Letter of Administration with will annexed,STOPPED,1166,16.188,11.714,16.162,11.643
2020,2,All,Probate,All,45494,6.645,4.571,6.294,4.429
2020,2,All,Probate,NOT STOPPED,32378,4.508,3.714,4.205,3.571
2020,2,All,Probate,STOPPED,13116,11.919,9.571,11.45,9.143
2020,2,Digital,All grants,All,12422,6.162,3.857,4.875,2.286
2020,2,Digital,All grants,NOT STOPPED,8008,3.897,2.143,2.671,1
2020,2,Digital,All grants,STOPPED,4414,10.272,7.857,8.875,6.571
2020,2,Digital,Letter of Administration,All,1444,6.269,4.429,6.269,4.429
2020,2,Digital,Letter of Administration,NOT STOPPED,1087,4.595,3.429,4.595,3.429
2020,2,Digital,Letter of Administration,STOPPED,357,11.368,8.143,11.368,8.143
2020,2,Digital,Letter of Administration with will annexed,All,29,11.192,8,10.03,4.714
2020,2,Digital,Letter of Administration with will annexed,NOT STOPPED,12,8.321,2.643,8.024,2
2020,2,Digital,Letter of Administration with will annexed,STOPPED,17,13.218,12.571,11.445,10.286
2020,2,Digital,Probate,All,10949,6.134,3.714,4.678,2.143
2020,2,Digital,Probate,NOT STOPPED,6909,3.779,2.143,2.359,0.857
2020,2,Digital,Probate,STOPPED,4040,10.162,7.857,8.643,6.429
2020,2,Paper,All grants,All,43837,7.311,4.857,7.311,4.857
2020,2,Paper,All grants,NOT STOPPED,31218,4.763,4,4.763,4
2020,2,Paper,All grants,STOPPED,12619,13.615,10.714,13.615,10.714
2020,2,Paper,Letter of Administration,All,6971,8.705,5.286,8.705,5.286
2020,2,Paper,Letter of Administration,NOT STOPPED,4535,4.855,3.857,4.855,3.857
2020,2,Paper,Letter of Administration,STOPPED,2436,15.874,12.143,15.874,12.143
2020,2,Paper,Letter of Administration with will annexed,All,2408,10.712,6.714,10.712,6.714
2020,2,Paper,Letter of Administration with will annexed,NOT STOPPED,1259,5.674,4.286,5.674,4.286
2020,2,Paper,Letter of Administration with will annexed,STOPPED,1149,16.232,11.714,16.232,11.714
2020,2,Paper,Probate,All,34458,6.791,4.714,6.791,4.714
2020,2,Paper,Probate,NOT STOPPED,25424,4.701,4,4.701,4
2020,2,Paper,Probate,STOPPED,9034,12.673,10.286,12.673,10.286
2020,3,All,All grants,All,72547,7.058,5,6.439,4.714
2020,3,All,All grants,NOT STOPPED,50771,4.565,4.286,4.04,3.857
2020,3,All,All grants,STOPPED,21776,12.87,9.857,12.033,9
2020,3,All,Letter of Administration,All,9805,8.028,5.286,8.028,5.286
2020,3,All,Letter of Administration,NOT STOPPED,7387,4.895,4.429,4.895,4.429
2020,3,All,Letter of Administration,STOPPED,2418,17.601,12.857,17.601,12.857
2020,3,All,Letter of Administration with will annexed,All,2533,11.454,6.571,11.363,6.571
2020,3,All,Letter of Administration with will annexed,NOT STOPPED,1397,5.992,5,5.949,5
2020,3,All,Letter of Administration with will annexed,STOPPED,1136,18.171,13,18.022,12.786
2020,3,All,Probate,All,60209,6.715,4.857,5.973,4.429
2020,3,All,Probate,NOT STOPPED,41987,4.46,4.286,3.826,3.571
2020,3,All,Probate,STOPPED,18222,11.912,9.429,10.921,8.429
2020,3,Digital,All grants,All,24551,6.408,4.571,4.58,2.857
2020,3,Digital,All grants,NOT STOPPED,16610,4.238,3.429,2.633,1.714
2020,3,Digital,All grants,STOPPED,7941,10.946,9,8.653,6.857
2020,3,Digital,Letter of Administration,All,2868,6.6,5.143,6.6,5.143
2020,3,Digital,Letter of Administration,NOT STOPPED,2362,4.911,4.571,4.911,4.571
2020,3,Digital,Letter of Administration,STOPPED,506,14.487,11,14.487,11
2020,3,Digital,Letter of Administration with will annexed,All,105,12.873,10.857,10.833,7.714
2020,3,Digital,Letter of Administration with will annexed,NOT STOPPED,49,9.469,6.143,8.251,4.571
2020,3,Digital,Letter of Administration with will annexed,STOPPED,56,15.852,13.143,13.092,10.429
2020,3,Digital,Probate,All,21578,6.35,4.429,4.281,2.571
2020,3,Digital,Probate,NOT STOPPED,14199,4.108,3.429,2.235,1.286
2020,3,Digital,Probate,STOPPED,7379,10.666,8.857,8.219,6.571
2020,3,Paper,All grants,All,47735,7.393,5.143,7.393,5.143
2020,3,Paper,All grants,NOT STOPPED,33967,4.726,4.571,4.726,4.571
2020,3,Paper,All grants,STOPPED,13768,13.973,10.429,13.973,10.429
2020,3,Paper,Letter of Administration,All,6887,8.635,5.286,8.635,5.286
2020,3,Paper,Letter of Administration,NOT STOPPED,4989,4.899,4.429,4.899,4.429
2020,3,Paper,Letter of Administration,STOPPED,1898,18.453,13.714,18.453,13.714
2020,3,Paper,Letter of Administration with will annexed,All,2416,11.404,6.429,11.404,6.429
2020,3,Paper,Letter of Administration with will annexed,NOT STOPPED,1339,5.872,5,5.872,5
2020,3,Paper,Letter of Administration with will annexed,STOPPED,1077,18.281,13,18.281,13
2020,3,Paper,Probate,All,38432,6.918,5.143,6.918,5.143
2020,3,Paper,Probate,NOT STOPPED,27639,4.639,4.571,4.639,4.571
2020,3,Paper,Probate,STOPPED,10793,12.755,9.857,12.755,9.857
2020,4,All,All grants,All,65959,7.673,5.571,6.844,5.143
2020,4,All,All grants,NOT STOPPED,40425,4.603,3.429,3.922,2.286
2020,4,All,All grants,STOPPED,25534,12.533,9.857,11.469,9
2020,4,All,Letter of Administration,All,9160,8.658,5.857,8.658,5.857
2020,4,All,Letter of Administration,NOT STOPPED,5812,4.598,3.429,4.598,3.429
2020,4,All,Letter of Administration,STOPPED,3348,15.707,12.714,15.707,12.714
2020,4,All,Letter of Administration with will annexed,All,2335,14.041,9.571,13.749,9.429
2020,4,All,Letter of Administration with will annexed,NOT STOPPED,1161,7.668,6.714,7.552,6.714
2020,4,All,Letter of Administration with will annexed,STOPPED,1174,20.344,15.286,19.878,14.857
2020,4,All,Probate,All,54464,7.234,5.286,6.243,4.857
2020,4,All,Probate,NOT STOPPED,33452,4.498,3.143,3.679,1.286
2020,4,All,Probate,STOPPED,21012,11.591,9.286,10.324,8.143
2020,4,Digital,All grants,All,24471,6.697,3.143,4.466,0.571
2020,4,Digital,All grants,NOT STOPPED,13130,3.025,2.143,0.929,0
2020,4,Digital,All grants,STOPPED,11341,10.948,8.857,8.56,6.143
2020,4,Digital,Letter of Administration,All,2387,6.438,2.143,6.438,2.143
2020,4,Digital,Letter of Administration,NOT STOPPED,1259,2.106,0.429,2.106,0.429
2020,4,Digital,Letter of Administration,STOPPED,1128,11.273,9.571,11.273,9.571
2020,4,Digital,Letter of Administration with will annexed,All,223,17.406,15.143,14.379,13.286
2020,4,Digital,Letter of Administration with will annexed,NOT STOPPED,61,8.831,7,6.677,5.286
2020,4,Digital,Letter of Administration with will annexed,STOPPED,162,20.634,18.714,17.28,14.929
2020,4,Digital,Probate,All,21861,6.616,3.143,4.149,0.286
2020,4,Digital,Probate,NOT STOPPED,11810,3.093,2.143,0.774,0
2020,4,Digital,Probate,STOPPED,10051,10.756,8.571,8.115,5.857
2020,4,Paper,All grants,All,41245,8.247,6.429,8.247,6.429
2020,4,Paper,All grants,NOT STOPPED,27158,5.365,5.286,5.365,5.286
2020,4,Paper,All grants,STOPPED,14087,13.804,10.714,13.804,10.714
2020,4,Paper,Letter of Administration,All,6703,9.478,6.571,9.478,6.571
2020,4,Paper,Letter of Administration,NOT STOPPED,4508,5.317,4.857,5.317,4.857
2020,4,Paper,Letter of Administration,STOPPED,2195,18.022,13.857,18.022,13.857
2020,4,Paper,Letter of Administration with will annexed,All,2095,13.685,9.143,13.685,9.143
2020,4,Paper,Letter of Administration with will annexed,NOT STOPPED,1091,7.592,6.714,7.592,6.714
2020,4,Paper,Letter of Administration with will annexed,STOPPED,1004,20.306,14.857,20.306,14.857
2020,4,Paper,Probate,All,32447,7.642,6.286,7.642,6.286
2020,4,Paper,Probate,NOT STOPPED,21559,5.262,5.429,5.262,5.429
2020,4,Paper,Probate,STOPPED,10888,12.354,9.857,12.354,9.857
2021,,All,All grants,All,273428,8.449,5.429,6.906,4
2021,,All,All grants,NOT STOPPED,172938,4.504,4,3.106,1.714
2021,,All,All grants,STOPPED,100490,15.239,12.571,13.445,10.714
2021,,All,Letter of Administration,All,40936,9.574,6.143,9.574,6.143
2021,,All,Letter of Administration,NOT STOPPED,25568,5.083,4.286,5.083,4.286
2021,,All,Letter of Administration,STOPPED,15368,17.046,12.429,17.046,12.429
2021,,All,Letter of Administration with will annexed,All,12461,13.287,8.286,12.661,8.143
2021,,All,Letter of Administration with will annexed,NOT STOPPED,5769,7.135,6.143,6.879,6
2021,,All,Letter of Administration with will annexed,STOPPED,6692,18.591,14.286,17.645,13.571
2021,,All,Probate,All,220031,7.966,5.143,6.083,3.286
2021,,All,Probate,NOT STOPPED,141601,4.292,3.857,2.595,1.143
2021,,All,Probate,STOPPED,78430,14.598,12.286,12.381,10.286
2021,,Digital,All grants,All,182881,7.375,4.857,5.071,2.571
2021,,Digital,All grants,NOT STOPPED,120180,4.09,3.857,2.081,0.857
2021,,Digital,All grants,STOPPED,62701,13.673,11.571,10.803,9
2021,,Digital,Letter of Administration,All,13003,7.23,3.286,7.23,3.286
2021,,Digital,Letter of Administration,NOT STOPPED,7916,3.143,1.429,3.143,1.429
2021,,Digital,Letter of Administration,STOPPED,5087,13.59,9.429,13.59,9.429
2021,,Digital,Letter of Administration with will annexed,All,2387,17.104,14.429,13.895,11
2021,,Digital,Letter of Administration with will annexed,NOT STOPPED,666,7.516,5.786,5.39,3.571
2021,,Digital,Letter of Administration with will annexed,STOPPED,1721,20.815,19.143,17.186,15
2021,,Digital,Probate,All,167491,7.248,4.857,4.778,2.429
2021,,Digital,Probate,NOT STOPPED,111598,4.136,3.857,1.986,0.714
2021,,Digital,Probate,STOPPED,55893,13.46,11.571,10.353,8.714
2021,,Paper,All grants,All,89701,10.633,7.143,10.633,7.143
2021,,Paper,All grants,NOT STOPPED,52282,5.455,5.286,5.455,5.286
2021,,Paper,All grants,STOPPED,37419,17.866,13.857,17.866,13.857
2021,,Paper,Letter of Administration,All,27554,10.722,7,10.722,7
2021,,Paper,Letter of Administration,NOT STOPPED,17396,5.996,5.857,5.996,5.857
2021,,Paper,Letter of Administration,STOPPED,10158,18.817,13.857,18.817,13.857
2021,,Paper,Letter of Administration with will annexed,All,9998,12.369,8,12.369,8
2021,,Paper,Letter of Administration with will annexed,NOT STOPPED,5069,7.082,6.143,7.082,6.143
2021,,Paper,Letter of Administration with will annexed,STOPPED,4929,17.806,13.143,17.806,13.143
2021,,Paper,Probate,All,52149,10.252,7,10.252,7
2021,,Paper,Probate,NOT STOPPED,29817,4.863,3.857,4.863,3.857
2021,,Paper,Probate,STOPPED,22332,17.447,13.857,17.447,13.857
2021,1,All,All grants,All,73600,8.098,4.571,6.244,1.714
2021,1,All,All grants,NOT STOPPED,43175,4.466,3.571,2.58,0
2021,1,All,All grants,STOPPED,30425,13.252,9.571,11.443,7.571
2021,1,All,Letter of Administration,All,11991,8.254,4,8.254,4
2021,1,All,Letter of Administration,NOT STOPPED,7130,3.974,2,3.974,2
2021,1,All,Letter of Administration,STOPPED,4861,14.531,10.571,14.531,10.571
2021,1,All,Letter of Administration with will annexed,All,3995,13.86,10.143,13.251,9.571
2021,1,All,Letter of Administration with will annexed,NOT STOPPED,1642,7.623,5.429,7.357,5
2021,1,All,Letter of Administration with will annexed,STOPPED,2353,18.213,14.857,17.364,14.286
2021,1,All,Probate,All,57614,7.666,4.429,5.34,0.857
2021,1,All,Probate,NOT STOPPED,34403,4.418,3.571,2.063,0
2021,1,All,Probate,STOPPED,23211,12.481,8.857,10.197,6.143
2021,1,Digital,All grants,All,40096,6.757,4,3.358,0.143
2021,1,Digital,All grants,NOT STOPPED,23988,3.979,3.571,0.588,0
2021,1,Digital,All grants,STOPPED,16108,10.894,7,7.484,3.429
2021,1,Digital,Letter of Administration,All,3423,5.959,2.571,5.959,2.571
2021,1,Digital,Letter of Administration,NOT STOPPED,1852,2.13,0.571,2.13,0.571
2021,1,Digital,Letter of Administration,STOPPED,1571,10.474,5.143,10.474,5.143
2021,1,Digital,Letter of Administration with will annexed,All,724,17.588,14.857,14.259,12.286
2021,1,Digital,Letter of Administration with will annexed,NOT STOPPED,159,10.49,7.429,7.823,3.714
2021,1,Digital,Letter of Administration with will annexed,STOPPED,565,19.585,17.429,16.071,14.286
2021,1,Digital,Probate,All,35949,6.615,4.143,2.891,0
2021,1,Digital,Probate,NOT STOPPED,21977,4.088,3.571,0.405,0
2021,1,Digital,Probate,STOPPED,13972,10.589,6.857,6.801,3
2021,1,Paper,All grants,All,33221,9.707,7.429,9.707,7.429
2021,1,Paper,All grants,NOT STOPPED,19038,5.078,3.143,5.078,3.143
