year,quarter,stage,quarters_after_application,number
2003,1,Decree Absolute,79 to 80,1
2003,1,Decree Absolute,78 to 79,1
2003,1,Decree Absolute,77 to 78,2
2003,1,Decree Absolute,76 to 77,1
2003,1,Decree Absolute,75 to 76,2
2003,1,Decree Absolute,73 to 74,1
2003,1,Decree Absolute,72 to 73,1
2003,1,Decree Absolute,71 to 72,1
2003,1,Decree Absolute,70 to 71,1
2003,1,Decree Absolute,69 to 70,1
2003,1,Decree Absolute,68 to 69,1
2003,1,Decree Absolute,66 to 67,1
2003,1,Decree Absolute,65 to 66,3
2003,1,Decree Absolute,64 to 65,1
2003,1,Decree Absolute,30 to 31,14
2003,1,Decree Absolute,29 to 30,24
2003,1,Decree Absolute,28 to 29,10
2003,1,Decree Absolute,31 to 32,9
2003,1,Decree Absolute,32 to 33,11
2003,1,Decree Absolute,33 to 34,10
2003,1,Decree Absolute,34 to 35,12
2003,1,Decree Absolute,35 to 36,8
2003,1,Decree Absolute,36 to 37,8
2003,1,Decree Absolute,37 to 38,11
2003,1,Decree Absolute,38 to 39,5
2003,1,Decree Absolute,39 to 40,5
2003,1,Decree Absolute,40 to 41,3
2003,1,Decree Absolute,41 to 42,6
2003,1,Decree Absolute,42 to 43,6
2003,1,Decree Absolute,43 to 44,1
2003,1,Decree Absolute,44 to 45,2
2003,1,Decree Absolute,45 to 46,4
2003,1,Decree Absolute,46 to 47,4
2003,1,Decree Absolute,47 to 48,3
2003,1,Decree Absolute,48 to 49,6
2003,1,Decree Absolute,49 to 50,2
2003,1,Decree Absolute,50 to 51,1
2003,1,Decree Absolute,51 to 52,3
2003,1,Decree Absolute,52 to 53,2
2003,1,Decree Absolute,53 to 54,3
2003,1,Decree Absolute,54 to 55,4
2003,1,Decree Absolute,55 to 56,3
2003,1,Decree Absolute,56 to 57,3
2003,1,Decree Absolute,57 to 58,2
2003,1,Decree Absolute,58 to 59,2
2003,1,Decree Absolute,59 to 60,2
2003,1,Decree Absolute,60 to 61,3
2003,1,Decree Absolute,61 to 62,3
2003,1,Decree Absolute,63 to 64,1
2003,1,Decree Absolute,27 to 28,8
2003,1,Decree Absolute,26 to 27,11
2003,1,Decree Absolute,25 to 26,15
2003,1,Decree Absolute,24 to 25,24
2003,1,Decree Absolute,23 to 24,26
2003,1,Decree Absolute,22 to 23,28
2003,1,Decree Absolute,21 to 22,25
2003,1,Decree Absolute,20 to 21,42
2003,1,Decree Absolute,19 to 20,37
2003,1,Decree Absolute,18 to 19,32
2003,1,Decree Absolute,17 to 18,62
2003,1,Decree Absolute,16 to 17,73
2003,1,Decree Absolute,15 to 16,89
2003,1,Decree Absolute,14 to 15,106
2003,1,Decree Absolute,13 to 14,138
2003,1,Decree Absolute,12 to 13,193
2003,1,Decree Absolute,11 to 12,245
2003,1,Decree Nisi,24 to 25,8
2003,1,Decree Nisi,23 to 24,4
2003,1,Decree Nisi,22 to 23,11
2003,1,Decree Nisi,21 to 22,8
2003,1,Decree Nisi,20 to 21,12
2003,1,Decree Nisi,19 to 20,12
2003,1,Decree Nisi,18 to 19,23
2003,1,Decree Nisi,17 to 18,14
2003,1,Decree Nisi,16 to 17,16
2003,1,Decree Nisi,15 to 16,23
2003,1,Decree Nisi,14 to 15,33
2003,1,Decree Nisi,13 to 14,35
2003,1,Decree Nisi,12 to 13,54
2003,1,Decree Nisi,11 to 12,53
2003,1,Decree Nisi,10 to 11,94
2003,1,Decree Nisi,9 to 10,138
2003,1,Decree Nisi,8 to 9,182
2003,1,Decree Nisi,7 to 8,229
2003,1,Decree Nisi,6 to 7,428
2003,1,Decree Nisi,5 to 6,733
2003,1,AR Application,0 to 1,2511
2003,1,AR Application,1 to 2,3113
2003,1,AR Application,2 to 3,2818
2003,1,AR Application,3 to 4,1955
2003,1,AR Application,4 to 5,1476
2003,1,AR Application,5 to 6,1074
2003,1,AR Application,6 to 7,721
2003,1,AR Application,7 to 8,415
2003,1,AR Application,8 to 9,341
2003,1,AR Order,89 to 90,2
2003,1,AR Order,88 to 89,1
2003,1,AR Order,87 to 88,3
2003,1,AR Order,85 to 86,1
2003,1,AR Order,84 to 85,1
2003,1,AR Order,82 to 83,1
2003,1,AR Order,81 to 82,2
2003,1,AR Order,79 to 80,1
2003,1,AR Order,77 to 78,1
2003,1,AR Order,75 to 76,1
2003,1,AR Order,74 to 75,1
2003,1,AR Order,73 to 74,2
2003,1,AR Order,0 to 1,59
2003,1,AR Order,1 to 2,336
2003,1,AR Order,2 to 3,560
2003,1,AR Order,3 to 4,547
2003,1,AR Order,4 to 5,1018
2003,1,AR Order,5 to 6,1226
2003,1,AR Order,6 to 7,1009
2003,1,AR Order,7 to 8,644
2003,1,AR Order,8 to 9,532
2003,1,AR Order,9 to 10,378
2003,1,AR Order,10 to 11,250
2003,1,AR Order,11 to 12,184
2003,1,AR Order,12 to 13,141
2003,1,AR Order,13 to 14,117
2003,1,AR Order,14 to 15,73
2003,1,AR Order,15 to 16,75
2003,1,AR Order,16 to 17,52
2003,1,AR Order,17 to 18,49
2003,1,AR Order,18 to 19,30
2003,1,AR Order,19 to 20,27
2003,1,AR Order,20 to 21,23
2003,1,AR Order,21 to 22,32
2003,1,AR Order,22 to 23,13
2003,1,AR Order,23 to 24,16
2003,1,AR Order,24 to 25,12
2003,1,AR Order,25 to 26,14
2003,1,AR Order,26 to 27,7
2003,1,AR Order,27 to 28,9
2003,1,AR Order,28 to 29,13
2003,1,AR Order,29 to 30,6
2003,1,AR Order,30 to 31,4
2003,1,AR Order,31 to 32,7
2003,1,AR Order,32 to 33,5
2003,1,AR Order,33 to 34,10
2003,1,AR Order,34 to 35,10
2003,1,AR Order,35 to 36,2
2003,1,AR Order,36 to 37,1
2003,1,AR Order,37 to 38,4
2003,1,AR Order,38 to 39,7
2003,1,AR Order,39 to 40,6
2003,1,AR Order,40 to 41,2
2003,1,AR Order,41 to 42,2
2003,1,AR Order,42 to 43,2
2003,1,Decree Nisi,4 to 5,1209
2003,1,Decree Nisi,3 to 4,1924
2003,1,Decree Nisi,2 to 3,5315
2003,1,Decree Nisi,1 to 2,17470
2003,1,Decree Nisi,0 to 1,13271
2003,1,Decree Nisi,85 to 86,1
2003,1,Decree Nisi,84 to 85,1
2003,1,Decree Nisi,63 to 64,1
2003,1,Decree Nisi,56 to 57,2
2003,1,Decree Nisi,54 to 55,2
2003,1,Decree Nisi,53 to 54,1
2003,1,Decree Nisi,52 to 53,1
2003,1,Decree Nisi,51 to 52,2
2003,1,Decree Nisi,49 to 50,3
2003,1,Decree Nisi,47 to 48,1
2003,1,Decree Nisi,45 to 46,1
2003,1,Decree Nisi,43 to 44,1
2003,1,Decree Nisi,41 to 42,1
2003,1,Decree Nisi,37 to 38,1
2003,1,Decree Nisi,36 to 37,1
2003,1,Decree Nisi,35 to 36,3
2003,1,Decree Nisi,34 to 35,5
2003,1,Decree Nisi,33 to 34,1
2003,1,Decree Nisi,32 to 33,3
2003,1,Decree Nisi,31 to 32,3
2003,1,Decree Nisi,30 to 31,4
2003,1,Decree Nisi,29 to 30,5
2003,1,Decree Nisi,28 to 29,5
2003,1,Decree Nisi,27 to 28,3
2003,1,Decree Nisi,26 to 27,2
2003,1,Decree Nisi,25 to 26,2
2003,1,Hearing,0 to 1,896
2003,1,Hearing,1 to 2,3565
2003,1,Hearing,2 to 3,3203
2003,1,Hearing,3 to 4,2366
2003,1,Hearing,4 to 5,1444
2003,1,Hearing,5 to 6,689
2003,1,Hearing,6 to 7,457
2003,1,Hearing,7 to 8,300
2003,1,Hearing,8 to 9,218
2003,1,Hearing,9 to 10,152
2003,1,Hearing,10 to 11,127
2003,1,Hearing,11 to 12,95
2003,1,Hearing,12 to 13,66
2003,1,Hearing,13 to 14,58
2003,1,Hearing,14 to 15,56
2003,1,Hearing,15 to 16,28
2003,1,Hearing,16 to 17,36
2003,1,Hearing,17 to 18,23
2003,1,Hearing,18 to 19,20
2003,1,Hearing,19 to 20,25
2003,1,Hearing,20 to 21,19
2003,1,Hearing,21 to 22,14
2003,1,Hearing,22 to 23,10
2003,1,Hearing,23 to 24,15
2003,1,Hearing,24 to 25,11
2003,1,Hearing,25 to 26,9
2003,1,Hearing,26 to 27,6
2003,1,Hearing,27 to 28,9
2003,1,Hearing,28 to 29,3
2003,1,Hearing,29 to 30,14
2003,1,Hearing,30 to 31,8
2003,1,Hearing,31 to 32,3
2003,1,Hearing,32 to 33,5
2003,1,Hearing,33 to 34,7
2003,1,Hearing,34 to 35,3
2003,1,Hearing,35 to 36,1
2003,1,Hearing,36 to 37,3
2003,1,Hearing,37 to 38,4
2003,1,Hearing,38 to 39,4
2003,1,Hearing,39 to 40,2
2003,1,Hearing,40 to 41,2
2003,1,Hearing,41 to 42,6
2003,1,Hearing,42 to 43,1
2003,1,Hearing,43 to 44,3
2003,1,Hearing,44 to 45,2
2003,1,Hearing,45 to 46,3
2003,1,Hearing,47 to 48,3
2003,1,Hearing,48 to 49,4
2003,1,Hearing,49 to 50,1
2003,1,Hearing,50 to 51,3
2003,1,Hearing,51 to 52,3
2003,1,Hearing,53 to 54,1
2003,1,Hearing,54 to 55,1
2003,1,Hearing,55 to 56,1
2003,1,Hearing,56 to 57,3
2003,1,Hearing,57 to 58,1
2003,1,Hearing,60 to 61,2
2003,1,Hearing,61 to 62,1
2003,1,Hearing,63 to 64,1
2003,1,Hearing,66 to 67,3
2003,1,Hearing,68 to 69,3
2003,1,Hearing,70 to 71,2
2003,1,Hearing,71 to 72,1
2003,1,Hearing,73 to 74,1
2003,1,Hearing,79 to 80,1
2003,1,Hearing,85 to 86,1
2003,1,Hearing,87 to 88,1
2003,1,Hearing,92 to 93,1
2003,1,Hearing,109 to 110,1
2003,1,Petition,0 to 1,45536
2003,2,AR Application,14 to 15,56
2003,2,AR Application,13 to 14,84
2003,2,AR Application,12 to 13,83
2003,2,AR Application,11 to 12,112
2003,2,AR Application,10 to 11,151
2003,2,AR Application,9 to 10,209
2003,2,AR Application,8 to 9,306
2003,2,AR Application,7 to 8,413
2003,2,AR Application,6 to 7,574
2003,2,AR Application,5 to 6,1025
2003,2,AR Application,4 to 5,1469
2003,2,AR Application,2 to 3,2656
2003,2,AR Application,1 to 2,3201
2003,2,AR Application,0 to 1,2327
2003,2,AR Application,3 to 4,2041
2003,2,AR Application,85 to 86,1
2003,2,AR Application,77 to 78,2
2003,2,AR Application,74 to 75,1
2003,2,AR Application,72 to 73,1
2003,2,AR Application,71 to 72,3
2003,2,AR Application,70 to 71,1
2003,2,AR Application,69 to 70,2
2003,2,AR Application,68 to 69,1
2003,2,AR Application,67 to 68,1
2003,2,AR Application,65 to 66,1
2003,2,AR Application,62 to 63,2
2003,2,AR Application,61 to 62,1
2003,2,AR Application,60 to 61,1
2003,2,AR Application,58 to 59,2
2003,2,AR Application,57 to 58,1
2003,2,AR Application,56 to 57,1
2003,2,AR Application,55 to 56,1
2003,2,AR Application,54 to 55,2
2003,2,AR Application,53 to 54,4
2003,2,AR Application,51 to 52,2
2003,2,AR Application,50 to 51,1
2003,2,AR Application,49 to 50,4
2003,2,AR Application,47 to 48,2
2003,2,AR Application,46 to 47,4
2003,2,AR Application,44 to 45,2
2003,2,AR Application,43 to 44,2
2003,2,AR Application,42 to 43,3
2003,2,AR Application,41 to 42,3
2003,2,AR Application,40 to 41,4
2003,2,AR Application,39 to 40,4
2003,2,AR Application,38 to 39,1
2003,2,AR Application,36 to 37,1
2003,2,AR Application,35 to 36,5
2003,2,AR Application,34 to 35,2
2003,2,AR Application,33 to 34,1
2003,2,AR Application,32 to 33,8
2003,2,AR Application,31 to 32,2
2003,2,AR Application,30 to 31,6
2003,2,AR Application,29 to 30,10
2003,2,AR Application,28 to 29,6
2003,2,AR Application,27 to 28,11
2003,2,AR Application,26 to 27,11
2003,2,AR Application,25 to 26,3
2003,2,AR Application,24 to 25,10
2003,2,AR Application,23 to 24,10
2003,2,AR Application,22 to 23,12
2003,2,AR Application,21 to 22,20
2003,2,AR Application,20 to 21,16
2003,2,AR Application,19 to 20,24
2003,2,AR Application,18 to 19,20
2003,2,AR Application,17 to 18,23
2003,2,AR Application,16 to 17,44
2003,2,AR Application,15 to 16,42
2003,2,AR Order,0 to 1,63
2003,2,AR Order,90 to 91,1
2003,2,AR Order,85 to 86,1
2003,2,AR Order,84 to 85,1
2003,2,AR Order,83 to 84,1
2003,2,AR Order,78 to 79,1
2003,2,AR Order,77 to 78,1
2003,2,AR Order,76 to 77,1
2003,2,AR Order,74 to 75,2
2003,2,AR Order,73 to 74,2
2003,2,AR Order,72 to 73,1
2003,2,AR Order,71 to 72,2
2003,2,AR Order,70 to 71,1
2003,2,AR Order,69 to 70,1
2003,2,AR Order,66 to 67,1
2003,2,AR Order,65 to 66,2
2003,2,AR Order,62 to 63,1
2003,2,AR Order,61 to 62,2
2003,2,AR Order,59 to 60,1
2003,2,AR Order,58 to 59,2
2003,2,AR Order,57 to 58,3
2003,2,AR Order,56 to 57,3
2003,2,AR Order,55 to 56,2
2003,2,AR Order,54 to 55,1
2003,2,AR Order,53 to 54,2
2003,2,AR Order,52 to 53,3
2003,2,AR Order,51 to 52,4
2003,2,AR Order,50 to 51,1
2003,2,AR Order,49 to 50,2
2003,2,AR Order,48 to 49,3
2003,2,AR Order,47 to 48,4
2003,2,AR Order,46 to 47,2
2003,2,AR Order,45 to 46,2
2003,2,AR Order,44 to 45,3
2003,2,AR Order,43 to 44,3
2003,2,AR Order,42 to 43,1
2003,2,AR Order,41 to 42,2
2003,2,AR Order,40 to 41,2
2003,2,AR Order,39 to 40,3
2003,2,AR Order,38 to 39,4
2003,2,AR Order,37 to 38,6
2003,2,AR Order,36 to 37,1
2003,2,AR Order,35 to 36,3
2003,2,AR Order,34 to 35,3
2003,2,AR Order,33 to 34,8
2003,2,AR Order,32 to 33,6
2003,2,AR Order,31 to 32,3
2003,2,AR Order,30 to 31,5
2003,2,AR Order,29 to 30,5
2003,2,AR Order,28 to 29,5
2003,2,AR Order,27 to 28,7
2003,2,AR Order,26 to 27,9
2003,2,AR Order,25 to 26,13
2003,2,AR Order,24 to 25,14
2003,2,AR Order,23 to 24,8
2003,2,AR Order,22 to 23,20
2003,2,AR Order,21 to 22,19
2003,2,AR Order,20 to 21,20
2003,2,AR Order,19 to 20,26
2003,2,AR Order,18 to 19,28
2003,2,AR Order,17 to 18,38
2003,2,AR Order,16 to 17,58
2003,2,AR Order,15 to 16,70
2003,2,AR Order,14 to 15,63
2003,2,AR Order,13 to 14,87
2003,2,AR Order,12 to 13,121
2003,2,AR Order,11 to 12,164
2003,2,AR Order,10 to 11,200
2003,2,AR Order,9 to 10,330
2003,2,AR Order,8 to 9,460
2003,2,AR Order,7 to 8,642
2003,2,AR Order,6 to 7,909
2003,2,AR Order,5 to 6,1222
2003,2,AR Order,4 to 5,1539
2003,2,AR Order,3 to 4,1167
2003,2,AR Order,2 to 3,580
2003,2,AR Order,1 to 2,367
2003,2,Decree Absolute,13 to 14,139
2003,2,Decree Absolute,14 to 15,107
2003,2,Decree Absolute,15 to 16,97
2003,2,Decree Absolute,16 to 17,60
2003,2,Decree Absolute,17 to 18,61
2003,2,Decree Absolute,18 to 19,38
2003,2,Decree Absolute,19 to 20,39
2003,2,Decree Absolute,20 to 21,40
2003,2,Decree Absolute,21 to 22,33
2003,2,Decree Absolute,22 to 23,37
2003,2,Decree Absolute,23 to 24,15
2003,2,Decree Absolute,75 to 76,1
2003,2,Decree Absolute,78 to 79,1
2003,2,Decree Absolute,79 to 80,1
2003,2,Decree Absolute,81 to 82,3
2003,2,Decree Absolute,88 to 89,1
2003,2,Decree Absolute,74 to 75,2
2003,2,Decree Absolute,73 to 74,5
2003,2,Decree Absolute,72 to 73,1
2003,2,Decree Absolute,71 to 72,4
2003,2,Decree Absolute,70 to 71,1
2003,2,Decree Absolute,68 to 69,2
2003,2,Decree Absolute,67 to 68,4
2003,2,Decree Absolute,66 to 67,2
2003,2,Decree Absolute,65 to 66,1
2003,2,Decree Absolute,62 to 63,1
2003,2,Decree Absolute,61 to 62,1
2003,2,Decree Absolute,60 to 61,1
2003,2,Decree Absolute,59 to 60,1
2003,2,Decree Absolute,58 to 59,1
2003,2,Decree Absolute,57 to 58,2
2003,2,Decree Absolute,56 to 57,2
2003,2,Decree Absolute,55 to 56,3
2003,2,Decree Absolute,54 to 55,1
2003,2,Decree Absolute,53 to 54,5
2003,2,Decree Absolute,52 to 53,2
2003,2,Decree Absolute,51 to 52,7
2003,2,Decree Absolute,50 to 51,4
2003,2,Decree Absolute,49 to 50,3
2003,2,Decree Absolute,48 to 49,3
2003,2,Decree Absolute,47 to 48,1
2003,2,Decree Absolute,46 to 47,1
2003,2,Decree Absolute,45 to 46,7
2003,2,Decree Absolute,44 to 45,2
2003,2,Decree Absolute,43 to 44,3
2003,2,Decree Absolute,42 to 43,7
2003,2,Decree Absolute,41 to 42,2
2003,2,Decree Absolute,40 to 41,2
2003,2,Decree Absolute,39 to 40,4
2003,2,Decree Absolute,38 to 39,5
2003,2,Decree Absolute,37 to 38,6
2003,2,Decree Absolute,36 to 37,6
2003,2,Decree Absolute,35 to 36,6
2003,2,Decree Absolute,34 to 35,5
2003,2,Decree Absolute,33 to 34,14
2003,2,Decree Absolute,32 to 33,7
2003,2,Decree Absolute,31 to 32,13
2003,2,Decree Absolute,30 to 31,11
2003,2,Decree Absolute,29 to 30,8
2003,2,Decree Absolute,28 to 29,10
2003,2,Decree Absolute,27 to 28,14
2003,2,Decree Absolute,26 to 27,15
2003,2,Decree Absolute,25 to 26,16
2003,2,Decree Absolute,24 to 25,22
2003,2,Decree Absolute,0 to 1,494
2003,2,Decree Absolute,1 to 2,13430
2003,2,Decree Absolute,2 to 3,8468
2003,2,Decree Absolute,3 to 4,4854
2003,2,Decree Absolute,4 to 5,2979
2003,2,Decree Absolute,5 to 6,1871
2003,2,Decree Absolute,6 to 7,1235
2003,2,Decree Absolute,7 to 8,924
2003,2,Decree Absolute,8 to 9,627
2003,2,Decree Absolute,9 to 10,483
2003,2,Decree Absolute,10 to 11,292
2003,2,Decree Absolute,11 to 12,226
2003,2,Decree Absolute,12 to 13,159
2003,2,Decree Nisi,73 to 74,1
2003,2,Decree Nisi,74 to 75,1
2003,2,Decree Nisi,26 to 27,4
2003,2,Decree Nisi,25 to 26,12
2003,2,Decree Nisi,24 to 25,7
2003,2,Decree Nisi,23 to 24,6
2003,2,Decree Nisi,22 to 23,9
2003,2,Decree Nisi,21 to 22,15
2003,2,Decree Nisi,20 to 21,12
2003,2,Decree Nisi,19 to 20,19
2003,2,Decree Nisi,18 to 19,19
2003,2,Decree Nisi,17 to 18,24
2003,2,Decree Nisi,16 to 17,19
2003,2,Decree Nisi,15 to 16,21
2003,2,Decree Nisi,14 to 15,31
2003,2,Decree Nisi,13 to 14,32
2003,2,Decree Nisi,12 to 13,51
2003,2,Decree Nisi,11 to 12,56
2003,2,Decree Nisi,10 to 11,76
2003,2,Decree Nisi,9 to 10,117
2003,2,Decree Nisi,8 to 9,143
2003,2,Decree Nisi,7 to 8,228
2003,2,Decree Nisi,6 to 7,375
2003,2,Decree Nisi,5 to 6,669
2003,2,Decree Nisi,4 to 5,1054
2003,2,Decree Nisi,3 to 4,2238
2003,2,Decree Nisi,2 to 3,4742
2003,2,Decree Nisi,1 to 2,16658
2003,2,Decree Nisi,0 to 1,10867
2003,2,Decree Nisi,27 to 28,2
2003,2,Decree Nisi,28 to 29,8
2003,2,Decree Nisi,29 to 30,3
2003,2,Decree Nisi,30 to 31,3
2003,2,Decree Nisi,31 to 32,4
2003,2,Decree Nisi,32 to 33,1
2003,2,Decree Nisi,33 to 34,1
2003,2,Decree Nisi,34 to 35,1
2003,2,Decree Nisi,35 to 36,2
2003,2,Decree Nisi,36 to 37,2
2003,2,Decree Nisi,38 to 39,3
2003,2,Decree Nisi,39 to 40,1
2003,2,Decree Nisi,41 to 42,2
2003,2,Decree Nisi,42 to 43,3
2003,2,Decree Nisi,44 to 45,1
2003,2,Decree Nisi,45 to 46,2
2003,2,Decree Nisi,48 to 49,1
2003,2,Decree Nisi,50 to 51,2
2003,2,Decree Nisi,51 to 52,2
2003,2,Decree Nisi,52 to 53,1
2003,2,Decree Nisi,54 to 55,1
2003,2,Decree Nisi,58 to 59,1
2003,2,Decree Nisi,66 to 67,1
2003,2,Decree Nisi,68 to 69,1
2003,2,Hearing,81 to 82,1
2003,2,Hearing,88 to 89,1
2003,2,Hearing,108 to 109,1
2003,2,Hearing,121 to 122,1
2003,2,Hearing,3960 to 3961,1
2003,2,Hearing,0 to 1,841
2003,2,Hearing,1 to 2,3519
2003,2,Hearing,2 to 3,3021
2003,2,Hearing,3 to 4,1987
2003,2,Hearing,4 to 5,919
2003,2,Hearing,5 to 6,658
2003,2,Hearing,6 to 7,422
2003,2,Hearing,7 to 8,277
2003,2,Hearing,8 to 9,188
2003,2,Hearing,9 to 10,134
2003,2,Hearing,10 to 11,88
2003,2,Hearing,11 to 12,82
2003,2,Hearing,12 to 13,54
2003,2,Hearing,13 to 14,49
2003,2,Hearing,14 to 15,41
2003,2,Hearing,15 to 16,35
2003,2,Hearing,16 to 17,31
2003,2,Hearing,17 to 18,15
2003,2,Hearing,18 to 19,13
2003,2,Hearing,19 to 20,15
2003,2,Hearing,20 to 21,16
2003,2,Hearing,21 to 22,11
2003,2,Hearing,22 to 23,12
2003,2,Hearing,23 to 24,5
2003,2,Hearing,24 to 25,9
2003,2,Hearing,25 to 26,8
2003,2,Hearing,26 to 27,9
2003,2,Hearing,27 to 28,12
2003,2,Hearing,28 to 29,13
2003,2,Hearing,29 to 30,8
2003,2,Hearing,30 to 31,11
2003,2,Hearing,31 to 32,9
2003,2,Hearing,32 to 33,1
2003,2,Hearing,33 to 34,4
2003,2,Hearing,34 to 35,4
2003,2,Hearing,35 to 36,2
2003,2,Hearing,36 to 37,4
2003,2,Hearing,37 to 38,2
2003,2,Hearing,38 to 39,1
2003,2,Hearing,39 to 40,1
2003,2,Hearing,40 to 41,2
2003,2,Hearing,41 to 42,3
2003,2,Hearing,42 to 43,5
2003,2,Hearing,43 to 44,1
2003,2,Hearing,44 to 45,1
2003,2,Hearing,45 to 46,3
2003,2,Hearing,47 to 48,1
2003,2,Hearing,48 to 49,2
2003,2,Hearing,49 to 50,2
2003,2,Hearing,50 to 51,5
2003,2,Hearing,51 to 52,1
2003,2,Hearing,52 to 53,2
2003,2,Hearing,53 to 54,2
2003,2,Hearing,54 to 55,2
2003,2,Hearing,55 to 56,2
2003,2,Hearing,56 to 57,1
2003,2,Hearing,57 to 58,1
2003,2,Hearing,59 to 60,2
2003,2,Hearing,61 to 62,1
2003,2,Hearing,64 to 65,1
2003,2,Hearing,66 to 67,1
2003,2,Hearing,69 to 70,1
2003,2,Hearing,71 to 72,1
2003,2,Hearing,72 to 73,1
2003,2,Hearing,73 to 74,1
2003,2,Petition,0 to 1,41501
2003,3,AR Application,77 to 78,1
2003,3,AR Application,76 to 77,1
2003,3,AR Application,73 to 74,1
2003,3,AR Application,72 to 73,2
2003,3,AR Application,71 to 72,1
2003,3,AR Application,70 to 71,4
2003,3,AR Application,69 to 70,2
2003,3,AR Application,68 to 69,1
2003,3,AR Application,67 to 68,1
2003,3,AR Application,66 to 67,1
2003,3,AR Application,64 to 65,2
2003,3,AR Application,62 to 63,1
2003,3,AR Application,61 to 62,1
2003,3,AR Application,59 to 60,1
2003,3,AR Application,58 to 59,1
2003,3,AR Application,57 to 58,1
2003,3,AR Application,56 to 57,2
2003,3,AR Application,55 to 56,2
2003,3,AR Application,54 to 55,1
2003,3,AR Application,53 to 54,2
2003,3,AR Application,52 to 53,3
2003,3,AR Application,51 to 52,2
2003,3,AR Application,49 to 50,1
2003,3,AR Application,48 to 49,1
2003,3,AR Application,47 to 48,1
2003,3,AR Application,46 to 47,2
