case,stage,year,quarter,applicant,main_applicant_gender,other_applicant_gender,count,mean_weeks,median_weeks
Civil Partnership,Application,,2022 Q2,Joint,All,All,117,,
Civil Partnership,Application,,2022 Q2,Sole,All,All,170,,
Civil Partnership,Application,,2022 Q3,All,Female,Female,121,,
Civil Partnership,Application,,2022 Q3,All,Male,Female,15,,
Civil Partnership,Application,,2022 Q3,Joint,Female,Female,48,,
Civil Partnership,Application,,2022 Q3,Joint,Female,Male,7,,
Civil Partnership,Application,,2022 Q3,Joint,Male,Female,8,,
Civil Partnership,Application,,2022 Q3,All,All,All,276,,
Civil Partnership,Application,,2022 Q3,All,Unknown,Unknown,18,,
Civil Partnership,Application,,2022 Q3,All,Male,Male,110,,
Civil Partnership,Application,,2022 Q3,Sole,Male,N/A,72,,
Civil Partnership,Application,,2022 Q3,All,Female,Male,12,,
Civil Partnership,Application,,2022 Q3,Joint,Male,Male,45,,
Civil Partnership,Application,,2022 Q3,Sole,Female,N/A,78,,
Civil Partnership,Application,,2022 Q3,Sole,Unknown,N/A,11,,
Civil Partnership,Application,,2022 Q3,Joint,Unknown,Unknown,7,,
Civil Partnership,Application,,2022 Q3,Joint,All,All,115,,
Civil Partnership,Application,,2022 Q3,Sole,All,All,161,,
Civil Partnership,Application,,2022 Q4,All,Female,Male,18,,
Civil Partnership,Application,,2022 Q4,All,Unknown,Unknown,11,,
Civil Partnership,Application,,2022 Q4,Joint,Male,Female,9,,
Civil Partnership,Application,,2022 Q4,Joint,Unknown,Unknown,3,,
Civil Partnership,Application,,2022 Q4,Joint,Female,Male,9,,
Civil Partnership,Application,,2022 Q4,All,All,All,252,,
Civil Partnership,Application,,2022 Q4,All,Male,Female,15,,
Civil Partnership,Application,,2022 Q4,All,Female,Female,105,,
Civil Partnership,Application,,2022 Q4,All,Male,Male,103,,
Civil Partnership,Application,,2022 Q4,Sole,Unknown,N/A,8,,
Civil Partnership,Application,,2022 Q4,Sole,Female,N/A,73,,
Civil Partnership,Application,,2022 Q4,Joint,Male,Male,43,,
Civil Partnership,Application,,2022 Q4,Sole,Male,N/A,66,,
Civil Partnership,Application,,2022 Q4,Joint,Female,Female,41,,
Civil Partnership,Application,,2022 Q4,Joint,All,All,105,,
Civil Partnership,Application,,2022 Q4,Sole,All,All,147,,
Civil Partnership,Application,,2023 Q1,Joint,Male,Unknown,1,,
Civil Partnership,Application,,2023 Q1,Joint,Female,Female,36,,
Civil Partnership,Application,,2023 Q1,Joint,Unknown,Unknown,7,,
Civil Partnership,Application,,2023 Q1,All,All,All,276,,
Civil Partnership,Application,,2023 Q1,Sole,Unknown,N/A,9,,
Civil Partnership,Application,,2023 Q1,All,Unknown,Unknown,16,,
Civil Partnership,Application,,2023 Q1,All,Male,Male,106,,
Civil Partnership,Application,,2023 Q1,All,Male,Female,19,,
Civil Partnership,Application,,2023 Q1,All,Female,Female,116,,
Civil Partnership,Application,,2023 Q1,All,Female,Male,18,,
Civil Partnership,Application,,2023 Q1,All,Male,Unknown,1,,
Civil Partnership,Application,,2023 Q1,Joint,Male,Male,46,,
Civil Partnership,Application,,2023 Q1,Joint,Female,Male,11,,
Civil Partnership,Application,,2023 Q1,Joint,Male,Female,11,,
Civil Partnership,Application,,2023 Q1,Joint,All,All,112,,
Civil Partnership,Application,,2023 Q1,Sole,All,All,164,,
Civil Partnership,Application,,2023 Q1,Sole,Male,N/A,68,,
Civil Partnership,Application,,2023 Q1,Sole,Female,N/A,87,,
Civil Partnership,Application,,2023 Q2,All,Female,Male,28,,
Civil Partnership,Application,,2023 Q2,All,Female,Female,102,,
Civil Partnership,Application,,2023 Q2,All,Unknown,Unknown,12,,
Civil Partnership,Application,,2023 Q2,All,All,All,249,,
Civil Partnership,Application,,2023 Q2,All,Male,Female,25,,
Civil Partnership,Application,,2023 Q2,All,Male,Male,82,,
Civil Partnership,Application,,2023 Q2,Sole,Male,N/A,65,,
Civil Partnership,Application,,2023 Q2,Sole,Female,N/A,73,,
Civil Partnership,Application,,2023 Q2,Joint,Female,Male,15,,
Civil Partnership,Application,,2023 Q2,Joint,Male,Female,12,,
Civil Partnership,Application,,2023 Q2,Joint,Male,Male,30,,
Civil Partnership,Application,,2023 Q2,Joint,Unknown,Unknown,5,,
Civil Partnership,Application,,2023 Q2,Joint,Female,Female,42,,
Civil Partnership,Application,,2023 Q2,Joint,All,All,104,,
Civil Partnership,Application,,2023 Q2,Sole,All,All,145,,
Civil Partnership,Application,,2023 Q2,Sole,Unknown,N/A,7,,
Civil Partnership,Application,,2023 Q3,Joint,Male,Female,13,,
Civil Partnership,Application,,2023 Q3,Joint,Male,Male,41,,
Civil Partnership,Application,,2023 Q3,All,All,All,225,,
Civil Partnership,Application,,2023 Q3,All,Female,Female,80,,
Civil Partnership,Application,,2023 Q3,All,Unknown,Unknown,10,,
Civil Partnership,Application,,2023 Q3,All,Female,Male,18,,
Civil Partnership,Application,,2023 Q3,All,Male,Male,93,,
Civil Partnership,Application,,2023 Q3,All,Male,Female,24,,
Civil Partnership,Application,,2023 Q3,Joint,Female,Male,8,,
Civil Partnership,Application,,2023 Q3,Joint,Unknown,Unknown,7,,
Civil Partnership,Application,,2023 Q3,Sole,Unknown,N/A,3,,
Civil Partnership,Application,,2023 Q3,Sole,Female,N/A,62,,
Civil Partnership,Application,,2023 Q3,Sole,Male,N/A,63,,
Civil Partnership,Application,,2023 Q3,Joint,Female,Female,28,,
Civil Partnership,Application,,2023 Q3,Joint,All,All,97,,
Civil Partnership,Application,,2023 Q3,Sole,All,All,128,,
Civil Partnership,Application,,2023 Q4,Joint,Male,Female,21,,
Civil Partnership,Application,,2023 Q4,Joint,Female,Male,8,,
Civil Partnership,Application,,2023 Q4,Joint,Unknown,Unknown,5,,
Civil Partnership,Application,,2023 Q4,All,All,All,204,,
Civil Partnership,Application,,2023 Q4,All,Male,Female,36,,
Civil Partnership,Application,,2023 Q4,All,Female,Female,78,,
Civil Partnership,Application,,2023 Q4,All,Female,Male,18,,
Civil Partnership,Application,,2023 Q4,All,Unknown,Unknown,10,,
Civil Partnership,Application,,2023 Q4,Sole,Female,N/A,61,,
Civil Partnership,Application,,2023 Q4,Sole,Male,N/A,51,,
Civil Partnership,Application,,2023 Q4,All,Male,Male,62,,
Civil Partnership,Application,,2023 Q4,Joint,Female,Female,27,,
Civil Partnership,Application,,2023 Q4,Sole,Unknown,N/A,5,,
Civil Partnership,Application,,2023 Q4,Joint,Male,Male,26,,
Civil Partnership,Application,,2023 Q4,Joint,All,All,87,,
Civil Partnership,Application,,2023 Q4,Sole,All,All,117,,
Civil Partnership,Application,,2024 Q1,All,Unknown,Unknown,12,,
Civil Partnership,Application,,2024 Q1,Joint,Male,Male,38,,
Civil Partnership,Application,,2024 Q1,Joint,Female,Male,15,,
Civil Partnership,Application,,2024 Q1,Joint,Unknown,Unknown,6,,
Civil Partnership,Application,,2024 Q1,All,All,All,220,,
Civil Partnership,Application,,2024 Q1,Sole,Male,N/A,61,,
Civil Partnership,Application,,2024 Q1,All,Female,Female,67,,
Civil Partnership,Application,,2024 Q1,All,Female,Male,31,,
Civil Partnership,Application,,2024 Q1,All,Male,Male,82,,
Civil Partnership,Application,,2024 Q1,All,Male,Female,28,,
Civil Partnership,Application,,2024 Q1,Joint,Female,Female,22,,
Civil Partnership,Application,,2024 Q1,Joint,Male,Female,11,,
Civil Partnership,Application,,2024 Q1,Sole,Female,N/A,61,,
Civil Partnership,Application,,2024 Q1,Joint,All,All,92,,
Civil Partnership,Application,,2024 Q1,Sole,All,All,128,,
Civil Partnership,Application,,2024 Q1,Sole,Unknown,N/A,6,,
Civil Partnership,Application,,2024 Q2,All,Male,Male,87,,
Civil Partnership,Application,,2024 Q2,Joint,Unknown,Unknown,7,,
Civil Partnership,Application,,2024 Q2,Joint,Male,Male,46,,
Civil Partnership,Application,,2024 Q2,All,All,All,245,,
Civil Partnership,Application,,2024 Q2,All,Unknown,Unknown,11,,
Civil Partnership,Application,,2024 Q2,All,Male,Female,29,,
Civil Partnership,Application,,2024 Q2,Sole,Female,N/A,71,,
Civil Partnership,Application,,2024 Q2,All,Female,Female,90,,
Civil Partnership,Application,,2024 Q2,All,Female,Male,28,,
Civil Partnership,Application,,2024 Q2,Joint,Female,Female,34,,
Civil Partnership,Application,,2024 Q2,Sole,Unknown,N/A,4,,
Civil Partnership,Application,,2024 Q2,Sole,Male,N/A,51,,
Civil Partnership,Application,,2024 Q2,Joint,Male,Female,19,,
Civil Partnership,Application,,2024 Q2,Joint,Female,Male,13,,
Civil Partnership,Application,,2024 Q2,Joint,All,All,119,,
Civil Partnership,Application,,2024 Q2,Sole,All,All,126,,
Civil Partnership,Application,,2024 Q3,All,Male,Female,33,,
Civil Partnership,Application,,2024 Q3,Joint,Male,Male,43,,
Civil Partnership,Application,,2024 Q3,Joint,Female,Male,21,,
Civil Partnership,Application,,2024 Q3,All,All,All,245,,
Civil Partnership,Application,,2024 Q3,All,Female,Female,75,,
Civil Partnership,Application,,2024 Q3,All,Unknown,Unknown,9,,
Civil Partnership,Application,,2024 Q3,Sole,Male,N/A,68,,
Civil Partnership,Application,,2024 Q3,All,Female,Male,37,,
Civil Partnership,Application,,2024 Q3,All,Male,Male,91,,
Civil Partnership,Application,,2024 Q3,Joint,Female,Female,29,,
Civil Partnership,Application,,2024 Q3,Sole,Unknown,N/A,3,,
Civil Partnership,Application,,2024 Q3,Joint,Unknown,Unknown,6,,
Civil Partnership,Application,,2024 Q3,Joint,Male,Female,13,,
Civil Partnership,Application,,2024 Q3,Joint,All,All,112,,
Civil Partnership,Application,,2024 Q3,Sole,All,All,133,,
Civil Partnership,Application,,2024 Q3,Sole,Female,N/A,62,,
Civil Partnership,Application,,2024 Q4,All,Unknown,Unknown,7,,
Civil Partnership,Application,,2024 Q4,All,Female,Male,22,,
Civil Partnership,Application,,2024 Q4,Joint,Male,Female,16,,
Civil Partnership,Application,,2024 Q4,All,All,All,205,,
Civil Partnership,Application,,2024 Q4,Sole,Unknown,N/A,2,,
Civil Partnership,Application,,2024 Q4,Sole,Female,N/A,57,,
Civil Partnership,Application,,2024 Q4,All,Male,Female,30,,
Civil Partnership,Application,,2024 Q4,All,Female,Female,76,,
Civil Partnership,Application,,2024 Q4,All,Male,Male,70,,
Civil Partnership,Application,,2024 Q4,Joint,Female,Male,11,,
Civil Partnership,Application,,2024 Q4,Joint,Male,Male,28,,
Civil Partnership,Application,,2024 Q4,Sole,Male,N/A,56,,
Civil Partnership,Application,,2024 Q4,Joint,Female,Female,30,,
Civil Partnership,Application,,2024 Q4,Joint,Unknown,Unknown,5,,
Civil Partnership,Application,,2024 Q4,Joint,All,All,90,,
Civil Partnership,Application,,2024 Q4,Sole,All,All,115,,
Civil Partnership,Application,,2025 Q1,All,Male,Female,40,,
Civil Partnership,Application,,2025 Q1,All,Female,Female,79,,
Civil Partnership,Application,,2025 Q1,Joint,Female,Male,27,,
Civil Partnership,Application,,2025 Q1,Joint,Male,Female,20,,
Civil Partnership,Application,,2025 Q1,Joint,Male,Male,42,,
Civil Partnership,Application,,2025 Q1,All,All,All,248,,
Civil Partnership,Application,,2025 Q1,All,Unknown,Unknown,11,,
Civil Partnership,Application,,2025 Q1,All,Female,Male,42,,
Civil Partnership,Application,,2025 Q1,All,Male,Male,76,,
Civil Partnership,Application,,2025 Q1,Sole,Female,N/A,57,,
Civil Partnership,Application,,2025 Q1,Sole,Male,N/A,54,,
Civil Partnership,Application,,2025 Q1,Sole,Unknown,N/A,5,,
Civil Partnership,Application,,2025 Q1,Joint,Female,Female,37,,
Civil Partnership,Application,,2025 Q1,Joint,Unknown,Unknown,6,,
Civil Partnership,Application,,2025 Q1,Joint,All,All,132,,
Civil Partnership,Application,,2025 Q1,Sole,All,All,116,,
Civil Partnership,Application,,2025 Q2,All,Male,Female,32,,
Civil Partnership,Application,,2025 Q2,Joint,Unknown,Unknown,11,,
Civil Partnership,Application,,2025 Q2,Joint,Female,Female,31,,
Civil Partnership,Application,,2025 Q2,All,All,All,224,,
Civil Partnership,Application,,2025 Q2,All,Female,Female,71,,
Civil Partnership,Application,,2025 Q2,All,Unknown,Unknown,12,,
Civil Partnership,Application,,2025 Q2,Sole,Female,N/A,59,,
Civil Partnership,Application,,2025 Q2,All,Male,Male,66,,
Civil Partnership,Application,,2025 Q2,Sole,Unknown,N/A,1,,
Civil Partnership,Application,,2025 Q2,All,Female,Male,43,,
Civil Partnership,Application,,2025 Q2,Joint,Male,Female,14,,
Civil Partnership,Application,,2025 Q2,Joint,Female,Male,24,,
Civil Partnership,Application,,2025 Q2,Sole,Male,N/A,48,,
Civil Partnership,Application,,2025 Q2,Joint,Male,Male,36,,
Civil Partnership,Application,,2025 Q2,Joint,All,All,116,,
Civil Partnership,Application,,2025 Q2,Sole,All,All,108,,
Civil Partnership,Application,,2025 Q3,All,Male,Male,77,,
Civil Partnership,Application,,2025 Q3,Joint,Unknown,Unknown,2,,
Civil Partnership,Application,,2025 Q3,Joint,Female,Male,20,,
Civil Partnership,Application,,2025 Q3,Joint,Male,Female,28,,
Civil Partnership,Application,,2025 Q3,Joint,Female,Female,33,,
Civil Partnership,Application,,2025 Q3,All,All,All,255,,
Civil Partnership,Application,,2025 Q3,All,Unknown,Unknown,5,,
Civil Partnership,Application,,2025 Q3,Sole,Female,N/A,71,,
Civil Partnership,Application,,2025 Q3,Sole,Male,N/A,58,,
Civil Partnership,Application,,2025 Q3,Sole,Unknown,N/A,3,,
Civil Partnership,Application,,2025 Q3,All,Female,Female,75,,
Civil Partnership,Application,,2025 Q3,All,Male,Female,49,,
Civil Partnership,Application,,2025 Q3,All,Female,Male,49,,
Civil Partnership,Application,,2025 Q3,Joint,Male,Male,40,,
Civil Partnership,Application,,2025 Q3,Joint,All,All,123,,
Civil Partnership,Application,,2025 Q3,Sole,All,All,132,,
Civil Partnership,Application,,2025 Q4,All,Male,Male,66,,
Civil Partnership,Application,,2025 Q4,All,Female,Male,45,,
Civil Partnership,Application,,2025 Q4,Joint,Female,Male,24,,
Civil Partnership,Application,,2025 Q4,Joint,Male,Female,26,,
Civil Partnership,Application,,2025 Q4,All,All,All,214,,
Civil Partnership,Application,,2025 Q4,Sole,Male,N/A,54,,
Civil Partnership,Application,,2025 Q4,All,Unknown,Unknown,7,,
Civil Partnership,Application,,2025 Q4,All,Female,Female,46,,
Civil Partnership,Application,,2025 Q4,All,Male,Female,50,,
Civil Partnership,Application,,2025 Q4,Sole,Female,N/A,43,,
Civil Partnership,Application,,2025 Q4,Joint,Unknown,Unknown,3,,
Civil Partnership,Application,,2025 Q4,Joint,Male,Male,36,,
Civil Partnership,Application,,2025 Q4,Joint,Female,Female,24,,
Civil Partnership,Application,,2025 Q4,Joint,All,All,113,,
Civil Partnership,Application,,2025 Q4,Sole,All,All,101,,
Civil Partnership,Application,,2025 Q4,Sole,Unknown,N/A,4,,
Civil Partnership,Conditional Order,2022,,All,All,All,175,27.713,27.143
Civil Partnership,Conditional Order,2022,,Sole,All,All,91,28.207,27.857
Civil Partnership,Conditional Order,2022,,Joint,All,All,84,27.177,26.857
Civil Partnership,Conditional Order,2023,,All,All,All,843,31.746,28.143
Civil Partnership,Conditional Order,2023,,Sole,All,All,459,33.263,29.571
Civil Partnership,Conditional Order,2023,,Joint,All,All,384,29.933,26.929
Civil Partnership,Conditional Order,2024,,All,All,All,845,35.494,29.714
Civil Partnership,Conditional Order,2024,,Sole,All,All,457,37.923,31
Civil Partnership,Conditional Order,2024,,Joint,All,All,388,32.632,28.286
Civil Partnership,Conditional Order,2025,,All,All,All,980,37.095,30.429
Civil Partnership,Conditional Order,2025,,Joint,All,All,467,32.4,29.429
Civil Partnership,Conditional Order,2025,,Sole,All,All,513,41.368,32.143
Civil Partnership,Conditional Order,,2022 Q3,Sole,All,All,1,24.143,24.143
Civil Partnership,Conditional Order,,2022 Q3,All,All,All,1,24.143,24.143
Civil Partnership,Conditional Order,,2022 Q4,Sole,All,All,90,28.252,27.857
Civil Partnership,Conditional Order,,2022 Q4,Joint,All,All,84,27.177,26.857
Civil Partnership,Conditional Order,,2022 Q4,All,All,All,174,27.733,27.214
Civil Partnership,Conditional Order,,2023 Q1,Joint,All,All,119,29.226,27.714
Civil Partnership,Conditional Order,,2023 Q1,Sole,All,All,123,30.102,28.571
Civil Partnership,Conditional Order,,2023 Q1,All,All,All,242,29.671,28
Civil Partnership,Conditional Order,,2023 Q2,Sole,All,All,122,30.08,26.857
Civil Partnership,Conditional Order,,2023 Q2,Joint,All,All,101,27.156,25
Civil Partnership,Conditional Order,,2023 Q2,All,All,All,223,28.755,25.857
Civil Partnership,Conditional Order,,2023 Q3,Joint,All,All,82,31.409,26.857
Civil Partnership,Conditional Order,,2023 Q3,Sole,All,All,104,35.444,30.286
Civil Partnership,Conditional Order,,2023 Q3,All,All,All,186,33.665,28.143
Civil Partnership,Conditional Order,,2023 Q4,Joint,All,All,82,32.902,27.143
Civil Partnership,Conditional Order,,2023 Q4,Sole,All,All,110,38.265,32.5
Civil Partnership,Conditional Order,,2023 Q4,All,All,All,192,35.975,30.714
Civil Partnership,Conditional Order,,2024 Q1,Joint,All,All,97,32.574,28.429
Civil Partnership,Conditional Order,,2024 Q1,Sole,All,All,149,39.014,34.286
Civil Partnership,Conditional Order,,2024 Q1,All,All,All,246,36.475,31.643
Civil Partnership,Conditional Order,,2024 Q2,Joint,All,All,125,33.781,29.429
Civil Partnership,Conditional Order,,2024 Q2,Sole,All,All,130,37.532,29.786
Civil Partnership,Conditional Order,,2024 Q2,All,All,All,255,35.693,29.571
Civil Partnership,Conditional Order,,2024 Q3,Sole,All,All,122,35.466,27.357
Civil Partnership,Conditional Order,,2024 Q3,Joint,All,All,93,32.432,27
Civil Partnership,Conditional Order,,2024 Q3,All,All,All,215,34.153,27.143
Civil Partnership,Conditional Order,,2024 Q4,Joint,All,All,73,30.998,28.286
Civil Partnership,Conditional Order,,2024 Q4,Sole,All,All,56,41.281,32.786
Civil Partnership,Conditional Order,,2024 Q4,All,All,All,129,35.462,29.857
Civil Partnership,Conditional Order,,2025 Q1,Sole,All,All,123,42.596,34.286
Civil Partnership,Conditional Order,,2025 Q1,Joint,All,All,96,33.146,30.429
Civil Partnership,Conditional Order,,2025 Q1,All,All,All,219,38.453,32.714
Civil Partnership,Conditional Order,,2025 Q2,Sole,All,All,139,40.264,33.857
Civil Partnership,Conditional Order,,2025 Q2,Joint,All,All,122,34.959,31.143
Civil Partnership,Conditional Order,,2025 Q2,All,All,All,261,37.784,32
Civil Partnership,Conditional Order,,2025 Q3,Sole,All,All,140,42.351,30
Civil Partnership,Conditional Order,,2025 Q3,Joint,All,All,130,32.089,28.214
Civil Partnership,Conditional Order,,2025 Q3,All,All,All,270,37.41,28.571
Civil Partnership,Conditional Order,,2025 Q4,Joint,All,All,119,29.515,27.857
Civil Partnership,Conditional Order,,2025 Q4,Sole,All,All,111,40.152,28.857
Civil Partnership,Conditional Order,,2025 Q4,All,All,All,230,34.648,27.857
Civil Partnership,Final Order,2022,,All,All,All,54,32.997,32.643
Civil Partnership,Final Order,2022,,Sole,All,All,21,33.252,33
Civil Partnership,Final Order,2022,,Joint,All,All,33,32.835,32.571
Civil Partnership,Final Order,2023,,All,All,All,773,39.099,35
Civil Partnership,Final Order,2023,,Sole,All,All,416,40.171,35.857
Civil Partnership,Final Order,2023,,Joint,All,All,357,37.849,34
Civil Partnership,Final Order,2024,,All,All,All,796,46.453,38.429
Civil Partnership,Final Order,2024,,Sole,All,All,435,49.022,41.143
Civil Partnership,Final Order,2024,,Joint,All,All,361,43.358,37.143
Civil Partnership,Final Order,2025,,All,All,All,912,50.105,39.714
Civil Partnership,Final Order,2025,,Joint,All,All,438,45.019,37.571
Civil Partnership,Final Order,2025,,Sole,All,All,474,54.793,42.286
Civil Partnership,Final Order,,2022 Q4,Sole,All,All,21,33.252,33
Civil Partnership,Final Order,,2022 Q4,Joint,All,All,33,32.835,32.571
Civil Partnership,Final Order,,2022 Q4,All,All,All,54,32.997,32.643
Civil Partnership,Final Order,,2023 Q1,Sole,All,All,109,35.929,34.429
Civil Partnership,Final Order,,2023 Q1,Joint,All,All,83,35.542,34
Civil Partnership,Final Order,,2023 Q1,All,All,All,192,35.762,34.286
Civil Partnership,Final Order,,2023 Q2,Joint,All,All,99,35.701,33.429
Civil Partnership,Final Order,,2023 Q2,Sole,All,All,91,37.973,35.143
Civil Partnership,Final Order,,2023 Q2,All,All,All,190,36.789,34.071
Civil Partnership,Final Order,,2023 Q3,Joint,All,All,91,36.628,32.714
Civil Partnership,Final Order,,2023 Q3,Sole,All,All,125,40.837,36.429
Civil Partnership,Final Order,,2023 Q3,All,All,All,216,39.063,34.357
Civil Partnership,Final Order,,2023 Q4,Sole,All,All,91,46.534,38.429
Civil Partnership,Final Order,,2023 Q4,Joint,All,All,84,43.983,38.214
Civil Partnership,Final Order,,2023 Q4,All,All,All,175,45.309,38.429
Civil Partnership,Final Order,,2024 Q1,Joint,All,All,76,44.389,37.786
Civil Partnership,Final Order,,2024 Q1,Sole,All,All,124,49.546,42.929
Civil Partnership,Final Order,,2024 Q1,All,All,All,200,47.586,42.143
Civil Partnership,Final Order,,2024 Q2,Joint,All,All,102,40.777,36.071
Civil Partnership,Final Order,,2024 Q2,Sole,All,All,117,47.632,40.143
Civil Partnership,Final Order,,2024 Q2,All,All,All,219,44.44,38.286
Civil Partnership,Final Order,,2024 Q3,Sole,All,All,108,48.365,39.429
Civil Partnership,Final Order,,2024 Q3,Joint,All,All,97,44.152,38
Civil Partnership,Final Order,,2024 Q3,All,All,All,205,46.371,38.143
Civil Partnership,Final Order,,2024 Q4,Joint,All,All,86,44.611,35.714
Civil Partnership,Final Order,,2024 Q4,Sole,All,All,86,50.982,39
Civil Partnership,Final Order,,2024 Q4,All,All,All,172,47.797,37
Civil Partnership,Final Order,,2025 Q1,Joint,All,All,87,44.191,38.5
Civil Partnership,Final Order,,2025 Q1,Sole,All,All,80,56.439,43.071
Civil Partnership,Final Order,,2025 Q1,All,All,All,167,50.094,40.929
Civil Partnership,Final Order,,2025 Q2,Sole,All,All,131,56.586,45.429
Civil Partnership,Final Order,,2025 Q2,Joint,All,All,97,48.134,40.714
Civil Partnership,Final Order,,2025 Q2,All,All,All,228,52.99,42.286
Civil Partnership,Final Order,,2025 Q3,Joint,All,All,124,43.929,38
Civil Partnership,Final Order,,2025 Q3,Sole,All,All,140,53.467,40.929
Civil Partnership,Final Order,,2025 Q3,All,All,All,264,48.987,39.429
Civil Partnership,Final Order,,2025 Q4,Joint,All,All,130,44.282,35.286
Civil Partnership,Final Order,,2025 Q4,Sole,All,All,123,53.323,37.286
Civil Partnership,Final Order,,2025 Q4,All,All,All,253,48.678,36
Divorce,Application,2022,,Joint,Female,Male,10339,,
Divorce,Application,2022,,Sole,Unknown,N/A,2693,,
Divorce,Application,2022,,Sole,Male,N/A,25478,,
Divorce,Application,2022,,Joint,Unknown,Male,3,,
