type,year,quarter,application,order_type,adopter,adopted_child_sex,adopted_child_age,count
Application,2023,1,Adoption,Convention,Sole applicant,n/a,n/a,3
Application,2023,2,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2023,3,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2023,3,Adoption,Convention,Same sex couple,n/a,n/a,1
Application,2023,3,Adoption,Convention,Sole applicant,n/a,n/a,4
Application,2023,4,Adoption,Convention,M/F couple,n/a,n/a,4
Application,2024,1,Adoption,Convention,M/F couple,n/a,n/a,2
Application,2024,1,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2024,2,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2024,2,Adoption,Convention,Sole applicant,n/a,n/a,2
Application,2024,2,Adoption,Convention,Step parent,n/a,n/a,1
Application,2024,3,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2024,4,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2025,1,Adoption,Convention,Other or not stated,n/a,n/a,1
Application,2025,1,Adoption,Convention,Sole applicant,n/a,n/a,2
Application,2025,2,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2025,2,Adoption,Convention,Other or not stated,n/a,n/a,1
Application,2025,2,Adoption,Convention,Sole applicant,n/a,n/a,1
Application,2025,3,Adoption,Convention,M/F couple,n/a,n/a,2
Application,2025,4,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2025,4,Adoption,Convention,Other or not stated,n/a,n/a,2
Application,2025,4,Adoption,Convention,Sole applicant,n/a,n/a,2
Application,2011,1,Adoption,Foreign,M/F couple,n/a,n/a,24
Application,2011,1,Adoption,Foreign,Sole applicant,n/a,n/a,5
Application,2011,2,Adoption,Foreign,M/F couple,n/a,n/a,13
Application,2011,2,Adoption,Foreign,Other or not stated,n/a,n/a,1
Application,2011,2,Adoption,Foreign,Same sex couple,n/a,n/a,1
Application,2011,2,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2011,2,Adoption,Foreign,Step parent,n/a,n/a,1
Application,2011,3,Adoption,Foreign,M/F couple,n/a,n/a,17
Application,2011,3,Adoption,Foreign,Sole applicant,n/a,n/a,5
Application,2011,4,Adoption,Foreign,M/F couple,n/a,n/a,21
Application,2011,4,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2012,1,Adoption,Foreign,M/F couple,n/a,n/a,16
Application,2012,1,Adoption,Foreign,Same sex couple,n/a,n/a,1
Application,2012,1,Adoption,Foreign,Sole applicant,n/a,n/a,5
Application,2012,2,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2012,2,Adoption,Foreign,Other or not stated,n/a,n/a,1
Application,2012,2,Adoption,Foreign,Sole applicant,n/a,n/a,4
Application,2012,3,Adoption,Foreign,M/F couple,n/a,n/a,12
Application,2012,3,Adoption,Foreign,Sole applicant,n/a,n/a,4
Application,2012,4,Adoption,Foreign,M/F couple,n/a,n/a,10
Application,2012,4,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2013,1,Adoption,Foreign,M/F couple,n/a,n/a,18
Application,2013,1,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2013,2,Adoption,Foreign,M/F couple,n/a,n/a,7
Application,2013,2,Adoption,Foreign,Sole applicant,n/a,n/a,7
Application,2013,3,Adoption,Foreign,M/F couple,n/a,n/a,8
Application,2013,3,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2013,4,Adoption,Foreign,M/F couple,n/a,n/a,8
Application,2013,4,Adoption,Foreign,Sole applicant,n/a,n/a,5
Application,2014,1,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2014,1,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2014,2,Adoption,Foreign,M/F couple,n/a,n/a,12
Application,2014,2,Adoption,Foreign,Other or not stated,n/a,n/a,1
Application,2014,2,Adoption,Foreign,Step parent,n/a,n/a,1
Application,2014,3,Adoption,Foreign,M/F couple,n/a,n/a,7
Application,2014,4,Adoption,Foreign,M/F couple,n/a,n/a,17
Application,2015,1,Adoption,Foreign,M/F couple,n/a,n/a,7
Application,2015,1,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2015,2,Adoption,Foreign,M/F couple,n/a,n/a,1
Application,2015,2,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2015,3,Adoption,Foreign,M/F couple,n/a,n/a,10
Application,2015,3,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2015,4,Adoption,Foreign,M/F couple,n/a,n/a,5
Application,2015,4,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2016,1,Adoption,Foreign,M/F couple,n/a,n/a,8
Application,2016,1,Adoption,Foreign,Sole applicant,n/a,n/a,4
Application,2016,2,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2016,2,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2016,3,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2016,3,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2016,4,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2016,4,Adoption,Foreign,Step parent,n/a,n/a,1
Application,2017,1,Adoption,Foreign,M/F couple,n/a,n/a,4
Application,2017,2,Adoption,Foreign,M/F couple,n/a,n/a,7
Application,2017,2,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2017,3,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2017,3,Adoption,Foreign,Other or not stated,n/a,n/a,1
Application,2017,3,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2017,4,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2017,4,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2018,1,Adoption,Foreign,M/F couple,n/a,n/a,7
Application,2018,1,Adoption,Foreign,Step parent,n/a,n/a,1
Application,2018,2,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2018,2,Adoption,Foreign,Same sex couple,n/a,n/a,1
Application,2018,2,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2018,3,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2018,3,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2018,4,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2019,1,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2019,2,Adoption,Foreign,M/F couple,n/a,n/a,4
Application,2019,2,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2019,2,Adoption,Foreign,Step parent,n/a,n/a,1
Application,2019,3,Adoption,Foreign,M/F couple,n/a,n/a,8
Application,2019,3,Adoption,Foreign,Sole applicant,n/a,n/a,4
Application,2019,4,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2019,4,Adoption,Foreign,Other or not stated,n/a,n/a,1
Application,2020,1,Adoption,Foreign,M/F couple,n/a,n/a,5
Application,2020,2,Adoption,Foreign,M/F couple,n/a,n/a,4
Application,2020,3,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2020,4,Adoption,Foreign,M/F couple,n/a,n/a,9
Application,2020,4,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2021,1,Adoption,Foreign,M/F couple,n/a,n/a,7
Application,2021,1,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2021,2,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2021,4,Adoption,Foreign,M/F couple,n/a,n/a,5
Application,2022,1,Adoption,Foreign,M/F couple,n/a,n/a,8
Application,2022,1,Adoption,Foreign,Other or not stated,n/a,n/a,1
Application,2022,1,Adoption,Foreign,Same sex couple,n/a,n/a,1
Application,2022,1,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2022,2,Adoption,Foreign,M/F couple,n/a,n/a,8
Application,2022,2,Adoption,Foreign,Same sex couple,n/a,n/a,1
Application,2022,2,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2022,3,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2022,3,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2022,4,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2022,4,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2023,1,Adoption,Foreign,M/F couple,n/a,n/a,4
Application,2023,2,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2023,2,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2023,3,Adoption,Foreign,M/F couple,n/a,n/a,3
Application,2023,3,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2023,4,Adoption,Foreign,M/F couple,n/a,n/a,5
Application,2023,4,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2024,1,Adoption,Foreign,M/F couple,n/a,n/a,3
Application,2024,1,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2024,2,Adoption,Foreign,M/F couple,n/a,n/a,6
Application,2024,2,Adoption,Foreign,Sole applicant,n/a,n/a,4
Application,2024,3,Adoption,Foreign,M/F couple,n/a,n/a,4
Application,2024,3,Adoption,Foreign,Sole applicant,n/a,n/a,1
Application,2024,4,Adoption,Foreign,M/F couple,n/a,n/a,1
Application,2024,4,Adoption,Foreign,Other or not stated,n/a,n/a,1
Application,2025,1,Adoption,Foreign,M/F couple,n/a,n/a,4
Application,2025,1,Adoption,Foreign,Sole applicant,n/a,n/a,2
Application,2025,2,Adoption,Foreign,M/F couple,n/a,n/a,3
Application,2025,3,Adoption,Foreign,M/F couple,n/a,n/a,2
Application,2025,4,Adoption,Foreign,M/F couple,n/a,n/a,3
Application,2025,4,Adoption,Foreign,Same sex couple,n/a,n/a,2
Application,2025,4,Adoption,Foreign,Sole applicant,n/a,n/a,3
Application,2011,1,Adoption,Standard,M/F couple,n/a,n/a,916
Application,2011,1,Adoption,Standard,Other or not stated,n/a,n/a,28
Application,2011,1,Adoption,Standard,Same sex couple,n/a,n/a,50
Application,2011,1,Adoption,Standard,Sole applicant,n/a,n/a,187
Application,2011,1,Adoption,Standard,Step parent,n/a,n/a,143
Application,2011,2,Adoption,Standard,M/F couple,n/a,n/a,761
Application,2011,2,Adoption,Standard,Other or not stated,n/a,n/a,26
Application,2011,2,Adoption,Standard,Same sex couple,n/a,n/a,50
Application,2011,2,Adoption,Standard,Sole applicant,n/a,n/a,151
Application,2011,2,Adoption,Standard,Step parent,n/a,n/a,142
Application,2011,3,Adoption,Standard,M/F couple,n/a,n/a,765
Application,2011,3,Adoption,Standard,Other or not stated,n/a,n/a,11
Application,2011,3,Adoption,Standard,Same sex couple,n/a,n/a,42
Application,2011,3,Adoption,Standard,Sole applicant,n/a,n/a,184
Application,2011,3,Adoption,Standard,Step parent,n/a,n/a,138
Application,2011,4,Adoption,Standard,M/F couple,n/a,n/a,757
Application,2011,4,Adoption,Standard,Other or not stated,n/a,n/a,19
Application,2011,4,Adoption,Standard,Same sex couple,n/a,n/a,60
Application,2011,4,Adoption,Standard,Sole applicant,n/a,n/a,206
Application,2011,4,Adoption,Standard,Step parent,n/a,n/a,129
Application,2012,1,Adoption,Standard,M/F couple,n/a,n/a,948
Application,2012,1,Adoption,Standard,Other or not stated,n/a,n/a,16
Application,2012,1,Adoption,Standard,Same sex couple,n/a,n/a,66
Application,2012,1,Adoption,Standard,Sole applicant,n/a,n/a,246
Application,2012,1,Adoption,Standard,Step parent,n/a,n/a,129
Application,2012,2,Adoption,Standard,M/F couple,n/a,n/a,872
Application,2012,2,Adoption,Standard,Other or not stated,n/a,n/a,7
Application,2012,2,Adoption,Standard,Same sex couple,n/a,n/a,73
Application,2012,2,Adoption,Standard,Sole applicant,n/a,n/a,195
Application,2012,2,Adoption,Standard,Step parent,n/a,n/a,132
Application,2012,3,Adoption,Standard,M/F couple,n/a,n/a,867
Application,2012,3,Adoption,Standard,Other or not stated,n/a,n/a,18
Application,2012,3,Adoption,Standard,Same sex couple,n/a,n/a,69
Application,2012,3,Adoption,Standard,Sole applicant,n/a,n/a,229
Application,2012,3,Adoption,Standard,Step parent,n/a,n/a,121
Application,2012,4,Adoption,Standard,M/F couple,n/a,n/a,1019
Application,2012,4,Adoption,Standard,Other or not stated,n/a,n/a,16
Application,2012,4,Adoption,Standard,Same sex couple,n/a,n/a,91
Application,2012,4,Adoption,Standard,Sole applicant,n/a,n/a,207
Application,2012,4,Adoption,Standard,Step parent,n/a,n/a,94
Application,2013,1,Adoption,Standard,M/F couple,n/a,n/a,1104
Application,2013,1,Adoption,Standard,Other or not stated,n/a,n/a,27
Application,2013,1,Adoption,Standard,Same sex couple,n/a,n/a,117
Application,2013,1,Adoption,Standard,Sole applicant,n/a,n/a,252
Application,2013,1,Adoption,Standard,Step parent,n/a,n/a,104
Application,2013,2,Adoption,Standard,M/F couple,n/a,n/a,1156
Application,2013,2,Adoption,Standard,Other or not stated,n/a,n/a,10
Application,2013,2,Adoption,Standard,Same sex couple,n/a,n/a,99
Application,2013,2,Adoption,Standard,Sole applicant,n/a,n/a,238
Application,2013,2,Adoption,Standard,Step parent,n/a,n/a,123
Application,2013,3,Adoption,Standard,M/F couple,n/a,n/a,1130
Application,2013,3,Adoption,Standard,Other or not stated,n/a,n/a,22
Application,2013,3,Adoption,Standard,Same sex couple,n/a,n/a,104
Application,2013,3,Adoption,Standard,Sole applicant,n/a,n/a,222
Application,2013,3,Adoption,Standard,Step parent,n/a,n/a,97
Application,2013,4,Adoption,Standard,M/F couple,n/a,n/a,1212
Application,2013,4,Adoption,Standard,Other or not stated,n/a,n/a,12
Application,2013,4,Adoption,Standard,Same sex couple,n/a,n/a,104
Application,2013,4,Adoption,Standard,Sole applicant,n/a,n/a,231
Application,2013,4,Adoption,Standard,Step parent,n/a,n/a,109
Application,2014,1,Adoption,Standard,M/F couple,n/a,n/a,1259
Application,2014,1,Adoption,Standard,Other or not stated,n/a,n/a,18
Application,2014,1,Adoption,Standard,Same sex couple,n/a,n/a,163
Application,2014,1,Adoption,Standard,Sole applicant,n/a,n/a,274
Application,2014,1,Adoption,Standard,Step parent,n/a,n/a,103
Application,2014,2,Adoption,Standard,M/F couple,n/a,n/a,1231
Application,2014,2,Adoption,Standard,Other or not stated,n/a,n/a,13
Application,2014,2,Adoption,Standard,Same sex couple,n/a,n/a,133
Application,2014,2,Adoption,Standard,Sole applicant,n/a,n/a,246
Application,2014,2,Adoption,Standard,Step parent,n/a,n/a,100
Application,2014,3,Adoption,Standard,M/F couple,n/a,n/a,1191
Application,2014,3,Adoption,Standard,Other or not stated,n/a,n/a,15
Application,2014,3,Adoption,Standard,Same sex couple,n/a,n/a,145
Application,2014,3,Adoption,Standard,Sole applicant,n/a,n/a,243
Application,2014,3,Adoption,Standard,Step parent,n/a,n/a,102
Application,2014,4,Adoption,Standard,M/F couple,n/a,n/a,1072
Application,2014,4,Adoption,Standard,Other or not stated,n/a,n/a,9
Application,2014,4,Adoption,Standard,Same sex couple,n/a,n/a,138
Application,2014,4,Adoption,Standard,Sole applicant,n/a,n/a,211
Application,2014,4,Adoption,Standard,Step parent,n/a,n/a,101
Application,2015,1,Adoption,Standard,M/F couple,n/a,n/a,1192
Application,2015,1,Adoption,Standard,Other or not stated,n/a,n/a,16
Application,2015,1,Adoption,Standard,Same sex couple,n/a,n/a,145
Application,2015,1,Adoption,Standard,Sole applicant,n/a,n/a,269
Application,2015,1,Adoption,Standard,Step parent,n/a,n/a,106
Application,2015,2,Adoption,Standard,M/F couple,n/a,n/a,951
Application,2015,2,Adoption,Standard,Other or not stated,n/a,n/a,14
Application,2015,2,Adoption,Standard,Same sex couple,n/a,n/a,141
Application,2015,2,Adoption,Standard,Sole applicant,n/a,n/a,245
Application,2015,2,Adoption,Standard,Step parent,n/a,n/a,127
Application,2015,3,Adoption,Standard,M/F couple,n/a,n/a,1011
Application,2015,3,Adoption,Standard,Other or not stated,n/a,n/a,22
Application,2015,3,Adoption,Standard,Same sex couple,n/a,n/a,146
Application,2015,3,Adoption,Standard,Sole applicant,n/a,n/a,262
Application,2015,3,Adoption,Standard,Step parent,n/a,n/a,116
Application,2015,4,Adoption,Standard,M/F couple,n/a,n/a,966
Application,2015,4,Adoption,Standard,Other or not stated,n/a,n/a,8
Application,2015,4,Adoption,Standard,Same sex couple,n/a,n/a,117
Application,2015,4,Adoption,Standard,Sole applicant,n/a,n/a,250
Application,2015,4,Adoption,Standard,Step parent,n/a,n/a,109
Application,2016,1,Adoption,Standard,M/F couple,n/a,n/a,1033
Application,2016,1,Adoption,Standard,Other or not stated,n/a,n/a,14
Application,2016,1,Adoption,Standard,Same sex couple,n/a,n/a,124
Application,2016,1,Adoption,Standard,Sole applicant,n/a,n/a,258
Application,2016,1,Adoption,Standard,Step parent,n/a,n/a,103
Application,2016,2,Adoption,Standard,M/F couple,n/a,n/a,955
Application,2016,2,Adoption,Standard,Other or not stated,n/a,n/a,7
Application,2016,2,Adoption,Standard,Same sex couple,n/a,n/a,126
Application,2016,2,Adoption,Standard,Sole applicant,n/a,n/a,230
Application,2016,2,Adoption,Standard,Step parent,n/a,n/a,113
Application,2016,3,Adoption,Standard,M/F couple,n/a,n/a,954
Application,2016,3,Adoption,Standard,Other or not stated,n/a,n/a,6
Application,2016,3,Adoption,Standard,Same sex couple,n/a,n/a,139
Application,2016,3,Adoption,Standard,Sole applicant,n/a,n/a,241
Application,2016,3,Adoption,Standard,Step parent,n/a,n/a,117
Application,2016,4,Adoption,Standard,M/F couple,n/a,n/a,898
Application,2016,4,Adoption,Standard,Other or not stated,n/a,n/a,12
Application,2016,4,Adoption,Standard,Same sex couple,n/a,n/a,146
Application,2016,4,Adoption,Standard,Sole applicant,n/a,n/a,240
Application,2016,4,Adoption,Standard,Step parent,n/a,n/a,122
Application,2017,1,Adoption,Standard,M/F couple,n/a,n/a,883
Application,2017,1,Adoption,Standard,Other or not stated,n/a,n/a,26
Application,2017,1,Adoption,Standard,Same sex couple,n/a,n/a,162
Application,2017,1,Adoption,Standard,Sole applicant,n/a,n/a,238
Application,2017,1,Adoption,Standard,Step parent,n/a,n/a,154
Application,2017,2,Adoption,Standard,M/F couple,n/a,n/a,774
Application,2017,2,Adoption,Standard,Other or not stated,n/a,n/a,10
Application,2017,2,Adoption,Standard,Same sex couple,n/a,n/a,138
Application,2017,2,Adoption,Standard,Sole applicant,n/a,n/a,208
Application,2017,2,Adoption,Standard,Step parent,n/a,n/a,123
Application,2017,3,Adoption,Standard,M/F couple,n/a,n/a,823
Application,2017,3,Adoption,Standard,Other or not stated,n/a,n/a,7
Application,2017,3,Adoption,Standard,Same sex couple,n/a,n/a,143
Application,2017,3,Adoption,Standard,Sole applicant,n/a,n/a,286
Application,2017,3,Adoption,Standard,Step parent,n/a,n/a,106
Application,2017,4,Adoption,Standard,M/F couple,n/a,n/a,791
Application,2017,4,Adoption,Standard,Other or not stated,n/a,n/a,8
Application,2017,4,Adoption,Standard,Same sex couple,n/a,n/a,143
Application,2017,4,Adoption,Standard,Sole applicant,n/a,n/a,234
Application,2017,4,Adoption,Standard,Step parent,n/a,n/a,122
Application,2018,1,Adoption,Standard,M/F couple,n/a,n/a,740
Application,2018,1,Adoption,Standard,Other or not stated,n/a,n/a,9
Application,2018,1,Adoption,Standard,Same sex couple,n/a,n/a,155
Application,2018,1,Adoption,Standard,Sole applicant,n/a,n/a,269
Application,2018,1,Adoption,Standard,Step parent,n/a,n/a,122
Application,2018,2,Adoption,Standard,M/F couple,n/a,n/a,744
Application,2018,2,Adoption,Standard,Other or not stated,n/a,n/a,5
Application,2018,2,Adoption,Standard,Same sex couple,n/a,n/a,138
Application,2018,2,Adoption,Standard,Sole applicant,n/a,n/a,256
Application,2018,2,Adoption,Standard,Step parent,n/a,n/a,112
Application,2018,3,Adoption,Standard,M/F couple,n/a,n/a,720
Application,2018,3,Adoption,Standard,Other or not stated,n/a,n/a,13
Application,2018,3,Adoption,Standard,Same sex couple,n/a,n/a,153
Application,2018,3,Adoption,Standard,Sole applicant,n/a,n/a,245
Application,2018,3,Adoption,Standard,Step parent,n/a,n/a,108
Application,2018,4,Adoption,Standard,M/F couple,n/a,n/a,761
Application,2018,4,Adoption,Standard,Other or not stated,n/a,n/a,8
Application,2018,4,Adoption,Standard,Same sex couple,n/a,n/a,166
Application,2018,4,Adoption,Standard,Sole applicant,n/a,n/a,274
Application,2018,4,Adoption,Standard,Step parent,n/a,n/a,86
Application,2019,1,Adoption,Standard,M/F couple,n/a,n/a,755
Application,2019,1,Adoption,Standard,Other or not stated,n/a,n/a,6
Application,2019,1,Adoption,Standard,Same sex couple,n/a,n/a,149
Application,2019,1,Adoption,Standard,Sole applicant,n/a,n/a,306
Application,2019,1,Adoption,Standard,Step parent,n/a,n/a,101
Application,2019,2,Adoption,Standard,M/F couple,n/a,n/a,719
Application,2019,2,Adoption,Standard,Other or not stated,n/a,n/a,5
Application,2019,2,Adoption,Standard,Same sex couple,n/a,n/a,148
Application,2019,2,Adoption,Standard,Sole applicant,n/a,n/a,254
Application,2019,2,Adoption,Standard,Step parent,n/a,n/a,96
Application,2019,3,Adoption,Standard,M/F couple,n/a,n/a,696
Application,2019,3,Adoption,Standard,Other or not stated,n/a,n/a,7
Application,2019,3,Adoption,Standard,Same sex couple,n/a,n/a,176
Application,2019,3,Adoption,Standard,Sole applicant,n/a,n/a,217
Application,2019,3,Adoption,Standard,Step parent,n/a,n/a,67
Application,2019,4,Adoption,Standard,M/F couple,n/a,n/a,729
Application,2019,4,Adoption,Standard,Other or not stated,n/a,n/a,8
Application,2019,4,Adoption,Standard,Same sex couple,n/a,n/a,163
Application,2019,4,Adoption,Standard,Sole applicant,n/a,n/a,252
Application,2019,4,Adoption,Standard,Step parent,n/a,n/a,73
Application,2020,1,Adoption,Standard,M/F couple,n/a,n/a,676
Application,2020,1,Adoption,Standard,Other or not stated,n/a,n/a,5
Application,2020,1,Adoption,Standard,Same sex couple,n/a,n/a,138
Application,2020,1,Adoption,Standard,Sole applicant,n/a,n/a,220
Application,2020,1,Adoption,Standard,Step parent,n/a,n/a,64
Application,2020,2,Adoption,Standard,M/F couple,n/a,n/a,495
Application,2020,2,Adoption,Standard,Other or not stated,n/a,n/a,9
Application,2020,2,Adoption,Standard,Same sex couple,n/a,n/a,129
Application,2020,2,Adoption,Standard,Sole applicant,n/a,n/a,156
Application,2020,2,Adoption,Standard,Step parent,n/a,n/a,43
Application,2020,3,Adoption,Standard,M/F couple,n/a,n/a,617
Application,2020,3,Adoption,Standard,Other or not stated,n/a,n/a,10
Application,2020,3,Adoption,Standard,Same sex couple,n/a,n/a,163
Application,2020,3,Adoption,Standard,Sole applicant,n/a,n/a,242
Application,2020,3,Adoption,Standard,Step parent,n/a,n/a,63
Application,2020,4,Adoption,Standard,M/F couple,n/a,n/a,743
Application,2020,4,Adoption,Standard,Other or not stated,n/a,n/a,11
Application,2020,4,Adoption,Standard,Same sex couple,n/a,n/a,167
Application,2020,4,Adoption,Standard,Sole applicant,n/a,n/a,212
Application,2020,4,Adoption,Standard,Step parent,n/a,n/a,39
Application,2021,1,Adoption,Standard,M/F couple,n/a,n/a,648
Application,2021,1,Adoption,Standard,Other or not stated,n/a,n/a,9
