type,order_type,year,quarter,proceeding_type,law,contested,count
Order made,Decree Absolute,2005,1,Nullity of Marriage,Old,Yes,6
Order made,Decree Absolute,2005,1,Dissolution of Marriage,Old,No,35492
Order made,Decree Absolute,2005,1,Nullity of Marriage,Old,No,63
Order made,Decree Absolute,2005,1,Dissolution of Marriage,Old,Yes,430
Order made,Decree Nisi,2005,1,Dissolution of Marriage,Old,No,36604
Order made,Decree Nisi,2005,1,Nullity of Marriage,Old,Yes,3
Order made,Decree Nisi,2005,1,Dissolution of Marriage,Old,Yes,395
Order made,Decree Nisi,2005,1,Nullity of Marriage,Old,No,59
Order made,Judicial Separations Granted,2005,1,Judicial Separation,Old,Yes,1
Order made,Judicial Separations Granted,2005,1,Judicial Separation,Old,No,84
Petitions,,2005,1,Dissolution of Marriage,Old,,37385
Petitions,,2005,1,Judicial Separation,Old,,167
Petitions,,2005,1,Nullity of Marriage,Old,,104
Order made,Decree Absolute,2005,2,Nullity of Marriage,Old,No,57
Order made,Decree Absolute,2005,2,Dissolution of Marriage,Old,No,35958
Order made,Decree Absolute,2005,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2005,2,Dissolution of Marriage,Old,Yes,391
Order made,Decree Nisi,2005,2,Dissolution of Marriage,Old,No,35974
Order made,Decree Nisi,2005,2,Dissolution of Marriage,Old,Yes,367
Order made,Decree Nisi,2005,2,Nullity of Marriage,Old,No,54
Order made,Decree Nisi,2005,2,Nullity of Marriage,Old,Yes,1
Order made,Judicial Separations Granted,2005,2,Judicial Separation,Old,Yes,2
Order made,Judicial Separations Granted,2005,2,Judicial Separation,Old,No,85
Petitions,,2005,2,Judicial Separation,Old,,210
Petitions,,2005,2,Dissolution of Marriage,Old,,38927
Petitions,,2005,2,Nullity of Marriage,Old,,104
Order made,Decree Absolute,2005,3,Nullity of Marriage,Old,No,59
Order made,Decree Absolute,2005,3,Dissolution of Marriage,Old,No,35489
Order made,Decree Absolute,2005,3,Dissolution of Marriage,Old,Yes,387
Order made,Decree Nisi,2005,3,Dissolution of Marriage,Old,Yes,356
Order made,Decree Nisi,2005,3,Nullity of Marriage,Old,No,61
Order made,Decree Nisi,2005,3,Dissolution of Marriage,Old,No,35789
Order made,Decree Nisi,2005,3,Nullity of Marriage,Old,Yes,1
Order made,Judicial Separations Granted,2005,3,Judicial Separation,Old,No,107
Order made,Judicial Separations Granted,2005,3,Judicial Separation,Old,Yes,3
Petitions,,2005,3,Nullity of Marriage,Old,,107
Petitions,,2005,3,Dissolution of Marriage,Old,,37937
Petitions,,2005,3,Judicial Separation,Old,,169
Order made,Decree Absolute,2005,4,Dissolution of Marriage,Old,No,32926
Order made,Decree Absolute,2005,4,Dissolution of Marriage,Old,Yes,328
Order made,Decree Absolute,2005,4,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2005,4,Nullity of Marriage,Old,No,61
Order made,Decree Nisi,2005,4,Dissolution of Marriage,Old,Yes,315
Order made,Decree Nisi,2005,4,Dissolution of Marriage,Old,No,32003
Order made,Decree Nisi,2005,4,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2005,4,Nullity of Marriage,Old,No,78
Order made,Judicial Separations Granted,2005,4,Judicial Separation,Old,No,76
Petitions,,2005,4,Dissolution of Marriage,Old,,35572
Petitions,,2005,4,Nullity of Marriage,Old,,108
Petitions,,2005,4,Judicial Separation,Old,,143
Order made,Decree Absolute,2006,1,Nullity of Marriage,Old,Yes,3
Order made,Decree Absolute,2006,1,Dissolution of Marriage,Old,No,33928
Order made,Decree Absolute,2006,1,Nullity of Marriage,Old,No,70
Order made,Decree Absolute,2006,1,Dissolution of Marriage,Old,Yes,312
Order made,Decree Nisi,2006,1,Dissolution of Marriage,Old,No,34573
Order made,Decree Nisi,2006,1,Dissolution of Marriage,Old,Yes,342
Order made,Decree Nisi,2006,1,Nullity of Marriage,Old,No,60
Order made,Decree Nisi,2006,1,Nullity of Marriage,Old,Yes,2
Order made,Judicial Separations Granted,2006,1,Judicial Separation,Old,Yes,2
Order made,Judicial Separations Granted,2006,1,Judicial Separation,Old,No,80
Petitions,,2006,1,Judicial Separation,Old,,179
Petitions,,2006,1,Dissolution of Marriage,Old,,38167
Petitions,,2006,1,Nullity of Marriage,Old,,107
Order made,Decree Absolute,2006,2,Dissolution of Marriage,Old,Yes,322
Order made,Decree Absolute,2006,2,Nullity of Marriage,Old,No,69
Order made,Decree Absolute,2006,2,Dissolution of Marriage,Old,No,32591
Order made,Decree Absolute,2006,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2006,2,Dissolution of Marriage,Old,No,32762
Order made,Decree Nisi,2006,2,Dissolution of Marriage,Old,Yes,325
Order made,Decree Nisi,2006,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2006,2,Nullity of Marriage,Old,No,71
Order made,Judicial Separations Granted,2006,2,Judicial Separation,Old,No,94
Order made,Judicial Separations Granted,2006,2,Judicial Separation,Old,Yes,2
Petitions,,2006,2,Judicial Separation,Old,,144
Petitions,,2006,2,Dissolution of Marriage,Old,,36252
Petitions,,2006,2,Nullity of Marriage,Old,,99
Order made,Decree Absolute,2006,3,Dissolution of Marriage,Old,Yes,330
Order made,Decree Absolute,2006,3,Dissolution of Marriage,Old,No,32486
Order made,Decree Absolute,2006,3,Nullity of Marriage,Old,No,51
Order made,Decree Nisi,2006,3,Dissolution of Marriage,Old,No,33243
Order made,Decree Nisi,2006,3,Nullity of Marriage,Old,No,43
Order made,Decree Nisi,2006,3,Dissolution of Marriage,Old,Yes,290
Order made,Judicial Separations Granted,2006,3,Judicial Separation,Old,No,73
Order made,Judicial Separations Granted,2006,3,Judicial Separation,Old,Yes,3
Petitions,,2006,3,Judicial Separation,Old,,136
Petitions,,2006,3,Nullity of Marriage,Old,,93
Petitions,,2006,3,Dissolution of Marriage,Old,,37045
Order made,Decree Absolute,2006,4,Dissolution of Marriage,Old,No,32047
Order made,Decree Absolute,2006,4,Nullity of Marriage,Old,No,48
Order made,Decree Absolute,2006,4,Dissolution of Marriage,Old,Yes,294
Order made,Decree Nisi,2006,4,Dissolution of Marriage,Old,Yes,304
Order made,Decree Nisi,2006,4,Nullity of Marriage,Old,No,65
Order made,Decree Nisi,2006,4,Dissolution of Marriage,Old,No,32866
Order made,Decree Nisi,2006,4,Nullity of Marriage,Old,Yes,1
Order made,Judicial Separations Granted,2006,4,Judicial Separation,Old,No,63
Order made,Judicial Separations Granted,2006,4,Judicial Separation,Old,Yes,1
Petitions,,2006,4,Dissolution of Marriage,Old,,35301
Petitions,,2006,4,Nullity of Marriage,Old,,89
Petitions,,2006,4,Judicial Separation,Old,,142
Order made,Decree Absolute,2007,1,Nullity of Marriage,Old,No,61
Order made,Decree Absolute,2007,1,Nullity of Marriage,Old,Yes,2
Order made,Decree Absolute,2007,1,Dissolution of Marriage,Old,Yes,292
Order made,Decree Absolute,2007,1,Dissolution of Marriage,Old,No,34320
Order made,Decree Nisi,2007,1,Dissolution of Marriage,Old,Yes,316
Order made,Decree Nisi,2007,1,Nullity of Marriage,Old,No,37
Order made,Decree Nisi,2007,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2007,1,Dissolution of Marriage,Old,No,34649
Order made,Judicial Separations Granted,2007,1,Judicial Separation,Old,No,82
Order made,Judicial Separations Granted,2007,1,Judicial Separation,Old,Yes,2
Petitions,,2007,1,Judicial Separation,Old,,143
Petitions,,2007,1,Nullity of Marriage,Old,,71
Petitions,,2007,1,Dissolution of Marriage,Old,,37951
Order made,Decree Absolute,2007,2,Nullity of Marriage,Old,No,45
Order made,Decree Absolute,2007,2,Dissolution of Marriage,Old,No,32819
Order made,Decree Absolute,2007,2,Dissolution of Marriage,Old,Yes,310
Order made,Decree Nisi,2007,2,Dissolution of Marriage,Old,No,32156
Order made,Decree Nisi,2007,2,Dissolution of Marriage,Old,Yes,256
Order made,Decree Nisi,2007,2,Nullity of Marriage,Old,No,55
Order made,Judicial Separations Granted,2007,2,Judicial Separation,Old,Yes,3
Order made,Judicial Separations Granted,2007,2,Judicial Separation,Old,No,71
Petitions,,2007,2,Nullity of Marriage,Old,,93
Petitions,,2007,2,Dissolution of Marriage,Old,,35365
Petitions,,2007,2,Judicial Separation,Old,,137
Order made,Decree Absolute,2007,3,Nullity of Marriage,Old,No,48
Order made,Decree Absolute,2007,3,Nullity of Marriage,Old,Yes,2
Order made,Decree Absolute,2007,3,Dissolution of Marriage,Old,Yes,306
Order made,Decree Absolute,2007,3,Dissolution of Marriage,Old,No,32823
Order made,Decree Nisi,2007,3,Dissolution of Marriage,Old,Yes,292
Order made,Decree Nisi,2007,3,Nullity of Marriage,Old,No,38
Order made,Decree Nisi,2007,3,Nullity of Marriage,Old,Yes,2
Order made,Decree Nisi,2007,3,Dissolution of Marriage,Old,No,33577
Order made,Judicial Separations Granted,2007,3,Judicial Separation,Old,Yes,2
Order made,Judicial Separations Granted,2007,3,Judicial Separation,Old,No,73
Petitions,,2007,3,Nullity of Marriage,Old,,94
Petitions,,2007,3,Dissolution of Marriage,Old,,35701
Petitions,,2007,3,Judicial Separation,Old,,136
Order made,Decree Absolute,2007,4,Dissolution of Marriage,Old,Yes,233
Order made,Decree Absolute,2007,4,Dissolution of Marriage,Old,No,27576
Order made,Decree Absolute,2007,4,Nullity of Marriage,Old,No,34
Order made,Decree Nisi,2007,4,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2007,4,Dissolution of Marriage,Old,No,31612
Order made,Decree Nisi,2007,4,Nullity of Marriage,Old,No,49
Order made,Decree Nisi,2007,4,Dissolution of Marriage,Old,Yes,255
Order made,Judicial Separations Granted,2007,4,Judicial Separation,Old,No,67
Order made,Judicial Separations Granted,2007,4,Judicial Separation,Old,Yes,2
Petitions,,2007,4,Nullity of Marriage,Old,,78
Petitions,,2007,4,Dissolution of Marriage,Old,,26836
Petitions,,2007,4,Judicial Separation,Old,,80
Order made,Decree Absolute,2008,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2008,1,Nullity of Marriage,Old,No,51
Order made,Decree Absolute,2008,1,Dissolution of Marriage,Old,No,31726
Order made,Decree Absolute,2008,1,Dissolution of Marriage,Old,Yes,251
Order made,Decree Nisi,2008,1,Nullity of Marriage,Old,No,51
Order made,Decree Nisi,2008,1,Dissolution of Marriage,Old,Yes,273
Order made,Decree Nisi,2008,1,Nullity of Marriage,Old,Yes,3
Order made,Decree Nisi,2008,1,Dissolution of Marriage,Old,No,30841
Order made,Decree Nisi,2003,3,Dissolution of Marriage,Old,No,39677
Order made,Decree Nisi,2003,3,Nullity of Marriage,Old,No,45
Order made,Judicial Separations Granted,2003,3,Judicial Separation,Old,No,111
Order made,Judicial Separations Granted,2003,3,Judicial Separation,Old,Yes,3
Petitions,,2003,3,Dissolution of Marriage,Old,,42889
Petitions,,2003,3,Judicial Separation,Old,,208
Petitions,,2003,3,Nullity of Marriage,Old,,110
Order made,Decree Absolute,2003,4,Nullity of Marriage,Old,Yes,3
Order made,Decree Absolute,2003,4,Dissolution of Marriage,Old,Yes,410
Order made,Decree Absolute,2003,4,Dissolution of Marriage,Old,No,37242
Order made,Decree Absolute,2003,4,Nullity of Marriage,Old,No,42
Order made,Decree Nisi,2003,4,Nullity of Marriage,Old,No,46
Order made,Decree Nisi,2003,4,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2003,4,Dissolution of Marriage,Old,Yes,404
Order made,Decree Nisi,2003,4,Dissolution of Marriage,Old,No,37552
Order made,Judicial Separations Granted,2003,4,Judicial Separation,Old,Yes,4
Order made,Judicial Separations Granted,2003,4,Judicial Separation,Old,No,89
Petitions,,2003,4,Dissolution of Marriage,Old,,40815
Petitions,,2003,4,Nullity of Marriage,Old,,120
Petitions,,2003,4,Judicial Separation,Old,,168
Order made,Decree Absolute,2004,1,Dissolution of Marriage,Old,No,38659
Order made,Decree Absolute,2004,1,Dissolution of Marriage,Old,Yes,432
Order made,Decree Absolute,2004,1,Nullity of Marriage,Old,No,55
Order made,Decree Nisi,2004,1,Nullity of Marriage,Old,No,77
Order made,Decree Nisi,2004,1,Dissolution of Marriage,Old,No,39215
Order made,Decree Nisi,2004,1,Dissolution of Marriage,Old,Yes,419
Order made,Judicial Separations Granted,2004,1,Judicial Separation,Old,No,98
Order made,Judicial Separations Granted,2004,1,Judicial Separation,Old,Yes,1
Petitions,,2004,1,Dissolution of Marriage,Old,,44819
Petitions,,2004,1,Judicial Separation,Old,,203
Petitions,,2004,1,Nullity of Marriage,Old,,116
Order made,Decree Absolute,2004,2,Dissolution of Marriage,Old,Yes,406
Order made,Judicial Separations Granted,2008,1,Judicial Separation,Old,No,52
Order made,Judicial Separations Granted,2008,1,Judicial Separation,Old,Yes,1
Petitions,,2008,1,Nullity of Marriage,Old,,69
Petitions,,2008,1,Dissolution of Marriage,Old,,32814
Petitions,,2008,1,Judicial Separation,Old,,111
Order made,Decree Absolute,2008,2,Nullity of Marriage,Old,Yes,2
Order made,Decree Absolute,2008,2,Dissolution of Marriage,Old,No,30582
Order made,Decree Absolute,2008,2,Nullity of Marriage,Old,No,42
Order made,Decree Absolute,2008,2,Dissolution of Marriage,Old,Yes,269
Order made,Decree Nisi,2008,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2008,2,Nullity of Marriage,Old,No,51
Order made,Decree Nisi,2008,2,Dissolution of Marriage,Old,No,29386
Order made,Decree Nisi,2008,2,Dissolution of Marriage,Old,Yes,257
Order made,Judicial Separations Granted,2008,2,Judicial Separation,Old,Yes,3
Order made,Judicial Separations Granted,2008,2,Judicial Separation,Old,No,45
Petitions,,2008,2,Judicial Separation,Old,,106
Petitions,,2008,2,Nullity of Marriage,Old,,81
Petitions,,2008,2,Dissolution of Marriage,Old,,33376
Order made,Decree Absolute,2008,3,Nullity of Marriage,Old,No,50
Order made,Decree Absolute,2008,3,Dissolution of Marriage,Old,Yes,237
Order made,Decree Absolute,2008,3,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2008,3,Dissolution of Marriage,Old,No,30356
Order made,Decree Nisi,2008,3,Nullity of Marriage,Old,Yes,3
Order made,Decree Nisi,2008,3,Dissolution of Marriage,Old,Yes,232
Order made,Decree Nisi,2008,3,Dissolution of Marriage,Old,No,31334
Order made,Decree Nisi,2008,3,Nullity of Marriage,Old,No,55
Order made,Judicial Separations Granted,2008,3,Judicial Separation,Old,Yes,1
Order made,Judicial Separations Granted,2008,3,Judicial Separation,Old,No,55
Petitions,,2008,3,Dissolution of Marriage,Old,,32461
Petitions,,2008,3,Judicial Separation,Old,,106
Petitions,,2008,3,Nullity of Marriage,Old,,101
Order made,Decree Absolute,2008,4,Nullity of Marriage,Old,Yes,3
Order made,Decree Absolute,2008,4,Nullity of Marriage,Old,No,50
Order made,Decree Absolute,2008,4,Dissolution of Marriage,Old,Yes,214
Order made,Decree Absolute,2008,4,Dissolution of Marriage,Old,No,28624
Order made,Decree Nisi,2008,4,Nullity of Marriage,Old,No,47
Order made,Decree Nisi,2008,4,Dissolution of Marriage,Old,No,27991
Order made,Decree Nisi,2008,4,Nullity of Marriage,Old,Yes,4
Order made,Decree Nisi,2008,4,Dissolution of Marriage,Old,Yes,223
Order made,Judicial Separations Granted,2008,4,Judicial Separation,Old,No,54
Petitions,,2008,4,Judicial Separation,Old,,95
Petitions,,2008,4,Dissolution of Marriage,Old,,29920
Petitions,,2008,4,Nullity of Marriage,Old,,81
Order made,Decree Absolute,2009,1,Dissolution of Marriage,Old,No,28473
Order made,Decree Absolute,2009,1,Nullity of Marriage,Old,Yes,5
Order made,Decree Absolute,2009,1,Dissolution of Marriage,Old,Yes,232
Order made,Decree Absolute,2009,1,Nullity of Marriage,Old,No,43
Order made,Decree Nisi,2009,1,Dissolution of Marriage,Old,No,27786
Order made,Decree Nisi,2009,1,Nullity of Marriage,Old,Yes,2
Order made,Decree Nisi,2009,1,Dissolution of Marriage,Old,Yes,232
Order made,Decree Nisi,2009,1,Nullity of Marriage,Old,No,47
Order made,Judicial Separations Granted,2009,1,Judicial Separation,Old,No,55
Petitions,,2009,1,Nullity of Marriage,Old,,81
Petitions,,2009,1,Judicial Separation,Old,,85
Petitions,,2009,1,Dissolution of Marriage,Old,,32579
Order made,Decree Absolute,2009,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2009,2,Dissolution of Marriage,Old,No,27081
Order made,Decree Absolute,2009,2,Nullity of Marriage,Old,No,53
Order made,Decree Absolute,2009,2,Dissolution of Marriage,Old,Yes,202
Order made,Decree Nisi,2009,2,Dissolution of Marriage,Old,No,27864
Order made,Decree Nisi,2009,2,Nullity of Marriage,Old,No,47
Order made,Decree Nisi,2009,2,Dissolution of Marriage,Old,Yes,209
Order made,Judicial Separations Granted,2009,2,Judicial Separation,Old,Yes,1
Order made,Judicial Separations Granted,2009,2,Judicial Separation,Old,No,40
Petitions,,2009,2,Dissolution of Marriage,Old,,32497
Petitions,,2009,2,Nullity of Marriage,Old,,73
Petitions,,2009,2,Judicial Separation,Old,,103
Order made,Decree Absolute,2009,3,Dissolution of Marriage,Old,Yes,206
Order made,Decree Absolute,2009,3,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2009,3,Nullity of Marriage,Old,No,46
Order made,Decree Absolute,2009,3,Dissolution of Marriage,Old,No,28938
Order made,Decree Nisi,2009,3,Nullity of Marriage,Old,Yes,3
Order made,Decree Nisi,2009,3,Dissolution of Marriage,Old,No,32264
Order made,Decree Nisi,2009,3,Nullity of Marriage,Old,No,47
Order made,Decree Nisi,2009,3,Dissolution of Marriage,Old,Yes,212
Order made,Judicial Separations Granted,2009,3,Judicial Separation,Old,Yes,1
Order made,Judicial Separations Granted,2009,3,Judicial Separation,Old,No,45
Petitions,,2009,3,Nullity of Marriage,Old,,70
Petitions,,2009,3,Dissolution of Marriage,Old,,34402
Petitions,,2009,3,Judicial Separation,Old,,79
Order made,Decree Absolute,2009,4,Nullity of Marriage,Old,Yes,2
Order made,Decree Absolute,2009,4,Dissolution of Marriage,Old,Yes,199
Order made,Decree Absolute,2009,4,Dissolution of Marriage,Old,No,29684
Order made,Decree Absolute,2009,4,Nullity of Marriage,Old,No,46
Order made,Decree Nisi,2009,4,Dissolution of Marriage,Old,Yes,195
Order made,Decree Nisi,2009,4,Nullity of Marriage,Old,No,52
Order made,Decree Nisi,2009,4,Dissolution of Marriage,Old,No,30585
Order made,Decree Nisi,2009,4,Nullity of Marriage,Old,Yes,1
Order made,Judicial Separations Granted,2009,4,Judicial Separation,Old,No,56
Petitions,,2009,4,Judicial Separation,Old,,89
Petitions,,2009,4,Nullity of Marriage,Old,,67
Petitions,,2009,4,Dissolution of Marriage,Old,,32418
Order made,Decree Absolute,2010,1,Dissolution of Marriage,Old,No,30095
Order made,Decree Absolute,2010,1,Dissolution of Marriage,Old,Yes,185
Order made,Decree Absolute,2010,1,Nullity of Marriage,Old,No,42
Order made,Decree Absolute,2010,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2010,1,Dissolution of Marriage,Old,Yes,217
Order made,Decree Nisi,2010,1,Dissolution of Marriage,Old,No,30594
Order made,Decree Nisi,2010,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2010,1,Nullity of Marriage,Old,No,39
Order made,Judicial Separations Granted,2010,1,Judicial Separation,Old,No,37
Petitions,,2010,1,Dissolution of Marriage,Old,,34525
Petitions,,2010,1,Nullity of Marriage,Old,,64
Petitions,,2010,1,Judicial Separation,Old,,75
Order made,Decree Absolute,2010,2,Dissolution of Marriage,Old,No,29546
Order made,Decree Absolute,2010,2,Dissolution of Marriage,Old,Yes,218
Order made,Decree Absolute,2010,2,Nullity of Marriage,Old,No,36
Order made,Decree Nisi,2010,2,Nullity of Marriage,Old,No,32
Order made,Decree Nisi,2010,2,Dissolution of Marriage,Old,No,29574
Order made,Decree Nisi,2010,2,Dissolution of Marriage,Old,Yes,176
Order made,Judicial Separations Granted,2010,2,Judicial Separation,Old,Yes,2
Order made,Judicial Separations Granted,2010,2,Judicial Separation,Old,No,42
Petitions,,2010,2,Judicial Separation,Old,,77
Petitions,,2010,2,Nullity of Marriage,Old,,82
Petitions,,2010,2,Dissolution of Marriage,Old,,33380
Order made,Decree Absolute,2010,3,Dissolution of Marriage,Old,Yes,191
Order made,Decree Absolute,2010,3,Dissolution of Marriage,Old,No,30329
Order made,Decree Absolute,2010,3,Nullity of Marriage,Old,No,32
Order made,Decree Nisi,2010,3,Nullity of Marriage,Old,No,47
Order made,Decree Nisi,2010,3,Dissolution of Marriage,Old,Yes,185
Order made,Decree Nisi,2010,3,Nullity of Marriage,Old,Yes,2
Order made,Decree Nisi,2010,3,Dissolution of Marriage,Old,No,33439
Order made,Judicial Separations Granted,2010,3,Judicial Separation,Old,Yes,3
Order made,Judicial Separations Granted,2010,3,Judicial Separation,Old,No,36
Petitions,,2010,3,Dissolution of Marriage,Old,,34694
Petitions,,2010,3,Nullity of Marriage,Old,,87
Petitions,,2010,3,Judicial Separation,Old,,65
Order made,Decree Absolute,2010,4,Nullity of Marriage,Old,No,43
Order made,Decree Absolute,2010,4,Dissolution of Marriage,Old,Yes,177
Order made,Decree Absolute,2010,4,Nullity of Marriage,Old,Yes,2
Order made,Decree Absolute,2010,4,Dissolution of Marriage,Old,No,30092
Order made,Decree Nisi,2010,4,Dissolution of Marriage,Old,No,30907
Order made,Decree Nisi,2010,4,Nullity of Marriage,Old,No,45
Order made,Decree Nisi,2010,4,Dissolution of Marriage,Old,Yes,185
Order made,Decree Nisi,2010,4,Nullity of Marriage,Old,Yes,1
Order made,Judicial Separations Granted,2010,4,Judicial Separation,Old,Yes,1
Order made,Judicial Separations Granted,2010,4,Judicial Separation,Old,No,49
Petitions,,2010,4,Judicial Separation,Old,,85
Petitions,,2010,4,Nullity of Marriage,Old,,65
Petitions,,2010,4,Dissolution of Marriage,Old,,30669
Order made,Decree Absolute,2011,1,Dissolution of Marriage,Old,No,30663
Order made,Decree Absolute,2011,1,Nullity of Marriage,Old,No,47
Order made,Decree Absolute,2011,1,Dissolution of Marriage,Old,Yes,201
Order made,Decree Nisi,2011,1,Dissolution of Marriage,Old,Yes,202
Order made,Decree Nisi,2011,1,Nullity of Marriage,Old,Yes,1
Order made,Decree Nisi,2011,1,Nullity of Marriage,Old,No,50
Order made,Decree Nisi,2011,1,Dissolution of Marriage,Old,No,30164
Order made,Judicial Separations Granted,2011,1,Judicial Separation,Old,Yes,2
Order made,Judicial Separations Granted,2011,1,Judicial Separation,Old,No,50
Petitions,,2011,1,Nullity of Marriage,Old,,78
Petitions,,2011,1,Dissolution of Marriage,Old,,34655
Petitions,,2011,1,Judicial Separation,Old,,80
Order made,Decree Absolute,2011,2,Nullity of Marriage,Old,Yes,1
Order made,Decree Absolute,2011,2,Dissolution of Marriage,Old,Yes,185
Order made,Decree Absolute,2011,2,Dissolution of Marriage,Old,No,28841
Order made,Decree Absolute,2011,2,Nullity of Marriage,Old,No,42
Order made,Decree Nisi,2011,2,Nullity of Marriage,Old,No,40
Order made,Decree Nisi,2011,2,Dissolution of Marriage,Old,Yes,185
Order made,Decree Nisi,2011,2,Dissolution of Marriage,Old,No,28976
