type,year,qtr,consent,count
Disposals,2014,4,Contested,1633
Disposals,2014,4,Initially Contested,2110
Disposals,2014,4,Uncontested,7618
Applications,2015,1,Uncontested,7205
Applications,2015,1,Contested,3473
Cases closed,2015,1,,8255
Applications,2024,2,Contested,2898
Applications,2024,2,Uncontested,8307
Cases closed,2024,2,,11260
Cases started,2024,2,,11093
Disposals,2024,2,Contested,2402
Disposals,2024,2,Uncontested,7896
Disposals,2024,2,Initially Contested,1037
Applications,2024,3,Uncontested,8985
Applications,2024,3,Contested,2803
Cases closed,2024,3,,11541
Cases started,2024,3,,11667
Disposals,2024,3,Contested,2215
Disposals,2024,3,Uncontested,8382
Disposals,2024,3,Initially Contested,1017
Applications,2024,4,Uncontested,8170
Applications,2024,4,Contested,2852
Cases closed,2024,4,,12665
Cases started,2024,4,,10900
Disposals,2024,4,Contested,2617
Disposals,2024,4,Initially Contested,1096
Disposals,2024,4,Uncontested,9042
Applications,2025,1,Contested,3041
Applications,2025,1,Uncontested,8675
Cases closed,2025,1,,11324
Cases started,2025,1,,11590
Disposals,2025,1,Contested,2733
Disposals,2025,1,Initially Contested,1132
Disposals,2025,1,Uncontested,7504
Applications,2025,2,Uncontested,9299
Applications,2025,2,Contested,2977
Cases closed,2025,2,,12548
Cases started,2025,2,,12161
Disposals,2025,2,Contested,2141
Disposals,2025,2,Initially Contested,1130
Disposals,2025,2,Uncontested,9314
Applications,2025,3,Uncontested,9348
Applications,2025,3,Contested,3287
Cases closed,2025,3,,12204
Cases started,2025,3,,12534
Disposals,2025,3,Contested,2126
Disposals,2025,3,Uncontested,9060
Disposals,2025,3,Initially Contested,1075
Applications,2025,4,Contested,3250
Applications,2025,4,Uncontested,9190
Cases closed,2025,4,,10406
Cases started,2025,4,,12335
Disposals,2025,4,Uncontested,7547
Disposals,2025,4,Contested,1913
Disposals,2025,4,Initially Contested,976
Cases started,2015,1,,9511
Disposals,2015,1,Contested,1689
Disposals,2015,1,Initially Contested,1991
Disposals,2015,1,Uncontested,7674
Applications,2015,2,Uncontested,7040
Applications,2015,2,Contested,3389
Cases closed,2015,2,,7989
Cases started,2015,2,,9356
Disposals,2015,2,Contested,1613
Disposals,2015,2,Initially Contested,2014
Disposals,2015,2,Uncontested,7428
Applications,2015,3,Contested,3478
Applications,2015,3,Uncontested,7243
Cases closed,2015,3,,8136
Cases started,2015,3,,9576
Disposals,2015,3,Contested,1607
Disposals,2015,3,Uncontested,7575
Disposals,2015,3,Initially Contested,1893
Applications,2015,4,Contested,3536
Applications,2015,4,Uncontested,7019
Cases closed,2015,4,,7850
Cases started,2015,4,,9296
Disposals,2015,4,Contested,1595
Disposals,2015,4,Initially Contested,1840
Disposals,2015,4,Uncontested,6895
Applications,2016,1,Uncontested,7648
Applications,2016,1,Contested,3451
Cases closed,2016,1,,8228
Cases started,2016,1,,9758
Disposals,2016,1,Contested,1634
Disposals,2016,1,Uncontested,7397
Disposals,2016,1,Initially Contested,2017
Applications,2016,2,Contested,3620
Applications,2016,2,Uncontested,8255
Cases closed,2016,2,,8460
Cases started,2016,2,,10442
Disposals,2016,2,Contested,1628
Disposals,2016,2,Initially Contested,1847
Disposals,2016,2,Uncontested,7821
Applications,2016,3,Uncontested,8195
Applications,2016,3,Contested,3599
Cases closed,2016,3,,9412
Cases started,2016,3,,10558
Disposals,2016,3,Contested,1571
Disposals,2016,3,Uncontested,8290
Disposals,2016,3,Initially Contested,1765
Applications,2016,4,Uncontested,8124
Applications,2016,4,Contested,3732
Cases closed,2016,4,,9062
Cases started,2016,4,,10598
Disposals,2016,4,Contested,1513
Disposals,2016,4,Initially Contested,1879
Disposals,2016,4,Uncontested,8093
Applications,2017,1,Contested,3810
Applications,2017,1,Uncontested,8412
Cases closed,2017,1,,9986
Cases started,2017,1,,11027
Disposals,2017,1,Contested,1758
Disposals,2017,1,Uncontested,8627
Disposals,2017,1,Initially Contested,1931
Applications,2017,2,Contested,3687
Applications,2017,2,Uncontested,7854
Cases closed,2017,2,,9533
Cases started,2017,2,,10427
Disposals,2017,2,Contested,1683
Disposals,2017,2,Initially Contested,1940
Disposals,2017,2,Uncontested,8273
Applications,2017,3,Contested,3696
Applications,2017,3,Uncontested,7758
Cases closed,2017,3,,9472
Cases started,2017,3,,10514
Disposals,2017,3,Contested,1730
Disposals,2017,3,Initially Contested,2063
Disposals,2017,3,Uncontested,8201
Applications,2017,4,Contested,3451
Applications,2017,4,Uncontested,7607
Cases closed,2017,4,,8868
Cases started,2017,4,,10183
Disposals,2017,4,Contested,1783
Disposals,2017,4,Uncontested,7653
Disposals,2017,4,Initially Contested,2045
Applications,2018,1,Uncontested,7661
Applications,2018,1,Contested,3470
Cases closed,2018,1,,9302
Cases started,2018,1,,10257
Disposals,2018,1,Contested,1844
Disposals,2018,1,Uncontested,7864
Disposals,2018,1,Initially Contested,2213
Applications,2018,2,Uncontested,7402
Applications,2018,2,Contested,3509
Cases closed,2018,2,,8578
Cases started,2018,2,,10078
Disposals,2018,2,Contested,1849
Disposals,2018,2,Uncontested,7054
Disposals,2018,2,Initially Contested,2206
Applications,2018,3,Uncontested,6804
Applications,2018,3,Contested,3496
Cases closed,2018,3,,9417
Cases started,2018,3,,9554
Disposals,2018,3,Contested,1840
Disposals,2018,3,Uncontested,8154
Disposals,2018,3,Initially Contested,2064
Applications,2018,4,Contested,3623
Applications,2018,4,Uncontested,7186
Cases closed,2018,4,,9435
Cases started,2018,4,,10108
Disposals,2018,4,Contested,1784
Disposals,2018,4,Initially Contested,2177
Disposals,2018,4,Uncontested,8074
Applications,2019,1,Contested,3532
Applications,2019,1,Uncontested,7101
Cases closed,2019,1,,9445
Cases started,2019,1,,9936
Disposals,2019,1,Contested,1879
Disposals,2019,1,Initially Contested,2113
Disposals,2019,1,Uncontested,8184
Applications,2019,2,Uncontested,7032
Applications,2019,2,Contested,3423
Cases closed,2019,2,,8557
Cases started,2019,2,,9744
Disposals,2019,2,Contested,1745
Disposals,2019,2,Initially Contested,1996
Disposals,2019,2,Uncontested,7683
Applications,2019,3,Contested,3315
Applications,2019,3,Uncontested,6908
Cases closed,2019,3,,9603
Cases started,2019,3,,9576
Disposals,2019,3,Contested,1697
Disposals,2019,3,Initially Contested,2053
Disposals,2019,3,Uncontested,8968
Applications,2019,4,Contested,3639
Applications,2019,4,Uncontested,7108
Cases closed,2019,4,,9550
Cases started,2019,4,,10095
Disposals,2019,4,Contested,1718
Disposals,2019,4,Uncontested,8524
Disposals,2019,4,Initially Contested,1974
Applications,2020,1,Uncontested,6965
Applications,2020,1,Contested,3102
Cases closed,2020,1,,8898
Cases started,2020,1,,9465
Disposals,2020,1,Contested,1879
Disposals,2020,1,Uncontested,8050
Disposals,2020,1,Initially Contested,1758
Applications,2020,2,Contested,2104
Applications,2020,2,Uncontested,5359
Cases closed,2020,2,,7239
Cases started,2020,2,,7000
Disposals,2020,2,Contested,1482
Disposals,2020,2,Uncontested,6945
Disposals,2020,2,Initially Contested,1087
Applications,2020,3,Uncontested,7149
Applications,2020,3,Contested,3617
Cases closed,2020,3,,9508
Cases started,2020,3,,10180
Disposals,2020,3,Contested,1362
Disposals,2020,3,Uncontested,8799
Disposals,2020,3,Initially Contested,1516
Applications,2020,4,Contested,3255
Applications,2020,4,Uncontested,8395
Cases closed,2020,4,,12162
Cases started,2020,4,,11119
Disposals,2020,4,Contested,1649
Disposals,2020,4,Uncontested,10349
Disposals,2020,4,Initially Contested,1696
Applications,2021,1,Contested,3523
Applications,2021,1,Uncontested,9431
Cases closed,2021,1,,10935
Cases started,2021,1,,12452
Disposals,2021,1,Contested,1685
Disposals,2021,1,Initially Contested,1893
Disposals,2021,1,Uncontested,8963
Applications,2021,2,Uncontested,10271
Applications,2021,2,Contested,3271
Cases closed,2021,2,,10173
Cases started,2021,2,,13020
Disposals,2021,2,Contested,1679
Disposals,2021,2,Initially Contested,1841
Disposals,2021,2,Uncontested,7867
Applications,2021,3,Contested,2935
Applications,2021,3,Uncontested,8985
Cases closed,2021,3,,11086
Cases started,2021,3,,11474
Disposals,2021,3,Contested,1605
Disposals,2021,3,Initially Contested,1734
Disposals,2021,3,Uncontested,8936
Applications,2021,4,Uncontested,7916
Applications,2021,4,Contested,2716
Cases closed,2021,4,,11289
Cases started,2021,4,,10128
Disposals,2021,4,Contested,1659
Disposals,2021,4,Uncontested,9017
Disposals,2021,4,Initially Contested,1679
Applications,2022,1,Uncontested,8191
Applications,2022,1,Contested,2803
Cases closed,2022,1,,10705
Cases started,2022,1,,10505
Disposals,2022,1,Contested,1808
Disposals,2022,1,Initially Contested,1597
Disposals,2022,1,Uncontested,8337
Applications,2022,2,Contested,2800
Applications,2022,2,Uncontested,6643
Cases closed,2022,2,,7914
Cases started,2022,2,,9055
Disposals,2022,2,Contested,1276
Disposals,2022,2,Initially Contested,983
Disposals,2022,2,Uncontested,6152
Applications,2022,3,Uncontested,6625
Applications,2022,3,Contested,3024
Cases closed,2022,3,,8395
Cases started,2022,3,,9285
Disposals,2022,3,Contested,1353
Disposals,2022,3,Initially Contested,927
Disposals,2022,3,Uncontested,6512
Applications,2022,4,Contested,3058
Applications,2022,4,Uncontested,6937
Cases closed,2022,4,,7437
Cases started,2022,4,,9699
Disposals,2022,4,Contested,1491
Disposals,2022,4,Initially Contested,842
Disposals,2022,4,Uncontested,5504
Applications,2023,1,Uncontested,8328
Applications,2023,1,Contested,3206
Cases closed,2023,1,,10524
Cases started,2023,1,,11198
Disposals,2023,1,Contested,1712
Disposals,2023,1,Initially Contested,1026
Disposals,2023,1,Uncontested,8131
Applications,2023,2,Contested,3018
Applications,2023,2,Uncontested,8132
Cases closed,2023,2,,9452
Cases started,2023,2,,10950
Disposals,2023,2,Contested,1478
Disposals,2023,2,Initially Contested,1030
Disposals,2023,2,Uncontested,7188
Applications,2023,3,Uncontested,7826
Applications,2023,3,Contested,3229
Cases closed,2023,3,,10445
Cases started,2023,3,,10865
Disposals,2023,3,Contested,1417
Disposals,2023,3,Initially Contested,1003
Disposals,2023,3,Uncontested,8161
Applications,2023,4,Contested,3182
Applications,2023,4,Uncontested,7365
Cases closed,2023,4,,9772
Cases started,2023,4,,10384
Disposals,2023,4,Contested,1568
Disposals,2023,4,Initially Contested,965
Disposals,2023,4,Uncontested,7362
Applications,2024,1,Contested,3288
Applications,2024,1,Uncontested,8260
Cases closed,2024,1,,11217
Cases started,2024,1,,11412
Disposals,2024,1,Contested,2937
Disposals,2024,1,Initially Contested,969
Disposals,2024,1,Uncontested,7431
