category,stage,year,quarter,dfj_new,region,count,cases
Divorce,Decree Absolute,2011,1,Portsmouth DFJ,SOUTH WEST,1143,
Divorce,Decree Absolute,2011,1,Preston DFJ,NORTH WEST,656,
Divorce,Decree Absolute,2011,1,Rawtenstall,NORTH WEST,33,
Divorce,Decree Absolute,2011,1,Reading DFJ,SOUTH EAST,568,
Divorce,Decree Absolute,2011,1,Runcorn,NORTH WEST,31,
Divorce,Decree Absolute,2011,1,Salford,NORTH WEST,109,
Divorce,Decree Absolute,2011,1,Sheffield DFJ,NORTH EAST,797,
Divorce,Decree Absolute,2011,1,Shrewsbury,MIDLANDS,124,
Divorce,Decree Absolute,2011,1,South East Wales DFJ,WALES,722,
Divorce,Decree Absolute,2011,1,Southport,NORTH WEST,96,
Divorce,Decree Absolute,2011,1,Stoke on Trent DFJ,MIDLANDS,575,
Divorce,Decree Absolute,2011,1,Swansea DFJ,WALES,730,
Divorce,Decree Absolute,2011,1,Swindon DFJ,SOUTH WEST,419,
Divorce,Decree Absolute,2011,1,Taunton DFJ,SOUTH WEST,323,
Divorce,Decree Absolute,2011,1,Truro DFJ,SOUTH WEST,305,
Divorce,Decree Absolute,2011,1,Watford DFJ,SOUTH EAST,503,
Divorce,Decree Absolute,2011,1,West London Family Court,LONDON,906,
Divorce,Decree Absolute,2011,1,Wolverhampton DFJ,MIDLANDS,570,
Divorce,Decree Absolute,2011,1,Worcester DFJ,MIDLANDS,374,
Divorce,Decree Absolute,2011,1,Wrexham DFJ,WALES,331,
Divorce,Decree Absolute,2011,1,York DFJ,NORTH EAST,413,
Divorce,Decree Absolute,2011,2,Birmingham DJF,MIDLANDS,520,
Divorce,Decree Absolute,2011,2,Bishop Auckland,NORTH EAST,44,
Divorce,Decree Absolute,2011,2,Bournemouth and Poole DFJ,SOUTH WEST,372,
Divorce,Decree Absolute,2011,2,Brighton DFJ,SOUTH EAST,811,
Divorce,Decree Absolute,2011,2,Bristol DFJ,SOUTH WEST,1457,
Divorce,Decree Absolute,2011,2,Burton Upon Trent,MIDLANDS,154,
Divorce,Decree Absolute,2011,2,Caernarfon DFJ,WALES,76,
Divorce,Decree Absolute,2011,2,Carlisle DFJ,NORTH WEST,254,
Divorce,Decree Absolute,2011,2,Central Family Court,LONDON,1448,
Divorce,Decree Absolute,2011,2,Chelmsford DFJ,SOUTH EAST,686,
Divorce,Decree Absolute,2011,2,Chorley,NORTH WEST,50,
Divorce,Decree Absolute,2011,2,Cleveland and South Durham DFJ,NORTH EAST,430,
Divorce,Decree Absolute,2011,2,Consett,NORTH EAST,47,
Divorce,Decree Absolute,2011,2,Coventry DFJ,MIDLANDS,386,
Divorce,Decree Absolute,2011,2,Derby DFJ,MIDLANDS,435,
Divorce,Decree Absolute,2011,2,Devon DFJ,SOUTH WEST,664,
Divorce,Decree Absolute,2011,2,Dewsbury,NORTH EAST,99,
Divorce,Decree Absolute,2011,2,East London Family Court,LONDON,1544,
Divorce,Decree Absolute,2011,2,Epsom,SOUTH EAST,90,
Divorce,Decree Absolute,2011,2,Guildford DFJ,SOUTH EAST,405,
Divorce,Decree Absolute,2011,2,Harlow,SOUTH EAST,117,
Divorce,Decree Absolute,2011,2,Hitchin,SOUTH EAST,92,
Divorce,Decree Absolute,2011,2,Ilford,LONDON,171,
Divorce,Decree Absolute,2011,2,Keighley,NORTH EAST,43,
Divorce,Decree Absolute,2011,2,Kingston-upon-Hull DFJ,NORTH EAST,376,
Divorce,Decree Absolute,2011,2,Leeds DFJ,NORTH EAST,943,
Divorce,Decree Absolute,2011,2,Leicester DFJ,MIDLANDS,441,
Divorce,Decree Absolute,2011,2,Leigh,NORTH WEST,40,
Divorce,Decree Absolute,2011,2,Lincoln DFJ,MIDLANDS,359,
Divorce,Decree Absolute,2011,2,Liverpool DFJ,NORTH WEST,967,
Divorce,Decree Absolute,2011,2,Lowestoft,SOUTH EAST,86,
Divorce,Decree Absolute,2011,2,Luton DFJ,SOUTH EAST,383,
Divorce,Decree Absolute,2011,2,Manchester DFJ,NORTH WEST,1311,
Divorce,Decree Absolute,2011,2,Medway DFJ,SOUTH EAST,981,
Divorce,Decree Absolute,2011,2,Milton Keynes DFJ,SOUTH EAST,310,
Divorce,Decree Absolute,2011,2,Newcastle upon Tyne DFJ,NORTH EAST,819,
Divorce,Decree Absolute,2011,2,Northampton DFJ,MIDLANDS,278,
Divorce,Decree Absolute,2011,2,Norwich DFJ,SOUTH EAST,786,
Divorce,Decree Absolute,2011,2,Nottingham DFJ,MIDLANDS,530,
Divorce,Decree Absolute,2011,2,Oxford DFJ,SOUTH EAST,329,
Divorce,Decree Absolute,2011,2,Penrith,NORTH WEST,16,
Divorce,Decree Absolute,2011,2,Penzance,SOUTH WEST,29,
Divorce,Decree Absolute,2011,2,Peterborough DFJ,SOUTH EAST,497,
Divorce,Decree Absolute,2011,2,Pontefract,NORTH EAST,69,
Divorce,Decree Absolute,2011,2,Portsmouth DFJ,SOUTH WEST,1076,
Divorce,Decree Absolute,2011,2,Preston DFJ,NORTH WEST,562,
Divorce,Decree Absolute,2011,2,Rawtenstall,NORTH WEST,27,
Divorce,Decree Absolute,2011,2,Reading DFJ,SOUTH EAST,483,
Divorce,Decree Absolute,2011,2,Runcorn,NORTH WEST,25,
Divorce,Decree Absolute,2011,2,Salford,NORTH WEST,116,
Divorce,Decree Absolute,2011,2,Sheffield DFJ,NORTH EAST,637,
Divorce,Decree Absolute,2011,2,Shrewsbury,MIDLANDS,95,
Divorce,Decree Absolute,2011,2,South East Wales DFJ,WALES,696,
Divorce,Decree Absolute,2011,2,Southport,NORTH WEST,71,
Divorce,Decree Absolute,2011,2,Stoke on Trent DFJ,MIDLANDS,562,
Divorce,Decree Absolute,2011,2,Swansea DFJ,WALES,716,
Divorce,Decree Absolute,2011,2,Swindon DFJ,SOUTH WEST,435,
Divorce,Decree Absolute,2011,2,Taunton DFJ,SOUTH WEST,268,
Divorce,Decree Absolute,2011,2,Truro DFJ,SOUTH WEST,284,
Divorce,Decree Absolute,2011,2,Watford DFJ,SOUTH EAST,442,
Divorce,Decree Absolute,2011,2,West London Family Court,LONDON,941,
Divorce,Decree Absolute,2011,2,Wolverhampton DFJ,MIDLANDS,579,
Divorce,Decree Absolute,2011,2,Worcester DFJ,MIDLANDS,334,
Divorce,Decree Absolute,2011,2,Wrexham DFJ,WALES,318,
Divorce,Decree Absolute,2011,2,York DFJ,NORTH EAST,414,
Divorce,Decree Absolute,2011,3,Birmingham DJF,MIDLANDS,709,
Divorce,Decree Absolute,2011,3,Bishop Auckland,NORTH EAST,6,
Divorce,Decree Absolute,2011,3,Bournemouth and Poole DFJ,SOUTH WEST,483,
Divorce,Decree Absolute,2011,3,Brighton DFJ,SOUTH EAST,719,
Divorce,Decree Absolute,2011,3,Bristol DFJ,SOUTH WEST,1537,
Divorce,Decree Absolute,2011,3,Burton Upon Trent,MIDLANDS,151,
Divorce,Decree Absolute,2011,3,Caernarfon DFJ,WALES,70,
Divorce,Decree Absolute,2011,3,Carlisle DFJ,NORTH WEST,297,
Divorce,Decree Absolute,2011,3,Central Family Court,LONDON,1529,
Divorce,Decree Absolute,2011,3,Chelmsford DFJ,SOUTH EAST,839,
Divorce,Decree Absolute,2011,3,Chorley,NORTH WEST,35,
Divorce,Decree Absolute,2011,3,Cleveland and South Durham DFJ,NORTH EAST,477,
Divorce,Decree Absolute,2011,3,Consett,NORTH EAST,7,
Divorce,Decree Absolute,2011,3,Coventry DFJ,MIDLANDS,407,
Divorce,Decree Absolute,2011,3,Derby DFJ,MIDLANDS,479,
Divorce,Decree Absolute,2011,3,Devon DFJ,SOUTH WEST,717,
Divorce,Decree Absolute,2011,3,Dewsbury,NORTH EAST,138,
Divorce,Decree Absolute,2011,3,East London Family Court,LONDON,1442,
Divorce,Decree Absolute,2011,3,Epsom,SOUTH EAST,8,
Divorce,Decree Absolute,2011,3,Guildford DFJ,SOUTH EAST,441,
Divorce,Decree Absolute,2011,3,Harlow,SOUTH EAST,1,
Divorce,Decree Absolute,2011,3,Ilford,LONDON,206,
Divorce,Decree Absolute,2011,3,Keighley,NORTH EAST,42,
Divorce,Decree Absolute,2011,3,Kingston-upon-Hull DFJ,NORTH EAST,469,
Divorce,Decree Absolute,2011,3,Leeds DFJ,NORTH EAST,901,
Divorce,Decree Absolute,2011,3,Leicester DFJ,MIDLANDS,432,
Divorce,Decree Absolute,2011,3,Lincoln DFJ,MIDLANDS,390,
Divorce,Decree Absolute,2011,3,Liverpool DFJ,NORTH WEST,1200,
Divorce,Decree Absolute,2011,3,Lowestoft,SOUTH EAST,1,
Divorce,Decree Absolute,2011,3,Luton DFJ,SOUTH EAST,430,
Divorce,Decree Absolute,2011,3,Manchester DFJ,NORTH WEST,1378,
Divorce,Decree Absolute,2011,3,Medway DFJ,SOUTH EAST,988,
Divorce,Decree Absolute,2011,3,Milton Keynes DFJ,SOUTH EAST,324,
Divorce,Decree Absolute,2011,3,Newcastle upon Tyne DFJ,NORTH EAST,793,
Divorce,Decree Absolute,2011,3,Northampton DFJ,MIDLANDS,321,
Divorce,Decree Absolute,2011,3,Norwich DFJ,SOUTH EAST,898,
Divorce,Decree Absolute,2011,3,Nottingham DFJ,MIDLANDS,572,
Divorce,Decree Absolute,2011,3,Oxford DFJ,SOUTH EAST,417,
Divorce,Decree Absolute,2011,3,Penrith,NORTH WEST,1,
Divorce,Decree Absolute,2011,3,Peterborough DFJ,SOUTH EAST,542,
Divorce,Decree Absolute,2011,3,Pontefract,NORTH EAST,120,
Divorce,Decree Absolute,2011,3,Portsmouth DFJ,SOUTH WEST,1095,
Divorce,Decree Absolute,2011,3,Preston DFJ,NORTH WEST,687,
Divorce,Decree Absolute,2011,3,Rawtenstall,NORTH WEST,32,
Divorce,Decree Absolute,2011,3,Reading DFJ,SOUTH EAST,568,
Divorce,Decree Absolute,2011,3,Runcorn,NORTH WEST,2,
Divorce,Decree Absolute,2011,3,Salford,NORTH WEST,33,
Divorce,Decree Absolute,2011,3,Sheffield DFJ,NORTH EAST,690,
Divorce,Decree Absolute,2011,3,Shrewsbury,MIDLANDS,73,
Divorce,Decree Absolute,2011,3,South East Wales DFJ,WALES,643,
Divorce,Decree Absolute,2011,3,Southport,NORTH WEST,21,
Divorce,Decree Absolute,2011,3,Stoke on Trent DFJ,MIDLANDS,573,
Divorce,Decree Absolute,2011,3,Swansea DFJ,WALES,764,
Divorce,Decree Absolute,2011,3,Swindon DFJ,SOUTH WEST,526,
Divorce,Decree Absolute,2011,3,Taunton DFJ,SOUTH WEST,297,
Divorce,Decree Absolute,2011,3,Truro DFJ,SOUTH WEST,344,
Divorce,Decree Absolute,2011,3,Watford DFJ,SOUTH EAST,403,
Divorce,Decree Absolute,2011,3,West London Family Court,LONDON,891,
Divorce,Decree Absolute,2011,3,Wolverhampton DFJ,MIDLANDS,499,
Divorce,Decree Absolute,2011,3,Worcester DFJ,MIDLANDS,426,
Divorce,Decree Absolute,2011,3,Wrexham DFJ,WALES,259,
Divorce,Decree Absolute,2011,3,York DFJ,NORTH EAST,431,
Divorce,Decree Absolute,2011,4,Birmingham DJF,MIDLANDS,700,
Divorce,Decree Absolute,2011,4,Bournemouth and Poole DFJ,SOUTH WEST,436,
Divorce,Decree Absolute,2011,4,Brighton DFJ,SOUTH EAST,799,
Divorce,Decree Absolute,2011,4,Bristol DFJ,SOUTH WEST,1366,
Divorce,Decree Absolute,2011,4,Burton Upon Trent,MIDLANDS,167,
Divorce,Decree Absolute,2011,4,Caernarfon DFJ,WALES,85,
Divorce,Decree Absolute,2011,4,Carlisle DFJ,NORTH WEST,292,
Divorce,Decree Absolute,2011,4,Central Family Court,LONDON,1477,
Divorce,Decree Absolute,2011,4,Chelmsford DFJ,SOUTH EAST,882,
Divorce,Decree Absolute,2011,4,Cleveland and South Durham DFJ,NORTH EAST,458,
Divorce,Decree Absolute,2011,4,Coventry DFJ,MIDLANDS,362,
Divorce,Decree Absolute,2011,4,Derby DFJ,MIDLANDS,455,
Divorce,Decree Absolute,2011,4,Devon DFJ,SOUTH WEST,650,
Divorce,Decree Absolute,2011,4,Dewsbury,NORTH EAST,105,
Divorce,Decree Absolute,2011,4,East London Family Court,LONDON,1479,
Divorce,Decree Absolute,2011,4,Guildford DFJ,SOUTH EAST,419,
Divorce,Decree Absolute,2011,4,Ilford,LONDON,139,
Divorce,Decree Absolute,2011,4,Keighley,NORTH EAST,44,
Divorce,Decree Absolute,2011,4,Kingston-upon-Hull DFJ,NORTH EAST,516,
Divorce,Decree Absolute,2011,4,Leeds DFJ,NORTH EAST,835,
Divorce,Decree Absolute,2011,4,Leicester DFJ,MIDLANDS,479,
Divorce,Decree Absolute,2011,4,Lincoln DFJ,MIDLANDS,422,
Divorce,Decree Absolute,2011,4,Liverpool DFJ,NORTH WEST,1002,
Divorce,Decree Absolute,2011,4,Luton DFJ,SOUTH EAST,433,
Divorce,Decree Absolute,2011,4,Manchester DFJ,NORTH WEST,1352,
Divorce,Decree Absolute,2011,4,Medway DFJ,SOUTH EAST,956,
Divorce,Decree Absolute,2011,4,Milton Keynes DFJ,SOUTH EAST,347,
Divorce,Decree Absolute,2011,4,Newcastle upon Tyne DFJ,NORTH EAST,857,
Divorce,Decree Absolute,2011,4,Northampton DFJ,MIDLANDS,271,
Divorce,Decree Absolute,2011,4,Norwich DFJ,SOUTH EAST,963,
Divorce,Decree Absolute,2011,4,Nottingham DFJ,MIDLANDS,484,
Divorce,Decree Absolute,2011,4,Oxford DFJ,SOUTH EAST,336,
Divorce,Decree Absolute,2011,4,Peterborough DFJ,SOUTH EAST,517,
Divorce,Decree Absolute,2011,4,Pontefract,NORTH EAST,87,
Divorce,Decree Absolute,2011,4,Portsmouth DFJ,SOUTH WEST,1109,
Divorce,Decree Absolute,2011,4,Preston DFJ,NORTH WEST,710,
Divorce,Decree Absolute,2011,4,Reading DFJ,SOUTH EAST,521,
Divorce,Decree Absolute,2011,4,Sheffield DFJ,NORTH EAST,706,
Divorce,Decree Absolute,2011,4,South East Wales DFJ,WALES,649,
Divorce,Decree Absolute,2011,4,Stoke on Trent DFJ,MIDLANDS,683,
Divorce,Decree Absolute,2011,4,Swansea DFJ,WALES,700,
Divorce,Decree Absolute,2011,4,Swindon DFJ,SOUTH WEST,471,
Divorce,Decree Absolute,2011,4,Taunton DFJ,SOUTH WEST,294,
Divorce,Decree Absolute,2011,4,Truro DFJ,SOUTH WEST,417,
Divorce,Decree Absolute,2011,4,Watford DFJ,SOUTH EAST,420,
Divorce,Decree Absolute,2011,4,West London Family Court,LONDON,965,
Divorce,Decree Absolute,2011,4,Wolverhampton DFJ,MIDLANDS,503,
Divorce,Decree Absolute,2011,4,Worcester DFJ,MIDLANDS,386,
Divorce,Decree Absolute,2011,4,Wrexham DFJ,WALES,279,
Divorce,Decree Absolute,2011,4,York DFJ,NORTH EAST,439,
Divorce,Decree Absolute,2012,1,Birmingham DJF,MIDLANDS,694,
Divorce,Decree Absolute,2012,1,Bournemouth and Poole DFJ,SOUTH WEST,431,
Divorce,Decree Absolute,2012,1,Brighton DFJ,SOUTH EAST,945,
Divorce,Decree Absolute,2012,1,Bristol DFJ,SOUTH WEST,1391,
Divorce,Decree Absolute,2012,1,Burton Upon Trent,MIDLANDS,159,
Divorce,Decree Absolute,2012,1,Caernarfon DFJ,WALES,83,
Divorce,Decree Absolute,2012,1,Carlisle DFJ,NORTH WEST,210,
Divorce,Decree Absolute,2012,1,Central Family Court,LONDON,1758,
Divorce,Decree Absolute,2012,1,Chelmsford DFJ,SOUTH EAST,899,
Divorce,Decree Absolute,2012,1,Cleveland and South Durham DFJ,NORTH EAST,480,
Divorce,Decree Absolute,2012,1,Coventry DFJ,MIDLANDS,364,
Divorce,Decree Absolute,2012,1,Derby DFJ,MIDLANDS,392,
Divorce,Decree Absolute,2012,1,Devon DFJ,SOUTH WEST,757,
Divorce,Decree Absolute,2012,1,Dewsbury,NORTH EAST,110,
Divorce,Decree Absolute,2012,1,East London Family Court,LONDON,1770,
Divorce,Decree Absolute,2012,1,Guildford DFJ,SOUTH EAST,436,
Divorce,Decree Absolute,2012,1,Ilford,LONDON,38,
Divorce,Decree Absolute,2012,1,Keighley,NORTH EAST,43,
Divorce,Decree Absolute,2012,1,Kingston-upon-Hull DFJ,NORTH EAST,490,
Divorce,Decree Absolute,2012,1,Leeds DFJ,NORTH EAST,949,
Divorce,Decree Absolute,2012,1,Leicester DFJ,MIDLANDS,416,
Divorce,Decree Absolute,2012,1,Lincoln DFJ,MIDLANDS,436,
Divorce,Decree Absolute,2012,1,Liverpool DFJ,NORTH WEST,1193,
Divorce,Decree Absolute,2012,1,Luton DFJ,SOUTH EAST,465,
Divorce,Decree Absolute,2012,1,Manchester DFJ,NORTH WEST,1450,
Divorce,Decree Absolute,2012,1,Medway DFJ,SOUTH EAST,1112,
Divorce,Decree Absolute,2012,1,Milton Keynes DFJ,SOUTH EAST,299,
Divorce,Decree Absolute,2012,1,Newcastle upon Tyne DFJ,NORTH EAST,914,
Divorce,Decree Absolute,2012,1,Northampton DFJ,MIDLANDS,409,
Divorce,Decree Absolute,2012,1,Norwich DFJ,SOUTH EAST,999,
Divorce,Decree Absolute,2012,1,Nottingham DFJ,MIDLANDS,584,
Divorce,Decree Absolute,2012,1,Oxford DFJ,SOUTH EAST,360,
Divorce,Decree Absolute,2012,1,Peterborough DFJ,SOUTH EAST,576,
Divorce,Decree Absolute,2012,1,Pontefract,NORTH EAST,90,
Divorce,Decree Absolute,2012,1,Portsmouth DFJ,SOUTH WEST,1161,
Divorce,Decree Absolute,2012,1,Preston DFJ,NORTH WEST,753,
Divorce,Decree Absolute,2012,1,Reading DFJ,SOUTH EAST,573,
Divorce,Decree Absolute,2012,1,Sheffield DFJ,NORTH EAST,798,
Divorce,Decree Absolute,2012,1,South East Wales DFJ,WALES,655,
Divorce,Decree Absolute,2012,1,Stoke on Trent DFJ,MIDLANDS,685,
Divorce,Decree Absolute,2012,1,Swansea DFJ,WALES,843,
Divorce,Decree Absolute,2012,1,Swindon DFJ,SOUTH WEST,417,
Divorce,Decree Absolute,2012,1,Taunton DFJ,SOUTH WEST,304,
Divorce,Decree Absolute,2012,1,Truro DFJ,SOUTH WEST,372,
Divorce,Decree Absolute,2012,1,Watford DFJ,SOUTH EAST,548,
Adoption,End,2011,1,Birmingham DJF,MIDLANDS,39,38
Adoption,End,2011,1,Bournemouth and Poole DFJ,SOUTH WEST,18,18
Adoption,End,2011,1,Brighton DFJ,SOUTH EAST,36,36
Adoption,End,2011,1,Bristol DFJ,SOUTH WEST,34,34
Adoption,End,2011,1,Caernarfon DFJ,WALES,1,1
Adoption,End,2011,1,Cardiff DFJ,WALES,16,16
Adoption,End,2011,1,Carlisle DFJ,NORTH WEST,4,4
Adoption,End,2011,1,Central Family Court,LONDON,104,103
Adoption,End,2011,1,Chelmsford DFJ,SOUTH EAST,38,38
Adoption,End,2011,1,Cleveland and South Durham DFJ,NORTH EAST,27,27
Adoption,End,2011,1,Coventry DFJ,MIDLANDS,23,23
Adoption,End,2011,1,Derby DFJ,MIDLANDS,23,23
Adoption,End,2011,1,Devon DFJ,SOUTH WEST,29,28
Adoption,End,2011,1,East London Family Court,LONDON,15,15
Adoption,End,2011,1,Guildford DFJ,SOUTH EAST,17,17
Adoption,End,2011,1,Kingston-upon-Hull DFJ,NORTH EAST,12,12
Adoption,End,2011,1,Leeds DFJ,NORTH EAST,42,42
Adoption,End,2011,1,Leicester DFJ,MIDLANDS,9,9
Adoption,End,2011,1,Lincoln DFJ,MIDLANDS,12,12
Adoption,End,2011,1,Liverpool DFJ,NORTH WEST,38,37
Adoption,End,2011,1,Luton DFJ,SOUTH EAST,2,2
Adoption,End,2011,1,Manchester DFJ,NORTH WEST,74,73
Adoption,End,2011,1,Medway DFJ,SOUTH EAST,7,7
Adoption,End,2011,1,Milton Keynes DFJ,SOUTH EAST,8,8
Adoption,End,2011,1,Newcastle upon Tyne DFJ,NORTH EAST,31,31
Adoption,End,2011,1,Northampton DFJ,MIDLANDS,9,9
Adoption,End,2011,1,Norwich DFJ,SOUTH EAST,34,34
Adoption,End,2011,1,Nottingham DFJ,MIDLANDS,16,16
Adoption,End,2011,1,Oxford DFJ,SOUTH EAST,14,14
Adoption,End,2011,1,Peterborough DFJ,SOUTH EAST,19,19
Adoption,End,2011,1,Portsmouth DFJ,SOUTH WEST,33,32
Adoption,End,2011,1,Preston DFJ,NORTH WEST,21,21
Adoption,End,2011,1,Reading DFJ,SOUTH EAST,11,11
Adoption,End,2011,1,Sheffield DFJ,NORTH EAST,33,33
Adoption,End,2011,1,South East Wales DFJ,WALES,45,43
Adoption,End,2011,1,Stoke on Trent DFJ,MIDLANDS,10,9
Adoption,End,2011,1,Swansea DFJ,WALES,28,28
Adoption,End,2011,1,Swindon DFJ,SOUTH WEST,15,15
Adoption,End,2011,1,Taunton DFJ,SOUTH WEST,6,6
Adoption,End,2011,1,Truro DFJ,SOUTH WEST,14,14
Adoption,End,2011,1,Watford DFJ,SOUTH EAST,18,18
Adoption,End,2011,1,West London Family Court,LONDON,26,26
Adoption,End,2011,1,Wolverhampton DFJ,MIDLANDS,34,34
Adoption,End,2011,1,Worcester DFJ,MIDLANDS,12,12
Adoption,End,2011,1,Wrexham DFJ,WALES,6,6
Adoption,End,2011,1,York DFJ,NORTH EAST,26,26
Adoption,End,2011,2,Birmingham DJF,MIDLANDS,34,34
Adoption,End,2011,2,Bournemouth and Poole DFJ,SOUTH WEST,11,11
Adoption,End,2011,2,Brighton DFJ,SOUTH EAST,40,40
Adoption,End,2011,2,Bristol DFJ,SOUTH WEST,15,15
Adoption,End,2011,2,Caernarfon DFJ,WALES,1,1
Adoption,End,2011,2,Cardiff DFJ,WALES,6,6
Adoption,End,2011,2,Carlisle DFJ,NORTH WEST,10,10
Adoption,End,2011,2,Central Family Court,LONDON,101,101
Adoption,End,2011,2,Chelmsford DFJ,SOUTH EAST,75,75
Adoption,End,2011,2,Cleveland and South Durham DFJ,NORTH EAST,30,30
Adoption,End,2011,2,Coventry DFJ,MIDLANDS,25,25
Adoption,End,2011,2,Derby DFJ,MIDLANDS,32,32
Adoption,End,2011,2,Devon DFJ,SOUTH WEST,19,19
Adoption,End,2011,2,East London Family Court,LONDON,18,18
Adoption,End,2011,2,Guildford DFJ,SOUTH EAST,10,10
Adoption,End,2011,2,Kingston-upon-Hull DFJ,NORTH EAST,25,25
Adoption,End,2011,2,Leeds DFJ,NORTH EAST,66,66
Adoption,End,2011,2,Leicester DFJ,MIDLANDS,11,11
Adoption,End,2011,2,Lincoln DFJ,MIDLANDS,7,7
Adoption,End,2011,2,Liverpool DFJ,NORTH WEST,56,56
Adoption,End,2011,2,Luton DFJ,SOUTH EAST,3,3
Adoption,End,2011,2,Manchester DFJ,NORTH WEST,67,65
Adoption,End,2011,2,Medway DFJ,SOUTH EAST,39,39
Adoption,End,2011,2,Milton Keynes DFJ,SOUTH EAST,18,18
Adoption,End,2011,2,Newcastle upon Tyne DFJ,NORTH EAST,42,42
Adoption,End,2011,2,Northampton DFJ,MIDLANDS,9,9
Adoption,End,2011,2,Norwich DFJ,SOUTH EAST,54,54
Adoption,End,2011,2,Nottingham DFJ,MIDLANDS,14,14
Adoption,End,2011,2,Oxford DFJ,SOUTH EAST,11,11
Adoption,End,2011,2,Peterborough DFJ,SOUTH EAST,18,18
Adoption,End,2011,2,Plymouth DFJ,SOUTH WEST,1,1
Adoption,End,2011,2,Portsmouth DFJ,SOUTH WEST,48,46
Adoption,End,2011,2,Preston DFJ,NORTH WEST,26,25
Adoption,End,2011,2,Reading DFJ,SOUTH EAST,25,25
Adoption,End,2011,2,Sheffield DFJ,NORTH EAST,37,37
Adoption,End,2011,2,South East Wales DFJ,WALES,42,41
Adoption,End,2011,2,Stoke on Trent DFJ,MIDLANDS,5,5
Adoption,End,2011,2,Swansea DFJ,WALES,29,29
Adoption,End,2011,2,Swindon DFJ,SOUTH WEST,19,19
Adoption,End,2011,2,Taunton DFJ,SOUTH WEST,11,11
Adoption,End,2011,2,Truro DFJ,SOUTH WEST,14,14
Adoption,End,2011,2,Watford DFJ,SOUTH EAST,8,8
Adoption,End,2011,2,West London Family Court,LONDON,15,15
Adoption,End,2011,2,Wolverhampton DFJ,MIDLANDS,35,35
Adoption,End,2011,2,Worcester DFJ,MIDLANDS,7,7
