YEAR,QUARTER,CASE_TYPE,Type,Order_type,Exparte_or_On_Notice,Power_of_arrest,Total
2023,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,5809
2023,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,5225
2023,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,5502
2023,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,5184
2024,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,5418
2024,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,5538
2024,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,5345
2024,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,5136
2025,1,Domestic Violence,Cases concluded,n/a,n/a,n/a,5645
2025,2,Domestic Violence,Cases concluded,n/a,n/a,n/a,5313
2025,3,Domestic Violence,Cases concluded,n/a,n/a,n/a,6110
2025,4,Domestic Violence,Cases concluded,n/a,n/a,n/a,6816
2011,1,Domestic Violence,Cases started,n/a,n/a,n/a,4328
2011,2,Domestic Violence,Cases started,n/a,n/a,n/a,4201
2011,3,Domestic Violence,Cases started,n/a,n/a,n/a,4555
2011,4,Domestic Violence,Cases started,n/a,n/a,n/a,3951
2012,1,Domestic Violence,Cases started,n/a,n/a,n/a,4322
2012,2,Domestic Violence,Cases started,n/a,n/a,n/a,4253
2012,3,Domestic Violence,Cases started,n/a,n/a,n/a,4466
2012,4,Domestic Violence,Cases started,n/a,n/a,n/a,4251
2013,1,Domestic Violence,Cases started,n/a,n/a,n/a,4562
2013,2,Domestic Violence,Cases started,n/a,n/a,n/a,4708
2013,3,Domestic Violence,Cases started,n/a,n/a,n/a,5379
2013,4,Domestic Violence,Cases started,n/a,n/a,n/a,5061
2014,1,Domestic Violence,Cases started,n/a,n/a,n/a,5024
2014,2,Domestic Violence,Cases started,n/a,n/a,n/a,5099
2014,3,Domestic Violence,Cases started,n/a,n/a,n/a,5291
2014,4,Domestic Violence,Cases started,n/a,n/a,n/a,4845
2015,1,Domestic Violence,Cases started,n/a,n/a,n/a,4756
2015,2,Domestic Violence,Cases started,n/a,n/a,n/a,4827
2015,3,Domestic Violence,Cases started,n/a,n/a,n/a,5028
2015,4,Domestic Violence,Cases started,n/a,n/a,n/a,4866
2016,1,Domestic Violence,Cases started,n/a,n/a,n/a,4799
2016,2,Domestic Violence,Cases started,n/a,n/a,n/a,5143
2016,3,Domestic Violence,Cases started,n/a,n/a,n/a,5152
2016,4,Domestic Violence,Cases started,n/a,n/a,n/a,4936
2017,1,Domestic Violence,Cases started,n/a,n/a,n/a,5183
2017,2,Domestic Violence,Cases started,n/a,n/a,n/a,5199
2017,3,Domestic Violence,Cases started,n/a,n/a,n/a,5661
2017,4,Domestic Violence,Cases started,n/a,n/a,n/a,5140
2018,1,Domestic Violence,Cases started,n/a,n/a,n/a,5297
2018,2,Domestic Violence,Cases started,n/a,n/a,n/a,5214
2018,3,Domestic Violence,Cases started,n/a,n/a,n/a,5424
2018,4,Domestic Violence,Cases started,n/a,n/a,n/a,5389
2019,1,Domestic Violence,Cases started,n/a,n/a,n/a,6114
2019,2,Domestic Violence,Cases started,n/a,n/a,n/a,6057
2019,3,Domestic Violence,Cases started,n/a,n/a,n/a,6660
2019,4,Domestic Violence,Cases started,n/a,n/a,n/a,6511
2020,1,Domestic Violence,Cases started,n/a,n/a,n/a,6837
2020,2,Domestic Violence,Cases started,n/a,n/a,n/a,7496
2020,3,Domestic Violence,Cases started,n/a,n/a,n/a,8407
2020,4,Domestic Violence,Cases started,n/a,n/a,n/a,7906
2021,1,Domestic Violence,Cases started,n/a,n/a,n/a,7855
2021,2,Domestic Violence,Cases started,n/a,n/a,n/a,7173
2021,3,Domestic Violence,Cases started,n/a,n/a,n/a,7716
2021,4,Domestic Violence,Cases started,n/a,n/a,n/a,7498
2022,1,Domestic Violence,Cases started,n/a,n/a,n/a,8028
2022,2,Domestic Violence,Cases started,n/a,n/a,n/a,7564
2022,3,Domestic Violence,Cases started,n/a,n/a,n/a,7838
2022,4,Domestic Violence,Cases started,n/a,n/a,n/a,7633
2023,1,Domestic Violence,Cases started,n/a,n/a,n/a,7960
2023,2,Domestic Violence,Cases started,n/a,n/a,n/a,7498
2023,3,Domestic Violence,Cases started,n/a,n/a,n/a,7734
2023,4,Domestic Violence,Cases started,n/a,n/a,n/a,7162
2024,1,Domestic Violence,Cases started,n/a,n/a,n/a,7393
2024,2,Domestic Violence,Cases started,n/a,n/a,n/a,7435
2024,3,Domestic Violence,Cases started,n/a,n/a,n/a,7492
2024,4,Domestic Violence,Cases started,n/a,n/a,n/a,7166
2025,1,Domestic Violence,Cases started,n/a,n/a,n/a,7454
2025,2,Domestic Violence,Cases started,n/a,n/a,n/a,7447
2025,3,Domestic Violence,Cases started,n/a,n/a,n/a,8323
2025,4,Domestic Violence,Cases started,n/a,n/a,n/a,7450
2008,1,n/a,Orders applied for,Non-Molestation,n/a,n/a,4452
2008,1,n/a,Orders applied for,Occupation,n/a,n/a,2038
2008,2,n/a,Orders applied for,Non-Molestation,n/a,n/a,4821
2008,2,n/a,Orders applied for,Occupation,n/a,n/a,2118
2008,3,n/a,Orders applied for,Non-Molestation,n/a,n/a,5088
2008,3,n/a,Orders applied for,Occupation,n/a,n/a,2313
2008,4,n/a,Orders applied for,Non-Molestation,n/a,n/a,4751
2008,4,n/a,Orders applied for,Occupation,n/a,n/a,2053
2009,1,n/a,Orders applied for,Non-Molestation,n/a,n/a,5085
2009,1,n/a,Orders applied for,Occupation,n/a,n/a,2126
2009,2,n/a,Orders applied for,Non-Molestation,n/a,n/a,5118
2009,2,n/a,Orders applied for,Occupation,n/a,n/a,2027
2009,3,n/a,Orders applied for,Non-Molestation,n/a,n/a,5628
2009,3,n/a,Orders applied for,Occupation,n/a,n/a,2049
2009,4,n/a,Orders applied for,Non-Molestation,n/a,n/a,4818
2009,4,n/a,Orders applied for,Occupation,n/a,n/a,1586
2010,1,n/a,Orders applied for,Non-Molestation,n/a,n/a,4710
2010,1,n/a,Orders applied for,Occupation,n/a,n/a,1588
2010,2,n/a,Orders applied for,Non-Molestation,n/a,n/a,4694
2010,2,n/a,Orders applied for,Occupation,n/a,n/a,1645
2010,3,n/a,Orders applied for,Non-Molestation,n/a,n/a,4936
2010,3,n/a,Orders applied for,Occupation,n/a,n/a,1641
2010,4,n/a,Orders applied for,Non-Molestation,n/a,n/a,4018
2010,4,n/a,Orders applied for,Occupation,n/a,n/a,1319
2011,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,3
2011,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,922
2011,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,3438
2011,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,461
2011,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,5
2011,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,635
2011,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,550
2011,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,4
2011,2,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,4
2011,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,895
2011,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,3441
2011,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,376
2011,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,3691
2011,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,401
2011,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,621
2011,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,951
2011,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,4
2011,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,1
2011,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,1
2011,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,3140
2011,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,367
2011,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,2
2011,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,572
2011,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,806
2012,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,927
2012,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,4
2012,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,580
2012,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,3442
2012,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,390
2012,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2012,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,4
2012,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,535
2012,2,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,5
2012,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,852
2012,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,3464
2012,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,377
2012,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,3694
2012,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,345
2012,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,1
2012,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,513
2012,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2012,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,904
2012,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,818
2012,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,513
2012,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,2
2012,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,3494
2012,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,347
2012,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,5
2013,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,6
2013,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,498
2013,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,3786
2013,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,379
2013,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,927
2013,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,3
2013,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2013,2,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,2
2013,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,864
2013,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,408
2013,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,3879
2013,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,583
2013,2,Adoption,Orders applied for,Non-Molestation,On Notice,n/a,1
2013,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,5
2013,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,562
2013,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,389
2013,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,910
2013,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,3
2013,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4544
2013,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4357
2013,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,6
2013,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,328
2013,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,471
2013,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2013,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,907
2014,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,7
2014,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,5
2014,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,561
2014,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,925
2014,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4258
2014,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,327
2014,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,333
2014,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,889
2014,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,548
2014,2,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,3
2014,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,6
2014,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4323
2014,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4540
2014,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,5
2014,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,543
2014,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,932
2014,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,369
2014,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,3
2014,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,2
2014,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,828
2014,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,545
2014,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,6
2014,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4061
2014,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,389
2015,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,786
2015,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,485
2015,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,3
2015,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,2
2015,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4058
2015,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,320
2015,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4113
2015,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,332
2015,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,515
2015,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,782
2015,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,7
2015,2,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,7
2015,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,2
2015,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,604
2015,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4202
2015,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,373
2015,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,8
2015,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,801
2015,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,770
2015,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,587
2015,4,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,2
2015,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,1
2015,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2015,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4060
2015,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,369
2016,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,770
2016,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,611
2016,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2016,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,3926
2016,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,394
2016,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,405
2016,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,644
2016,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,804
2016,2,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,1
2016,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4231
2016,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,4
2016,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,10
2016,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,765
2016,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,1
2016,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,658
2016,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,398
2016,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4238
2016,3,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,1
2016,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,603
2016,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,4
2016,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,5
2016,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,744
2016,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4089
2016,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,382
2017,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,3
2017,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,7
2017,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,746
2017,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,667
2017,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4236
2017,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,442
2017,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4280
2017,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,382
2017,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,1
2017,2,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,3
2017,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,689
2017,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,719
2017,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,815
2017,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,6
2017,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4579
2017,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,466
2017,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,785
2017,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,2
2017,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,5
2017,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,5
2017,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,681
2017,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,723
2017,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4200
2017,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,379
2018,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,723
2018,1,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,1
2018,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,767
2018,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4254
2018,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,434
2018,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,1
2018,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,7
2018,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,6
2018,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4147
2018,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,426
2018,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,711
2018,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,825
2018,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,796
2018,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,775
2018,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,5
2018,3,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,1
2018,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4340
2018,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,451
2018,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,4
2018,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,4
2018,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,761
2018,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,843
2018,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,6
2018,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4328
2018,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,431
2019,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4927
2019,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,6
2019,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,930
2019,1,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,1
2019,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,834
2019,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,458
2019,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,3
2019,2,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,1
2019,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,875
2019,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,6
2019,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,4899
2019,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,438
2019,2,Adoption,Orders applied for,Non-Molestation,On Notice,n/a,1
2019,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,848
2019,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,947
2019,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,5
2019,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,1012
2019,3,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,2
2019,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5364
2019,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,472
2019,4,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,476
2019,4,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,1043
2019,4,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,3
2019,4,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,926
2019,4,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5193
2019,4,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,2
2020,1,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,447
2020,1,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,941
2020,1,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,6
2020,1,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,977
2020,1,Childrens Act,Orders applied for,Non-Molestation,Exparte,n/a,5
2020,1,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,5595
2020,2,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,6418
2020,2,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,4
2020,2,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1117
2020,2,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,390
2020,2,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,873
2020,3,Domestic Violence,Orders applied for,Non-Molestation,On Notice,n/a,975
2020,3,Domestic Violence,Orders applied for,Occupation,Exparte,n/a,1267
2020,3,Adoption,Orders applied for,Non-Molestation,Exparte,n/a,1
2020,3,Childrens Act,Orders applied for,Non-Molestation,On Notice,n/a,10
2020,3,Domestic Violence,Orders applied for,Non-Molestation,Exparte,n/a,7157
2020,3,Domestic Violence,Orders applied for,Occupation,On Notice,n/a,465
