Category,Type,Year,Quarter,Count
Case Subtype,Health and Welfare,2017,Q2,64805
Case Subtype,Health and Welfare,2017,Q3,71857
Case Subtype,Health and Welfare,2017,Q4,75000
Case Subtype,Health and Welfare,2018,Q1,74114
Case Subtype,Health and Welfare,2018,Q2,75254
Case Subtype,Health and Welfare,2018,Q3,82401
Case Subtype,Health and Welfare,2018,Q4,75924
Case Subtype,Health and Welfare,2019,Q1,83363
Case Subtype,Health and Welfare,2019,Q2,89337
Case Subtype,Health and Welfare,2019,Q3,100161
Case Subtype,Health and Welfare,2019,Q4,92214
Case Subtype,Health and Welfare,2020,Q1,100409
Case Subtype,Health and Welfare,2020,Q2,44183
Case Subtype,Health and Welfare,2020,Q3,72113
Case Subtype,Health and Welfare,2020,Q4,81220
Case Subtype,Health and Welfare,2021,Q1,85312
Case Subtype,Health and Welfare,2021,Q2,71442
Case Subtype,Health and Welfare,2021,Q3,75824
Case Subtype,Health and Welfare,2021,Q4,84852
Case Subtype,Health and Welfare,2022,Q1,91802
Case Subtype,Health and Welfare,2022,Q2,87261
Case Subtype,Health and Welfare,2022,Q3,91085
Case Subtype,Health and Welfare,2022,Q4,114096
Case Subtype,Health and Welfare,2023,Q1,122878
Case Subtype,Health and Welfare,2023,Q2,126398
Case Subtype,Health and Welfare,2023,Q3,136446
Case Subtype,Health and Welfare,2023,Q4,144907
Case Subtype,Health and Welfare,2024,Q1,173704
Case Subtype,Health and Welfare,2024,Q2,173033
Case Subtype,Health and Welfare,2024,Q3,191356
Case Subtype,Health and Welfare,2024,Q4,149668
Case Subtype,Health and Welfare,2025,Q1,138235
Case Subtype,Health and Welfare,2025,Q2,133365
Case Subtype,Health and Welfare,2025,Q3,178575
Case Subtype,Health and Welfare,2025,Q4,166052
Case Subtype,Property and Finance,2008,Q1,6258
Case Subtype,Property and Finance,2008,Q2,9055
Case Subtype,Property and Finance,2008,Q3,17109
Case Subtype,Property and Finance,2008,Q4,19218
Case Subtype,Property and Finance,2009,Q1,15677
Case Subtype,Property and Finance,2009,Q2,22775
Case Subtype,Property and Finance,2009,Q3,23441
Case Subtype,Property and Finance,2009,Q4,21671
Case Subtype,Property and Finance,2010,Q1,22273
Case Subtype,Property and Finance,2010,Q2,36457
Case Subtype,Property and Finance,2010,Q3,33658
Case Subtype,Property and Finance,2010,Q4,30535
Case Subtype,Property and Finance,2011,Q1,40531
Case Subtype,Property and Finance,2011,Q2,33226
Case Subtype,Property and Finance,2011,Q3,42981
Case Subtype,Property and Finance,2011,Q4,38596
Case Subtype,Property and Finance,2012,Q1,43673
Case Subtype,Property and Finance,2012,Q2,42920
Case Subtype,Property and Finance,2012,Q3,50363
Case Subtype,Property and Finance,2012,Q4,50468
Case Subtype,Property and Finance,2013,Q1,44893
Case Subtype,Property and Finance,2013,Q2,56434
Case Subtype,Property and Finance,2013,Q3,53941
Case Subtype,Property and Finance,2013,Q4,48055
Case Subtype,Property and Finance,2014,Q1,44353
Case Subtype,Property and Finance,2014,Q2,53230
Case Subtype,Property and Finance,2014,Q3,83764
Case Subtype,Property and Finance,2014,Q4,75089
Case Subtype,Property and Finance,2015,Q1,69977
Case Subtype,Property and Finance,2015,Q2,83731
Case Subtype,Property and Finance,2015,Q3,76504
Case Subtype,Property and Finance,2015,Q4,73230
Case Subtype,Property and Finance,2016,Q1,83515
Case Subtype,Property and Finance,2016,Q2,87341
Case Subtype,Property and Finance,2016,Q3,109166
Case Subtype,Property and Finance,2016,Q4,103607
Case Subtype,Property and Finance,2017,Q1,101561
Case Subtype,Property and Finance,2017,Q2,99600
Case Subtype,Property and Finance,2017,Q3,108877
Case Subtype,Property and Finance,2017,Q4,110221
Case Subtype,Property and Finance,2018,Q1,106108
Case Subtype,Property and Finance,2018,Q2,108441
Case Subtype,Property and Finance,2018,Q3,112903
Case Subtype,Property and Finance,2018,Q4,102352
Case Subtype,Property and Finance,2019,Q1,111602
Case Subtype,Property and Finance,2019,Q2,118081
Case Subtype,Property and Finance,2019,Q3,129811
Case Subtype,Property and Finance,2019,Q4,118212
Case Subtype,Property and Finance,2020,Q1,126341
Case Subtype,Property and Finance,2020,Q2,57315
Case Subtype,Property and Finance,2020,Q3,92422
Case Subtype,Property and Finance,2020,Q4,103757
Case Subtype,Property and Finance,2021,Q1,107259
Case Subtype,Property and Finance,2021,Q2,90566
Case Subtype,Property and Finance,2021,Q3,95327
Case Subtype,Property and Finance,2021,Q4,104522
Case Subtype,Property and Finance,2022,Q1,112062
Case Subtype,Property and Finance,2022,Q2,107025
Case Subtype,Property and Finance,2022,Q3,111099
Case Subtype,Property and Finance,2022,Q4,137280
Case Subtype,Property and Finance,2023,Q1,147780
Case Subtype,Property and Finance,2023,Q2,150605
Case Subtype,Property and Finance,2023,Q3,167005
Case Subtype,Property and Finance,2023,Q4,171512
Case Subtype,Property and Finance,2024,Q1,206214
Case Subtype,Property and Finance,2024,Q2,207600
Case Subtype,Property and Finance,2024,Q3,221575
Case Subtype,Property and Finance,2024,Q4,172541
Case Subtype,Property and Finance,2025,Q1,162653
Case Subtype,Property and Finance,2025,Q2,160066
Case Subtype,Property and Finance,2025,Q3,206308
Case Subtype,Property and Finance,2025,Q4,191717
Gender of Donor,Female,2008,Q1,4428
Gender of Donor,Female,2008,Q2,6557
Gender of Donor,Female,2008,Q3,12807
Gender of Donor,Female,2008,Q4,14541
Gender of Donor,Female,2009,Q1,11896
Gender of Donor,Female,2009,Q2,17200
Gender of Donor,Female,2009,Q3,17578
Gender of Donor,Female,2009,Q4,16249
Gender of Donor,Female,2010,Q1,16706
Gender of Donor,Female,2010,Q2,27781
Gender of Donor,Female,2010,Q3,25461
Gender of Donor,Female,2010,Q4,23376
Gender of Donor,Female,2011,Q1,31236
Gender of Donor,Female,2011,Q2,25612
Gender of Donor,Female,2011,Q3,33587
Gender of Donor,Female,2011,Q4,30362
Gender of Donor,Female,2012,Q1,34465
Gender of Donor,Female,2012,Q2,34311
Gender of Donor,Female,2012,Q3,40344
Gender of Donor,Female,2012,Q4,40595
Gender of Donor,Female,2013,Q1,36067
Gender of Donor,Female,2013,Q2,46117
Gender of Donor,Female,2013,Q3,44791
Gender of Donor,Female,2013,Q4,40506
Gender of Donor,Female,2014,Q1,37321
Gender of Donor,Female,2014,Q2,45392
Gender of Donor,Female,2014,Q3,72214
Gender of Donor,Female,2014,Q4,66301
Gender of Donor,Female,2015,Q1,62300
Gender of Donor,Female,2015,Q2,74689
Gender of Donor,Female,2015,Q3,69521
Gender of Donor,Female,2015,Q4,67443
Gender of Donor,Female,2016,Q1,77098
Gender of Donor,Female,2016,Q2,81759
Gender of Donor,Female,2016,Q3,103321
Gender of Donor,Female,2016,Q4,99643
Gender of Donor,Female,2017,Q1,96562
Gender of Donor,Female,2017,Q2,95775
Gender of Donor,Female,2017,Q3,105040
Gender of Donor,Female,2017,Q4,107312
Gender of Donor,Female,2018,Q1,104049
Gender of Donor,Female,2018,Q2,105902
Gender of Donor,Female,2018,Q3,112708
Gender of Donor,Female,2018,Q4,102822
Gender of Donor,Female,2019,Q1,111830
Gender of Donor,Female,2019,Q2,119620
Gender of Donor,Female,2019,Q3,132169
Gender of Donor,Female,2019,Q4,121417
Gender of Donor,Female,2020,Q1,129725
Gender of Donor,Female,2020,Q2,58132
Gender of Donor,Female,2020,Q3,92969
Gender of Donor,Female,2020,Q4,106319
Gender of Donor,Female,2021,Q1,110470
Gender of Donor,Female,2021,Q2,92630
Gender of Donor,Female,2021,Q3,97810
Gender of Donor,Female,2021,Q4,107721
Gender of Donor,Female,2022,Q1,116143
Gender of Donor,Female,2022,Q2,109276
Gender of Donor,Female,2022,Q3,114677
Gender of Donor,Female,2022,Q4,143461
Gender of Donor,Female,2023,Q1,154557
Gender of Donor,Female,2023,Q2,156818
Gender of Donor,Female,2023,Q3,172143
Gender of Donor,Female,2023,Q4,179668
Gender of Donor,Female,2024,Q1,214313
Gender of Donor,Female,2024,Q2,213558
Gender of Donor,Female,2024,Q3,231859
Gender of Donor,Female,2024,Q4,180775
Gender of Donor,Female,2025,Q1,166999
Gender of Donor,Female,2025,Q2,164229
Gender of Donor,Female,2025,Q3,215719
Gender of Donor,Female,2025,Q4,199166
Gender of Donor,Male,2008,Q1,1972
Gender of Donor,Male,2008,Q2,3080
Gender of Donor,Male,2008,Q3,6481
Gender of Donor,Male,2008,Q4,7611
Gender of Donor,Male,2009,Q1,6066
Gender of Donor,Male,2009,Q2,8787
Gender of Donor,Male,2009,Q3,9318
Gender of Donor,Male,2009,Q4,8652
Gender of Donor,Male,2010,Q1,9307
Gender of Donor,Male,2010,Q2,15591
Gender of Donor,Male,2010,Q3,14476
Gender of Donor,Male,2010,Q4,13101
Gender of Donor,Male,2011,Q1,17996
Gender of Donor,Male,2011,Q2,14772
Gender of Donor,Male,2011,Q3,19372
Gender of Donor,Male,2011,Q4,17954
Gender of Donor,Male,2012,Q1,20211
Gender of Donor,Male,2012,Q2,20046
Gender of Donor,Male,2012,Q3,24118
Gender of Donor,Male,2012,Q4,24467
Gender of Donor,Male,2013,Q1,22293
Gender of Donor,Male,2013,Q2,28022
Gender of Donor,Male,2013,Q3,27223
Gender of Donor,Male,2013,Q4,24677
Gender of Donor,Male,2014,Q1,23146
Gender of Donor,Male,2014,Q2,28497
Gender of Donor,Male,2014,Q3,46371
Gender of Donor,Male,2014,Q4,42318
Gender of Donor,Male,2015,Q1,40487
Gender of Donor,Male,2015,Q2,48332
Gender of Donor,Male,2015,Q3,45149
Gender of Donor,Male,2015,Q4,43998
Gender of Donor,Male,2016,Q1,51351
Gender of Donor,Male,2016,Q2,54307
Gender of Donor,Male,2016,Q3,68813
Gender of Donor,Male,2016,Q4,66399
Gender of Donor,Male,2017,Q1,66524
Gender of Donor,Male,2017,Q2,66307
Gender of Donor,Male,2017,Q3,73099
Gender of Donor,Male,2017,Q4,75219
Gender of Donor,Male,2018,Q1,73505
Gender of Donor,Male,2018,Q2,75124
Gender of Donor,Male,2018,Q3,79738
Gender of Donor,Male,2018,Q4,72707
Gender of Donor,Male,2019,Q1,80189
Gender of Donor,Male,2019,Q2,84759
Gender of Donor,Male,2019,Q3,94413
Gender of Donor,Male,2019,Q4,86039
Gender of Donor,Male,2020,Q1,93466
Gender of Donor,Male,2020,Q2,41781
Gender of Donor,Male,2020,Q3,68311
Gender of Donor,Male,2020,Q4,75547
Gender of Donor,Male,2021,Q1,78952
Gender of Donor,Male,2021,Q2,66815
Gender of Donor,Male,2021,Q3,70689
Gender of Donor,Male,2021,Q4,78768
Gender of Donor,Male,2022,Q1,84724
Gender of Donor,Male,2022,Q2,81954
Gender of Donor,Male,2022,Q3,84565
Gender of Donor,Male,2022,Q4,104193
Gender of Donor,Male,2023,Q1,112098
Gender of Donor,Male,2023,Q2,115954
Gender of Donor,Male,2023,Q3,126762
Gender of Donor,Male,2023,Q4,132249
Gender of Donor,Male,2024,Q1,159958
Gender of Donor,Male,2024,Q2,161353
Gender of Donor,Male,2024,Q3,174516
Gender of Donor,Male,2024,Q4,136480
Gender of Donor,Male,2025,Q1,128747
Gender of Donor,Male,2025,Q2,124494
Gender of Donor,Male,2025,Q3,162271
Gender of Donor,Male,2025,Q4,151456
Gender of Donor,Unknown,2008,Q1,48
Gender of Donor,Unknown,2008,Q2,69
Gender of Donor,Unknown,2008,Q3,172
Gender of Donor,Unknown,2008,Q4,231
Gender of Donor,Unknown,2009,Q1,184
Gender of Donor,Unknown,2009,Q2,290
Gender of Donor,Unknown,2009,Q3,298
Gender of Donor,Unknown,2009,Q4,285
Gender of Donor,Unknown,2010,Q1,308
Gender of Donor,Unknown,2010,Q2,505
Gender of Donor,Unknown,2010,Q3,531
Gender of Donor,Unknown,2010,Q4,462
Gender of Donor,Unknown,2011,Q1,670
Gender of Donor,Unknown,2011,Q2,523
Gender of Donor,Unknown,2011,Q3,655
Gender of Donor,Unknown,2011,Q4,685
Gender of Donor,Unknown,2012,Q1,741
Gender of Donor,Unknown,2012,Q2,735
Gender of Donor,Unknown,2012,Q3,902
Gender of Donor,Unknown,2012,Q4,834
Gender of Donor,Unknown,2013,Q1,848
Gender of Donor,Unknown,2013,Q2,1048
Gender of Donor,Unknown,2013,Q3,975
Gender of Donor,Unknown,2013,Q4,881
Gender of Donor,Unknown,2014,Q1,916
Gender of Donor,Unknown,2014,Q2,972
Gender of Donor,Unknown,2014,Q3,1677
Gender of Donor,Unknown,2014,Q4,1636
Gender of Donor,Unknown,2015,Q1,1441
Gender of Donor,Unknown,2015,Q2,1694
Gender of Donor,Unknown,2015,Q3,1478
Gender of Donor,Unknown,2015,Q4,1631
Gender of Donor,Unknown,2016,Q1,2004
Gender of Donor,Unknown,2016,Q2,2031
Gender of Donor,Unknown,2016,Q3,2390
Gender of Donor,Unknown,2016,Q4,2374
Gender of Donor,Unknown,2017,Q1,2459
Gender of Donor,Unknown,2017,Q2,2323
Gender of Donor,Unknown,2017,Q3,2595
Gender of Donor,Unknown,2017,Q4,2690
Gender of Donor,Unknown,2018,Q1,2668
Gender of Donor,Unknown,2018,Q2,2669
Gender of Donor,Unknown,2018,Q3,2858
Gender of Donor,Unknown,2018,Q4,2747
Gender of Donor,Unknown,2019,Q1,2946
Gender of Donor,Unknown,2019,Q2,3039
Gender of Donor,Unknown,2019,Q3,3390
Gender of Donor,Unknown,2019,Q4,2970
Gender of Donor,Unknown,2020,Q1,3559
Gender of Donor,Unknown,2020,Q2,1585
Gender of Donor,Unknown,2020,Q3,3255
Gender of Donor,Unknown,2020,Q4,3111
Gender of Donor,Unknown,2021,Q1,3149
Gender of Donor,Unknown,2021,Q2,2563
Gender of Donor,Unknown,2021,Q3,2652
Gender of Donor,Unknown,2021,Q4,2885
Gender of Donor,Unknown,2022,Q1,2997
Gender of Donor,Unknown,2022,Q2,3056
Gender of Donor,Unknown,2022,Q3,2942
Gender of Donor,Unknown,2022,Q4,3722
Gender of Donor,Unknown,2023,Q1,4003
Gender of Donor,Unknown,2023,Q2,4231
Gender of Donor,Unknown,2023,Q3,4546
Gender of Donor,Unknown,2023,Q4,4502
Gender of Donor,Unknown,2024,Q1,5647
Gender of Donor,Unknown,2024,Q2,5722
Gender of Donor,Unknown,2024,Q3,6556
Gender of Donor,Unknown,2024,Q4,4954
Gender of Donor,Unknown,2025,Q1,5142
Gender of Donor,Unknown,2025,Q2,4708
Gender of Donor,Unknown,2025,Q3,6893
Gender of Donor,Unknown,2025,Q4,7147
Age of Donor,18-24,2008,Q1,[c]
Age of Donor,18-24,2008,Q2,[c]
Age of Donor,18-24,2008,Q3,13
Age of Donor,18-24,2008,Q4,43
Age of Donor,18-24,2009,Q1,26
Age of Donor,18-24,2009,Q2,[c]
Age of Donor,18-24,2009,Q3,[c]
Age of Donor,18-24,2009,Q4,[c]
Age of Donor,18-24,2010,Q1,26
Age of Donor,18-24,2010,Q2,67
Age of Donor,18-24,2010,Q3,49
Age of Donor,18-24,2010,Q4,[c]
Age of Donor,18-24,2011,Q1,[c]
Age of Donor,18-24,2011,Q2,[c]
Age of Donor,18-24,2011,Q3,[c]
Age of Donor,18-24,2011,Q4,80
Age of Donor,18-24,2012,Q1,[c]
Age of Donor,18-24,2012,Q2,[c]
Age of Donor,18-24,2012,Q3,[c]
Age of Donor,18-24,2012,Q4,[c]
Age of Donor,18-24,2013,Q1,[c]
Age of Donor,18-24,2013,Q2,[c]
Age of Donor,18-24,2013,Q3,[c]
Age of Donor,18-24,2013,Q4,[c]
Age of Donor,18-24,2014,Q1,[c]
Age of Donor,18-24,2014,Q2,[c]
Age of Donor,18-24,2014,Q3,[c]
Age of Donor,18-24,2014,Q4,[c]
Age of Donor,18-24,2015,Q1,169
Age of Donor,18-24,2015,Q2,192
Age of Donor,18-24,2015,Q3,165
Age of Donor,18-24,2015,Q4,163
Age of Donor,18-24,2016,Q1,233
Age of Donor,18-24,2016,Q2,213
Age of Donor,18-24,2016,Q3,262
Age of Donor,18-24,2016,Q4,287
Age of Donor,18-24,2017,Q1,246
Age of Donor,18-24,2017,Q2,270
Age of Donor,18-24,2017,Q3,331
Age of Donor,18-24,2017,Q4,344
Age of Donor,18-24,2018,Q1,321
Age of Donor,18-24,2018,Q2,276
Age of Donor,18-24,2018,Q3,384
Age of Donor,18-24,2018,Q4,369
Age of Donor,18-24,2019,Q1,356
Age of Donor,18-24,2019,Q2,321
Age of Donor,18-24,2019,Q3,461
Age of Donor,18-24,2019,Q4,435
Age of Donor,18-24,2020,Q1,464
Age of Donor,18-24,2020,Q2,167
Age of Donor,18-24,2020,Q3,339
Age of Donor,18-24,2020,Q4,414
Age of Donor,18-24,2021,Q1,463
Age of Donor,18-24,2021,Q2,412
Age of Donor,18-24,2021,Q3,380
Age of Donor,18-24,2021,Q4,396
Age of Donor,18-24,2022,Q1,464
Age of Donor,18-24,2022,Q2,404
Age of Donor,18-24,2022,Q3,430
Age of Donor,18-24,2022,Q4,536
Age of Donor,18-24,2023,Q1,594
Age of Donor,18-24,2023,Q2,556
Age of Donor,18-24,2023,Q3,550
Age of Donor,18-24,2023,Q4,615
Age of Donor,18-24,2024,Q1,828
Age of Donor,18-24,2024,Q2,792
Age of Donor,18-24,2024,Q3,959
Age of Donor,18-24,2024,Q4,799
Age of Donor,18-24,2025,Q1,700
Age of Donor,18-24,2025,Q2,713
Age of Donor,18-24,2025,Q3,1014
Age of Donor,18-24,2025,Q4,1060
Age of Donor,25-34,2008,Q1,[c]
Age of Donor,25-34,2008,Q2,[c]
Age of Donor,25-34,2008,Q3,68
Age of Donor,25-34,2008,Q4,65
Age of Donor,25-34,2009,Q1,49
Age of Donor,25-34,2009,Q2,76
Age of Donor,25-34,2009,Q3,76
Age of Donor,25-34,2009,Q4,77
Age of Donor,25-34,2010,Q1,56
Age of Donor,25-34,2010,Q2,111
Age of Donor,25-34,2010,Q3,118
Age of Donor,25-34,2010,Q4,120
Age of Donor,25-34,2011,Q1,156
Age of Donor,25-34,2011,Q2,105
Age of Donor,25-34,2011,Q3,159
Age of Donor,25-34,2011,Q4,145
Age of Donor,25-34,2012,Q1,155
Age of Donor,25-34,2012,Q2,184
Age of Donor,25-34,2012,Q3,190
Age of Donor,25-34,2012,Q4,234
Age of Donor,25-34,2013,Q1,194
Age of Donor,25-34,2013,Q2,167
Age of Donor,25-34,2013,Q3,236
Age of Donor,25-34,2013,Q4,192
Age of Donor,25-34,2014,Q1,207
Age of Donor,25-34,2014,Q2,224
Age of Donor,25-34,2014,Q3,370
Age of Donor,25-34,2014,Q4,358
Age of Donor,25-34,2015,Q1,380
Age of Donor,25-34,2015,Q2,360
Age of Donor,25-34,2015,Q3,392
Age of Donor,25-34,2015,Q4,392
Age of Donor,25-34,2016,Q1,449
Age of Donor,25-34,2016,Q2,482
Age of Donor,25-34,2016,Q3,615
Age of Donor,25-34,2016,Q4,687
Age of Donor,25-34,2017,Q1,662
Age of Donor,25-34,2017,Q2,692
Age of Donor,25-34,2017,Q3,759
Age of Donor,25-34,2017,Q4,868
Age of Donor,25-34,2018,Q1,854
Age of Donor,25-34,2018,Q2,790
Age of Donor,25-34,2018,Q3,908
Age of Donor,25-34,2018,Q4,943
Age of Donor,25-34,2019,Q1,966
Age of Donor,25-34,2019,Q2,1046
Age of Donor,25-34,2019,Q3,1141
Age of Donor,25-34,2019,Q4,1130
Age of Donor,25-34,2020,Q1,1283
Age of Donor,25-34,2020,Q2,522
Age of Donor,25-34,2020,Q3,1016
Age of Donor,25-34,2020,Q4,1053
Age of Donor,25-34,2021,Q1,1201
Age of Donor,25-34,2021,Q2,961
Age of Donor,25-34,2021,Q3,984
Age of Donor,25-34,2021,Q4,1068
Age of Donor,25-34,2022,Q1,1021
Age of Donor,25-34,2022,Q2,1079
Age of Donor,25-34,2022,Q3,1168
Age of Donor,25-34,2022,Q4,1201
Age of Donor,25-34,2023,Q1,1452
Age of Donor,25-34,2023,Q2,1522
Age of Donor,25-34,2023,Q3,1509
Age of Donor,25-34,2023,Q4,1739
Age of Donor,25-34,2024,Q1,2189
Age of Donor,25-34,2024,Q2,2295
Age of Donor,25-34,2024,Q3,2515
Age of Donor,25-34,2024,Q4,2146
Age of Donor,25-34,2025,Q1,1945
Age of Donor,25-34,2025,Q2,2067
Age of Donor,25-34,2025,Q3,2708
Age of Donor,25-34,2025,Q4,2708
Age of Donor,35-44,2008,Q1,24
Age of Donor,35-44,2008,Q2,56
Age of Donor,35-44,2008,Q3,137
Age of Donor,35-44,2008,Q4,161
