year,quarter,Region,total_open_caseload,open_caseload_up_to_26w,open_caseload_26w_to_52w,open_caseload_52w_to_90w,open_caseload_over_90w
2013,2,North East,1683,1041,349,162,131
2013,2,North West,1491,950,344,131,66
2013,2,South East,2012,1064,466,225,257
2013,2,South West,1081,703,243,94,41
2013,2,Wales,600,360,120,66,54
2013,3,England and Wales,9057,5620,1944,783,710
2013,3,London,1546,816,442,210,78
2013,3,Midlands,1584,1053,309,131,91
2013,3,North East,1397,919,256,95,127
2013,3,North West,1439,958,312,103,66
2013,3,South East,1672,921,350,146,255
2013,3,South West,922,619,200,66,37
2013,3,Wales,497,334,75,32,56
2013,4,England and Wales,8465,5405,1633,668,759
2013,4,London,1520,818,424,186,92
2013,4,Midlands,1476,990,267,120,99
2013,4,North East,1221,810,208,73,130
2013,4,North West,1402,964,265,91,82
2013,4,South East,1540,894,268,113,265
2013,4,South West,867,615,158,58,36
2013,4,Wales,439,314,43,27,55
2014,NULL,England and Wales,8010,5997,1351,335,327
2014,NULL,London,1190,784,259,82,65
2014,NULL,Midlands,1587,1137,261,70,119
2014,NULL,North East,1235,971,203,43,18
2014,NULL,North West,1356,1025,273,50,8
2014,NULL,South East,1211,971,199,29,12
2014,NULL,South West,904,684,110,54,56
2014,NULL,Wales,527,425,46,7,49
2014,1,England and Wales,8522,5641,1505,593,783
2014,1,London,1509,826,366,201,116
2014,1,Midlands,1509,1063,240,95,111
2014,1,North East,1297,896,209,72,120
2014,1,North West,1357,971,258,63,65
2014,1,South East,1531,916,240,97,278
2014,1,South West,868,632,148,50,38
2014,1,Wales,451,337,44,15,55
2014,2,England and Wales,8485,5602,1493,580,810
2014,2,London,1559,816,390,208,145
2014,2,Midlands,1497,1054,243,83,117
2014,2,North East,1331,960,185,70,116
2014,2,North West,1372,969,277,68,58
2014,2,South East,1456,884,210,86,276
2014,2,South West,786,544,148,50,44
2014,2,Wales,484,375,40,15,54
2014,3,England and Wales,7805,5761,1373,355,316
2014,3,London,1280,808,327,91,54
2014,3,Midlands,1554,1085,272,87,110
2014,3,North East,1184,941,189,38,16
2014,3,North West,1334,1038,237,47,12
2014,3,South East,1162,932,173,34,23
2014,3,South West,815,580,130,54,51
2014,3,Wales,476,377,45,4,50
2014,4,England and Wales,8010,5997,1351,335,327
2014,4,London,1190,784,259,82,65
2014,4,Midlands,1587,1137,261,70,119
2014,4,North East,1235,971,203,43,18
2014,4,North West,1356,1025,273,50,8
2014,4,South East,1211,971,199,29,12
2014,4,South West,904,684,110,54,56
2014,4,Wales,527,425,46,7,49
2015,NULL,England and Wales,8327,6567,1368,323,69
2015,NULL,London,1159,843,229,67,20
2015,NULL,Midlands,1509,1139,288,60,22
2015,NULL,North East,1444,1161,227,48,8
2015,NULL,North West,1340,1028,222,84,6
2015,NULL,South East,1521,1254,225,36,6
2015,NULL,South West,923,757,138,22,6
2015,NULL,Wales,431,385,39,6,1
2015,1,England and Wales,8099,6079,1426,326,268
2015,1,London,1157,800,243,73,41
2015,1,Midlands,1596,1151,270,73,102
2015,1,North East,1330,1014,244,50,22
2015,1,North West,1360,998,292,57,13
2015,1,South East,1261,1018,201,30,12
2015,1,South West,930,708,138,34,50
2015,1,Wales,465,390,38,9,28
2015,2,England and Wales,8238,6269,1481,294,194
2015,2,London,1173,821,256,69,27
2015,2,Midlands,1620,1144,311,66,99
2015,2,North East,1359,1083,216,47,13
2015,2,North West,1354,1026,273,51,4
2015,2,South East,1364,1098,224,30,12
2015,2,South West,935,734,147,24,30
2015,2,Wales,433,363,54,7,9
2015,3,England and Wales,8185,6404,1384,305,92
2015,3,London,1131,810,247,48,26
2015,3,Midlands,1554,1161,290,69,34
2015,3,North East,1377,1123,199,43,12
2015,3,North West,1323,1025,218,79,1
2015,3,South East,1479,1198,232,39,10
2015,3,South West,875,695,152,23,5
2015,3,Wales,446,392,46,4,4
2015,4,England and Wales,8327,6567,1368,323,69
2015,4,London,1159,843,229,67,20
2015,4,Midlands,1509,1139,288,60,22
2015,4,North East,1444,1161,227,48,8
2015,4,North West,1340,1028,222,84,6
2015,4,South East,1521,1254,225,36,6
2015,4,South West,923,757,138,22,6
2015,4,Wales,431,385,39,6,1
2016,NULL,England and Wales,9674,7638,1736,243,57
2016,NULL,London,1362,1032,283,35,12
2016,NULL,Midlands,1715,1311,323,67,14
2016,NULL,North East,1787,1385,345,44,13
2016,NULL,North West,1529,1270,231,19,9
2016,NULL,South East,1794,1419,330,39,6
2016,NULL,South West,920,716,169,34,1
2016,NULL,Wales,567,505,55,5,2
2016,1,England and Wales,8641,7051,1320,209,61
2016,1,London,1190,925,224,31,10
2016,1,Midlands,1551,1188,264,70,29
2016,1,North East,1520,1235,243,33,9
2016,1,North West,1317,1123,168,24,2
2016,1,South East,1599,1305,261,25,8
2016,1,South West,976,833,123,18,2
2016,1,Wales,488,442,37,8,1
2016,2,England and Wales,9127,7513,1319,233,62
2016,2,London,1292,1047,201,31,13
2016,2,Midlands,1591,1253,245,72,21
2016,2,North East,1696,1404,234,46,12
2016,2,North West,1380,1175,173,27,5
2016,2,South East,1625,1294,288,35,8
2016,2,South West,991,823,147,19,2
2016,2,Wales,552,517,31,3,1
2016,3,England and Wales,9600,7741,1549,239,71
2016,3,London,1421,1131,243,34,13
2016,3,Midlands,1667,1302,275,67,23
2016,3,North East,1807,1451,293,50,13
2016,3,North West,1464,1206,216,32,10
2016,3,South East,1709,1380,291,30,8
2016,3,South West,981,775,182,22,2
2016,3,Wales,551,496,49,4,2
2016,4,England and Wales,9674,7638,1736,243,57
2016,4,London,1362,1032,283,35,12
2016,4,Midlands,1715,1311,323,67,14
2016,4,North East,1787,1385,345,44,13
2016,4,North West,1529,1270,231,19,9
2016,4,South East,1794,1419,330,39,6
2016,4,South West,920,716,169,34,1
2016,4,Wales,567,505,55,5,2
2017,NULL,England and Wales,10510,7769,2203,480,58
2017,NULL,London,1463,1058,326,70,9
2017,NULL,Midlands,1969,1398,462,101,8
2017,NULL,North East,1938,1392,430,108,8
2017,NULL,North West,1707,1244,359,83,21
2017,NULL,South East,1794,1329,387,72,6
2017,NULL,South West,1008,815,162,29,2
2017,NULL,Wales,631,533,77,17,4
2017,1,England and Wales,9695,7655,1715,271,54
2017,1,London,1351,1020,285,39,7
2017,1,Midlands,1777,1363,328,71,15
2017,1,North East,1809,1447,308,45,9
2017,1,North West,1551,1235,268,36,12
2017,1,South East,1760,1396,320,39,5
2017,1,South West,863,682,145,32,4
2017,1,Wales,584,512,61,9,2
2017,2,England and Wales,9906,7733,1806,316,51
2017,2,London,1348,1031,263,50,4
2017,2,Midlands,1880,1415,354,94,17
2017,2,North East,1890,1488,351,44,7
2017,2,North West,1538,1197,284,45,12
2017,2,South East,1748,1357,345,41,5
2017,2,South West,886,714,138,32,2
2017,2,Wales,616,531,71,10,4
2017,3,England and Wales,10329,7893,1985,393,58
2017,3,London,1401,1040,296,61,4
2017,3,Midlands,1976,1434,413,106,23
2017,3,North East,1935,1471,399,60,5
2017,3,North West,1673,1283,305,73,12
2017,3,South East,1772,1335,375,57,5
2017,3,South West,960,791,140,24,5
2017,3,Wales,612,539,57,12,4
2017,4,England and Wales,10510,7769,2203,480,58
2017,4,London,1463,1058,326,70,9
2017,4,Midlands,1969,1398,462,101,8
2017,4,North East,1938,1392,430,108,8
2017,4,North West,1707,1244,359,83,21
2017,4,South East,1794,1329,387,72,6
2017,4,South West,1008,815,162,29,2
2017,4,Wales,631,533,77,17,4
2018,NULL,England and Wales,10730,7696,2499,470,65
2018,NULL,London,1410,960,382,58,10
2018,NULL,Midlands,1983,1288,530,152,13
2018,NULL,North East,2073,1526,451,77,19
2018,NULL,North West,1785,1313,394,70,8
2018,NULL,South East,1769,1284,423,53,9
2018,NULL,South West,1104,808,243,50,3
2018,NULL,Wales,606,517,76,10,3
2018,1,England and Wales,10674,7927,2276,412,59
2018,1,London,1432,1049,320,55,8
2018,1,Midlands,1988,1395,481,102,10
2018,1,North East,2016,1499,428,81,8
2018,1,North West,1762,1280,387,77,18
2018,1,South East,1808,1368,372,59,9
2018,1,South West,1051,822,204,23,2
2018,1,Wales,617,514,84,15,4
2018,2,England and Wales,10904,8028,2305,492,79
2018,2,London,1452,996,382,63,11
2018,2,Midlands,2021,1432,457,117,15
2018,2,North East,2098,1545,413,124,16
2018,2,North West,1793,1323,368,83,19
2018,2,South East,1795,1353,377,54,11
2018,2,South West,1100,836,222,40,2
2018,2,Wales,645,543,86,11,5
2018,3,England and Wales,11017,7868,2504,581,64
2018,3,London,1536,1028,413,88,7
2018,3,Midlands,1978,1347,491,128,12
2018,3,North East,2157,1513,466,158,20
2018,3,North West,1826,1335,403,77,11
2018,3,South East,1746,1260,411,66,9
2018,3,South West,1128,844,232,50,2
2018,3,Wales,646,541,88,14,3
2018,4,England and Wales,10730,7696,2499,470,65
2018,4,London,1410,960,382,58,10
2018,4,Midlands,1983,1288,530,152,13
2018,4,North East,2073,1526,451,77,19
2018,4,North West,1785,1313,394,70,8
2018,4,South East,1769,1284,423,53,9
2018,4,South West,1104,808,243,50,3
2018,4,Wales,606,517,76,10,3
2019,NULL,England and Wales,11621,7655,2957,898,111
2019,NULL,London,1506,889,450,150,17
2019,NULL,Midlands,2328,1378,641,276,33
2019,NULL,North East,2332,1600,554,156,22
2019,NULL,North West,1960,1279,521,142,18
2019,NULL,South East,1804,1260,456,78,10
2019,NULL,South West,1081,751,235,87,8
2019,NULL,Wales,610,498,100,9,3
2019,1,England and Wales,10775,7548,2575,573,79
2019,1,London,1394,902,412,70,10
2019,1,Midlands,2100,1378,539,163,20
2019,1,North East,2033,1448,458,105,22
2019,1,North West,1775,1254,411,101,9
2019,1,South East,1800,1309,415,65,11
2019,1,South West,1077,758,257,57,5
2019,1,Wales,596,499,83,12,2
2019,2,England and Wales,10949,7528,2681,652,88
2019,2,London,1409,895,416,86,12
2019,2,Midlands,2186,1409,567,189,21
2019,2,North East,2120,1490,473,138,19
2019,2,North West,1856,1257,477,108,14
2019,2,South East,1773,1272,423,65,13
2019,2,South West,1046,723,256,60,7
2019,2,Wales,559,482,69,6,2
2019,3,England and Wales,11340,7727,2766,754,93
2019,3,London,1484,930,425,116,13
2019,3,Midlands,2284,1396,646,212,30
2019,3,North East,2252,1580,495,159,18
2019,3,North West,1846,1270,446,120,10
2019,3,South East,1808,1284,443,71,10
2019,3,South West,1068,767,226,65,10
2019,3,Wales,598,500,85,11,2
2019,4,England and Wales,11621,7655,2957,898,111
2019,4,London,1506,889,450,150,17
2019,4,Midlands,2328,1378,641,276,33
2019,4,North East,2332,1600,554,156,22
2019,4,North West,1960,1279,521,142,18
2019,4,South East,1804,1260,456,78,10
2019,4,South West,1081,751,235,87,8
2019,4,Wales,610,498,100,9,3
2020,NULL,England and Wales,13417,7712,3928,1538,239
2020,NULL,London,1740,877,594,224,45
2020,NULL,Midlands,2675,1425,773,390,87
2020,NULL,North East,2577,1547,718,275,37
2020,NULL,North West,2167,1175,684,280,28
2020,NULL,Not Specified,222,222,0,0,0
2020,NULL,South East,2177,1260,670,224,23
2020,NULL,South West,1219,753,335,119,12
2020,NULL,Wales,640,453,154,26,7
2020,1,England and Wales,12044,7541,3282,1052,169
2020,1,London,1568,878,489,172,29
2020,1,Midlands,2339,1281,700,300,58
2020,1,North East,2423,1573,607,212,31
2020,1,North West,2079,1296,573,182,28
2020,1,South East,1901,1263,528,100,10
2020,1,South West,1112,760,277,66,9
2020,1,Wales,622,490,108,20,4
2020,2,England and Wales,13285,7662,3856,1497,270
2020,2,London,1777,953,524,254,46
2020,2,Midlands,2522,1304,733,398,87
2020,2,North East,2658,1525,791,286,56
2020,2,North West,2317,1313,683,277,44
2020,2,South East,2030,1242,620,153,15
2020,2,South West,1279,824,337,101,17
2020,2,Wales,702,501,168,28,5
2020,3,England and Wales,13488,7917,3836,1534,201
2020,3,London,1748,933,533,253,29
2020,3,Midlands,2714,1493,745,400,76
2020,3,North East,2676,1596,783,261,36
2020,3,North West,2201,1260,642,268,31
2020,3,South East,2138,1285,638,203,12
2020,3,South West,1298,827,343,116,12
2020,3,Wales,713,523,152,33,5
2020,4,England and Wales,13417,7712,3928,1538,239
2020,4,London,1740,877,594,224,45
2020,4,Midlands,2675,1425,773,390,87
2020,4,North East,2577,1547,718,275,37
2020,4,North West,2167,1175,684,280,28
2020,4,Not Specified,222,222,0,0,0
2020,4,South East,2177,1260,670,224,23
2020,4,South West,1219,753,335,119,12
2020,4,Wales,640,453,154,26,7
2021,NULL,England and Wales,12749,6944,3722,1703,380
2021,NULL,London,1804,878,565,296,65
2021,NULL,Midlands,2377,1182,621,448,126
2021,NULL,North East,2163,1298,598,213,54
2021,NULL,North West,2108,1157,615,268,68
2021,NULL,Not Specified,504,195,276,33,0
2021,NULL,South East,2122,1098,652,327,45
2021,NULL,South West,1190,767,305,99,19
2021,NULL,Wales,481,369,90,19,3
2021,1,England and Wales,13010,7299,3901,1542,268
2021,1,London,1716,860,570,243,43
2021,1,Midlands,2585,1219,877,388,101
2021,1,North East,2327,1379,668,248,32
2021,1,North West,2093,1156,616,270,51
2021,1,Not Specified,421,421,0,0,0
2021,1,South East,2125,1141,714,246,24
2021,1,South West,1179,729,315,122,13
2021,1,Wales,564,394,141,25,4
2021,2,England and Wales,12841,7056,3899,1557,329
2021,2,London,1684,802,559,268,55
2021,2,Midlands,2478,1059,877,435,107
2021,2,North East,2184,1277,628,234,45
2021,2,North West,1998,1070,621,246,61
2021,2,Not Specified,759,650,109,0,0
2021,2,South East,2115,1125,700,247,43
2021,2,South West,1130,726,291,99,14
2021,2,Wales,493,347,114,28,4
2021,3,England and Wales,12763,6954,3732,1716,361
2021,3,London,1727,834,552,290,51
2021,3,Midlands,2395,1037,747,488,123
2021,3,North East,2121,1232,609,227,53
2021,3,North West,2054,1085,623,282,64
2021,3,Not Specified,811,646,165,0,0
2021,3,South East,2105,1107,648,306,44
2021,3,South West,1126,730,284,91,21
2021,3,Wales,424,283,104,32,5
2021,4,England and Wales,12749,6944,3722,1703,380
2021,4,London,1804,878,565,296,65
2021,4,Midlands,2377,1182,621,448,126
2021,4,North East,2163,1298,598,213,54
2021,4,North West,2108,1157,615,268,68
2021,4,Not Specified,504,195,276,33,0
2021,4,South East,2122,1098,652,327,45
2021,4,South West,1190,767,305,99,19
2021,4,Wales,481,369,90,19,3
2022,NULL,England and Wales,12538,6740,3694,1675,429
2022,NULL,London,1908,783,627,400,98
2022,NULL,Midlands,2181,1171,671,247,92
2022,NULL,North East,2285,1434,586,212,53
2022,NULL,North West,2107,1060,656,310,81
2022,NULL,Not Specified,40,2,0,29,9
2022,NULL,South East,2226,1100,727,329,70
2022,NULL,South West,1207,750,312,122,23
2022,NULL,Wales,584,440,115,26,3
2022,1,England and Wales,12814,7224,3535,1659,396
2022,1,London,1826,839,586,327,74
2022,1,Midlands,2350,1289,574,384,103
2022,1,North East,2237,1426,531,226,54
2022,1,North West,2093,1171,585,266,71
2022,1,Not Specified,298,2,245,51,0
2022,1,South East,2216,1209,644,288,75
2022,1,South West,1246,844,287,99,16
2022,1,Wales,548,444,83,18,3
2022,2,England and Wales,12709,7144,3545,1625,395
2022,2,London,1866,850,610,332,74
2022,2,Midlands,2278,1284,600,295,99
2022,2,North East,2209,1414,568,185,42
2022,2,North West,2201,1227,616,292,66
2022,2,Not Specified,142,1,52,88,1
2022,2,South East,2235,1162,656,323,94
2022,2,South West,1212,777,323,97,15
2022,2,Wales,566,429,120,13,4
2022,3,England and Wales,12717,6891,3795,1602,429
2022,3,London,1939,854,621,373,91
2022,3,Midlands,2263,1213,683,263,104
2022,3,North East,2241,1374,617,205,45
2022,3,North West,2170,1170,646,273,81
2022,3,Not Specified,81,1,0,75,5
2022,3,South East,2207,1081,750,297,79
2022,3,South West,1221,770,332,99,20
2022,3,Wales,595,428,146,17,4
2022,4,England and Wales,12538,6740,3694,1675,429
2022,4,London,1908,783,627,400,98
2022,4,Midlands,2181,1171,671,247,92
2022,4,North East,2285,1434,586,212,53
2022,4,North West,2107,1060,656,310,81
2022,4,Not Specified,40,2,0,29,9
2022,4,South East,2226,1100,727,329,70
2022,4,South West,1207,750,312,122,23
2022,4,Wales,584,440,115,26,3
2023,NULL,England and Wales,10660,6355,2744,1209,352
2023,NULL,London,1742,756,519,331,136
2023,NULL,Midlands,1792,1157,436,158,41
2023,NULL,North East,1921,1370,404,129,18
2023,NULL,North West,1740,1017,490,182,51
2023,NULL,Not Specified,2,0,0,0,2
2023,NULL,South East,1884,945,560,301,78
2023,NULL,South West,1105,724,266,92,23
2023,NULL,Wales,474,386,69,16,3
2023,1,England and Wales,11717,6544,3251,1545,377
2023,1,London,1791,730,600,377,84
2023,1,Midlands,2070,1170,574,258,68
2023,1,North East,2101,1392,493,175,41
2023,1,North West,1905,1036,554,246,69
2023,1,Not Specified,29,6,0,8,15
2023,1,South East,2106,1045,637,344,80
2023,1,South West,1160,748,283,113,16
2023,1,Wales,555,417,110,24,4
2023,2,England and Wales,11135,6308,3017,1470,340
2023,2,London,1730,722,546,361,101
2023,2,Midlands,1907,1089,520,244,54
2023,2,North East,2054,1395,476,151,32
2023,2,North West,1830,1058,465,257,50
2023,2,Not Specified,14,2,0,0,12
2023,2,South East,2002,953,648,328,73
2023,2,South West,1113,708,284,106,15
2023,2,Wales,485,381,78,23,3
2023,3,England and Wales,10823,6283,2858,1345,337
2023,3,London,1727,756,498,356,117
2023,3,Midlands,1780,1072,469,191,48
2023,3,North East,1994,1377,457,136,24
2023,3,North West,1787,1037,468,228,54
2023,3,Not Specified,6,0,1,0,5
2023,3,South East,1938,945,617,309,67
2023,3,South West,1118,722,273,104,19
2023,3,Wales,473,374,75,21,3
2023,4,England and Wales,10660,6355,2744,1209,352
2023,4,London,1742,756,519,331,136
2023,4,Midlands,1792,1157,436,158,41
2023,4,North East,1921,1370,404,129,18
2023,4,North West,1740,1017,490,182,51
2023,4,Not Specified,2,0,0,0,2
2023,4,South East,1884,945,560,301,78
2023,4,South West,1105,724,266,92,23
2023,4,Wales,474,386,69,16,3
2024,NULL,England and Wales,9943,6299,2473,926,245
2024,NULL,London,1615,761,495,275,84
2024,NULL,Midlands,1523,1070,348,91,14
2024,NULL,North East,1708,1301,328,69,10
2024,NULL,North West,1756,1071,466,167,52
2024,NULL,South East,1833,1015,527,229,62
2024,NULL,South West,1069,724,240,85,20
2024,NULL,Wales,439,357,69,10,3
2024,1,England and Wales,10626,6467,2694,1141,324
2024,1,London,1782,802,545,309,126
2024,1,Midlands,1725,1190,384,119,32
2024,1,North East,1909,1359,404,125,21
2024,1,North West,1781,1021,504,198,58
2024,1,Not Specified,2,0,0,0,2
2024,1,South East,1833,959,523,290,61
2024,1,South West,1084,708,269,85,22
2024,1,Wales,510,428,65,15,2
2024,2,England and Wales,10345,6306,2677,1079,283
2024,2,London,1737,760,545,326,106
2024,2,Midlands,1672,1143,400,105,24
2024,2,North East,1804,1301,383,101,19
2024,2,North West,1749,1043,479,185,42
2024,2,Not Specified,1,0,0,0,1
2024,2,South East,1829,966,532,261,70
2024,2,South West,1052,674,273,87,18
2024,2,Wales,501,419,65,14,3
2024,3,England and Wales,10221,6323,2643,998,257
2024,3,London,1711,771,524,311,105
2024,3,Midlands,1603,1124,370,96,13
2024,3,North East,1732,1269,362,86,15
2024,3,North West,1792,1082,492,181,37
2024,3,South East,1850,985,567,235,63
2024,3,South West,1048,694,257,77,20
2024,3,Wales,485,398,71,12,4
2024,4,England and Wales,9943,6299,2473,926,245
2024,4,London,1615,761,495,275,84
2024,4,Midlands,1523,1070,348,91,14
2024,4,North East,1708,1301,328,69,10
2024,4,North West,1756,1071,466,167,52
2024,4,South East,1833,1015,527,229,62
2024,4,South West,1069,724,240,85,20
2024,4,Wales,439,357,69,10,3
2025,NULL,England and Wales,10087,6582,2597,749,159
2025,NULL,London,1539,802,462,207,68
2025,NULL,Midlands,1690,1254,352,74,10
2025,NULL,North East,1758,1328,376,51,3
2025,NULL,North West,1659,1025,466,146,22
2025,NULL,South East,1890,1072,587,191,40
2025,NULL,South West,1069,708,275,72,14
2025,NULL,Wales,482,393,79,8,2
2025,1,England and Wales,9818,6356,2379,852,231
2025,1,London,1552,742,468,246,96
2025,1,Midlands,1507,1058,337,99,13
2025,1,North East,1702,1348,283,58,13
2025,1,North West,1725,1058,460,166,41
2025,1,South East,1833,1058,524,202,49
2025,1,South West,1034,715,232,71,16
2025,1,Wales,465,377,75,10,3
2025,2,England and Wales,9938,6601,2363,776,198
2025,2,London,1539,775,476,208,80
2025,2,Midlands,1559,1138,323,82,16
2025,2,North East,1727,1366,302,51,8
2025,2,North West,1714,1070,451,155,38
2025,2,South East,1862,1105,513,202,42
2025,2,South West,1068,745,246,65,12
2025,2,Wales,469,402,52,13,2
2025,3,England and Wales,10062,6740,2382,765,175
2025,3,London,1538,808,443,221,66
2025,3,Midlands,1609,1223,298,71,17
2025,3,North East,1791,1418,318,47,8
2025,3,North West,1675,1064,446,141,24
2025,3,South East,1882,1083,556,199,44
2025,3,South West,1061,723,249,74,15
2025,3,Wales,506,421,72,12,1
2025,4,England and Wales,10087,6582,2597,749,159
2025,4,London,1539,802,462,207,68
2025,4,Midlands,1690,1254,352,74,10
2025,4,North East,1758,1328,376,51,3
2025,4,North West,1659,1025,466,146,22
2025,4,South East,1890,1072,587,191,40
2025,4,South West,1069,708,275,72,14
2025,4,Wales,482,393,79,8,2
