path,type,in_scope_because,family_mentions,words,google_impr,google_clicks,google_pos,bing_impr,bing_clicks,bing_pos,bing_queries,title
/blog/incorporation-and-company-structures/corporation-tax-rates-property-companies-2026-27,post,body,15,4188,740,6,7.9,0,0,0,0,What Are Corporation Tax Rates for Property Companies in 2026/27?
/blog/section-24-and-tax-relief/furnished-holiday-let-tax-rules-exemptions,post,body,17,3043,488,4,35.0,232,12,6.2,146,"Furnished Holiday Let Tax: Rules, Abolition and What Happens Now"
/blog/incorporation-and-company-structures/charging-market-rent-to-own-property-company-tax-treatment,post,body,16,5032,575,9,6.6,0,0,0,0,Charging Market Rent to Your Own Property Company: Tax Treatment and the Connected-Party Defence Pack
/blog/incorporation-and-company-structures/transfer-of-going-concern-togc-commercial-property-option-matching-vat-free,post,body,23,5416,567,5,9.7,0,0,0,0,TOGC on Commercial Property: The Option-Matching Trap and the Pre-Completion Sequence Under SI 1995/1268 Article 5
/blog/landlord-tax-essentials/limits-on-ads-repayment-ftt-clarifies-disposal-in-replacement-of-main-residence,post,body,30,5930,560,1,8.0,0,0,0,0,Limits on ADS Repayment: How the FTT Has Clarified 'Disposal of a Dwelling' in the Replacement-of-Main-Residence Test
/blog/incorporation-and-company-structures/property-investment-company-structure-planning,post,body,13,5089,514,4,10.7,25,0,11.0,12,Property Investment Company Structure: SPV vs Holding vs Group
/blog/incorporation-and-company-structures/spv-property-investment-special-purpose-vehicle-guide,post,body,15,4062,100,2,18.7,423,24,6.1,217,"Property SPVs Explained: Structure, Setup and Tax Mechanics"
/blog/property-types-and-specialist-tax/land-and-buildings-transaction-tax-multiple-dwellings-relief,post,named,190,5780,498,0,9.2,0,0,0,0,Land and Buildings Transaction Tax Multiple Dwellings Relief: The Scottish Relief That Survives the SDLT Abolition (LBTT(S)A 2013 Schedule 5)
/blog/property-types-and-specialist-tax/sdlt-mixed-use-rates-vs-residential-property-tribunal-tests-landlords,post,named,36,5404,488,14,6.9,0,0,0,0,"SDLT Mixed-Use vs Residential: Hyman, Suterwalla, and the Tribunal Tests for Property Investors"
/blog/property-accountant-services/property-accountant-nottingham-landlords,post,body,21,3641,470,0,21.0,0,0,0,0,"Property Accountant Nottingham 2026/27: BTL, HMO and Selective-Licensing Tax for Landlords"
/blog/property-types-and-specialist-tax/selling-house-below-market-value,post,named,50,4067,462,2,9.7,0,0,0,0,"Selling a House Below Market Value: The Partial-Sale-Partial-Gift Analytical Framework Across CGT, IHT, SDLT, and the RICS Red Book Valuation Evidence Required for HMRC Defence"
/blog/non-resident-landlord-tax/non-resident-cgt-selling-uk-property-overseas-guide,post,body,5,4352,14,0,7.8,442,14,6.0,233,Non-Resident CGT When Selling UK Property: Complete Tax Guide 2026
/blog/property-types-and-specialist-tax/commercial-property-tax-landlords-rates-reliefs-allowances,post,body,15,4371,438,4,18.0,9,1,5.0,8,"What Tax Do Commercial Property Landlords Pay? Rates, Reliefs and Allowances Explained"
/blog/property-types-and-specialist-tax/first-time-buyer-relief-understanding-tax-credits-and-deductions,post,named,99,5188,443,0,9.5,0,0,0,0,First-Time Buyer Relief and the 'Tax Credits and Deductions' Question: How UK SDLT FTB Relief Actually Works
/blog/incorporation-and-company-structures/sdlt-group-relief-schedule-7-fa-2003-claw-back-connected-party-recovery-depth,post,named,71,5641,381,0,7.4,36,1,7.4,21,SDLT Group Relief Claw-Back and Connected-Party Recovery: FA 2003 Sch 7 Depth
/blog/property-types-and-specialist-tax/labour-plans-stamp-duty-hike-for-overseas-buyers,post,named,64,4805,406,0,6.9,2,2,4.5,2,Labour's Plans to Increase Stamp Duty for Overseas Buyers: From 2024 Manifesto to Current Statutory Position
/blog/landlord-tax-essentials/record-keeping-landlords-what-track-how-long-keep,post,body,6,3916,377,4,7.3,31,3,4.1,25,What Records Should UK Landlords Keep and for How Long?
/calculators/ltt-calculator-wales,tool,named,35,1682,9,0,9.1,372,1,7.4,56,LTT Calculator Wales | Land Transaction Tax (2026/27) | Property Tax Partners
/blog/property-types-and-specialist-tax/a-complete-guide-to-stamp-duty-refund,post,named,57,6076,314,1,39.8,29,1,7.7,17,"A Complete Guide to Stamp Duty Refunds: Every Route, the Right Deadline, and How to Avoid SDLT-Claims-Firm Traps"
/blog/landlord-tax-essentials/form-17-declaration-beneficial-interest-property-mechanics-filing-revocation,post,body,9,5154,75,0,10.8,268,8,6.6,82,"Form 17 Declaration of Beneficial Interest: Filing, Mechanics, Revocation"
/blog/incorporation-and-company-structures/extraction-while-incorporating-phase-2-acquisition-funded-by-personal-funds,post,body,55,5245,338,2,7.4,0,0,0,0,Extraction While Incorporating: The Phase-2 Acquisition Route via Personal Funds and the DLA Credit
/blog/incorporation-and-company-structures/sdlt-incorporation-stamp-duty-twice,post,named,87,3478,273,4,22.7,61,7,5.9,38,SDLT on Incorporation: Do I Pay Stamp Duty Twice in 2026/27?
/blog/section-24-and-tax-relief/tax-relief-mortgage-interest-rented-property-guide,post,body,5,2600,168,0,38.7,156,20,4.6,100,How Does Tax Relief on Mortgage Interest for Rented Property Work in 2026?
/blog/non-resident-landlord-tax/non-resident-cgt-uk-property-rates-reporting,post,body,16,6143,77,0,10.1,246,8,6.3,132,"Non-Resident CGT on UK Property 2026/27: Rates, Reporting and the Regime Architecture"
/blog/landlord-tax-essentials/sdlt-shared-ownership-staircasing,post,named,98,3505,287,2,7.3,10,1,7.1,7,Shared Ownership SDLT and Staircasing: Market-Value Election vs Pay-in-Stages
/blog/non-resident-landlord-tax/srt-statutory-residence-test-landlord-decision-tree,post,body,12,4843,275,1,9.0,0,0,0,0,SRT Statutory Residence Test: Landlord Decision Tree
/blog/incorporation-and-company-structures/ated-rates-2026-27-bands-table-worked-examples,post,body,5,4199,95,1,5.0,169,0,5.2,62,"ATED Rates 2026/27: Bands, Annual Charges, and Worked Examples"
/landlord-tax,hub,body,36,10248,251,0,75.7,0,0,0,0,Landlord Tax Explained: What UK Landlords Pay in 2026/27 | Property Tax Partners
/blog/landlord-tax-essentials/sdlt-on-probate-property-transfers,post,named,113,4095,240,2,7.5,0,0,0.0,0,"SDLT on Probate Property Transfers: When It Applies, When It Doesn't"
/blog/incorporation-and-company-structures/gifting-property-to-minor-children-bare-trust-mechanics-tax-traps,post,body,6,6441,233,1,9.3,0,0,0,0,"Gifting Property to a Minor Child: the s.629 Trap, the Bare-Trust Requirement, and the Grandparent Route"
/blog/incorporation-and-company-structures/property-spv-share-buyback-out-of-distributable-reserves-mechanics,post,body,10,5695,233,1,8.9,0,0,0,0,Property SPV Share Buyback: Why the s.1033 Capital-Treatment Route Almost Always Fails
/blog/landlord-tax-essentials/stamp-duty-buy-to-let-surcharge,post,named,47,3380,232,1,10.3,0,0,0,0,Stamp Duty on Buy-to-Let: the 5% Surcharge Explained
/blog/property-types-and-specialist-tax/multiple-dwellings-relief-abolition-fa-2024-transitional-rules-landlords,post,named,54,5427,226,0,7.2,0,0,0,0,MDR Abolition F(No.2)A 2024 s.7: Transitional Rules and Surviving SDLT Routes for Landlords
/blog/property-types-and-specialist-tax/vat-option-to-tax-commercial-property-mechanics-election-revocation,post,body,9,4726,73,0,7.7,148,1,7.0,26,"VAT Option to Tax Commercial Property: Mechanics, Cooling-Off and Revocation"
/blog/property-types-and-specialist-tax/first-time-buyer-relief-benefits-and-eligibility-requirements,post,body,63,5000,219,0,9.9,0,0,0,0,"First-Time Buyer Relief: Benefits and Eligibility Requirements (Schedule 6ZA Deep-Dive on the FTB Definition, Joint Purchases, Shared Ownership, and the 2024 Bare-Trust Amendment)"
/blog/landlord-tax-essentials/lbtt-review-in-scotland,post,named,141,4548,187,0,6.9,16,0,6.7,9,LBTT Review in Scotland: Where the Tax Stands for 2026/27 After Four ADS Upratings and the SDLT MDR Abolition
/blog/property-finance/commercial-mortgages-guide,post,body,7,5180,188,0,61.4,0,0,0,0,Commercial Mortgages: The Complete UK Guide for Businesses and Investors
/blog/incorporation-and-company-structures/sdlt-six-dwellings-non-residential-election,post,named,52,3476,186,2,6.7,0,0,0,0,SDLT Six-Dwellings Rule: Automatic Non-Residential Treatment and Worked Saving
/blog/landlord-tax-essentials/declaration-of-trust-property-beneficial-ownership-mechanics-evidence-form-17,post,body,36,4478,137,0,9.0,45,2,6.2,28,"Declaration of Trust on Property: Beneficial Ownership, Drafting, and Evidence for Form 17"
/blog/landlord-tax-essentials/ltt-higher-rates-for-spouses-minor-children-and-trust-interests,post,named,42,5222,181,1,9.0,0,0,0,0,"Welsh LTT Higher Rates for Spouses, Minor Children and Trust Interests: How Attribution Decides Whether Your Purchase is Caught"
/,hub,body,18,8332,175,11,12.7,6,1,2.8,6,Property Accountants UK | Specialist Landlord Tax Advice
/blog/incorporation-and-company-structures/togc-vat-property-letting-business,post,body,27,3264,90,0,8.5,90,3,6.2,40,TOGC and VAT on Property Letting Businesses: Conditions and Pitfalls
/blog/property-types-and-specialist-tax/applicable-sdlt-rates-for-first-time-buyers,post,named,74,4428,111,0,8.3,67,1,7.2,42,"Applicable SDLT Rates for First-Time Buyers: Current Thresholds, 1 April 2025 Reversion, and How the Relief Maps Onto the Standard Rate Table"
/blog/incorporation-and-company-structures/when-does-hmrc-accept-rental-property-incorporation-business,post,body,36,4343,178,5,7.1,0,0,0,0,When Does HMRC Accept Rental Property Incorporation as a Business?
/blog/capital-gains-tax/cgt-divorce-property-transfer-tax-implications,post,body,26,5449,159,3,9.6,7,0,4.7,3,CGT on Property Transfers in Divorce: Post-2023 Statutory Window Guide
/blog/capital-gains-tax/cgt-property-sold-loss-claim-capital-losses,post,body,7,5878,48,0,9.8,116,13,5.5,83,Claiming a Capital Loss on a UK Property Sale: 2026/27 Landlord Guide
/blog/incorporation-and-company-structures/sdlt-bewley-uninhabitable-property-test-non-residential-rates-landlords,post,named,52,5529,162,1,8.3,0,0,0,0,"SDLT Bewley Uninhabitable Test: How Narrow Is It After Hyman, Mudan, MHB, Brown?"
/blog/incorporation-and-company-structures/a-complete-guide-to-family-investment-companies-fics,post,body,6,4655,161,0,9.8,0,0,0,0,A Complete Guide to Family Investment Companies (FICs): What UK Property Owners Need to Know
/blog/landlord-tax-essentials/second-home-sdlt-additional-dwellings-surcharge-joint-owners-spouse-aggregation-rules,post,named,54,4232,161,0,8.4,0,0,0,0,SDLT Additional Dwellings Surcharge: Joint Buyers and the Spousal Aggregation Rule
/blog/landlord-tax-essentials/sdlt-5-percent-surcharge-refund-claim-process,post,named,48,4141,60,1,8.5,95,5,5.6,54,How to Claim a Refund of the 5% SDLT Additional Dwellings Surcharge
/blog/landlord-tax-essentials/unmarried-co-owners-property-tax-rental-income-split-actual-beneficial-share,post,body,17,4498,154,2,8.4,0,0,0,0,Unmarried Co-Owners and UK Property Tax: The Actual Beneficial Share Rule
/services/landlord-accountant,hub,body,12,8442,151,0,66.9,0,0,0,0,Landlord Accountant | Accountants for Landlords &amp; Buy to Let | Property Tax Partners
/blog/property-types-and-specialist-tax/first-time-buyer-relief-overcome-down-payment,post,named,90,4579,149,0,23.6,0,0,0,0,"First-Time Buyer Relief and the Deposit Challenge: How SDLT Savings Free Up Down-Payment Cash, and Where They Stop"
/blog/incorporation-and-company-structures/ated-15-percent-flat-rate-sdlt-interaction,post,named,68,3882,148,1,5.8,0,0,0.0,0,ATED and the 17% Flat-Rate SDLT: How the Two Charges Interact
/property-tax-rates,hub,body,27,2589,47,0,13.3,101,3,4.6,59,UK Property Tax Rates 2026/27 | Landlord Tax Reference | Property Tax Partners
/blog/portfolio-management/btl-investment-plymouth-cardiff-landlord-hotspots,post,body,29,4611,147,1,15.6,0,0,0,0,Plymouth vs Cardiff: The After-Tax BTL Yield Comparison Most Hotspot Pages Skip
/blog/incorporation-and-company-structures/mvl-members-voluntary-liquidation-property-company-cgt-vs-income-treatment,post,body,14,6201,147,4,9.7,0,0,0,0,Members' Voluntary Liquidation for a Property Company: CGT vs Income Treatment on the Final Distribution
/blog/property-types-and-specialist-tax/welsh-ltt-derelict-uninhabitable-property-refund-relief-claim-mechanics,post,named,18,4903,145,0,7.1,0,0,0,0,Welsh LTT Refunds for Derelict and Uninhabitable Properties: The Claim Pathway
/services/property-tax-advice,hub,body,20,7932,145,0,73.2,0,0,0,0,Property Tax Advice from Specialist Advisors | Property Tax Partners
/blog/capital-gains-tax/cgt-calculation-selling-buy-to-let-property-step-by-step,post,body,8,4060,32,0,12.3,112,18,3.6,71,How CGT Is Calculated on a Buy-to-Let Sale: Step-by-Step Worked Examples
/blog/landlord-tax-essentials/scottish-lbtt-first-time-buyer-relief-eligibility-mechanics,post,named,54,4395,142,0,7.8,0,0,0,0,"Scottish LBTT First-Time Buyer Relief: £175,000 Nil-Band with No Upper Value Cap"
/blog/capital-gains-tax/cgt-property-transfer-limited-company-calculate,post,body,23,3721,140,1,6.8,0,0,0,0,CGT on Property Transfer to Limited Company: How to Calculate
/blog/incorporation-and-company-structures/incorporating-property-portfolio-uk-2026,post,body,43,4066,135,0,28.4,5,2,1.0,3,Incorporating a Property Portfolio UK: Step-by-Step 2026 Guide
/blog/incorporation-and-company-structures/ated-rental-property-relief-mechanics,post,body,6,3551,139,0,6.6,0,0,0,0,"ATED Rental Property Relief: Mechanics, Connected-Person Test, and Voids"
/blog/landlord-tax-essentials/joint-tenants-vs-tenants-in-common-property-tax-consequences-uk-landlords,post,body,18,4543,98,1,11.7,37,1,5.8,17,Joint Tenants vs Tenants in Common: Tax Consequences for UK Landlords
/blog/capital-gains-tax/inheriting-uk-rental-property-executors-step-by-step,post,body,19,5602,132,3,10.2,0,0,0,0,Inheriting a UK Rental Property: An Executor's Step-by-Step Guide
/blog/landlord-tax-essentials/sdlt-buy-to-let-rates-surcharge-guide-2025,post,named,68,3482,95,0,7.1,35,1,5.2,28,SDLT Rates for Buy-to-Let and Limited Companies: 2026/27 Guide
/blog/capital-gains-tax/cgt-selling-buy-to-let-property-calculation-guide,post,body,8,3191,71,1,24.2,58,6,4.9,45,How Is CGT Calculated When Selling a Buy-to-Let Property? Step-by-Step Guide
/blog/landlord-tax-essentials/ltt-refunds-for-derelict-or-uninhabitable-properties,post,named,21,5419,126,2,8.4,0,0,0,0,Welsh LTT Refunds for Derelict or Uninhabitable Properties: The Pre-Purchase Classification Decision Under LTTA 2017 s.72
/section-24,hub,body,12,8234,125,2,17.8,0,0,0,0,Section 24 Explained: Mortgage Interest Relief for Landlords | Property Tax Partners
/blog/capital-gains-tax/cgt-inherited-rental-property-calculation-uk,post,body,7,5446,105,1,6.8,19,1,4.7,10,CGT on Inherited Rental Property: Death-Uplift Calculation Guide 2026/27
/blog/incorporation-and-company-structures/tax-efficient-property-investment-structure-guide,post,body,31,4082,115,0,40.6,2,0,5.5,2,Most Tax-Efficient Property Investment Structure 2026/27 (UK Landlord Decision Guide)
/blog/property-types-and-specialist-tax/a-complete-guide-to-stamp-duty-relief-for-probate-properties,post,named,77,5683,115,3,8.8,0,0,0,0,"A Complete Guide to Stamp Duty Reliefs for Probate Properties: Exemptions, Reliefs, and the Schedule 4ZA Inherited-Interest Carve-Out"
/blog/incorporation-and-company-structures/sdlt-divorce-separation-transfer-relief-schedule-3-paragraph-3-fa-2003,post,named,71,5847,114,1,7.5,0,0,0,0,SDLT Divorce Transfer Relief: FA 2003 Sch 3 para 3 with CGT s.58/s.225B
/blog/property-accountant-services/property-accountant-milton-keynes-landlord-guide,post,body,11,5086,113,0,9.3,0,0,0,0,Property Accountant Milton Keynes: BTL + HMO Tax Services
/blog/portfolio-management/property-investment-benchmarks-uk-2026-good-yield,post,body,5,3754,41,0,6.0,72,5,4.1,55,What's a Good Property Investment Yield in the UK for 2026?
/blog/capital-gains-tax/cgt-selling-multiple-properties-same-year,post,body,5,3522,112,2,6.9,0,0,0,0,CGT When Selling Multiple Properties in the Same Year
/blog/portfolio-management/multi-property-landlord-tax-planning-strategies-5-plus-properties,post,body,11,3407,111,0,13.8,0,0,0,0,How Should Multi-Property Landlords Structure Tax Planning for 5+ Properties?
/blog/non-resident-landlord-tax/returning-to-uk-after-non-residence-property-portfolio,post,body,9,5471,111,8,9.5,0,0,0,0,Returning to the UK After Non-Residence: The Property Portfolio Pathway
/calculators,hub,body,28,2106,110,0,61.7,0,0,0,0,"Free Property Tax Calculators | SDLT, CGT, Section 24, Incorporation &amp; MTD | Property Tax Partne"
/blog/property-types-and-specialist-tax/landlord-vat-recovery-professional-fees-capital-costs-commercial-property,post,body,9,5398,107,1,12.6,0,0,0,0,Landlord VAT Recovery on Commercial Property: Three-Step Framework Across the Lifecycle
/blog/property-types-and-specialist-tax/option-to-tax-vata-1994-schedule-10-commercial-property-20-year-lock,post,body,14,7044,102,0,7.3,0,0,0,0,Option to Tax Commercial Property: VATA 1994 Schedule 10 Framework and the 20-Year Lock
/blog/non-resident-landlord-tax/uk-jersey-guernsey-isle-of-man-dtas-property-investors,post,body,19,7116,97,2,9.7,5,1,6.0,5,"UK-Jersey, UK-Guernsey, and UK-Isle of Man DTAs: The End of the Crown Dependency Shelter for UK Property Investors"
/blog/landlord-tax-essentials/understanding-alternative-finance-arrangements-under-lbtt,post,named,106,5437,101,0,8.9,0,0,0,0,"Understanding Alternative Finance Arrangements Under LBTT: Ijara, Diminishing Musharaka, and Murabaha Relief Under Schedule 7"
/blog/property-accountant-services/belfast-property-accountant-specialist-tax-services,post,body,13,2448,99,4,19.2,0,0,0,0,Belfast Property Accountant: Specialist Landlord Tax Services
/blog/capital-gains-tax/cgt-record-keeping-property-sales-what-to-save-how-long,post,body,10,3396,99,1,7.6,0,0,0,0,CGT Record Keeping for Property Sales: What to Save and for How Long?
/blog/incorporation-and-company-structures/limited-company-vs-personal-ownership-tax-comparison-2026,post,body,13,3546,91,0,3.7,0,0,0,0,Limited Company vs Personal Ownership: UK Property Tax Comparison 2026
/blog/property-accountant-services/property-accountant-bournemouth-landlords-tax-services,post,body,22,3391,89,0,23.6,0,0,0,0,Property Accountant Bournemouth: BTL & Student-Let Tax for BCP Landlords 2026/27
/blog/property-types-and-specialist-tax/multiple-dwellings-relief,post,named,177,6878,70,0,7.7,14,0,5.6,10,Multiple Dwellings Relief: The Three-Jurisdiction Position After the 1 June 2024 SDLT Abolition (England and Northern Ireland Repealed; Scottish LBTT MDR and Welsh LTT MDR Still Live)
/blog/incorporation-and-company-structures/partnership-partnership-agreement-roles-types-benefits,post,body,6,5332,83,0,8.5,0,0,0,0,"Partnership and Partnership Agreement: Roles, Types and Benefits for UK Property Partnerships (2026/27)"
/blog/landlord-tax-essentials/putting-a-rental-property-into-a-trust,post,body,23,5326,80,0,13.5,0,0,0.0,0,Putting a Rental Property Into a Trust: UK Landlord Guide
/blog/incorporation-and-company-structures/trust-registration-service-trs-compliance-trust-owned-btl-mlr-2017,post,body,5,6008,80,1,9.2,0,0,0,0,Trust Registration Service Compliance for Trust-Owned BTL: MLR 2017 Reg 45
/blog/property-accountant-services/what-does-a-property-accountant-do,post,body,14,4809,80,1,16.1,0,0,0,0,What Does a Property Accountant Do? Services and Scope for UK Landlords
/blog/incorporation-and-company-structures/companies-house-changes-limited-partnership-requirements,post,body,6,4218,79,0,10.2,0,0,0,0,Companies House Changes for Limited Partnerships: ECCTA 2023 Part 2 Reforms to the Limited Partnerships Act 1907
/blog/incorporation-and-company-structures/types-of-property-company-structure-uk-guide,post,body,17,4588,0,0,0,79,6,4.9,51,Which Types of Property Company Structure Are Available in the UK?
/blog/landlord-tax-essentials/landlord-tax-changes-2026-complete-guide,post,body,19,5202,68,0,20.6,9,0,5.1,7,What Are the Major UK Landlord Tax Changes for 2026 and 2027?
/blog/property-accountant-services/liverpool-property-accountant-tax-services-landlords,post,body,5,3915,77,0,15.8,0,0,0,0,Property Accountants Liverpool: Landlord Tax Services & Section 24 Help
/blog/property-types-and-specialist-tax/lease-extension-vs-freehold-purchase,post,body,34,4833,74,0,8.9,0,0,0,0,Lease Extension vs Freehold Purchase: The Decision-Architecture for Leaseholders of Houses and Flats Under the Post-LFRA-2024 Statutory Regime
/blog/portfolio-management/how-to-scale-buy-to-let-portfolio-1-to-10-properties,post,body,7,3442,71,1,48.2,0,0,0,0,How to Scale a Buy-to-Let Portfolio from 1 to 10 Properties in 2026
/blog/property-types-and-specialist-tax/free-rental-valuation,post,body,17,2924,70,0,7.6,0,0,0,0,"Free Rental Valuation: What It Actually Is, When It Is Tax-Defensible, and the Eight Use-Cases Where a RICS Red Book Valuation Is Required Instead"
/blog/property-accountant-services/property-accountant-salary-complete-guide,post,body,6,3858,70,0,9.9,0,0,0,0,Property Accountant Salary: Complete UK Career Guide
/blog/landlord-tax-essentials/welsh-ltt-first-time-buyer-relief-mechanics-eligibility-comparison-england-scotland,post,named,32,4858,70,0,4.8,0,0,0,0,Welsh LTT for First-Time Buyers 2026/27: No Separate Relief and Why It Works
/blog/property-types-and-specialist-tax/archer-uk-limited-vs-revenue-scotland-ftt-rules-no-lbtt-charge-for-lease-extension-granted-under-sdlt,post,named,132,4468,69,0,6.6,0,0,0,0,Archer (UK) Limited v Revenue Scotland [2025] FTSTC 10: Why a Post-2015 Extension of a Pre-2015 Scottish Lease Did Not Trigger LBTT
/blog/property-types-and-specialist-tax/structures-and-buildings-allowance-sba-3-percent-claim-mechanics-fa-2018-onward,post,body,6,5515,68,0,7.8,0,0,0,0,Structures and Buildings Allowance (SBA) 2026/27: The 3% Straight-Line Claim Mechanics Under CAA 2001 Part 2A
/blog/capital-gains-tax/cgt-deferral-strategies-property-investors-uk,post,body,5,6219,0,0,0,66,2,6.3,39,CGT Deferral for UK Property Investors: 2026/27 Mechanics Guide
