keyword,search_volume,cpc,competition,value_index,bucket,source
immigration lawyer london,2900,18.75,MEDIUM,54375.0,immigration_relocation,expanded
immigration lawyers in london england,2900,18.75,MEDIUM,54375.0,immigration_relocation,expanded
immigration solicitors london,2900,18.75,MEDIUM,54375.0,immigration_relocation,expanded
employment law advice,2400,21.13,MEDIUM,50712.0,employment_hr,expanded
employment law help for employers,2400,21.13,MEDIUM,50712.0,employment_hr,expanded
legal advice employment law,2400,21.13,MEDIUM,50712.0,employment_hr,expanded
legal advice for employees,2400,21.13,MEDIUM,50712.0,employment_hr,expanded
legal advice labor laws,2400,21.13,MEDIUM,50712.0,employment_hr,expanded
work lawyer advice,2400,21.13,MEDIUM,50712.0,employment_hr,expanded
health and safety advisors,720,69.92,MEDIUM,50342.4,niche_professional,expanded
business phone systems,1000,48.92,MEDIUM,48920.0,business_services,seed
business system phone,1000,48.92,MEDIUM,48920.0,business_services,expanded
business telephone systems,1000,48.92,MEDIUM,48920.0,business_services,expanded
telephone systems business,1000,48.92,MEDIUM,48920.0,business_services,expanded
business gas comparison,590,80.38,LOW,47424.2,business_services,expanded
business gas suppliers compare,590,80.38,LOW,47424.2,business_services,expanded
business gas supply comparison,590,80.38,LOW,47424.2,business_services,expanded
compare business gas,590,80.38,LOW,47424.2,business_services,expanded
business utility comparison,320,142.17,MEDIUM,45494.4,business_services,expanded
compare business utilities,320,142.17,MEDIUM,45494.4,business_services,expanded
compare utilities business,320,142.17,MEDIUM,45494.4,business_services,expanded
best gas electric deals,5400,8.25,HIGH,44550.0,expanded,expanded
eco4 scheme,9900,4.37,HIGH,43263.0,green_retrofit,expanded
business rates small business rates relief,6600,6.54,LOW,43164.0,commercial_property,expanded
business rates small business relief,6600,6.54,LOW,43164.0,commercial_property,expanded
small business rates relief,6600,6.54,LOW,43164.0,commercial_property,expanded
small business relief business rates,6600,6.54,LOW,43164.0,commercial_property,expanded
small business relief on rates,6600,6.54,LOW,43164.0,commercial_property,expanded
small company business rates relief,6600,6.54,LOW,43164.0,commercial_property,expanded
small company rates relief,6600,6.54,LOW,43164.0,commercial_property,expanded
cost for solar panels uk,5400,7.91,HIGH,42714.0,green_retrofit,expanded
cost of photovoltaic panels uk,5400,7.91,HIGH,42714.0,green_retrofit,expanded
cost of solar energy uk,5400,7.91,HIGH,42714.0,green_retrofit,expanded
pv panels cost uk,5400,7.91,HIGH,42714.0,green_retrofit,expanded
solar energy cost uk,5400,7.91,HIGH,42714.0,green_retrofit,expanded
solar installation cost uk,5400,7.91,HIGH,42714.0,green_retrofit,expanded
solar panel price uk,5400,7.91,HIGH,42714.0,green_retrofit,expanded
solar panels cost uk,5400,7.91,HIGH,42714.0,green_retrofit,seed
solar power cost uk,5400,7.91,HIGH,42714.0,green_retrofit,expanded
solar pv panels cost uk,5400,7.91,HIGH,42714.0,green_retrofit,expanded
uk solar installation cost,5400,7.91,HIGH,42714.0,green_retrofit,expanded
business gas and electricity price comparison,320,130.9,LOW,41888.0,business_services,expanded
business gas electricity price comparison,320,130.9,LOW,41888.0,business_services,expanded
compare business gas and electricity rates,320,130.9,LOW,41888.0,business_services,expanded
compare gas and electric business rates,320,130.9,LOW,41888.0,business_services,expanded
compare gas and electric prices for business,320,130.9,LOW,41888.0,business_services,expanded
ip phone system for small business,880,46.7,MEDIUM,41096.0,business_services,expanded
ip telephone systems for small business,880,46.7,MEDIUM,41096.0,business_services,expanded
small business telephone systems voip,880,46.7,MEDIUM,41096.0,business_services,expanded
small business voice over ip phone systems,880,46.7,MEDIUM,41096.0,business_services,expanded
small business voip telephone systems,880,46.7,MEDIUM,41096.0,business_services,expanded
voip phone system for small business,880,46.7,MEDIUM,41096.0,business_services,expanded
voip telephone systems for small business,880,46.7,MEDIUM,41096.0,business_services,expanded
businessdebtline,4400,9.18,MEDIUM,40392.0,insolvency_debt,expanded
electric car home charger,12100,3.29,HIGH,39809.0,green_retrofit,expanded
electric car home charging station,12100,3.29,HIGH,39809.0,green_retrofit,expanded
electric charging at home,12100,3.29,HIGH,39809.0,green_retrofit,expanded
electric charging stations for home,12100,3.29,HIGH,39809.0,green_retrofit,expanded
electric vehicle charging at home,12100,3.29,HIGH,39809.0,green_retrofit,expanded
home charging point for electric car,12100,3.29,HIGH,39809.0,green_retrofit,expanded
voice over ip business phone system,720,53.14,LOW,38260.8,business_services,expanded
voip commercial phone systems,720,53.14,LOW,38260.8,business_services,expanded
voip phone system for business,720,53.14,LOW,38260.8,business_services,expanded
grant heat pump,5400,6.88,HIGH,37152.0,green_retrofit,expanded
heat pump grant,5400,6.88,HIGH,37152.0,green_retrofit,seed
business phone small system,880,41.94,MEDIUM,36907.2,business_services,expanded
business phone systems for small business,880,41.94,MEDIUM,36907.2,business_services,expanded
phone systems for small business,880,41.94,MEDIUM,36907.2,business_services,expanded
small business pbx telephone systems,880,41.94,MEDIUM,36907.2,business_services,expanded
small business system phone,880,41.94,MEDIUM,36907.2,business_services,expanded
small company phone systems,880,41.94,MEDIUM,36907.2,business_services,expanded
telephone systems for small business,880,41.94,MEDIUM,36907.2,business_services,expanded
fleet vehicle tracking system,170,209.85,MEDIUM,35674.5,motor_fleet,expanded
british immigration lawyer,2400,14.18,MEDIUM,34032.0,immigration_relocation,expanded
immigration lawyer england,2400,14.18,MEDIUM,34032.0,immigration_relocation,expanded
immigration lawyer uk,2400,14.18,MEDIUM,34032.0,immigration_relocation,expanded
best commercial electricity prices,320,104.51,MEDIUM,33443.2,business_services,expanded
best commercial electricity rates,320,104.51,MEDIUM,33443.2,business_services,expanded
install solar panels near me,2900,11.5,MEDIUM,33350.0,green_retrofit,expanded
solar energy installers near me,2900,11.5,MEDIUM,33350.0,green_retrofit,expanded
solar installed near me,2900,11.5,MEDIUM,33350.0,green_retrofit,expanded
solar panel installers near me,2900,11.5,MEDIUM,33350.0,green_retrofit,seed
cheapest business electricity rates,390,84.74,MEDIUM,33048.6,business_services,expanded
retail estate agents,9900,3.33,LOW,32967.0,commercial_property,expanded
business general liability insurance quotes,390,82.21,LOW,32061.9,business_services,expanded
business liability insurance quotes,390,82.21,LOW,32061.9,business_services,expanded
commercial liability insurance quote,390,82.21,LOW,32061.9,business_services,expanded
quote business liability insurance,390,82.21,LOW,32061.9,business_services,expanded
solar panel quotation,1000,32.02,HIGH,32020.0,green_retrofit,expanded
solar panel quotes,1000,32.02,HIGH,32020.0,green_retrofit,seed
party wall surveyor,2900,10.71,MEDIUM,31059.0,party_wall_boundary,seed
parting wall agreement,8100,3.77,LOW,30537.0,party_wall_boundary,expanded
campervan insurance compare,2900,10.52,HIGH,30508.0,motor_fleet,expanded
british trademark search,9900,3.06,LOW,30294.0,niche_professional,expanded
england trademark search,9900,3.06,LOW,30294.0,niche_professional,expanded
uk trademark registration search,9900,3.06,LOW,30294.0,niche_professional,expanded
uk trademark search,9900,3.06,LOW,30294.0,niche_professional,expanded
united kingdom trademark search,9900,3.06,LOW,30294.0,niche_professional,expanded
gps fleet management system,110,274.07,LOW,30147.7,motor_fleet,expanded
business energy rates comparison,260,115.1,LOW,29926.0,business_services,expanded
compare business utility rates,260,115.1,LOW,29926.0,business_services,expanded
business energy comparison sites,260,114.91,LOW,29876.6,business_services,expanded
business energy comparison website,260,114.91,LOW,29876.6,business_services,expanded
business energy price comparison sites,260,114.91,LOW,29876.6,business_services,expanded
business energy price comparison websites,260,114.91,LOW,29876.6,business_services,expanded
fleet insurance quotes,480,62.15,HIGH,29832.0,business_services,seed
business voip telephone,720,40.74,HIGH,29332.8,business_services,expanded
phone voip business,720,40.74,HIGH,29332.8,business_services,expanded
voice over ip phone for business,720,40.74,HIGH,29332.8,business_services,expanded
voip business telephone,720,40.74,HIGH,29332.8,business_services,expanded
voip phones for business,720,40.74,HIGH,29332.8,business_services,expanded
salary sacrifice car scheme,3600,8.13,HIGH,29268.0,motor_fleet,seed
commercial electricity comparison,210,139.11,MEDIUM,29213.1,business_services,expanded
commercial electricity suppliers comparison,210,139.11,MEDIUM,29213.1,business_services,expanded
compare commercial electricity,210,139.11,MEDIUM,29213.1,business_services,expanded
business energy supplier comparison,320,91.05,LOW,29136.0,business_services,expanded
compare business energy suppliers,320,91.05,LOW,29136.0,business_services,expanded
energy supplier comparison business,320,91.05,LOW,29136.0,business_services,expanded
business gas and electricity suppliers,320,90.6,LOW,28992.0,business_services,expanded
survey rics,4400,6.53,LOW,28732.0,building_defects,expanded
business phone systems in the cloud,720,39.65,MEDIUM,28548.0,business_services,expanded
cloud based phone system,720,39.65,MEDIUM,28548.0,business_services,expanded
cloud based telephone system,720,39.65,MEDIUM,28548.0,business_services,expanded
cloud pbx phone system,720,39.65,MEDIUM,28548.0,business_services,expanded
cloud phone systems,720,39.65,MEDIUM,28548.0,business_services,expanded
apply for trademark uk,4400,6.46,MEDIUM,28424.0,niche_professional,expanded
register a trade mark uk,4400,6.46,MEDIUM,28424.0,niche_professional,expanded
register a trademark name uk,4400,6.46,MEDIUM,28424.0,niche_professional,expanded
register trademark uk,4400,6.46,MEDIUM,28424.0,niche_professional,expanded
register uk trade mark,4400,6.46,MEDIUM,28424.0,niche_professional,expanded
registering a trade mark in the uk,4400,6.46,MEDIUM,28424.0,niche_professional,expanded
trade mark registration in uk,4400,6.46,MEDIUM,28424.0,niche_professional,expanded
trade mark registration uk,4400,6.46,MEDIUM,28424.0,niche_professional,expanded
trade mark uk register,4400,6.46,MEDIUM,28424.0,niche_professional,expanded
trademark registration uk,4400,6.46,MEDIUM,28424.0,niche_professional,seed
legal services employment,260,106.88,LOW,27788.8,employment_hr,expanded
system voip,480,57.61,MEDIUM,27652.8,business_services,expanded
voip system,480,57.61,MEDIUM,27652.8,business_services,expanded
creditors voluntary liquidation,1300,21.2,MEDIUM,27560.0,insolvency_debt,seed
creditors voluntary winding up,1300,21.2,MEDIUM,27560.0,insolvency_debt,expanded
commercial electricity prices per kwh,590,46.34,MEDIUM,27340.6,business_services,expanded
register a company gov uk,590,45.81,MEDIUM,27027.9,business_services,expanded
register company gov uk,590,45.81,MEDIUM,27027.9,business_services,expanded
air heat pump grants,2900,9.31,HIGH,26999.0,green_retrofit,expanded
air source heat pump grant,2900,9.31,HIGH,26999.0,green_retrofit,expanded
air source heating grants,2900,9.31,HIGH,26999.0,green_retrofit,expanded
air source pump grant,2900,9.31,HIGH,26999.0,green_retrofit,expanded
commercial energy performance certificate,1300,20.45,MEDIUM,26585.0,commercial_property,expanded
commercial epc,1300,20.45,MEDIUM,26585.0,commercial_property,seed
epc certificate commercial,1300,20.45,MEDIUM,26585.0,commercial_property,expanded
commercial energy comparison,210,126.15,MEDIUM,26491.5,business_services,expanded
compare commercial energy,210,126.15,MEDIUM,26491.5,business_services,expanded
boiler upgrade scheme,4400,5.94,HIGH,26136.0,green_retrofit,seed
business energy price comparison online,260,99.9,LOW,25974.0,business_services,expanded
compare business electricity prices online,260,99.9,LOW,25974.0,business_services,expanded
compare business electricity rates online,260,99.9,LOW,25974.0,business_services,expanded
solicitor redundancy,720,35.5,MEDIUM,25560.0,employment_hr,expanded
debt advice iva,390,64.74,HIGH,25248.6,insolvency_debt,expanded
debt help iva,390,64.74,HIGH,25248.6,insolvency_debt,expanded
debt iva advice,390,64.74,HIGH,25248.6,insolvency_debt,expanded
commercial electricity price comparison,210,119.21,MEDIUM,25034.1,business_services,expanded
commercial electricity rates comparison,210,119.21,MEDIUM,25034.1,business_services,expanded
compare commercial electricity prices,210,119.21,MEDIUM,25034.1,business_services,expanded
compare commercial electricity rates,210,119.21,MEDIUM,25034.1,business_services,expanded
compare commercial energy rates,210,119.21,MEDIUM,25034.1,business_services,expanded
asbestos survey near me,1300,19.05,HIGH,24765.0,building_defects,expanded
hr advice for employers,110,224.52,HIGH,24697.2,employment_hr,expanded
uk citizenship lawyer,2900,8.36,LOW,24244.0,immigration_relocation,expanded
business rates relief,2400,10,LOW,24000,commercial_property,seed
non domestic rates relief,2400,10,LOW,24000,commercial_property,expanded
business electricity providers,260,92.09,LOW,23943.4,business_services,expanded
register new uk company,480,49.88,HIGH,23942.4,business_services,expanded
solar installation companies near me,1900,12.59,HIGH,23921.0,green_retrofit,expanded
solar installers near me,1900,12.59,HIGH,23921.0,green_retrofit,expanded
solar power installers near me,1900,12.59,HIGH,23921.0,green_retrofit,expanded
uk ipo trademark search,8100,2.93,LOW,23733.0,niche_professional,expanded
employment advice,1000,23.73,MEDIUM,23730.0,employment_hr,expanded
fleet management program,590,40.2,MEDIUM,23718.0,motor_fleet,expanded
fleet management software,590,40.2,MEDIUM,23718.0,motor_fleet,seed
fleet mgmt software,590,40.2,MEDIUM,23718.0,motor_fleet,expanded
vehicle fleet software,590,40.2,MEDIUM,23718.0,motor_fleet,expanded
cheapest business gas and electricity,210,109.9,LOW,23079.0,business_services,expanded
health and safety consultants near me,260,88.7,MEDIUM,23062.0,niche_professional,expanded
public liability insurance cost,1300,17.36,MEDIUM,22568.0,business_services,expanded
public liability insurance price,1300,17.36,MEDIUM,22568.0,business_services,expanded
commercial energy price comparison,170,131.86,LOW,22416.2,business_services,expanded
compare commercial energy prices,170,131.86,LOW,22416.2,business_services,expanded
compare commercial power prices,170,131.86,LOW,22416.2,business_services,expanded
energy price comparison commercial,170,131.86,LOW,22416.2,business_services,expanded
employment legal services,210,106.47,MEDIUM,22358.7,employment_hr,expanded
business insurance price,590,37.85,MEDIUM,22331.5,business_services,expanded
business insurance rates,590,37.85,MEDIUM,22331.5,business_services,expanded
insurance for business price,590,37.85,MEDIUM,22331.5,business_services,expanded
insurance prices for business,590,37.85,MEDIUM,22331.5,business_services,expanded
data protection consultant,260,85.53,MEDIUM,22237.8,niche_professional,expanded
voluntary liquidator,1000,21.95,MEDIUM,21950.0,insolvency_debt,expanded
office phone systems,590,37.06,HIGH,21865.4,business_services,expanded
office telephone system,590,37.06,HIGH,21865.4,business_services,expanded
loft conversion cost,5400,3.99,MEDIUM,21546.0,construction_trades,seed
compare business gas prices online,140,152.7,LOW,21378.0,business_services,expanded
car company car tax calculator,8100,2.63,LOW,21303.0,motor_fleet,expanded
car tax calculator company car,8100,2.63,LOW,21303.0,motor_fleet,expanded
car tax company car calculator,8100,2.63,LOW,21303.0,motor_fleet,expanded
company car income tax calculator,8100,2.63,LOW,21303.0,motor_fleet,expanded
company car tax cal,8100,2.63,LOW,21303.0,motor_fleet,expanded
company car tax calculator,8100,2.63,LOW,21303.0,motor_fleet,seed
tax and company car calculator,8100,2.63,LOW,21303.0,motor_fleet,expanded
ip phone service for business,260,80.69,LOW,20979.4,business_services,expanded
voice over ip phone service for business,260,80.69,LOW,20979.4,business_services,expanded
rics surveyors near me,2400,8.67,HIGH,20808.0,building_defects,expanded
hr outsourcing uk,260,79.7,LOW,20722.0,employment_hr,seed
uk hr outsourcing,260,79.7,LOW,20722.0,employment_hr,expanded
free employment law advice,2900,6.97,HIGH,20213.0,employment_hr,expanded
free employment law advice employees,2900,6.97,HIGH,20213.0,employment_hr,expanded
free employment law advice for employees,2900,6.97,HIGH,20213.0,employment_hr,expanded
free employment law advice for employers,2900,6.97,HIGH,20213.0,employment_hr,expanded
free employment legal advice,2900,6.97,HIGH,20213.0,employment_hr,expanded
free legal advice employment law,2900,6.97,HIGH,20213.0,employment_hr,expanded
free legal employment advice for employees,2900,6.97,HIGH,20213.0,employment_hr,expanded
labor law advice free,2900,6.97,HIGH,20213.0,employment_hr,expanded
commercial building insurance quotes,390,51.77,MEDIUM,20190.3,business_services,expanded
commercial property insurance quote,390,51.77,MEDIUM,20190.3,business_services,expanded
commercial real estate insurance quote,390,51.77,MEDIUM,20190.3,business_services,expanded
outsourced hr services uk,140,142.4,HIGH,19936.0,employment_hr,expanded
air heat pump cost,3600,5.3,HIGH,19080.0,green_retrofit,expanded
air source heat pump cost,3600,5.3,HIGH,19080.0,green_retrofit,seed
air source heating cost,3600,5.3,HIGH,19080.0,green_retrofit,expanded
air source pump cost,3600,5.3,HIGH,19080.0,green_retrofit,expanded
air to air heat pump cost,3600,5.3,HIGH,19080.0,green_retrofit,expanded
uk company incorporation,480,39.24,MEDIUM,18835.2,business_services,expanded
company formation services in uk,480,39.08,MEDIUM,18758.4,business_services,expanded
company formation services uk,480,39.08,MEDIUM,18758.4,business_services,expanded
uk company formation service,480,39.08,MEDIUM,18758.4,business_services,expanded
electric car salary sacrifice,2400,7.8,HIGH,18720.0,motor_fleet,expanded
salary sacrifice electric car,2400,7.8,HIGH,18720.0,motor_fleet,expanded
company formation london,720,25.52,MEDIUM,18374.4,business_services,expanded
telematics fleet management system,320,56.46,LOW,18067.2,motor_fleet,expanded
cheapest power provider,1900,9.36,HIGH,17784.0,business_services,expanded
japanese knotweed eradication,2400,7.4,HIGH,17760.0,building_defects,expanded
japanese knotweed removal,2400,7.4,HIGH,17760.0,building_defects,seed
japanese knotweed treatment,2400,7.4,HIGH,17760.0,building_defects,expanded
business insurance quotation,390,44.94,HIGH,17526.6,business_services,expanded
van insurance direct line,4400,3.98,HIGH,17512.0,motor_fleet,expanded
solar and battery storage,4400,3.96,HIGH,17424.0,green_retrofit,expanded
solar battery storage,4400,3.96,HIGH,17424.0,green_retrofit,expanded
solar electric battery storage,4400,3.96,HIGH,17424.0,green_retrofit,expanded
solar electricity battery storage,4400,3.96,HIGH,17424.0,green_retrofit,expanded
solar energy battery storage,4400,3.96,HIGH,17424.0,green_retrofit,expanded
solar power and battery storage,4400,3.96,HIGH,17424.0,green_retrofit,expanded
solar power with battery storage,4400,3.96,HIGH,17424.0,green_retrofit,expanded
storage solar battery,4400,3.96,HIGH,17424.0,green_retrofit,expanded
uk company creation,390,44.58,MEDIUM,17386.2,business_services,expanded
members voluntary liquidation,880,19.64,MEDIUM,17283.2,insolvency_debt,seed
members voluntary winding up,880,19.64,MEDIUM,17283.2,insolvency_debt,expanded
small business insurance quotes,260,66.16,MEDIUM,17201.6,business_services,expanded
business insurance quote online,260,65.89,MEDIUM,17131.4,business_services,expanded
commercial business insurance quotes online,260,65.89,MEDIUM,17131.4,business_services,expanded
cheap business energy prices,210,78.62,MEDIUM,16510.2,business_services,expanded
electric car charging home installation,3600,4.58,HIGH,16488.0,green_retrofit,expanded
ev home charge install,3600,4.58,HIGH,16488.0,green_retrofit,expanded
home ev charging station installation,3600,4.58,HIGH,16488.0,green_retrofit,expanded
install charging station at home,3600,4.58,HIGH,16488.0,green_retrofit,expanded
installing an electric car charging station at home,3600,4.58,HIGH,16488.0,green_retrofit,expanded
business telephone systems voip,110,147.03,LOW,16173.3,business_services,expanded
voip business telephone systems,110,147.03,LOW,16173.3,business_services,expanded
business cloud phone systems,110,146.92,LOW,16161.2,business_services,expanded
cloud based phone system for business,110,146.92,LOW,16161.2,business_services,expanded
cloud phone system business,110,146.92,LOW,16161.2,business_services,expanded
best prepaid funeral plans uk,1000,16.09,HIGH,16090.0,later_life,expanded
business phone service,260,61.81,LOW,16070.6,business_services,expanded
business telephone service,260,61.81,LOW,16070.6,business_services,expanded
co compare energy,1900,8.33,HIGH,15827.0,business_services,expanded
cheap business energy deals,110,143.04,MEDIUM,15734.4,business_services,expanded
compare business broadband,720,21.66,HIGH,15595.2,business_services,expanded
loft insulation grant,3600,4.33,HIGH,15588.0,green_retrofit,expanded
best business electricity supplier,210,74.14,MEDIUM,15569.4,business_services,expanded
trade mark in uk,2900,5.27,LOW,15283.0,niche_professional,expanded
trade marking uk,2900,5.27,LOW,15283.0,niche_professional,expanded
trademark uk,2900,5.27,LOW,15283.0,niche_professional,expanded
gcse tutors near me,1300,11.59,HIGH,15067.0,education_childcare,expanded
buying public liability insurance,260,57.87,HIGH,15046.2,business_services,expanded
compare energy prices for small business,140,106.71,LOW,14939.4,business_services,expanded
compare small business electricity prices,140,106.71,LOW,14939.4,business_services,expanded
compare small business energy prices,140,106.71,LOW,14939.4,business_services,expanded
small business electricity price comparison,140,106.71,LOW,14939.4,business_services,expanded
small business electricity tariff comparison,140,106.71,LOW,14939.4,business_services,expanded
commercial property energy performance certificate,720,20.7,MEDIUM,14904.0,commercial_property,expanded
epc certificate for commercial property,720,20.7,MEDIUM,14904.0,commercial_property,expanded
epc commercial property,720,20.7,MEDIUM,14904.0,commercial_property,expanded
epc for commercial premises,720,20.7,MEDIUM,14904.0,commercial_property,expanded
cheapest business electricity supplier,140,105.86,MEDIUM,14820.4,business_services,expanded
solar array battery storage,2400,6.15,HIGH,14760.0,green_retrofit,expanded
solar panels and battery storage,2400,6.15,HIGH,14760.0,green_retrofit,expanded
solar panels battery storage,2400,6.15,HIGH,14760.0,expanded,expanded
solar panels with battery storage,2400,6.15,HIGH,14760.0,green_retrofit,expanded
electrical certs for landlords,1600,9.16,HIGH,14656.0,landlord_compliance,expanded
landlords electrical certificate,1600,9.16,HIGH,14656.0,landlord_compliance,expanded
